,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2006-05-25,40.3,46.05,40.2,46.0,4.2543,395091016
1,2006-05-26,46.3,46.74,44.11,44.93,4.1553,103033999
2,2006-05-30,44.97,44.98,42.85,44.0,4.0693,49896000
3,2006-05-31,44.35,45.36,44.35,44.94,4.1563,29943000
4,2006-06-01,44.93,48.1,44.9,47.51,4.3939,62295999
5,2006-06-02,48.5,48.7,46.79,46.99,4.3459,37246000
6,2006-06-05,47.05,49.25,47.0,49.15,4.5456,37080000
7,2006-06-06,49.98,50.63,47.8,48.3,4.467,49036000
8,2006-06-07,48.33,48.4,46.75,47.6,4.4023,25002000
9,2006-06-08,47.6,47.72,45.5,47.72,4.4134,34434000
10,2006-06-09,48.8,48.8,47.68,47.78,4.4189,13372000
11,2006-06-12,48.0,48.25,46.3,46.95,4.3422,14539000
12,2006-06-13,46.2,47.35,45.3,45.5,4.208,16692000
13,2006-06-14,44.9,45.45,44.44,45.12,4.1729,15971000
14,2006-06-15,45.4,46.12,45.13,45.95,4.2497,16500000
15,2006-06-16,45.5,46.0,45.0,45.02,4.1637,12280000
16,2006-06-19,45.45,45.45,44.1,44.34,4.1008,11436000
17,2006-06-20,44.74,45.0,43.47,44.02,4.0712,23792000
18,2006-06-21,44.02,45.88,44.0,45.3,4.1896,18063000
19,2006-06-22,46.4,46.95,45.88,46.6,4.3098,13034000
20,2006-06-23,46.99,47.93,46.87,46.95,4.3422,11606000
21,2006-06-26,46.95,47.5,46.43,47.5,4.393,8563000
22,2006-06-27,47.5,48.03,47.25,47.31,4.3754,9824000
23,2006-06-28,46.85,47.4,46.5,46.96,4.3431,8756000
24,2006-06-29,46.95,48.09,46.95,48.0,4.4393,14470000
25,2006-06-30,47.65,48.0,46.6,48.0,4.4393,25964000
26,2006-07-03,47.9,48.0,46.8101,47.3,4.3745,7029000
27,2006-07-05,47.4,47.84,46.71,47.6,4.4023,13266000
28,2006-07-06,47.25,47.35,46.79,46.8,4.3283,8097000
29,2006-07-07,46.75,46.85,45.75,46.12,4.2654,8380000
30,2006-07-10,46.2,46.57,46.12,46.49,4.2996,4978000
31,2006-07-11,46.49,46.49,45.3,46.35,4.2867,8079000
32,2006-07-12,46.4,46.4,45.54,45.55,4.2127,7672000
33,2006-07-13,45.18,45.18,44.3,44.72,4.1359,16625000
34,2006-07-14,44.62,44.68,43.9,43.95,4.0647,9663000
35,2006-07-17,43.91,44.17,43.75,43.99,4.0684,6458000
36,2006-07-18,43.99,44.1,43.67,43.9,4.0601,12483000
37,2006-07-19,43.91,45.45,43.8,45.28,4.1877,15840000
38,2006-07-20,45.4,45.78,45.1,45.55,4.2127,8829000
39,2006-07-21,45.55,45.55,44.77,45.28,4.1877,8510000
40,2006-07-24,45.45,45.53,44.99,45.0,4.1618,5017000
41,2006-07-25,45.2,46.4,45.16,46.08,4.2617,6900000
42,2006-07-26,46.14,47.85,45.8,46.68,4.3172,10338000
43,2006-07-27,46.9,47.17,46.52,46.52,4.3024,6009000
44,2006-07-28,46.51,46.8,46.26,46.3,4.282,4339000
45,2006-07-31,46.3,46.41,45.86,45.87,4.2423,4616000
46,2006-08-01,45.92,45.92,44.7,45.0,4.1618,7389000
47,2006-08-02,47.99,50.05,47.31,50.02,4.6261,53371999
48,2006-08-03,49.13,50.24,48.65,49.99,4.6233,21689000
49,2006-08-04,50.3,51.5,49.99,50.05,4.6289,14216000
50,2006-08-07,50.5,51.3,50.25,51.1,4.726,6918000
51,2006-08-08,51.1,52.67,51.0501,52.57,4.8619,14073000
52,2006-08-09,53.0,54.5,52.0,52.85,4.8878,15043000
53,2006-08-10,52.2,53.91,52.1,53.56,4.9535,8724000
54,2006-08-11,53.5,54.45,53.25,53.68,4.9646,9078000
55,2006-08-14,53.75,54.54,53.52,54.23,5.0154,6314000
56,2006-08-15,54.7,54.93,54.26,54.49,5.0395,8553000
57,2006-08-16,54.65,55.43,54.1601,54.27,5.0191,15344000
58,2006-08-17,54.2,54.24,53.19,53.46,4.9442,10216000
59,2006-08-18,53.1,53.65,52.46,53.45,4.9433,9343000
60,2006-08-21,53.3,55.55,52.8,54.26,5.0182,12487000
61,2006-08-22,54.2,55.5,54.2,55.23,5.1079,9761000
62,2006-08-23,55.48,55.75,54.5416,54.6,5.0497,10439000
63,2006-08-24,54.9,55.85,54.82,55.65,5.1468,5420000
64,2006-08-25,55.75,55.8525,54.93,55.0,5.0867,8016000
65,2006-08-28,54.85,55.45,54.7656,55.02,5.0885,3748000
66,2006-08-29,55.25,55.65,55.1604,55.35,5.119,3211000
67,2006-08-30,55.48,55.7756,55.17,55.25,5.1098,5801000
68,2006-08-31,55.25,56.17,55.25,55.9,5.1699,7023000
69,2006-09-01,55.97,57.5,55.97,56.55,5.23,20559000
70,2006-09-05,56.9,57.24,56.2501,56.85,5.2577,4618000
71,2006-09-06,56.9,58.88,56.57,58.88,5.4455,15694000
72,2006-09-07,58.51,60.87,58.5,60.12,5.5602,26549000
73,2006-09-08,61.0,61.25,59.29,59.75,5.526,15176000
74,2006-09-11,59.75,61.99,59.6,61.87,5.722,17064000
75,2006-09-12,60.99,62.1499,60.99,62.1,5.7433,16988000
76,2006-09-13,62.0,62.3,60.9,61.35,5.6739,12355000
77,2006-09-14,60.85,63.25,60.7,62.79,5.8071,13010000
78,2006-09-15,62.79,65.2,62.79,64.97,6.0087,19314000
79,2006-09-18,65.74,67.55,64.3,65.12,6.0226,23656000
80,2006-09-19,65.0,66.15,64.3,64.84,5.9967,17263000
