,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1994-01-28,21.625,22.5,20.75,21.625,4.0362,719200
1,1994-01-31,21.5,21.625,21.125,21.375,3.9895,86900
2,1994-02-01,21.25,21.375,21.125,21.25,3.9662,56900
3,1994-02-02,21.25,21.5,21.25,21.25,3.9662,43600
4,1994-02-03,21.25,21.5,21.25,21.5,4.0128,42900
5,1994-02-04,21.25,21.5,21.125,21.125,3.9428,56500
6,1994-02-07,21.125,21.5,21.125,21.375,3.9895,40900
7,1994-02-08,21.5,22.25,21.5,22.0,4.1061,205400
8,1994-02-09,22.125,22.75,22.125,22.25,4.1528,76900
9,1994-02-10,22.25,23.0,22.25,23.0,4.2928,42500
10,1994-02-11,22.875,23.875,22.875,23.5,4.3861,49400
11,1994-02-14,23.25,24.5,23.25,23.875,4.4561,97400
12,1994-02-15,23.75,24.0,23.125,23.125,4.3161,62100
13,1994-02-16,23.125,23.625,23.125,23.375,4.3628,26700
14,1994-02-17,23.625,24.125,23.625,24.125,4.5028,8900
15,1994-02-18,24.125,24.375,24.0,24.25,4.5261,27900
16,1994-02-22,24.0,24.125,23.75,23.75,4.4328,25000
17,1994-02-23,24.0,24.0,23.25,23.375,4.3628,48100
18,1994-02-24,23.25,23.875,23.0,23.25,4.3394,48500
19,1994-02-25,23.0,23.0,22.75,22.875,4.2695,36000
20,1994-02-28,23.125,23.125,22.5,22.625,4.2228,14500
21,1994-03-01,22.625,23.25,22.5,23.0,4.2928,74900
22,1994-03-02,23.25,23.75,23.0,23.5,4.3861,21700
23,1994-03-03,23.5,23.5,23.0,23.0,4.2928,8600
24,1994-03-04,23.25,23.25,22.75,23.0,4.2928,5000
25,1994-03-07,22.75,23.125,22.75,22.875,4.2695,13200
26,1994-03-08,22.75,22.75,22.25,22.625,4.2228,9800
27,1994-03-09,22.625,22.625,22.5,22.5,4.1995,38700
28,1994-03-10,22.375,22.5,22.25,22.5,4.1995,28800
29,1994-03-11,22.125,22.125,22.0,22.0,4.1061,5800
30,1994-03-14,22.0,23.75,22.0,23.25,4.3394,59900
31,1994-03-15,23.5,23.5,22.875,22.875,4.2695,4400
32,1994-03-16,23.0,23.5,23.0,23.375,4.3628,10800
33,1994-03-17,23.25,23.5,23.25,23.5,4.3861,18900
34,1994-03-18,23.625,23.625,23.25,23.25,4.3394,7400
35,1994-03-21,23.25,23.25,23.125,23.25,4.3394,4100
36,1994-03-22,23.125,23.625,23.125,23.25,4.3394,33600
37,1994-03-23,23.375,23.5,23.25,23.375,4.3628,1900
38,1994-03-24,23.5,24.0,23.5,24.0,4.4794,18400
39,1994-03-25,23.75,24.0,23.75,23.75,4.4328,5300
40,1994-03-28,23.625,23.625,23.25,23.5,4.3861,11500
41,1994-03-29,23.875,23.875,23.25,23.25,4.3394,4200
42,1994-03-30,23.125,23.125,23.0,23.125,4.3161,20600
43,1994-03-31,23.0,23.125,23.0,23.125,4.3161,14200
44,1994-04-04,23.0,23.125,22.75,22.75,4.2461,29900
45,1994-04-05,23.0,23.125,22.75,23.125,4.3161,1500
46,1994-04-06,23.125,23.125,23.0,23.125,4.3161,5100
47,1994-04-07,23.25,23.5,23.25,23.375,4.3628,3800
48,1994-04-08,23.5,23.5,23.125,23.375,4.3628,9900
49,1994-04-11,23.375,23.5,23.375,23.5,4.3861,900
50,1994-04-12,23.25,23.25,23.25,23.25,4.3394,1600
51,1994-04-13,23.5,23.5,23.25,23.25,4.3394,7100
52,1994-04-14,23.375,23.375,23.25,23.375,4.3628,1300
53,1994-04-15,23.375,23.75,23.25,23.75,4.4328,10800
54,1994-04-18,23.5,23.625,23.375,23.375,4.3628,9900
