,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,12.625,13.0,12.625,12.625,1.6916,275391
1,1984-11-06,12.8751,12.8751,12.5001,12.8751,1.725,345703
2,1984-11-07,12.75,12.75,12.5001,12.75,1.7083,201050
3,1984-11-08,12.8751,12.8751,12.625,12.8751,1.725,430298
4,1984-11-09,12.75,13.125,12.625,12.75,1.7083,791748
5,1984-11-12,12.8751,12.8751,12.75,12.8751,1.725,367676
6,1984-11-13,12.625,12.8751,12.5001,12.625,1.6916,243896
7,1984-11-14,12.5001,12.625,12.375,12.5001,1.6748,301758
8,1984-11-15,12.5001,12.75,12.5001,12.5001,1.6748,393677
9,1984-11-16,12.375,12.625,12.375,12.375,1.6581,307983
10,1984-11-19,11.7501,12.375,11.3751,11.7501,1.5743,505005
11,1984-11-20,11.7501,11.7501,11.3751,11.7501,1.5743,282349
12,1984-11-21,11.7501,11.875,11.5,11.7501,1.5743,1484619
13,1984-11-23,12.0,12.1251,11.7501,12.0,1.6078,162231
14,1984-11-26,12.0,12.1251,11.875,12.0,1.6078,136963
15,1984-11-27,11.625,12.0,11.625,11.625,1.5576,102539
16,1984-11-28,11.5,11.7501,11.3751,11.5,1.5408,207642
17,1984-11-29,11.25,11.5,11.25,11.25,1.5073,232910
18,1984-11-30,11.5,11.625,11.25,11.5,1.5408,190430
19,1984-12-03,11.25,11.5,11.25,11.25,1.5073,255249
20,1984-12-04,11.125,11.3751,11.125,11.125,1.4906,229248
21,1984-12-05,11.125,11.3751,11.0001,11.125,1.4906,245728
22,1984-12-06,11.625,11.7501,10.5,11.625,1.5576,1843140
23,1984-12-07,11.25,12.0,11.125,11.25,1.5073,1842041
24,1984-12-10,11.3751,11.3751,10.75,11.3751,1.5241,410522
25,1984-12-11,11.7501,11.7501,11.25,11.7501,1.5743,241333
26,1984-12-12,11.7501,11.7501,11.5,11.7501,1.5743,146118
27,1984-12-13,11.7501,11.7501,11.625,11.7501,1.5743,219727
28,1984-12-14,11.625,11.7501,11.5,11.625,1.5576,208008
29,1984-12-17,11.5,11.625,11.3751,11.5,1.5408,337280
30,1984-12-18,11.875,11.875,11.5,11.875,1.5911,405395
31,1984-12-19,11.7501,12.1251,11.625,11.7501,1.5743,1346924
32,1984-12-20,11.625,11.875,11.625,11.625,1.5576,143921
33,1984-12-21,11.25,11.625,11.0001,11.25,1.5073,290772
34,1984-12-24,11.3751,11.5,11.0001,11.3751,1.5241,189331
35,1984-12-26,11.3751,11.3751,11.125,11.3751,1.5241,140991
36,1984-12-27,10.875,11.25,9.75,10.875,1.4571,1028687
