,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1993-03-19,14.8752,16.251,14.5014,14.8752,0.1919,89940359
1,1993-03-22,14.5014,14.626,14.1246,14.2516,0.1839,13600408
2,1993-03-23,14.2516,14.5014,14.1246,14.2516,0.1839,8301486
3,1993-03-24,14.5014,14.626,14.1246,14.5014,0.1871,3663224
4,1993-03-25,14.7526,15.2506,14.626,15.1264,0.1952,4250982
5,1993-03-26,15.2506,16.1254,15.1264,15.6274,0.2016,8315155
6,1993-03-29,15.8742,15.8742,15.6274,15.7518,0.2032,7362899
7,1993-03-30,15.7518,16.1254,15.5008,16.0012,0.2064,3809025
8,1993-03-31,16.251,16.251,15.7518,16.1254,0.2081,3321506
9,1993-04-01,15.8742,16.251,15.7518,16.0012,0.2064,1421550
10,1993-04-02,16.251,16.251,15.7518,16.251,0.2097,1904513
11,1993-04-05,16.251,16.251,15.7518,16.1254,0.2081,441956
12,1993-04-06,16.0012,16.1254,15.7518,15.7518,0.2032,874800
13,1993-04-07,16.1254,16.1254,15.7518,16.1254,0.2081,1366875
14,1993-04-08,16.1254,16.251,15.7518,16.251,0.2097,947700
15,1993-04-12,16.251,16.251,15.8742,15.8742,0.2048,186806
16,1993-04-13,16.251,17.0002,16.0012,16.5022,0.2129,2022975
17,1993-04-14,16.5022,17.875,16.5022,17.1258,0.221,6187386
18,1993-04-15,17.2504,17.2504,16.251,16.5022,0.2129,3544763
19,1993-04-16,16.7524,16.876,16.5022,16.7524,0.2161,2063981
20,1993-04-19,16.7524,16.7524,16.1254,16.251,0.2097,1672143
21,1993-04-20,16.251,16.251,15.7518,16.251,0.2097,2360137
22,1993-04-21,16.0012,17.2504,15.7518,16.876,0.2177,3166593
23,1993-04-22,17.0002,18.2518,16.7524,17.7508,0.229,2984344
24,1993-04-23,18.2518,18.7498,17.7508,18.7498,0.2419,1868062
25,1993-04-26,18.502,19.251,18.0006,18.8754,0.2435,3521981
26,1993-04-27,18.8754,19.7502,18.6262,19.7502,0.2548,2916000
27,1993-04-28,19.7502,21.2506,19.7502,21.0006,0.271,7900536
28,1993-04-29,21.0006,21.2506,19.0,20.0014,0.2581,8214917
29,1993-04-30,20.5026,21.2506,20.0014,21.2506,0.2742,5216905
30,1993-05-03,21.0006,21.5016,21.0006,21.5016,0.2774,1795162
31,1993-05-04,21.2506,21.5016,20.5026,20.5026,0.2645,1612912
32,1993-05-05,20.5026,21.2506,20.5026,20.7496,0.2677,1025156
33,1993-05-06,21.2506,21.2506,20.7496,21.2506,0.2742,154912
34,1993-05-07,21.2506,22.5018,21.2506,22.2522,0.2871,1895400
35,1993-05-10,22.2522,23.5018,22.2522,23.5018,0.3032,5900343
36,1993-05-11,23.5018,23.5018,22.7502,23.5018,0.3032,2847656
37,1993-05-12,23.5018,23.5018,23.0002,23.5018,0.3032,1854393
38,1993-05-13,23.5018,23.5018,22.2522,22.2522,0.2871,2574282
39,1993-05-14,22.2522,23.0002,22.2522,22.5018,0.2903,2328243
40,1993-05-17,22.5018,23.5018,22.5018,23.2512,0.3,596869
41,1993-05-18,23.5018,24.2514,23.5018,24.2514,0.3129,1931850
42,1993-05-19,24.2514,24.2514,23.7508,23.7508,0.3064,2009306
43,1993-05-20,24.4998,24.4998,23.7508,24.0018,0.3097,984150
44,1993-05-21,24.4998,24.4998,23.7508,24.4998,0.3161,369056
45,1993-05-24,24.2514,24.2514,22.5018,22.876,0.2952,1590131
46,1993-05-25,22.7502,23.0002,22.7502,23.0002,0.2968,1170956
47,1993-05-26,22.7502,23.5018,22.7502,23.5018,0.3032,405506
48,1993-05-27,23.127,23.5018,22.7502,23.2512,0.3,1603800
49,1993-05-28,22.7502,23.2512,22.7502,23.2512,0.3,223256
50,1993-06-01,22.7502,23.2512,22.7502,22.7502,0.2935,437400
51,1993-06-02,23.2512,23.2512,22.7502,22.7502,0.2935,132131
52,1993-06-03,22.7502,23.2512,22.7502,22.7502,0.2935,419175
53,1993-06-04,22.7502,23.2512,21.0006,21.5016,0.2774,2715525
54,1993-06-07,21.5016,22.0012,21.2506,22.0012,0.2839,2355582
55,1993-06-08,21.5016,21.5016,19.501,20.2516,0.2613,5039212
56,1993-06-09,21.0006,21.5016,20.2516,21.0006,0.271,2269012
57,1993-06-10,21.0006,21.751,21.0006,21.5016,0.2774,405506
58,1993-06-11,22.2522,23.5018,22.0012,23.5018,0.3032,1344094
59,1993-06-14,23.5018,24.4998,23.0002,24.2514,0.3129,7176092
60,1993-06-15,24.4998,24.7498,24.0018,24.4998,0.3161,2114101
