,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1992-04-01,15.0,15.75,15.0,15.375,6.8333,4215825
1,1992-04-02,15.375,15.75,15.2501,15.2501,6.7778,439875
2,1992-04-03,15.2501,15.5,15.2501,15.2501,6.7778,553275
3,1992-04-06,15.2501,15.5,15.2501,15.2501,6.7778,389250
4,1992-04-07,15.2501,15.75,15.2501,15.2501,6.7778,497250
5,1992-04-08,15.2501,15.2501,14.5001,14.5001,6.4444,220950
6,1992-04-09,14.5001,15.2501,14.5001,15.2501,6.7778,284850
7,1992-04-10,15.0,15.2501,14.75,15.2501,6.7778,114300
8,1992-04-13,15.0,15.2501,15.0,15.125,6.7222,38475
9,1992-04-14,15.0,15.5,15.0,15.5,6.8889,263250
10,1992-04-15,15.2501,15.75,15.2501,15.75,7.0,496800
11,1992-04-16,15.2501,16.25,15.2501,15.75,7.0,262350
12,1992-04-20,15.75,16.25,15.75,15.75,7.0,33975
13,1992-04-21,15.75,16.5,15.75,16.25,7.2222,22725
14,1992-04-22,15.75,16.7501,15.75,16.7501,7.4444,142875
15,1992-04-23,16.0001,16.7501,16.0001,16.25,7.2222,32400
16,1992-04-24,16.25,16.25,16.0001,16.125,7.1667,84150
17,1992-04-27,16.0001,16.0001,16.0001,16.0001,7.1111,675
18,1992-04-28,16.0001,16.25,16.0001,16.0001,7.1111,51975
19,1992-04-29,16.0001,16.0001,16.0001,16.0001,7.1111,5625
20,1992-04-30,16.25,16.25,16.0001,16.0001,7.1111,53100
21,1992-05-01,16.125,16.7501,16.0001,16.0001,7.1111,39375
22,1992-05-04,16.0001,16.625,16.0001,16.625,7.3889,41400
23,1992-05-05,16.7501,16.7501,16.0001,16.0001,7.1111,41625
24,1992-05-06,16.0001,16.125,16.0001,16.0001,7.1111,45675
25,1992-05-07,16.0001,16.7501,16.0001,16.125,7.1667,249075
26,1992-05-08,16.0001,16.0001,16.0001,16.0001,7.1111,900
27,1992-05-11,16.0001,16.7501,16.0001,16.625,7.3889,111600
28,1992-05-12,16.7501,16.7501,16.3751,16.5,7.3333,22950
29,1992-05-13,16.3751,16.5,16.3751,16.5,7.3333,34875
30,1992-05-14,16.7501,17.0,16.25,16.25,7.2222,9000
31,1992-05-15,17.0,17.0,16.25,16.25,7.2222,49275
32,1992-05-18,16.25,16.25,16.25,16.25,7.2222,4500
33,1992-05-19,16.5,16.5,16.25,16.5,7.3333,56925
34,1992-05-20,16.25,16.25,16.25,16.25,7.2222,675
35,1992-05-21,16.25,16.7501,16.25,16.5,7.3333,12600
36,1992-05-22,16.25,16.5,16.125,16.5,7.3333,11250
37,1992-05-26,16.0001,16.0001,16.0001,16.0001,7.1111,225
38,1992-05-27,16.5,16.5,16.125,16.125,7.1667,74475
39,1992-05-28,16.0001,16.25,16.0001,16.0001,7.1111,30600
40,1992-05-29,16.25,16.25,16.0001,16.0001,7.1111,62100
41,1992-06-01,16.0001,16.0001,15.5,15.5,6.8889,43200
42,1992-06-02,15.5,16.0001,15.0,15.2501,6.7778,43875
43,1992-06-03,15.75,15.75,15.375,15.6251,6.9444,144000
44,1992-06-04,15.5,15.6251,15.5,15.6251,6.9444,112500
45,1992-06-08,15.375,15.75,15.0,15.375,6.8333,1800
46,1992-06-09,15.0,15.0,14.75,14.75,6.5556,13275
47,1992-06-10,15.0,15.0,14.75,14.75,6.5556,39825
48,1992-06-11,14.8751,14.8751,14.5001,14.5001,6.4444,69750
49,1992-06-12,15.2501,15.2501,14.5001,14.5001,6.4444,45225
50,1992-06-16,14.5001,14.5001,14.5001,14.5001,6.4444,225
51,1992-06-17,14.5001,14.5001,14.5001,14.5001,6.4444,450
52,1992-06-18,15.0,15.0,13.7501,13.7501,6.1111,45450
53,1992-06-19,13.7501,13.7501,12.75,13.125,5.8333,51750
54,1992-06-22,12.75,12.75,11.75,11.75,5.2222,218250
55,1992-06-23,12.75,13.0001,12.2501,12.2501,5.4444,36225
56,1992-06-24,13.25,13.25,12.5,13.25,5.8889,86175
57,1992-06-25,13.25,13.25,12.6251,13.25,5.8889,40275
58,1992-06-26,13.25,13.25,12.6251,12.75,5.6667,113175
59,1992-06-29,12.0,12.5,10.875,11.5001,5.1111,534825
60,1992-06-30,12.0,12.0,11.1251,11.5001,5.1111,81225
61,1992-07-01,12.0,12.0,11.75,11.8751,5.2778,50850
62,1992-07-02,12.75,13.0001,12.2501,13.0001,5.7778,256500
63,1992-07-06,13.0001,13.0001,13.0001,13.0001,5.7778,2250
64,1992-07-07,13.0001,13.25,12.75,12.75,5.6667,111375
65,1992-07-08,12.2501,12.75,11.75,12.75,5.6667,7425
66,1992-07-09,11.75,12.2501,11.75,12.2501,5.4444,16650
67,1992-07-13,12.2501,12.75,12.0,12.75,5.6667,18675
68,1992-07-14,12.0,12.75,12.0,12.75,5.6667,6750
69,1992-07-15,12.75,12.75,12.0,12.2501,5.4444,64350
70,1992-07-16,12.75,12.75,12.75,12.75,5.6667,1350
71,1992-07-17,12.75,12.75,12.75,12.75,5.6667,6750
72,1992-07-20,12.5,12.5,12.0,12.0,5.3333,7425
73,1992-07-21,12.75,13.25,12.75,12.75,5.6667,7650
74,1992-07-22,13.5,13.5,13.5,13.5,6.0,6075
75,1992-07-23,13.7501,14.25,13.7501,14.25,6.3333,6075
76,1992-07-24,14.25,14.25,14.25,14.25,6.3333,12375
77,1992-07-27,13.5,14.75,13.25,14.75,6.5556,52875
78,1992-07-28,15.0,15.75,14.75,14.75,6.5556,87750
79,1992-07-29,14.75,15.0,14.5001,14.5001,6.4444,84600
80,1992-07-30,15.0,15.0,13.25,14.0,6.2222,47250
81,1992-07-31,13.25,14.0,13.0001,13.25,5.8889,40500
82,1992-08-03,13.0001,13.5,12.75,12.75,5.6667,54675
83,1992-08-04,12.75,13.0001,12.75,13.0001,5.7778,6075
84,1992-08-05,12.2501,13.0001,12.2501,13.0001,5.7778,11025
85,1992-08-06,13.0001,13.0001,13.0001,13.0001,5.7778,900
86,1992-08-07,12.75,13.25,12.5,12.75,5.6667,44325
87,1992-08-10,12.75,13.5,12.75,13.5,6.0,2700
88,1992-08-11,13.5,13.5,13.125,13.5,6.0,6075
89,1992-08-12,12.5,13.0001,12.5,13.0001,5.7778,15975
90,1992-08-13,13.0001,13.0001,12.5,12.5,5.5556,13500
91,1992-08-14,13.0001,13.0001,12.5,12.5,5.5556,13050
92,1992-08-17,12.5,12.75,12.5,12.6251,5.6111,37125
