,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2009-02-11,26.0,27.07,25.9,26.43,26.43,21745900
1,2009-02-12,26.36,27.19,26.0,27.16,27.16,3970800
2,2009-02-13,26.77,27.19,26.67,26.81,26.81,1064800
3,2009-02-17,26.44,27.63,26.3,27.26,27.26,1264600
4,2009-02-18,27.63,28.22,27.2,27.95,27.95,1465800
5,2009-02-19,27.91,28.98,27.88,28.56,28.56,1156200
6,2009-02-20,28.43,29.63,27.87,29.63,29.63,1547800
7,2009-02-23,29.66,29.85,27.27,27.3,27.3,1100500
8,2009-02-24,27.41,28.0,27.06,27.49,27.49,911300
9,2009-02-25,27.82,28.35,26.85,27.92,27.92,985000
10,2009-02-26,28.27,28.3,27.0,27.56,27.56,601600
11,2009-02-27,27.35,27.85,27.02,27.59,27.59,457000
12,2009-03-02,27.6,27.84,26.86,27.0,27.0,585300
13,2009-03-03,27.26,27.3,26.0,26.44,26.44,750100
14,2009-03-04,26.97,27.45,26.72,27.0,27.0,544600
15,2009-03-05,27.0,27.19,26.61,27.03,27.03,910600
16,2009-03-06,26.9,27.18,26.25,26.44,26.44,526200
17,2009-03-09,26.25,27.1,26.12,26.36,26.36,166500
18,2009-03-10,26.37,27.13,26.3,26.46,26.46,251600
19,2009-03-11,26.25,26.98,26.16,26.58,26.58,812200
20,2009-03-12,26.36,28.02,26.35,27.98,27.98,1003600
21,2009-03-13,28.25,28.33,27.34,27.42,27.42,430200
22,2009-03-16,27.7,27.7,26.21,26.32,26.32,437400
23,2009-03-17,26.3,27.6,26.25,27.54,27.54,336800
24,2009-03-18,27.15,27.75,27.02,27.58,27.58,333700
25,2009-03-19,27.4,27.76,27.11,27.42,27.42,326700
26,2009-03-20,27.57,28.38,27.13,27.67,27.67,442200
27,2009-03-23,27.77,27.97,26.5,27.37,27.37,623400
28,2009-03-24,26.96,27.5,26.51,27.1,27.1,742300
29,2009-03-25,26.99,28.0,26.76,27.28,27.28,557200
30,2009-03-26,27.26,27.7,26.75,27.55,27.55,462300
31,2009-03-27,27.25,27.75,27.15,27.53,27.53,332000
32,2009-03-30,26.91,28.0,26.71,27.28,27.28,516600
33,2009-03-31,27.73,28.98,27.55,28.87,28.87,3027700
34,2009-04-01,28.86,28.86,27.685,27.88,27.88,760500
35,2009-04-02,28.38,28.43,27.08,27.35,27.35,517400
36,2009-04-03,27.48,27.58,27.06,27.35,27.35,370600
37,2009-04-06,27.05,28.08,26.81,28.05,28.05,353200
38,2009-04-07,27.55,28.33,27.11,27.15,27.15,664300
39,2009-04-08,27.57,27.57,26.84,26.9,26.9,378500
40,2009-04-09,27.1,27.21,26.26,26.6,26.6,789500
41,2009-04-13,26.84,27.0,26.2,26.48,26.48,394100
42,2009-04-14,26.43,27.36,26.15,26.5,26.5,377000
43,2009-04-15,26.74,26.84,26.0,26.61,26.61,754400
44,2009-04-16,26.65,27.32,26.46,27.0,27.0,228800
45,2009-04-17,27.14,27.14,26.36,26.47,26.47,658400
46,2009-04-20,26.38,26.38,25.72,26.22,26.22,354600
