,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,59.252,59.876,59.252,59.252,0.8798,63900
1,1980-03-18,58.252,58.876,57.752,58.252,0.8649,7200
2,1980-03-19,57.5,58.5,57.252,57.5,0.8537,8800
3,1980-03-20,57.5,58.376,57.0,57.5,0.8537,8300
4,1980-03-21,57.376,57.752,57.0,57.376,0.8519,25600
5,1980-03-24,57.128,58.0,57.128,57.128,0.8482,3600
6,1980-03-25,54.5,55.128,54.252,54.5,0.8092,11000
7,1980-03-26,54.876,55.5,54.628,54.876,0.8148,8600
8,1980-03-27,53.876,54.5,53.628,53.876,0.7999,3700
9,1980-03-28,54.0,54.0,53.752,54.0,0.8018,8200
10,1980-03-31,54.0,54.252,53.252,54.0,0.8018,31600
11,1980-04-01,53.752,54.0,53.752,53.752,0.7981,31800
12,1980-04-02,54.0,54.0,53.752,54.0,0.8018,43700
13,1980-04-03,54.128,54.376,54.0,54.128,0.8037,37600
14,1980-04-07,54.376,54.628,54.0,54.376,0.8074,5500
15,1980-04-08,55.628,55.628,54.5,55.628,0.826,14600
16,1980-04-09,56.376,56.5,56.0,56.376,0.837,10800
17,1980-04-10,58.0,58.5,57.0,58.0,0.8612,9400
18,1980-04-11,60.0,60.0,58.252,60.0,0.8908,3600
19,1980-04-14,57.628,59.376,57.628,57.628,0.8556,8900
20,1980-04-15,56.876,57.376,56.376,56.876,0.8445,20400
21,1980-04-16,56.376,56.876,56.252,56.376,0.837,33300
22,1980-04-17,56.752,56.876,56.376,56.752,0.8426,12900
23,1980-04-18,55.752,56.752,55.752,55.752,0.8278,21000
24,1980-04-21,55.5,55.752,55.5,55.5,0.824,4300
25,1980-04-22,56.752,56.752,55.252,56.752,0.8426,14200
26,1980-04-23,56.252,56.876,56.252,56.252,0.8352,11100
27,1980-04-24,55.876,56.0,55.5,55.876,0.8296,12900
28,1980-04-25,56.252,56.252,56.0,56.252,0.8352,13900
29,1980-04-28,56.0,56.628,55.752,56.0,0.8315,11500
30,1980-04-29,56.752,56.752,56.0,56.752,0.8426,9800
31,1980-04-30,56.628,56.752,56.252,56.628,0.8408,21000
32,1980-05-01,56.628,56.752,56.5,56.628,0.8408,6500
33,1980-05-02,56.0,56.5,56.0,56.0,0.8315,10900
34,1980-05-05,56.5,56.5,55.876,56.5,0.8389,7700
35,1980-05-06,56.128,56.376,56.0,56.128,0.8334,10900
36,1980-05-07,56.5,56.5,56.0,56.5,0.8389,20100
37,1980-05-08,55.876,56.5,55.876,55.876,0.8296,4700
38,1980-05-09,56.128,56.128,55.876,56.128,0.8334,43000
39,1980-05-12,56.0,56.0,55.752,56.0,0.8315,27600
40,1980-05-13,56.0,56.252,55.752,56.0,0.8315,7400
41,1980-05-14,56.128,56.5,56.0,56.128,0.8334,39500
42,1980-05-15,56.252,56.252,56.0,56.252,0.8352,22100
43,1980-05-16,57.628,57.628,56.252,57.628,0.8556,8300
44,1980-05-19,57.376,57.5,57.0,57.376,0.8519,22300
45,1980-05-20,57.0,57.252,57.0,57.0,0.8463,39200
46,1980-05-21,56.628,57.128,56.252,56.628,0.8408,17100
47,1980-05-22,56.752,57.0,56.376,56.752,0.8426,62700
48,1980-05-23,56.752,56.876,56.376,56.752,0.8426,100500
49,1980-05-27,57.252,57.5,56.752,57.252,0.85,22500
50,1980-05-28,58.5,58.5,57.5,58.5,0.8686,13900
