,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1985-07-02,20.0208,20.1948,20.0208,20.0208,0.0695,8604000
1,1985-07-03,19.9344,20.0496,19.9344,19.9344,0.0692,5124000
2,1985-07-05,20.0496,20.0496,19.9344,20.0496,0.0696,8707200
3,1985-07-08,19.8192,19.992,19.7028,19.8192,0.0688,9009600
4,1985-07-09,19.7604,19.8192,19.7028,19.7604,0.0686,8676000
5,1985-07-10,19.7028,19.8768,19.7028,19.7028,0.0684,5258400
6,1985-07-11,19.5588,19.6164,19.5,19.5588,0.0679,13219200
7,1985-07-12,19.1532,19.4424,19.0956,19.1532,0.0665,13495200
8,1985-07-15,19.2984,19.4136,19.182,19.2984,0.067,14332800
9,1985-07-16,19.674,19.7316,19.3272,19.674,0.0683,14018400
10,1985-07-17,19.7604,19.8768,19.5876,19.7604,0.0686,15122400
11,1985-07-18,19.6452,19.7604,19.6452,19.6452,0.0682,12307200
12,1985-07-19,19.7316,19.7316,19.4424,19.7316,0.0685,18184799
13,1985-07-22,19.6164,19.848,19.6164,19.6164,0.0681,6516000
14,1985-07-23,19.3272,19.674,19.3272,19.3272,0.0671,14260800
15,1985-07-24,19.1532,19.3272,18.9792,19.1532,0.0665,12799200
16,1985-07-25,19.2696,19.2696,19.038,19.2696,0.0669,7572000
17,1985-07-26,19.1532,19.2108,19.1532,19.1532,0.0665,9964800
18,1985-07-29,19.0956,19.2108,19.0956,19.0956,0.0663,7778400
19,1985-07-30,19.2396,19.2396,19.1244,19.2396,0.0668,8930400
20,1985-07-31,19.2984,19.356,19.2984,19.2984,0.067,8119200
21,1985-08-01,19.5288,19.5288,19.356,19.5288,0.0678,13524000
22,1985-08-02,19.6164,19.6164,19.5,19.6164,0.0681,5872800
23,1985-08-05,19.4712,19.5876,19.356,19.4712,0.0676,6194400
24,1985-08-06,19.4136,19.5288,19.4136,19.4136,0.0674,8205600
25,1985-08-07,19.4136,19.4712,19.356,19.4136,0.0674,3240000
26,1985-08-08,19.7316,19.7892,19.2696,19.7316,0.0685,6775200
27,1985-08-09,19.4424,19.7316,19.4424,19.4424,0.0675,6919200
28,1985-08-12,19.4712,19.5876,19.4136,19.4712,0.0676,6513600
29,1985-08-13,19.2696,19.5,19.1532,19.2696,0.0669,8224800
30,1985-08-14,19.038,19.3848,19.038,19.038,0.0661,6009600
31,1985-08-15,18.7776,19.0668,18.6036,18.7776,0.0652,8356800
32,1985-08-16,18.7776,18.7776,18.7188,18.7776,0.0652,10092000
33,1985-08-19,18.7188,18.7776,18.6612,18.7188,0.065,3866400
34,1985-08-20,18.8928,18.8928,18.7776,18.8928,0.0656,6460800
35,1985-08-21,19.0092,19.0092,18.8928,19.0092,0.066,6115200
36,1985-08-22,18.7776,19.0092,18.7776,18.7776,0.0652,10262402
37,1985-08-23,18.9504,18.9504,18.7776,18.9504,0.0658,3691200
38,1985-08-26,18.9504,19.0668,18.8928,18.9504,0.0658,6638400
39,1985-08-27,19.0092,19.0668,18.9504,19.0092,0.066,7605600
40,1985-08-28,18.9792,18.9792,18.9216,18.9792,0.0659,3688800
41,1985-08-29,18.8352,18.9504,18.7776,18.8352,0.0654,3744000
42,1985-08-30,18.9216,18.9216,18.8064,18.9216,0.0657,4132800
43,1985-09-03,18.69,18.9216,18.6324,18.69,0.0649,7000800
44,1985-09-04,18.7188,18.7776,18.6036,18.7188,0.065,5896800
45,1985-09-05,18.8064,18.8064,18.69,18.8064,0.0653,7284000
46,1985-09-06,18.9216,18.9216,18.864,18.9216,0.0657,16322400
47,1985-09-09,18.6036,18.8928,18.546,18.6036,0.0646,16874400
48,1985-09-10,18.4584,18.5172,18.2856,18.4584,0.0677,7238400
49,1985-09-11,18.3432,18.5748,18.1116,18.3432,0.0673,7293600
50,1985-09-12,17.8224,18.2856,17.7648,17.8224,0.0654,8479200
51,1985-09-13,17.5044,17.7936,17.3304,17.5044,0.0642,13533600
52,1985-09-16,17.7072,17.7072,17.5332,17.7072,0.065,5606400
53,1985-09-17,17.88,17.9964,17.7072,17.88,0.0656,8100000
54,1985-09-18,17.9676,18.0828,17.8512,17.9676,0.0659,10322402
55,1985-09-19,17.8224,17.88,17.6484,17.8224,0.0654,5997600
56,1985-09-20,17.6484,17.8224,17.6484,17.6484,0.0648,6312000
57,1985-09-23,17.9676,18.0252,17.8512,17.9676,0.0659,7200000
58,1985-09-24,17.7936,18.0252,17.7936,17.7936,0.0653,5712000
59,1985-09-25,17.562,17.8512,17.2728,17.562,0.0644,7886400
60,1985-09-26,17.5044,17.5044,17.3304,17.5044,0.0642,7821600
61,1985-09-30,17.3592,17.3592,16.9548,17.3592,0.0637,17731199
62,1985-10-01,18.0252,18.0252,17.3304,18.0252,0.0661,15141600
63,1985-10-02,17.6484,17.9964,17.5332,17.6484,0.0648,9235200
64,1985-10-03,17.4168,17.5908,17.3592,17.4168,0.0639,6619200
65,1985-10-04,17.0412,17.388,16.9836,17.0412,0.0625,6801600
66,1985-10-07,16.8384,17.07,16.8384,16.8384,0.0618,10504800
67,1985-10-08,16.8384,16.896,16.7808,16.8384,0.0618,5784000
68,1985-10-09,16.8672,16.9836,16.8672,16.8672,0.0619,5500800
69,1985-10-10,16.752,16.8672,16.6944,16.752,0.0615,6837600
70,1985-10-11,16.926,16.926,16.752,16.926,0.0621,7824000
71,1985-10-14,17.0124,17.0124,16.896,17.0124,0.0624,3312000
72,1985-10-15,17.244,17.244,16.9548,17.244,0.0633,10070400
73,1985-10-16,17.5908,17.5908,17.07,17.5908,0.0645,8817600
74,1985-10-17,17.4468,17.6196,17.3304,17.4468,0.064,15014400
75,1985-10-18,17.4168,17.4168,17.244,17.4168,0.0639,11016000
76,1985-10-21,17.1276,17.3592,17.1276,17.1276,0.0628,4142400
77,1985-10-22,17.244,17.3016,17.07,17.244,0.0633,5512800
78,1985-10-23,17.1864,17.4168,17.1276,17.1864,0.0631,5810400
79,1985-10-24,17.1276,17.1864,17.1276,17.1276,0.0628,6468000
80,1985-10-25,16.9548,17.1276,16.8384,16.9548,0.0622,6936000
81,1985-10-28,16.8672,16.8672,16.8096,16.8672,0.0619,5937600
82,1985-10-29,17.07,17.244,16.7808,17.07,0.0626,12561600
83,1985-10-30,17.07,17.07,17.0124,17.07,0.0626,6758400
84,1985-10-31,16.9836,17.0988,16.9836,16.9836,0.0623,7389600
85,1985-11-01,16.9836,16.9836,16.8096,16.9836,0.0623,13228800
86,1985-11-04,16.8384,17.1276,16.7232,16.8384,0.0618,13238400
87,1985-11-05,16.896,16.9548,16.8384,16.896,0.062,9484800
88,1985-11-06,17.0988,17.0988,16.8672,17.0988,0.0627,8292000
89,1985-11-07,17.2728,17.3304,17.1564,17.2728,0.0634,14076000
90,1985-11-08,17.562,17.6196,17.2728,17.562,0.0644,10226400
91,1985-11-11,17.6484,17.6484,17.5332,17.6484,0.0648,11688000
92,1985-11-12,17.9676,18.0828,17.736,17.9676,0.0659,14599200
93,1985-11-13,17.7936,17.9676,17.6772,17.7936,0.0653,15912000
94,1985-11-14,17.7936,17.7936,17.6772,17.7936,0.0653,9278400
95,1985-11-15,17.5044,17.736,17.4468,17.5044,0.0642,14558400
96,1985-11-18,17.4468,17.562,17.388,17.4468,0.064,7274400
97,1985-11-19,17.5908,17.5908,17.4168,17.5908,0.0645,10224000
98,1985-11-20,17.5908,17.7648,17.5908,17.5908,0.0645,9921600
99,1985-11-21,17.5332,17.88,17.5332,17.5332,0.0643,17123997
100,1985-11-22,17.5908,17.8224,17.5908,17.5908,0.0645,15055200
101,1985-11-25,17.5332,17.7072,17.5332,17.5332,0.0643,10272000
102,1985-11-26,17.6196,17.736,17.562,17.6196,0.0646,16058400
103,1985-11-27,18.1404,18.1404,17.736,18.1404,0.0666,15854400
104,1985-11-29,18.4008,18.4008,18.1692,18.4008,0.0675,8160000
105,1985-12-02,18.2568,18.6036,18.2568,18.2568,0.067,14925600
106,1985-12-03,18.2568,18.3144,18.198,18.2568,0.067,7252800
107,1985-12-04,18.4884,18.6036,18.2568,18.4884,0.0678,10860000
108,1985-12-05,18.69,18.8064,18.6324,18.69,0.0686,11736000
109,1985-12-06,18.4008,18.69,18.3432,18.4008,0.0675,15417600
110,1985-12-09,18.6036,18.6036,18.4296,18.6036,0.0683,26459999
111,1985-12-10,18.6324,18.6324,18.4584,18.6324,0.0722,10572000
112,1985-12-11,18.4884,18.7188,18.4884,18.4884,0.0717,14263200
113,1985-12-12,18.6036,18.6612,18.4296,18.6036,0.0721,11726400
114,1985-12-13,19.7316,19.9632,18.69,19.7316,0.0765,47255999
115,1985-12-16,20.2812,20.6292,20.0496,20.2812,0.0786,44457599
116,1985-12-17,20.0796,20.31,20.0796,20.0796,0.0779,17378400
117,1985-12-18,19.7604,20.2236,19.7604,19.7604,0.0766,14085600
118,1985-12-19,19.7604,19.8768,19.5876,19.7604,0.0766,17870399
119,1985-12-20,20.0208,20.4264,19.7892,20.0208,0.0776,24628799
120,1985-12-23,21.0048,21.0048,19.9056,21.0048,0.0814,18530399
121,1985-12-24,20.5416,21.0048,20.484,20.5416,0.0797,17481599
122,1985-12-26,20.5416,20.6004,20.3688,20.5416,0.0797,3753600
123,1985-12-27,20.658,20.7732,20.6004,20.658,0.0801,6252000
124,1985-12-30,20.8308,20.8308,20.658,20.8308,0.0808,6357600
125,1985-12-31,20.4552,20.8608,20.4552,20.4552,0.0793,5594400
126,1986-01-02,20.4552,20.4552,20.34,20.4552,0.0793,17215200
127,1986-01-03,20.6004,20.658,20.484,20.6004,0.0799,4728000
