,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2003-07-02,21.0,21.24,20.0,20.0,13.3333,8133000
1,2003-07-03,20.35,20.65,20.15,20.6,13.7333,434400
2,2003-07-07,20.6,21.5,20.6,21.5,14.3333,1237950
3,2003-07-08,22.2,22.6,21.9,21.95,14.6333,955350
4,2003-07-09,21.95,22.5,21.6,22.5,15.0,454200
5,2003-07-10,22.5,23.0,22.3,22.5,15.0,488400
6,2003-07-11,22.35,22.75,21.9,22.0,14.6667,170100
7,2003-07-14,22.0,22.7,22.0,22.57,15.0467,428400
8,2003-07-15,22.5,23.15,22.4,23.0,15.3333,199950
9,2003-07-16,23.1,23.1,22.9,22.97,15.3133,281250
10,2003-07-17,22.95,23.2,22.7,23.2,15.4667,204450
11,2003-07-18,23.25,23.55,23.13,23.55,15.7,179550
12,2003-07-21,23.6,23.9,23.51,23.89,15.9267,88800
13,2003-07-22,23.9,24.25,23.75,24.25,16.1667,168900
14,2003-07-23,24.5,24.99,24.1,24.7,16.4667,204150
15,2003-07-24,25.3,25.3,23.75,24.1,16.0667,159150
16,2003-07-25,24.35,24.35,23.85,24.05,16.0333,68400
17,2003-07-28,24.1,24.14,23.4,24.14,16.0933,140700
18,2003-07-29,24.14,24.14,23.85,24.0,16.0,30000
19,2003-07-30,24.0,25.1,23.9,25.0,16.6667,72000
20,2003-07-31,25.25,25.25,23.7,23.7,15.8,95100
21,2003-08-01,23.6,23.7,23.11,23.38,15.5867,170100
22,2003-08-04,23.3,23.3,22.5,23.0,15.3333,224400
23,2003-08-05,22.8,23.05,22.6,22.9,15.2667,140850
24,2003-08-06,22.9,22.95,21.75,22.05,14.7,281250
25,2003-08-07,22.01,22.45,21.95,22.45,14.9667,183750
26,2003-08-08,22.45,23.0,22.45,22.95,15.3,34950
27,2003-08-11,22.9,22.9,21.72,22.3,14.8667,547800
28,2003-08-12,22.7,23.2,21.05,21.6,14.4,448950
29,2003-08-13,21.85,22.04,21.3,21.49,14.3267,345900
30,2003-08-14,21.45,21.5,21.34,21.35,14.2333,136050
31,2003-08-15,21.4,21.7,21.39,21.55,14.3667,95250
32,2003-08-18,21.6,22.7,21.6,22.3,14.8667,209550
33,2003-08-19,22.55,23.25,22.0,23.15,15.4333,219600
34,2003-08-20,23.25,23.6,23.2,23.6,15.7333,44700
35,2003-08-21,23.75,24.1,23.6,23.8,15.8667,161700
36,2003-08-22,24.15,24.2,23.75,23.95,15.9667,165300
