,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2004-11-19,9.06,9.93,8.5,9.84,8.6384,3904683
1,2004-11-22,9.9,11.0,9.51,9.62,8.4452,727953
2,2004-11-23,9.5,9.75,8.76,9.38,8.2345,505771
3,2004-11-24,9.5,10.0,9.5,9.779,8.5848,319264
4,2004-11-26,9.3,9.95,9.25,9.8,8.6033,65554
5,2004-11-29,10.0,10.1,9.46,9.799,8.6024,130749
6,2004-11-30,9.8,9.99,9.31,9.88,8.6735,194880
7,2004-12-01,9.5,10.22,9.5,9.99,8.7701,209833
8,2004-12-02,10.03,11.0,9.97,10.85,9.525,337369
9,2004-12-03,10.99,11.35,10.58,11.14,9.7796,288079
10,2004-12-06,11.39,11.68,11.0,11.13,9.7708,192600
11,2004-12-07,11.38,11.38,10.64,10.91,9.5777,195907
12,2004-12-08,10.96,11.2,10.51,10.9,9.5689,78526
13,2004-12-09,10.8,10.96,10.53,10.81,9.4899,40909
14,2004-12-10,10.71,10.71,10.15,10.41,9.1388,86078
15,2004-12-13,10.1,10.97,9.88,10.33,9.0685,77462
16,2004-12-14,10.85,10.85,10.1,10.23,8.9807,29777
17,2004-12-15,10.0,10.45,9.9,10.05,8.8227,191425
18,2004-12-16,9.85,10.18,9.85,10.01,8.7876,108799
19,2004-12-17,9.9,10.15,9.32,9.5,8.3399,417827
20,2004-12-20,9.9,9.9,9.04,9.3,8.1643,173695
21,2004-12-21,9.0,9.755,9.0,9.47,8.3136,81374
22,2004-12-22,9.37,9.69,9.0,9.61,8.4365,49984
23,2004-12-23,9.6,9.9,9.59,9.765,8.5725,29904
24,2004-12-27,9.72,9.79,9.46,9.72,8.533,71995
25,2004-12-28,9.63,9.73,9.22,9.5,8.3399,58212
26,2004-12-29,9.4,9.65,9.4,9.5,8.3399,80080
27,2004-12-30,9.33,9.61,9.3,9.39,8.2433,33330
28,2004-12-31,9.39,9.55,9.25,9.3,8.1643,52972
29,2005-01-03,9.31,9.45,8.8,8.87,7.7868,91326
30,2005-01-04,8.73,9.05,8.59,8.65,7.5937,105854
31,2005-01-05,8.62,8.64,8.1,8.3,7.2864,76459
32,2005-01-06,8.25,8.69,8.15,8.24,7.2338,29683
