,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1962-01-02,29.8353,29.956,29.6693,29.8353,0.0836,633830
1,1962-01-03,28.5827,29.8353,28.3337,28.5827,0.0801,6564672
2,1962-01-04,28.2885,28.8317,28.1677,28.2885,0.0793,1199750
3,1962-01-05,27.3302,28.1677,27.1642,27.3302,0.0766,520646
4,1962-01-08,27.4132,27.5867,27.2472,27.4132,0.0768,1380845
5,1962-01-09,27.5414,27.8734,27.5037,27.5414,0.0772,1177114
6,1962-01-10,28.0017,28.1677,27.6244,28.0017,0.0785,882835
7,1962-01-11,28.0847,28.1677,27.7527,28.0847,0.0787,588557
8,1962-01-12,28.0017,28.3337,28.0017,28.0017,0.0785,407462
9,1962-01-15,27.7527,28.1677,27.6697,27.7527,0.0778,792288
10,1962-01-16,27.4132,27.5867,27.3302,27.4132,0.0768,384826
11,1962-01-17,26.7492,27.5037,26.7492,26.7492,0.075,498010
12,1962-01-18,27.2472,27.2472,26.5831,27.2472,0.0764,1177114
13,1962-01-19,27.7527,27.9187,27.3302,27.7527,0.0778,633830
14,1962-01-22,27.5037,27.8357,27.3302,27.5037,0.0771,837562
15,1962-01-23,27.3302,27.4132,27.1642,27.3302,0.0766,928109
16,1962-01-24,27.5414,27.5867,26.9982,27.5414,0.0772,996019
17,1962-01-25,27.4132,27.5414,27.3302,27.4132,0.0768,611194
18,1962-01-26,26.7492,27.3302,26.7492,26.7492,0.075,928109
19,1962-01-29,27.3302,27.4132,26.8774,27.3302,0.0766,747014
20,1962-01-30,27.2924,27.5414,27.2924,27.2924,0.0765,882835
21,1962-01-31,27.6697,27.6697,27.2472,27.6697,0.0776,814925
22,1962-02-01,27.8357,27.8357,27.5867,27.8357,0.078,498010
23,1962-02-02,27.8357,27.8357,27.6697,27.8357,0.078,430099
24,1962-02-05,27.7527,27.9187,27.5867,27.7527,0.0778,928109
25,1962-02-06,28.0847,28.0847,27.7904,28.0847,0.0787,1448755
26,1962-02-07,28.1225,28.1225,27.8734,28.1225,0.0788,588557
27,1962-02-08,28.1225,28.1677,27.8734,28.1225,0.0788,475373
28,1962-02-09,28.3715,28.3715,28.0017,28.3715,0.0795,679104
29,1962-02-12,28.2507,28.3337,28.1677,28.2507,0.0792,135821
30,1962-02-13,28.5827,28.5827,28.1677,28.5827,0.0801,1222387
31,1962-02-14,28.8317,28.8317,28.4997,28.8317,0.0808,1041293
32,1962-02-15,29.1637,29.1637,28.794,29.1637,0.0817,928109
33,1962-02-16,28.96,29.126,28.877,28.96,0.0812,769651
34,1962-02-19,28.8317,29.126,28.8317,28.8317,0.0808,1471392
35,1962-02-20,29.5863,29.5863,28.7487,29.5863,0.0829,1607213
36,1962-02-21,29.79,29.9183,29.6693,29.79,0.0835,950746
37,1962-02-23,29.9183,30.0843,29.6693,29.9183,0.0839,1154477
38,1962-02-26,29.6693,30.0843,29.624,29.6693,0.0832,2037312
39,1962-02-27,29.4203,29.5033,29.292,29.4203,0.0825,837562
40,1962-02-28,29.7523,29.7523,29.375,29.7523,0.0834,452736
41,1962-03-01,29.873,29.9183,29.707,29.873,0.0837,611194
42,1962-03-02,29.7523,29.9183,29.5863,29.7523,0.0834,905472
43,1962-03-05,29.7523,29.79,29.2467,29.7523,0.0834,905472
44,1962-03-06,30.0013,30.0843,29.7523,30.0013,0.0841,1109203
45,1962-03-07,30.205,30.205,29.9183,30.205,0.0847,1041293
46,1962-03-08,30.4163,30.4993,30.1673,30.4163,0.0853,294278
47,1962-03-09,30.6276,30.7483,30.1673,30.6276,0.0858,1177114
48,1962-03-12,30.6276,30.7483,30.4993,30.6276,0.0858,2444774
49,1962-03-13,30.9143,31.3369,30.7936,30.9143,0.0867,2241043
50,1962-03-14,30.9973,31.2463,30.9973,30.9973,0.0869,1539302
51,1962-03-15,31.1256,31.1633,30.9143,31.1256,0.0872,814925
52,1962-03-16,31.3369,31.3369,30.9973,31.3369,0.0878,928109
53,1962-03-19,31.2086,31.3369,31.1633,31.2086,0.0875,724378
54,1962-03-20,31.0426,31.4576,30.9973,31.0426,0.087,1267661
55,1962-03-21,30.7483,31.2916,30.7483,30.7483,0.0862,2059949
56,1962-03-22,31.1633,31.3369,30.8313,31.1633,0.0873,565920
57,1962-03-23,31.5406,31.6236,31.3369,31.5406,0.0884,1063930
58,1962-03-26,31.3369,31.6236,31.3369,31.3369,0.0878,769651
59,1962-03-27,31.2463,31.4199,31.1633,31.2463,0.0876,588557
60,1962-03-28,31.1633,31.2463,30.9973,31.1633,0.0873,1358208
61,1962-03-29,31.3369,31.3369,31.2463,31.3369,0.0878,294278
62,1962-03-30,31.4199,31.5029,31.1633,31.4199,0.0881,905472
63,1962-04-02,31.2916,31.4199,31.1633,31.2916,0.0877,520646
64,1962-04-03,30.7483,31.2086,30.7483,30.7483,0.0862,701741
65,1962-04-04,30.7483,30.8766,30.6653,30.7483,0.0862,747014
66,1962-04-05,30.7106,30.7483,30.5446,30.7106,0.0861,814925
67,1962-04-06,29.7523,30.6653,29.6693,29.7523,0.0834,656467
68,1962-04-09,29.541,29.7523,29.4203,29.541,0.0828,565920
69,1962-04-10,30.0843,30.1673,29.4203,30.0843,0.0843,611194
70,1962-04-11,29.9183,30.2503,29.9183,29.9183,0.0839,271642
71,1962-04-12,29.2467,29.7523,29.1637,29.2467,0.082,724378
72,1962-04-13,29.6693,29.6693,28.5827,29.6693,0.0832,882835
73,1962-04-16,29.3297,29.8353,29.1637,29.3297,0.0822,973382
74,1962-04-17,28.5827,29.458,28.5827,28.5827,0.0801,633830
75,1962-04-18,28.9977,28.9977,28.5827,28.9977,0.0813,498010
76,1962-04-19,29.209,29.3297,29.1637,29.209,0.0819,339552
77,1962-04-23,29.2467,29.4203,29.0807,29.2467,0.082,407462
78,1962-04-24,29.0807,29.4203,28.96,29.0807,0.0815,679104
79,1962-04-25,28.6657,28.96,28.628,28.6657,0.0803,339552
80,1962-04-26,28.3715,28.6657,28.3337,28.3715,0.0795,679104
81,1962-04-27,28.0394,28.4167,28.0394,28.0394,0.0786,724378
82,1962-04-30,28.1225,28.4167,28.0847,28.1225,0.0788,611194
83,1962-05-01,28.0017,28.0017,27.4132,28.0017,0.0785,747014
84,1962-05-02,28.3337,28.628,28.1677,28.3337,0.0794,1607213
85,1962-05-03,28.4997,28.5827,28.3337,28.4997,0.0799,1335571
86,1962-05-04,28.9147,28.9147,28.462,28.9147,0.081,2082586
87,1962-05-07,29.1637,29.2467,28.9147,29.1637,0.0817,724378
88,1962-05-08,28.9977,29.5033,28.9147,28.9977,0.0813,520646
89,1962-05-09,28.96,28.96,28.4167,28.96,0.0812,633830
90,1962-05-10,28.4997,28.7487,28.4167,28.4997,0.0799,747014
91,1962-05-11,28.4997,28.8317,28.462,28.4997,0.0799,882835
92,1962-05-14,28.0017,28.0017,27.1642,28.0017,0.0785,1539302
93,1962-05-15,28.3337,28.3337,27.7527,28.3337,0.0794,1177114
94,1962-05-16,28.4167,28.4997,28.2507,28.4167,0.0797,656467
95,1962-05-17,27.5867,28.1677,27.5867,27.5867,0.0773,430099
96,1962-05-18,27.8357,27.8357,27.2472,27.8357,0.078,882835
97,1962-05-21,27.7904,28.0847,27.7527,27.7904,0.0779,475373
98,1962-05-22,27.5037,27.9564,27.4584,27.5037,0.0771,701741
99,1962-05-23,26.6662,27.4584,26.6662,26.6662,0.0747,1109203
100,1962-05-24,25.5796,26.7114,25.5796,25.5796,0.0717,1697760
101,1962-05-25,24.8326,25.3759,24.7118,24.8326,0.0696,1539302
102,1962-05-28,24.5006,24.8778,23.9196,24.5006,0.0687,1561939
103,1962-05-29,24.1686,24.5006,23.497,24.1686,0.0677,3259699
104,1962-05-31,24.6213,25.8361,24.2516,24.6213,0.069,3961440
105,1962-06-01,24.2516,24.6213,24.0403,24.2516,0.068,1448755
106,1962-06-04,22.916,24.2516,22.7047,22.916,0.0642,2535322
107,1962-06-05,22.169,22.916,21.92,22.169,0.0621,2512685
108,1962-06-06,22.667,23.165,22.418,22.667,0.0635,2105222
109,1962-06-07,22.916,22.916,22.418,22.916,0.0642,973382
110,1962-06-08,23.6253,23.6253,22.916,23.6253,0.0662,1516666
111,1962-06-11,22.8783,24.2516,22.833,22.8783,0.0641,1901491
112,1962-06-12,22.335,22.8783,22.335,22.335,0.0626,1494029
113,1962-06-13,22.169,23.248,22.0407,22.169,0.0621,2173133
