,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2018-12-07,22.0,22.75,18.51,18.6,18.6,12995569
1,2018-12-10,18.9,19.4388,18.0,18.8,18.8,4233345
2,2018-12-11,20.55,20.66,17.99,18.01,18.01,3435271
3,2018-12-12,18.55,19.48,18.02,18.68,18.68,2590873
4,2018-12-13,19.25,19.29,18.68,18.76,18.76,1608629
5,2018-12-14,18.75,18.8806,18.25,18.32,18.32,746412
6,2018-12-17,18.33,18.47,16.9,17.0,17.0,1581242
7,2018-12-18,17.1,17.25,16.25,17.0,17.0,1621904
8,2018-12-19,16.86,17.37,16.0,16.18,16.18,941528
9,2018-12-20,16.0,16.14,14.75,15.5,15.5,2365203
10,2018-12-21,15.4,15.5,13.95,14.47,14.47,2063235
11,2018-12-24,14.32,14.32,13.75,14.03,14.03,665427
12,2018-12-26,14.15,14.31,13.03,13.52,13.52,1817977
13,2018-12-27,13.49,14.95,13.27,14.65,14.65,1769545
14,2018-12-28,14.72,14.85,13.8184,14.15,14.15,929098
15,2018-12-31,14.24,15.3,14.2129,15.27,15.27,994726
16,2019-01-02,14.93,15.45,14.51,15.33,15.33,2318094
17,2019-01-03,15.49,16.08,15.2,15.5,15.5,1588921
18,2019-01-04,16.0,17.5,15.8944,16.96,16.96,1652033
19,2019-01-07,17.54,17.94,16.18,16.27,16.27,1585442
20,2019-01-08,17.35,17.468,16.05,16.95,16.95,1892977
21,2019-01-09,17.2,17.25,16.15,16.33,16.33,1187350
22,2019-01-10,16.36,16.51,16.0,16.48,16.48,487284
23,2019-01-11,16.6,17.06,16.53,17.0,17.0,580570
24,2019-01-14,17.0,17.06,16.72,16.74,16.74,612922
25,2019-01-15,17.0,17.0,16.41,16.59,16.59,468080
26,2019-01-16,16.8,16.95,16.26,16.26,16.26,272804
27,2019-01-17,16.05,16.53,16.05,16.31,16.31,315678
28,2019-01-18,16.46,16.8,16.25,16.69,16.69,629965
29,2019-01-22,16.62,16.6345,15.35,15.56,15.56,637008
30,2019-01-23,15.59,15.92,14.76,14.79,14.79,652602
31,2019-01-24,14.9,15.195,14.64,14.64,14.64,452909
32,2019-01-25,14.8,14.92,14.4,14.91,14.91,942270
33,2019-01-28,14.84,14.84,14.45,14.45,14.45,656524
34,2019-01-29,14.46,14.875,14.45,14.63,14.63,592755
35,2019-01-30,14.72,15.545,14.65,15.13,15.13,758899
36,2019-01-31,15.24,17.48,15.24,16.6,16.6,2259191
37,2019-02-01,16.8,17.0075,15.9,16.22,16.22,617271
38,2019-02-04,16.22,16.49,15.95,16.27,16.27,297821
39,2019-02-05,16.29,17.49,16.2075,17.18,17.18,652724
40,2019-02-06,17.25,18.39,17.1101,18.14,18.14,1016165
41,2019-02-07,17.95,18.0679,17.04,17.05,17.05,527579
42,2019-02-08,17.1,18.15,17.1,17.99,17.99,685755
43,2019-02-11,17.99,18.6462,17.7507,18.17,18.17,597966
44,2019-02-12,18.21,18.76,17.6,18.69,18.69,753128
45,2019-02-13,18.99,19.22,18.3,18.53,18.53,1333533
46,2019-02-14,18.64,19.96,18.63,19.66,19.66,1091396
47,2019-02-15,19.94,21.4674,19.7,21.44,21.44,2087409
48,2019-02-19,21.51,21.513,20.05,20.83,20.83,1204705
49,2019-02-20,21.12,21.2399,19.13,19.92,19.92,1160160
50,2019-02-21,19.74,19.98,18.88,19.34,19.34,822625
51,2019-02-22,19.35,20.04,19.35,19.88,19.88,567612
52,2019-02-25,20.54,22.3,19.83,21.65,21.65,1917872
53,2019-02-26,21.6,24.4,21.56,23.7,23.7,2522800
54,2019-02-27,23.37,23.83,21.53,22.1,22.1,1553011
55,2019-02-28,22.45,23.03,22.05,22.6,22.6,511289
