,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-11-14,14.0625,15.25,14.0,14.875,14.875,2233500
1,1997-11-17,15.75,15.75,15.0,15.25,15.25,515000
2,1997-11-18,15.4375,15.5,15.0,15.0,15.0,257300
3,1997-11-19,15.0,15.625,14.75,15.625,15.625,270100
4,1997-11-20,15.5,16.375,15.5,16.375,16.375,185500
5,1997-11-21,16.625,17.5,16.25,17.125,17.125,133100
6,1997-11-24,16.625,17.125,16.375,17.0,17.0,160200
7,1997-11-25,17.25,18.0625,17.1875,17.75,17.75,384800
8,1997-11-26,17.5,17.9375,17.5,17.9375,17.9375,72500
9,1997-11-28,17.8125,18.0,17.8125,17.875,17.875,24800
10,1997-12-01,17.75,18.0,17.75,17.8125,17.8125,90200
11,1997-12-02,18.0,18.0,17.75,17.8125,17.8125,194200
12,1997-12-03,17.6875,17.875,17.6875,17.875,17.875,77600
13,1997-12-04,17.75,17.9375,17.6875,17.6875,17.6875,79500
14,1997-12-05,17.9375,18.125,17.6875,18.125,18.125,120300
15,1997-12-08,18.375,18.375,17.875,18.125,18.125,56700
16,1997-12-09,18.0625,18.75,17.875,18.5,18.5,170000
17,1997-12-10,18.5,18.5,17.8125,18.0625,18.0625,28000
18,1997-12-11,18.125,18.25,17.75,18.0625,18.0625,19500
19,1997-12-12,17.75,18.0,17.625,17.75,17.75,89600
20,1997-12-15,17.9375,18.625,17.75,18.125,18.125,186100
21,1997-12-16,18.125,18.125,17.3125,18.0625,18.0625,89700
22,1997-12-17,18.0625,18.375,18.0,18.25,18.25,84900
23,1997-12-18,18.0,18.4375,17.875,18.4375,18.4375,20000
24,1997-12-19,18.3125,18.4375,17.875,18.25,18.25,49600
25,1997-12-22,18.5,18.5,18.125,18.125,18.125,7400
26,1997-12-23,18.375,18.375,17.625,17.625,17.625,169900
27,1997-12-24,17.5,17.625,17.5,17.5625,17.5625,32600
28,1997-12-26,17.5625,17.6875,17.5625,17.5625,17.5625,600
29,1997-12-29,17.625,17.625,17.375,17.5,17.5,49200
30,1997-12-30,17.5,17.5,17.25,17.25,17.25,46700
31,1997-12-31,17.375,17.375,17.0,17.25,17.25,87500
32,1998-01-02,17.375,17.375,16.875,17.0,17.0,131200
33,1998-01-05,17.125,17.125,16.625,16.75,16.75,67800
34,1998-01-06,16.625,16.6875,16.5,16.6875,16.6875,24100
35,1998-01-07,16.625,16.6875,16.375,16.5625,16.5625,90200
36,1998-01-08,16.5625,17.625,16.5625,17.25,17.25,65100
37,1998-01-09,17.125,17.5,16.75,16.875,16.875,132000
38,1998-01-12,16.625,17.0,16.375,17.0,17.0,37000
39,1998-01-13,17.25,18.75,17.0,18.75,18.75,148700
40,1998-01-14,18.75,18.75,18.25,18.25,18.25,97500
41,1998-01-15,18.0,18.25,18.0,18.0,18.0,32100
42,1998-01-16,18.0,18.1875,17.75,17.75,17.75,13000
43,1998-01-20,17.25,18.0,17.0,18.0,18.0,105400
44,1998-01-21,18.0,18.25,18.0,18.125,18.125,109500
45,1998-01-22,18.0,18.0,17.625,17.75,17.75,47400
46,1998-01-23,17.75,18.125,17.75,18.125,18.125,53300
47,1998-01-26,18.25,18.25,17.875,17.875,17.875,5000
48,1998-01-27,17.9375,18.0,17.625,17.625,17.625,12200
49,1998-01-28,17.625,17.75,17.5,17.75,17.75,39700
50,1998-01-29,17.75,17.75,17.5,17.625,17.625,130100
51,1998-01-30,17.75,18.0,17.75,17.875,17.875,19700
52,1998-02-02,18.0,19.1875,18.0,19.0,19.0,45000
53,1998-02-03,19.25,19.25,18.75,18.8125,18.8125,46500
54,1998-02-04,18.8125,19.25,18.75,19.0,19.0,47700
55,1998-02-05,19.125,19.1875,18.875,19.0,19.0,14100
56,1998-02-06,19.25,19.5,19.0625,19.375,19.375,27300
57,1998-02-09,19.5,19.5,18.875,19.25,19.25,14700
58,1998-02-10,19.375,20.6875,19.375,20.125,20.125,83500
59,1998-02-11,20.25,20.375,19.5,20.0,20.0,90400
60,1998-02-12,20.0,20.25,19.9375,19.9375,19.9375,22800
61,1998-02-13,19.9375,20.125,19.9375,20.0625,20.0625,34900
62,1998-02-17,20.25,20.5625,20.25,20.5625,20.5625,23100
63,1998-02-18,20.3125,20.5,20.125,20.1875,20.1875,31700
64,1998-02-19,20.4375,20.4375,20.125,20.125,20.125,24400
65,1998-02-20,20.0,20.25,19.5,19.875,19.875,59400
66,1998-02-23,20.0,20.5,20.0,20.0,20.0,132500
67,1998-02-24,20.0,20.0,19.5,19.5,19.5,14700
68,1998-02-25,19.625,19.75,19.375,19.5,19.5,19700
69,1998-02-26,19.5,19.75,19.375,19.375,19.375,3200
70,1998-02-27,19.25,19.5,19.0,19.5,19.5,132400
71,1998-03-02,19.75,20.5,19.75,20.125,20.125,47100
72,1998-03-03,20.125,20.25,20.0625,20.125,20.125,41200
73,1998-03-04,20.125,20.5,20.125,20.25,20.25,15700
74,1998-03-05,20.25,20.75,20.25,20.4375,20.4375,27600
75,1998-03-06,20.6875,20.75,20.375,20.375,20.375,5500
76,1998-03-09,20.5,21.375,20.5,21.375,21.375,15800
77,1998-03-10,21.375,21.875,21.375,21.75,21.75,18400
78,1998-03-11,21.9375,22.875,21.75,22.375,22.375,54800
79,1998-03-12,22.375,22.375,22.0,22.25,22.25,23500
80,1998-03-13,22.5,22.625,22.0,22.125,22.125,39100
81,1998-03-16,22.25,22.25,21.625,21.75,21.75,33600
82,1998-03-17,21.75,21.75,21.125,21.5,21.5,16600
83,1998-03-18,21.5,21.875,21.375,21.875,21.875,27600
84,1998-03-19,21.9375,22.0,21.6875,21.875,21.875,73700
85,1998-03-20,21.75,21.875,21.375,21.5,21.5,3700
86,1998-03-23,21.375,21.375,21.25,21.375,21.375,1400
87,1998-03-24,21.25,21.625,20.875,21.0,21.0,45800
88,1998-03-25,21.0,21.125,20.75,20.8125,20.8125,5400
89,1998-03-26,20.6875,20.875,20.625,20.875,20.875,3600
90,1998-03-27,21.0,21.25,20.875,21.125,21.125,46100
91,1998-03-30,21.125,21.875,21.125,21.6875,21.6875,99100
92,1998-03-31,21.5625,22.25,21.5625,22.1875,22.1875,54100
93,1998-04-01,22.125,22.25,21.75,22.125,22.125,133900
94,1998-04-02,21.875,22.125,21.875,22.0,22.0,175200
95,1998-04-03,21.25,21.875,21.25,21.5,21.5,77200
96,1998-04-06,21.375,21.625,21.25,21.5,21.5,88300
97,1998-04-07,21.75,21.875,21.5,21.75,21.75,17400
98,1998-04-08,21.75,21.75,21.375,21.5,21.5,2800
99,1998-04-09,21.5,21.5,21.125,21.375,21.375,22500
100,1998-04-13,21.375,21.5,21.1875,21.5,21.5,49100
101,1998-04-14,21.375,21.625,21.375,21.625,21.625,15900
102,1998-04-15,21.4375,21.875,21.4375,21.625,21.625,20300
103,1998-04-16,21.375,21.5,21.375,21.4375,21.4375,3800
104,1998-04-17,21.6875,21.875,21.5625,21.875,21.875,8500
105,1998-04-20,21.6875,21.875,21.625,21.625,21.625,15300
106,1998-04-21,21.875,21.9375,21.625,21.9375,21.9375,27200
107,1998-04-22,21.75,21.75,21.5625,21.5625,21.5625,11200
108,1998-04-23,21.4375,21.75,21.4375,21.5,21.5,10500
109,1998-04-24,21.5,21.9375,21.125,21.125,21.125,58200
