,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1988-02-29,6.0,6.0,5.6248,6.0,0.2224,15153600
1,1988-03-01,5.7504,6.0,5.7504,5.7504,0.2132,3385600
2,1988-03-02,5.8752,5.8752,5.6248,5.8752,0.2181,1044800
3,1988-03-03,5.7504,5.8752,5.6248,5.7504,0.2132,6923200
4,1988-03-04,5.8752,5.8752,5.6248,5.8752,0.2181,521600
5,1988-03-07,5.6248,5.8752,5.6248,5.6248,0.2088,596800
6,1988-03-08,5.7504,5.8752,5.6248,5.7504,0.2132,1313600
7,1988-03-09,5.6248,5.8752,5.6248,5.6248,0.2088,800000
8,1988-03-10,6.2504,6.2504,5.8752,6.2504,0.2318,2547200
9,1988-03-11,6.1248,6.2504,5.8752,6.1248,0.2271,444800
10,1988-03-14,6.0,6.1248,6.0,6.0,0.2224,915200
11,1988-03-15,5.8752,6.1248,5.8752,5.8752,0.2181,140800
12,1988-03-16,6.0,6.0,5.7504,6.0,0.2224,337600
13,1988-03-17,5.8752,5.8752,5.7504,5.8752,0.2181,772800
14,1988-03-18,5.8752,6.0,5.7504,5.8752,0.2181,299200
15,1988-03-21,5.7504,5.8752,5.7504,5.7504,0.2132,504000
16,1988-03-22,5.7504,5.8752,5.6248,5.7504,0.2132,792000
17,1988-03-23,5.5,5.8752,5.5,5.5,0.2041,105600
18,1988-03-24,5.5,5.8752,5.2504,5.5,0.2041,291200
19,1988-03-25,5.6248,5.6248,5.2504,5.6248,0.2088,123200
20,1988-03-28,5.2504,5.2504,5.2504,5.2504,0.1949,56000
21,1988-03-29,5.7504,5.8752,5.2504,5.7504,0.2132,6508800
22,1988-03-30,5.8752,6.0,5.8752,5.8752,0.2181,25600
23,1988-03-31,6.0,6.0,5.6248,6.0,0.2224,534400
24,1988-04-04,6.0,6.1248,5.8752,6.0,0.2224,1292800
25,1988-04-05,6.1248,6.1248,5.8752,6.1248,0.2271,35200
26,1988-04-06,6.1248,6.1248,5.5,6.1248,0.2271,4108800
27,1988-04-07,6.1248,6.2504,6.1248,6.1248,0.2271,112000
28,1988-04-08,6.2504,6.3752,6.0,6.2504,0.2318,435200
29,1988-04-11,6.2504,6.2504,6.2504,6.2504,0.2318,27200
30,1988-04-12,6.0,6.1248,5.8752,6.0,0.2224,307200
31,1988-04-13,6.0,6.0,6.0,6.0,0.2224,9600
32,1988-04-14,5.7504,6.0,5.7504,5.7504,0.2132,555200
33,1988-04-15,5.7504,5.8752,5.5,5.7504,0.2132,486400
34,1988-04-18,5.6248,5.6248,5.6248,5.6248,0.2088,8000
35,1988-04-19,5.6248,5.7504,5.6248,5.6248,0.2088,712000
36,1988-04-20,5.6248,5.6248,5.5,5.6248,0.2088,896000
37,1988-04-22,5.7504,5.7504,5.7504,5.7504,0.2132,6400
38,1988-04-25,5.7504,5.7504,5.6248,5.7504,0.2132,104000
39,1988-04-26,5.7504,5.7504,5.5,5.7504,0.2132,88000
40,1988-04-27,5.8752,5.8752,5.7504,5.8752,0.2181,115200
41,1988-04-28,5.8752,5.8752,5.7504,5.8752,0.2181,100800
42,1988-04-29,5.6248,5.7504,5.6248,5.6248,0.2088,283200
43,1988-05-02,5.8752,5.8752,5.7504,5.8752,0.2181,456000
44,1988-05-03,5.8752,5.8752,5.7504,5.8752,0.2181,289600
45,1988-05-04,5.8752,5.8752,5.7504,5.8752,0.2181,163200
46,1988-05-05,5.8752,5.8752,5.7504,5.8752,0.2181,240000
47,1988-05-06,6.0,6.0,5.7504,6.0,0.2224,1899200
48,1988-05-09,6.0,6.0,5.7504,6.0,0.2224,545600
49,1988-05-10,6.0,6.0,5.6248,6.0,0.2224,4561600
50,1988-05-11,5.8752,5.8752,5.8752,5.8752,0.2181,8000
51,1988-05-12,5.8752,5.8752,5.7504,5.8752,0.2181,65600
52,1988-05-13,5.7504,6.1248,5.7504,5.7504,0.2132,291200
53,1988-05-16,5.7504,6.0,5.7504,5.7504,0.2132,470400
54,1988-05-17,5.6248,5.8752,5.6248,5.6248,0.2088,868800
55,1988-05-18,5.6248,5.7504,5.5,5.6248,0.2088,155200
56,1988-05-19,5.7504,5.7504,5.5,5.7504,0.2132,731200
57,1988-05-20,5.7504,5.7504,5.7504,5.7504,0.2132,323200
58,1988-05-23,5.6248,5.7504,5.6248,5.6248,0.2088,1480000
59,1988-05-24,5.7504,5.8752,5.6248,5.7504,0.2132,1520000
60,1988-05-25,5.8752,6.0,5.7504,5.8752,0.2181,1867200
61,1988-05-26,6.0,6.0,6.0,6.0,0.2224,1600
62,1988-05-27,6.0,6.0,5.7504,6.0,0.2224,132800
63,1988-05-31,6.0,6.2504,5.8752,6.0,0.2224,8800000
64,1988-06-01,5.8752,6.1248,5.8752,5.8752,0.2181,2083200
65,1988-06-02,5.8752,6.0,5.8752,5.8752,0.2181,264000
66,1988-06-03,5.8752,6.0,5.8752,5.8752,0.2181,14400
67,1988-06-06,5.8752,6.0,5.8752,5.8752,0.2181,278400
68,1988-06-07,5.8752,6.0,5.8752,5.8752,0.2181,244800
69,1988-06-08,6.0,6.0,5.7504,6.0,0.2224,1107200
70,1988-06-09,6.5,6.7504,5.8752,6.5,0.2411,2318400
71,1988-06-10,6.2504,6.5,6.2504,6.2504,0.2318,1174400
72,1988-06-13,7.0,7.0,6.3752,7.0,0.2593,1224000
73,1988-06-14,7.0,7.2504,6.8752,7.0,0.2593,3115200
74,1988-06-15,7.1248,7.2504,7.0,7.1248,0.2644,563200
75,1988-06-16,6.6248,7.1248,6.6248,6.6248,0.2457,2259200
76,1988-06-17,7.0,7.0,6.6248,7.0,0.2593,1190400
77,1988-06-20,6.7504,7.0,6.7504,6.7504,0.2506,380800
78,1988-06-21,6.8752,6.8752,6.6248,6.8752,0.2549,1209600
79,1988-06-22,6.8752,7.0,6.7504,6.8752,0.2549,808000
80,1988-06-23,7.2504,7.3752,6.8752,7.2504,0.2689,1929600
81,1988-06-24,7.7504,7.8752,7.2504,7.7504,0.2874,1300800
82,1988-06-27,7.5,7.7504,7.5,7.5,0.2783,1350400
83,1988-06-28,7.5,7.7504,7.1248,7.5,0.2783,937600
84,1988-06-29,7.1248,7.5,7.0,7.1248,0.2644,208000
85,1988-06-30,7.0,7.3752,7.0,7.0,0.2593,1248000
86,1988-07-01,7.1248,7.3752,7.1248,7.1248,0.2644,89600
87,1988-07-05,7.3752,7.3752,7.3752,7.3752,0.2733,25600
88,1988-07-06,7.7504,7.7504,7.2504,7.7504,0.2874,1270400
89,1988-07-07,7.6248,7.7504,7.5,7.6248,0.2827,723200
90,1988-07-08,7.7504,7.8752,7.7504,7.7504,0.2874,681600
91,1988-07-11,7.6248,7.8752,7.5,7.6248,0.2827,747200
92,1988-07-12,7.6248,7.7504,7.3752,7.6248,0.2827,499200
93,1988-07-13,7.6248,7.6248,7.3752,7.6248,0.2827,36800
94,1988-07-14,7.6248,7.6248,7.6248,7.6248,0.2827,118400
95,1988-07-15,7.5,7.6248,7.3752,7.5,0.2783,443200
96,1988-07-18,7.3752,7.6248,7.3752,7.3752,0.2733,89600
97,1988-07-19,7.5,7.6248,7.5,7.5,0.2783,625600
98,1988-07-20,7.5,7.7504,7.5,7.5,0.2783,320000
99,1988-07-21,7.5,7.6248,7.5,7.5,0.2783,238400
100,1988-07-22,7.3752,7.5,7.1248,7.3752,0.2733,652800
101,1988-07-25,7.1248,7.1248,7.1248,7.1248,0.2644,3200
102,1988-07-26,7.0,7.2504,7.0,7.0,0.2593,80000
103,1988-07-27,7.1248,7.3752,6.8752,7.1248,0.2644,214400
104,1988-07-28,7.2504,7.2504,6.8752,7.2504,0.2689,225600
105,1988-07-29,7.2504,7.2504,7.0,7.2504,0.2689,30400
106,1988-08-01,7.5,7.5,7.0,7.5,0.2783,108800
107,1988-08-02,7.5,7.5,7.5,7.5,0.2783,32000
108,1988-08-03,7.5,7.5,7.1248,7.5,0.2783,8000
109,1988-08-04,7.1248,7.1248,7.1248,7.1248,0.2644,203200
110,1988-08-05,7.0,7.0,6.7504,7.0,0.2593,192000
111,1988-08-08,7.0,7.0,6.8752,7.0,0.2593,160000
112,1988-08-09,6.5,7.0,6.2504,6.5,0.2411,265600
113,1988-08-10,6.8752,6.8752,6.2504,6.8752,0.2549,545600
114,1988-08-11,6.8752,6.8752,6.7504,6.8752,0.2549,299200
115,1988-08-12,7.0,7.0,6.7504,7.0,0.2593,25600
116,1988-08-15,7.0,7.0,6.7504,7.0,0.2593,185600
117,1988-08-16,7.0,7.0,6.6248,7.0,0.2593,198400
118,1988-08-17,7.0,7.0,6.7504,7.0,0.2593,275200
119,1988-08-18,7.0,7.0,7.0,7.0,0.2593,108800
120,1988-08-19,7.0,7.0,6.7504,7.0,0.2593,35200
121,1988-08-22,6.7504,6.7504,6.7504,6.7504,0.2506,32000
122,1988-08-23,6.8752,6.8752,6.7504,6.8752,0.2549,132800
123,1988-08-24,6.7504,6.8752,6.5,6.7504,0.2506,6424000
124,1988-08-25,6.8752,6.8752,6.7504,6.8752,0.2549,83200
125,1988-08-26,6.7504,6.8752,6.7504,6.7504,0.2506,3200
126,1988-08-29,6.7504,6.8752,6.7504,6.7504,0.2506,240000
127,1988-08-30,6.8752,6.8752,6.6248,6.8752,0.2549,155200
128,1988-08-31,6.6248,6.7504,6.5,6.6248,0.2457,252800
129,1988-09-01,6.2504,6.6248,6.2504,6.2504,0.2318,1593600
130,1988-09-02,6.5,6.5,6.1248,6.5,0.2411,3640000
131,1988-09-06,6.1248,6.2504,6.1248,6.1248,0.2271,48000
132,1988-09-07,6.1248,6.3752,6.1248,6.1248,0.2271,88000
133,1988-09-08,6.1248,6.3752,6.1248,6.1248,0.2271,41600
134,1988-09-09,6.1248,6.1248,6.0,6.1248,0.2271,987200
135,1988-09-12,6.1248,6.5,6.1248,6.1248,0.2271,548800
136,1988-09-14,6.1248,6.3752,6.1248,6.1248,0.2271,299200
137,1988-09-15,6.1248,6.1248,6.1248,6.1248,0.2271,4800
138,1988-09-16,6.2504,6.2504,6.0,6.2504,0.2318,324800
139,1988-09-19,5.8752,6.1248,5.8752,5.8752,0.2181,196800
140,1988-09-20,5.8752,5.8752,5.8752,5.8752,0.2181,6400
141,1988-09-21,6.2504,6.2504,6.0,6.2504,0.2318,1856000
142,1988-09-23,6.3752,6.3752,6.1248,6.3752,0.2365,91200
143,1988-09-26,6.3752,6.3752,6.1248,6.3752,0.2365,156800
144,1988-09-27,6.1248,6.3752,6.1248,6.1248,0.2271,35200
145,1988-09-28,6.3752,6.3752,6.1248,6.3752,0.2365,112000
146,1988-09-30,6.2504,6.2504,6.2504,6.2504,0.2318,48000
147,1988-10-04,6.1248,6.3752,6.1248,6.1248,0.2271,32000
148,1988-10-05,6.1248,6.1248,6.1248,6.1248,0.2271,35200
149,1988-10-06,6.1248,6.1248,6.1248,6.1248,0.2271,8000
150,1988-10-07,6.3752,6.3752,6.1248,6.3752,0.2365,12800
151,1988-10-10,6.5,6.5,6.1248,6.5,0.2411,78400
152,1988-10-11,6.1248,6.1248,6.1248,6.1248,0.2271,48000
153,1988-10-12,6.3752,6.3752,6.2504,6.3752,0.2365,147200
154,1988-10-13,6.3752,6.3752,6.1248,6.3752,0.2365,768000
155,1988-10-14,6.3752,6.3752,6.1248,6.3752,0.2365,496000
156,1988-10-17,6.3752,6.3752,6.1248,6.3752,0.2365,544000
157,1988-10-18,6.3752,6.3752,6.3752,6.3752,0.2365,16000
158,1988-10-19,6.5,6.5,6.5,6.5,0.2411,16000
159,1988-10-20,6.5,6.5,6.2504,6.5,0.2411,120000
160,1988-10-21,6.5,6.5,6.2504,6.5,0.2411,131200
161,1988-10-24,6.5,6.5,6.3752,6.5,0.2411,12800
162,1988-10-25,6.3752,6.5,6.2504,6.3752,0.2365,609600
163,1988-10-26,6.5,6.5,6.5,6.5,0.2411,16000
164,1988-10-27,6.2504,6.5,6.2504,6.2504,0.2318,915200
165,1988-10-28,6.2504,6.3752,6.2504,6.2504,0.2318,14400
166,1988-10-31,6.3752,6.3752,6.2504,6.3752,0.2365,72000
167,1988-11-01,6.3752,6.3752,6.2504,6.3752,0.2365,1139200
168,1988-11-02,6.2504,6.5,6.2504,6.2504,0.2318,620800
169,1988-11-03,6.3752,6.5,6.2504,6.3752,0.2365,251200
170,1988-11-04,6.5,6.5,6.5,6.5,0.2411,1600
171,1988-11-07,6.5,6.5,6.2504,6.5,0.2411,9600
172,1988-11-08,6.2504,6.5,6.2504,6.2504,0.2318,73600
173,1988-11-09,6.2504,6.2504,6.2504,6.2504,0.2318,19200
174,1988-11-10,6.2504,6.5,6.2504,6.2504,0.2318,76800
175,1988-11-11,6.3752,6.3752,6.1248,6.3752,0.2365,912000
176,1988-11-14,6.0,6.2504,6.0,6.0,0.2224,460800
177,1988-11-15,6.0,6.0,6.0,6.0,0.2224,91200
178,1988-11-16,5.8752,6.1248,5.8752,5.8752,0.2181,470400
179,1988-11-17,6.0,6.1248,5.8752,6.0,0.2224,393600
180,1988-11-18,5.8752,6.1248,5.8752,5.8752,0.2181,787200
181,1988-11-21,5.8752,6.1248,5.8752,5.8752,0.2181,1179200
182,1988-11-22,6.0,6.0,5.8752,6.0,0.2224,272000
183,1988-11-23,6.1248,6.1248,6.0,6.1248,0.2271,163200
184,1988-11-25,6.0,6.2504,6.0,6.0,0.2224,576000
185,1988-11-28,6.0,6.0,6.0,6.0,0.2224,22400
186,1988-11-29,6.2504,6.2504,6.0,6.2504,0.2318,633600
187,1988-11-30,6.6248,6.6248,6.3752,6.6248,0.2457,360000
188,1988-12-01,6.7504,7.1248,6.5,6.7504,0.2506,878400
189,1988-12-02,6.8752,7.0,6.7504,6.8752,0.2549,80000
190,1988-12-05,6.7504,6.8752,6.7504,6.7504,0.2506,75200
191,1988-12-06,6.8752,7.0,6.7504,6.8752,0.2549,48000
192,1988-12-07,6.7504,7.0,6.7504,6.7504,0.2506,227200
