Date,Open,High,Low,Close,Adjusted_close,Volume
1992-02-05,17.25,18.25,16.5,17.25,5.1303,11325800
1992-02-06,16.875,17.25,16.75,16.875,5.0188,5696400
1992-02-07,16.875,16.875,15.625,15.625,4.647,1698000
1992-02-10,15.75,15.75,15,15.125,4.4983,1104400
1992-02-11,15.125,15.375,15.125,15.375,4.5727,656200
1992-02-12,15.375,16,15.25,15.875,4.7214,629600
1992-02-13,16,16.375,15.875,16,4.7585,808200
1992-02-14,16,16,15.625,15.625,4.647,418000
1992-02-18,15.75,15.75,15.5,15.625,4.647,687200
1992-02-19,15.625,16,15.625,16,4.7585,638000
1992-02-20,16,16,15.625,15.625,4.647,139000
1992-02-21,15.875,15.875,15.75,15.875,4.7214,410600
1992-02-24,15.875,16,15.75,15.875,4.7214,353800
1992-02-25,15.875,15.875,15.25,15.375,4.5727,590400
1992-02-26,15.5,15.625,15.125,15.25,4.5355,155200
1992-02-27,15.25,15.75,15.25,15.375,4.5727,438000
1992-02-28,15.75,15.75,15.5,15.5,4.6098,266600
1992-03-02,15.25,15.875,15.25,15.625,4.647,83800
1992-03-03,15.5,15.75,15.5,15.75,4.6842,177400
1992-03-04,15.75,15.75,15.5,15.5,4.6098,247800
1992-03-05,15.625,15.75,15.375,15.375,4.5727,131200
1992-03-06,15.375,15.625,15.375,15.625,4.647,453400
1992-03-09,15.5,15.625,15.5,15.625,4.647,114000
1992-03-10,15.5,15.625,15.5,15.5,4.6098,57800
1992-03-11,15.5,15.625,15.375,15.375,4.5727,104200
1992-03-12,15.5,15.5,15.375,15.375,4.5727,70800
1992-03-13,15.375,15.5,15.375,15.375,4.5727,124800
1992-03-16,15.5,15.5,15.25,15.5,4.6098,34600
1992-03-17,15.375,15.5,15.375,15.375,4.5727,202200
1992-03-18,15.375,15.375,15.125,15.375,4.5727,53000
1992-03-19,15.375,15.375,15,15.125,4.4983,155600
1992-03-20,15,15,14.25,14.5,4.3124,215200
1992-03-23,14.25,14.375,13.75,14,4.1637,131600
1992-03-24,14,14.125,13.5,14,4.1637,231200
1992-03-25,14,15.875,14,15.75,4.6842,662000
1992-03-26,15.625,15.875,15.25,15.25,4.5355,162600
1992-03-27,15.25,15.25,14.625,14.625,4.3496,120600
1992-03-30,14.75,14.75,14.375,14.375,4.2753,96200
1992-03-31,14.25,14.375,14.125,14.25,4.2381,96400
1992-04-01,14.125,14.5,14.125,14.125,4.2009,503600
1992-04-02,14.25,15.125,14.25,15,4.4611,1363800
1992-04-03,14.875,15,14.625,14.625,4.3496,308600
1992-04-06,14.875,14.875,14,14.25,4.2381,440600
1992-04-07,14.375,14.625,13.75,13.875,4.1266,134200
1992-04-08,13.625,13.75,12.875,13.5,4.015,136600
1992-04-09,14,14,13,13,3.8663,181200
1992-04-10,13.5,13.5,13,13.5,4.015,166600
1992-04-13,13.625,14,13.25,13.875,4.1266,146800
1992-04-14,14.125,14.125,13.75,14,4.1637,161400
1992-04-15,14,14.625,13.875,14.25,4.2381,160600
1992-04-16,14.125,14.25,13.75,13.875,4.1266,113200
1992-04-20,13.875,13.875,13.375,13.375,3.9779,79200
1992-04-21,13.25,13.375,12.875,13,3.8663,123400
1992-04-22,13,13,12.625,13,3.8663,142600
1992-04-23,13,13,11.75,12,3.5689,322800
1992-04-24,11.875,12,11.25,11.625,3.4574,321000
1992-04-27,11.5,12,11.5,11.75,3.4946,247200
