Date,Open,High,Low,Close,Adjusted_close,Volume
2014-04-17,15,17.38,15,16.99,11.4465,951088
2014-04-21,16.97,17.37,16.33,16.82,11.332,444213
2014-04-22,16.63,17,16.63,16.8,11.3185,576707
2014-04-23,16.81,16.85,16.71,16.78,11.305,1608932
2014-04-24,16.85,16.86,16.45,16.63,11.204,368892
2014-04-25,16.9,16.92,16.32,16.89,11.3791,1086546
2014-04-28,16.93,16.93,16.38,16.67,11.2309,1187928
2014-04-29,16.62,16.88,16.45,16.68,11.2377,648522
2014-04-30,16.7,16.7,16.36,16.55,11.1501,26746199
2014-05-01,16.12,17.36,16.12,17,11.4533,3650133
2014-05-02,17.01,17.3,16.87,16.95,11.4196,2995032
2014-05-05,16.93,17.26,16.53,16.81,11.3252,3978423
2014-05-06,16.69,16.8,16.25,16.34,11.0086,14309230
2014-05-07,16.36,16.61,16.26,16.6,11.1838,5692881
2014-05-08,16.5,16.64,16.35,16.45,11.0827,5668216
2014-05-09,16.3,16.51,16.03,16.28,10.9682,2797016
2014-05-12,16.28,16.55,15.775,15.95,10.7458,6980098
2014-05-13,15.78,16.13,15.78,15.85,10.6785,8292045
2014-05-14,15.77,16.04,15.5,15.74,10.6044,4577476
2014-05-15,15.66,16,15.59,15.74,10.6044,4919040
2014-05-16,15.66,15.95,15.66,15.86,10.6852,2786872
2014-05-19,15.76,16.04,15.6638,16.02,10.793,4532436
2014-05-20,16.1,16.165,15.82,15.94,10.7391,9754753
2014-05-21,15.93,16.13,15.82,15.93,10.7324,1743568
2014-05-22,15.84,16.04,15.8,15.97,10.7593,2128896
2014-05-23,16,16.13,15.97,16.07,10.8267,2826416
2014-05-27,16.09,16.34,15.79,15.98,10.7661,1726939
2014-05-28,16.02,16.05,15.665,15.68,10.5639,4219138
2014-05-29,15.73,15.82,15.53,15.68,10.5639,3463351
2014-05-30,15.63,15.91,15.63,15.8,10.6448,5260986
2014-06-02,15.84,15.94,15.79,15.81,10.6515,2986807
2014-06-03,16.6,16.6,15.74,15.83,10.665,3483548
2014-06-04,15.6,15.96,15.58,15.89,10.8078,3231455
2014-06-05,16.03,16.68,15.9,16.67,11.3384,4582403
2014-06-06,16.76,16.95,16.61,16.67,11.3384,1622717
2014-06-09,16.61,16.81,16.37,16.81,11.4336,3169291
2014-06-10,16.72,17,16.7,16.8,11.4268,3441830
2014-06-11,16.73,16.97,16.73,16.88,11.4812,1857115
2014-06-12,16.81,16.9999,16.68,16.74,11.386,2336412
2014-06-13,16.72,16.86,16.55,16.67,11.3384,1485582
2014-06-16,16.66,16.89,16.6,16.78,11.4132,804878
2014-06-17,16.69,16.96,16.64,16.84,11.454,1268810
2014-06-18,16.76,17.12,16.69,17.06,11.6036,2268103
2014-06-19,17.01,17.32,16.725,17.19,11.6921,3753998
2014-06-20,17.28,17.53,17.15,17.46,11.8757,3907893
2014-06-23,17.45,17.77,17.45,17.68,12.0253,4459996
2014-06-24,17.66,17.76,17.58,17.655,12.0083,2609214
2014-06-25,17.6,17.76,17.52,17.61,11.9777,5173531
2014-06-26,17.58,17.68,17.53,17.67,12.0185,931667
2014-06-27,17.61,17.91,17.61,17.84,12.1342,4649509
2014-06-30,17.76,17.98,17.64,17.71,12.0457,2023702
2014-07-01,17.79,17.97,17.77,17.772,12.0879,2274049
2014-07-02,17.75,17.94,17.635,17.77,12.0865,2509893
2014-07-03,17.76,17.89,17.68,17.7,12.0389,1953706
2014-07-07,17.65,17.77,17.6,17.65,12.0049,1747251
2014-07-08,17.6,17.7,17.44,17.6,11.9709,4540638
2014-07-09,17.6,17.74,17.57,17.72,12.0525,2496945
2014-07-10,17.54,17.87,17.5,17.78,12.0933,2692521
2014-07-11,17.81,17.935,17.74,17.89,12.1682,6752732
2014-07-14,17.97,18.065,17.82,18,12.243,2796720
2014-07-15,17.99,18.09,17.645,17.7,12.0389,3716181
2014-07-16,17.71,17.915,17.49,17.82,12.1206,3180617
2014-07-17,17.69,18.28,17.69,17.7,12.0389,2805828
2014-07-18,17.75,17.75,17.5,17.69,12.0321,2191662
2014-07-21,17.65,17.9,17.57,17.86,12.1478,2268473
2014-07-22,17.88,17.99,17.83,17.97,12.2226,1774509
2014-07-23,17.95,18.02,17.91,17.98,12.2294,1414425
2014-07-24,17.92,18.15,17.92,17.97,12.2226,2131840
2014-07-25,17.9,18.15,17.78,17.87,12.1546,1967620
2014-07-28,17.8,18.05,17.66,17.99,12.2362,2900432
2014-07-29,17.93,18.11,17.65,17.7,12.0389,3500376
2014-07-30,17.7,17.97,17.48,17.58,11.9573,3032346
2014-07-31,17.53,17.96,17.19,17.2,11.6989,3567958
2014-08-01,17.2,17.5,17.14,17.34,11.7941,1832520
2014-08-04,17.32,17.34,16.98,17.17,11.6784,1700359
2014-08-05,17.07,17.25,16.88,16.95,11.5288,2091317
2014-08-06,16.92,17.15,16.86,16.99,11.556,2538550
2014-08-07,17.04,17.19,16.761,16.86,11.4676,1392808
2014-08-08,16.9,17.345,16.76,17.28,11.7533,3591830
2014-08-11,17.35,17.39,17.09,17.1,11.6308,1096330
2014-08-12,17.11,17.17,16.94,17.1,11.6308,1166896
2014-08-13,17.15,17.235,17.07,17.17,11.6784,940892
2014-08-14,17.15,17.17,17.04,17.15,11.6648,1448196
2014-08-15,17.16,17.25,16.86,17.02,11.5764,1595089
2014-08-18,17.13,17.51,17.07,17.38,11.8213,2932780
2014-08-19,17.35,17.46,17.185,17.32,11.7805,1413903
2014-08-20,17.18,17.565,17.11,17.5,11.9029,1279188
2014-08-21,17.5,17.54,17.29,17.46,11.8757,1167229
2014-08-22,17.42,17.6,17.37,17.45,11.8689,1061992
2014-08-25,17.48,17.74,17.45,17.63,11.9913,769614
2014-08-26,17.6,17.74,17.53,17.61,11.9777,917005
2014-08-27,17.58,17.77,17.58,17.71,12.0457,840227
2014-08-28,17.62,17.8,17.53,17.72,12.0525,911179
2014-08-29,17.72,18,17.65,17.94,12.2022,1990289
2014-09-02,17.94,18.13,17.88,17.98,12.2294,1560694
2014-09-03,18.01,18.09,17.91,17.98,12.2294,1309433
2014-09-04,17.96,18.175,17.96,17.96,12.2158,1609867
2014-09-05,17.9,18.05,17.63,17.79,12.1002,2305249
2014-09-08,17.78,18.05,17.53,17.69,12.0321,1883296
2014-09-09,17.62,17.7,17.38,17.48,11.8893,1588756
2014-09-10,17.46,17.46,17.19,17.35,11.903,1206080
2014-09-11,17.26,17.515,17.26,17.46,11.9785,1300354
2014-09-12,17.36,17.6599,17.36,17.62,12.0883,1343128
2014-09-15,17.6,17.6,17.2,17.36,11.9099,1394414
2014-09-16,17.33,17.59,17.23,17.5,12.0059,981544
2014-09-17,17.5,17.95,17.5,17.82,12.2255,1182687
2014-09-18,17.84,17.96,17.8,17.85,12.246,1817421
2014-09-19,17.94,17.95,17.8,17.86,12.2529,2140327
2014-09-22,17.79,17.95,17.68,17.82,12.2255,1560020
2014-09-23,17.82,17.95,17.565,17.6,12.0745,1775999
2014-09-24,17.59,17.91,17.48,17.91,12.2872,1968623
2014-09-25,17.83,17.93,17.61,17.73,12.1637,1543644
2014-09-26,17.71,17.77,17.54,17.68,12.1294,956200
2014-09-29,17.53,17.85,17.47,17.65,12.1088,1386657
2014-09-30,17.64,17.87,17.61,17.71,12.15,1678906
