Date,Open,High,Low,Close,Adjusted_close,Volume
1984-11-05,1.375,1.375,1.25,1.375,28.6789,232
1984-11-06,1.5,1.5,1.375,1.5,31.2858,564
1984-11-07,1.375,1.5,1.375,1.375,28.6789,96
1984-11-08,1.375,1.375,1.375,1.375,28.6789,216
1984-11-09,1.375,1.375,1.375,1.375,28.6789,356
1984-11-12,1.375,1.5,1.375,1.375,28.6789,336
1984-11-13,1.375,1.5,1.375,1.375,28.6789,224
1984-11-14,1.375,1.375,1.375,1.375,28.6789,52
1984-11-15,1.375,1.375,1.25,1.375,28.6789,796
1984-11-16,1.25,1.375,1.25,1.25,26.0716,460
1984-11-19,1.25,1.375,1.25,1.25,26.0716,1448
1984-11-20,1.375,1.375,1.25,1.375,28.6789,208
1984-11-21,1.25,1.375,1.25,1.25,26.0716,1776
1984-11-23,1.375,1.375,1.25,1.375,28.6789,596
1984-11-26,1.375,1.375,1.125,1.375,28.6789,1032
1984-11-27,1.25,1.375,1.25,1.25,26.0716,272
1984-11-28,1.25,1.25,1,1.25,26.0716,368
1984-11-29,1.375,1.375,1.25,1.375,28.6789,184
1984-11-30,1.25,1.25,1.25,1.25,26.0716,940
1984-12-03,1.25,1.375,1.25,1.25,26.0716,552
1984-12-04,1.25,1.25,1.125,1.25,26.0716,2248
1984-12-05,1.125,1.5,1.125,1.125,23.4645,160
1984-12-06,1.25,1.25,1.125,1.25,26.0716,380
1984-12-07,1.25,1.25,1.125,1.25,26.0716,236
1984-12-10,1.125,1.25,1,1.125,23.4645,460
1984-12-11,1.125,1.25,1,1.125,23.4645,740
1984-12-12,1,1.125,0.875,1,20.8575,236
1984-12-13,1.125,1.125,1,1.125,23.4645,468
1984-12-14,1,1.125,0.875,1,20.8575,448
1984-12-17,1,1,1,1,20.8575,360
1984-12-18,1.125,1.125,1,1.125,23.4645,564
1984-12-19,1,1.125,0.875,1,20.8575,576
1984-12-20,1,1.125,1,1,20.8575,636
1984-12-21,1,1.125,1,1,20.8575,212
1984-12-24,1,1.125,0.875,1,20.8575,656
1984-12-26,1,1,0.875,1,20.8575,1424
1984-12-27,0.875,1,0.875,0.875,18.2502,2852
1984-12-28,0.875,1,0.875,0.875,18.2502,1344
1984-12-31,1.125,1.125,0.875,1.125,23.4645,2680
1985-01-02,1.25,1.25,1,1.25,26.0716,112
1985-01-03,1.125,1.125,0.875,1.125,23.4645,204
1985-01-04,1,1,1,1,20.8575,24
1985-01-07,1.125,1.125,1.125,1.125,23.4645,40
1985-01-08,1,1.25,1,1,20.8575,636
1985-01-09,1.125,1.125,1.125,1.125,23.4645,40
1985-01-10,1,1,1,1,20.8575,32
1985-01-11,1.125,1.125,1,1.125,23.4645,36
1985-01-14,1.125,1.125,1.125,1.125,23.4645,124
1985-01-15,1,1,1,1,20.8575,84
1985-01-16,1,1.25,1,1,20.8575,24
1985-01-17,1.25,1.25,1,1.25,26.0716,120
1985-01-21,1.125,1.125,1.125,1.125,23.4645,120
1985-01-23,1.125,1.125,1,1.125,23.4645,104
1985-01-24,1.125,1.125,1,1.125,23.4645,592
1985-01-25,1.125,1.125,1.125,1.125,23.4645,104
1985-01-28,1.125,1.25,1.125,1.125,23.4645,92
1985-01-29,1.125,1.125,1.125,1.125,23.4645,88
1985-01-30,1.125,1.25,1.125,1.125,23.4645,56
1985-01-31,1.25,1.25,1.125,1.25,26.0716,2260
1985-02-01,1.25,1.375,1.25,1.25,26.0716,544
