Date,Open,High,Low,Close,Adjusted_close,Volume
1985-09-23,4.5,5,4.5,4.5,763.8529,2400
1985-09-24,3.5,4,3.5,3.5,594.1075,26900
1985-09-25,3.5,4.25,3.5,3.5,594.1075,10200
1985-09-26,3.25,3.5,3.25,3.25,551.6714,33400
1985-09-27,3,3.5,3,3,509.235,100
1985-09-30,3.25,3.5,3.25,3.25,551.6714,12700
1985-10-01,3.5,3.75,3.5,3.5,594.1075,27600
1985-10-02,3.5,3.875,3.5,3.5,594.1075,10400
1985-10-03,3.5,3.875,3.5,3.5,594.1075,4600
1985-10-04,3.5,3.875,3.5,3.5,594.1075,1900
1985-10-07,3.5,3.875,3.5,3.5,594.1075,70
1985-10-08,3.375,3.625,3.375,3.375,572.8894,20800
1985-10-09,3.375,3.625,3.375,3.375,572.8894,7500
1985-10-10,3.25,3.5,3.25,3.25,551.6714,5300
1985-10-11,3.125,3.375,3.125,3.125,530.4533,19400
1985-10-14,3,3.375,3,3,509.235,11300
1985-10-15,2.875,3,2.875,2.875,488.0169,41500
1985-10-16,2.875,3,2.875,2.875,488.0169,341200
1985-10-17,2.75,3,2.75,2.75,466.799,123100
1985-10-18,2.875,3,2.875,2.875,488.0169,109000
1985-10-21,2.875,3.125,2.875,2.875,488.0169,15600
1985-10-22,2.875,3,2.875,2.875,488.0169,49900
1985-10-23,2.875,3,2.875,2.875,488.0169,43800
1985-10-24,2.875,3.125,2.875,2.875,488.0169,12500
1985-10-25,2.875,3.125,2.875,2.875,488.0169,108100
1985-10-28,2.875,3.125,2.875,2.875,488.0169,14500
1985-10-29,2.875,3.125,2.875,2.875,488.0169,48600
1985-10-30,3,3.125,3,3,509.235,40300
1985-10-31,3,3.125,3,3,509.235,138000
1985-11-01,3,3.125,3,3,509.235,48100
1985-11-04,3,3.125,3,3,509.235,4000
1985-11-05,3,3.25,3,3,509.235,67600
1985-11-06,3.25,3.375,3.25,3.25,551.6714,69300
1985-11-07,3.125,3.375,3.125,3.125,530.4533,100300
1985-11-08,3.125,3.25,3.125,3.125,530.4533,52800
1985-11-11,3.125,3.25,3.125,3.125,530.4533,21100
1985-11-12,3.125,3.25,3.125,3.125,530.4533,22400
1985-11-13,3,3.125,3,3,509.235,39200
1985-11-14,3,3.125,3,3,509.235,16800
1985-11-15,3,3.125,3,3,509.235,133600
1985-11-18,2.875,3.125,2.875,2.875,488.0169,174500
1985-11-19,2.875,3.125,2.875,2.875,488.0169,16000
1985-11-20,2.875,3,2.875,2.875,488.0169,241500
1985-11-21,2.75,3,2.75,2.75,466.799,36400
1985-11-22,2.75,2.875,2.75,2.75,466.799,82500
1985-11-25,2.75,2.875,2.625,2.75,466.799,57900
1985-11-26,2.875,3,2.75,2.875,488.0169,140500
1985-11-27,3,3,2.875,3,509.235,128000
1985-11-29,2.875,2.875,2.875,2.875,488.0169,6000
1985-12-02,2.875,3,2.875,2.875,488.0169,47400
1985-12-03,2.875,3,2.812,2.875,488.0169,71300
1985-12-04,2.75,3,2.75,2.75,466.799,378300
1985-12-05,2.75,3,2.75,2.75,466.799,292400
1985-12-06,2.812,2.875,2.75,2.812,477.323,65700
1985-12-09,2.625,2.812,2.625,2.625,445.5806,67400
1985-12-10,2.625,2.75,2.5,2.625,445.5806,267500
1985-12-11,2.75,2.875,2.625,2.75,466.799,302500
1985-12-12,2.625,2.875,2.625,2.625,445.5806,60400
1985-12-13,2.875,2.875,2.625,2.875,488.0169,190100
1985-12-16,2.75,2.875,2.625,2.75,466.799,26300
1985-12-17,2.625,2.875,2.625,2.625,445.5806,11200
1985-12-18,2.625,2.75,2.625,2.625,445.5806,308600
1985-12-19,2.625,2.75,2.625,2.625,445.5806,31400
1985-12-20,2.625,2.75,2.625,2.625,445.5806,77900
1985-12-23,2.75,2.75,2.625,2.75,466.799,109000
1985-12-24,2.625,2.875,2.625,2.625,445.5806,2200
1985-12-26,2.875,2.875,2.625,2.875,488.0169,2200
1985-12-27,2.625,2.875,2.625,2.625,445.5806,12900
1985-12-30,2.875,2.875,2.75,2.875,488.0169,20400
1985-12-31,2.875,3,2.75,2.875,488.0169,17700
1986-01-02,2.875,3.125,2.875,2.875,488.0169,10100
1986-01-03,3.125,3.25,2.875,3.125,530.4533,53600
1986-01-06,3,3.25,3,3,509.235,1100
1986-01-07,3.125,3.125,3,3.125,530.4533,39700
1986-01-08,3,3.25,3,3,509.235,36500
1986-01-09,3,3.125,3,3,509.235,30200
1986-01-10,3.125,3.125,3,3.125,530.4533,42700
1986-01-13,3.25,3.25,3,3.25,551.6714,20300
1986-01-14,3.125,3.25,3.125,3.125,530.4533,170600
1986-01-15,3.125,3.375,3.125,3.125,530.4533,15500
1986-01-16,3.625,3.625,3.125,3.625,615.3258,44100
1986-01-17,3.5,3.75,3.5,3.5,594.1075,38200
1986-01-20,3.5,3.625,3.5,3.5,594.1075,32800
1986-01-21,3.125,3.5,3.125,3.125,530.4533,116300
1986-01-22,3.125,3.25,3.125,3.125,530.4533,14900
1986-01-23,3,3.25,3,3,509.235,78800
1986-01-24,3,3,2.875,3,509.235,78600
1986-01-27,2.875,3.125,2.875,2.875,488.0169,9500
1986-01-28,2.75,2.875,2.75,2.75,466.799,53600
1986-01-29,2.625,2.875,2.5,2.625,445.5806,178500
1986-01-30,2.5,2.625,2.375,2.5,424.3625,117500
1986-01-31,2.5,2.625,2.375,2.5,424.3625,65400
1986-02-03,2.5,2.625,2.437,2.5,424.3625,82700
1986-02-04,2.375,2.625,2.375,2.375,403.1445,158300
1986-02-05,2.5,2.5,2.375,2.5,424.3625,49200
1986-02-06,2.562,2.562,2.375,2.562,434.8868,81900
1986-02-07,2.375,2.5,2.375,2.375,403.1445,1600
1986-02-10,2.5,2.5,2.375,2.5,424.3625,8600
1986-02-11,2.375,2.625,2.375,2.375,403.1445,9000
1986-02-12,2.375,2.5,2.375,2.375,403.1445,29400
1986-02-13,2.5,2.5,2.375,2.5,424.3625,5800
1986-02-14,2.375,2.5,2.375,2.375,403.1445,17200
1986-02-18,2.375,2.375,2.375,2.375,403.1445,11100
1986-02-19,2.375,2.375,2.375,2.375,403.1445,130500
1986-02-20,2.375,2.5,2.375,2.375,403.1445,4900
1986-02-21,2.375,2.375,2.375,2.375,403.1445,8000
1986-02-24,2.375,2.5,2.375,2.375,403.1445,9600
1986-02-25,2.375,2.5,2.375,2.375,403.1445,31900
1986-02-26,2.5,2.5,2.375,2.5,424.3625,23200
1986-02-27,2.375,2.375,2.375,2.375,403.1445,4500
1986-02-28,2.5,2.5,2.375,2.5,424.3625,23300
1986-03-03,2.25,2.5,2.25,2.25,381.9264,207700
1986-03-04,2.25,2.375,2.25,2.25,381.9264,22600
1986-03-05,2.375,2.375,2.25,2.375,403.1445,4300
1986-03-06,2.125,2.375,2.125,2.125,360.7082,26900
1986-03-07,2,2.25,2,2,339.4897,41800
1986-03-10,1.875,2.125,1.875,1.875,318.2719,422800
1986-03-11,2,2.125,2,2,339.4897,51700
1986-03-12,2.25,2.375,2,2.25,381.9264,38200
1986-03-13,2.125,2.375,2.125,2.125,360.7082,33100
1986-03-14,2.125,2.25,2,2.125,360.7082,25700
1986-03-17,1.75,2.125,1.687,1.75,297.0539,108400
1986-03-18,1.875,2,1.625,1.875,318.2719,236600
1986-03-19,2,2,1.875,2,339.4897,9400
1986-03-20,2.125,2.125,1.875,2.125,360.7082,20200
1986-03-21,2.125,2.125,2,2.125,360.7082,1600
1986-03-24,1.875,2,1.875,1.875,318.2719,31600
1986-03-25,2,2,1.875,2,339.4897,3400
1986-03-26,1.75,2,1.75,1.75,297.0539,12800
1986-03-27,1.875,2,1.812,1.875,318.2719,164200
1986-03-31,1.875,2,1.812,1.875,318.2719,11300
1986-04-01,1.875,2,1.812,1.875,318.2719,33100
1986-04-02,1.875,2,1.875,1.875,318.2719,33900
1986-04-03,2.062,2.125,1.937,2.062,350.014,28200
1986-04-04,2.125,2.125,1.937,2.125,360.7082,3700
1986-04-07,2.125,2.125,1.937,2.125,360.7082,21200
1986-04-08,2,2.125,2,2,339.4897,13500
1986-04-09,2.25,2.25,2,2.25,381.9264,35700
1986-04-10,2.625,3,2.375,2.625,445.5806,94200
1986-04-11,2.75,2.875,2.625,2.75,466.799,28500
1986-04-14,2.875,3.125,2.875,2.875,488.0169,32900
1986-04-15,2.875,3.125,2.875,2.875,488.0169,13500
1986-04-16,2.875,3.125,2.875,2.875,488.0169,8600
1986-04-17,2.875,3,2.875,2.875,488.0169,19200
1986-04-18,2.875,3.125,2.875,2.875,488.0169,14100
1986-04-21,3,3.125,2.875,3,509.235,29200
1986-04-22,3.375,3.5,3.125,3.375,572.8894,78700
1986-04-23,3.625,3.687,3.25,3.625,615.3258,83800
1986-04-24,3.625,3.75,3.5,3.625,615.3258,237400
1986-04-25,3.375,3.625,3.375,3.375,572.8894,33300
1986-04-28,3.375,3.5,3.375,3.375,572.8894,13100
1986-04-29,2.875,3.375,2.75,2.875,488.0169,60300
1986-04-30,2.75,2.875,2.625,2.75,466.799,21000
1986-05-01,2.5,2.875,2.5,2.5,424.3625,78600
1986-05-02,2.75,2.875,2.5,2.75,466.799,54200
1986-05-05,2.625,3,2.625,2.625,445.5806,170400
1986-05-06,2.875,2.875,2.625,2.875,488.0169,7200
1986-05-07,2.687,2.687,2.687,2.687,456.1047,2200
1986-05-08,3,3,2.875,3,509.235,14900
1986-05-09,2.75,3,2.75,2.75,466.799,48600
1986-05-12,2.75,2.875,2.75,2.75,466.799,32700
1986-05-13,2.75,2.875,2.75,2.75,466.799,10200
1986-05-14,2.75,2.75,2.687,2.75,466.799,8100
1986-05-15,2.75,2.75,2.687,2.75,466.799,91700
1986-05-16,2.75,2.75,2.75,2.75,466.799,3200
1986-05-19,2.875,2.875,2.625,2.875,488.0169,24200
1986-05-20,2.625,2.812,2.625,2.625,445.5806,44800
1986-05-21,2.812,2.812,2.687,2.812,477.323,8000
1986-05-22,2.687,2.812,2.687,2.687,456.1047,1400
1986-05-23,2.812,2.812,2.687,2.812,477.323,2800
1986-05-27,2.812,2.812,2.687,2.812,477.323,7800
1986-05-28,2.875,2.875,2.75,2.875,488.0169,13100
1986-05-29,2.937,3,2.75,2.937,498.5412,166400
1986-05-30,2.875,3,2.875,2.875,488.0169,2700
1986-06-02,3,3,2.875,3,509.235,13300
1986-06-03,3,3,2.875,3,509.235,15800
1986-06-04,3.062,3.125,3,3.062,519.7595,14900
1986-06-05,3.062,3.187,3.062,3.062,519.7595,600
1986-06-06,2.937,3.125,2.875,2.937,498.5412,170800
1986-06-09,2.875,3.125,2.875,2.875,488.0169,5600
1986-06-10,2.875,3,2.75,2.875,488.0169,12600
1986-06-11,2.75,3,2.75,2.75,466.799,11700
1986-06-12,2.875,2.875,2.75,2.875,488.0169,500
1986-06-13,2.75,2.875,2.75,2.75,466.799,12000
1986-06-16,2.5,2.875,2.5,2.5,424.3625,34900
1986-06-17,2.5,2.75,2.5,2.5,424.3625,13300
1986-06-18,2.5,2.625,2.5,2.5,424.3625,12500
1986-06-19,2.5,2.625,2.5,2.5,424.3625,32200
1986-06-20,2.5,2.625,2.5,2.5,424.3625,7300
1986-06-23,2.5,2.625,2.5,2.5,424.3625,21600
1986-06-24,2.562,2.625,2.5,2.562,434.8868,80800
1986-06-25,2.437,2.625,2.437,2.437,413.6685,11900
1986-06-26,2.437,2.562,2.437,2.437,413.6685,10400
1986-06-27,2.625,2.625,2.437,2.625,445.5806,6200
1986-06-30,2.5,2.625,2.437,2.5,424.3625,1200
1986-07-01,2.75,2.75,2.5,2.75,466.799,8600
1986-07-02,2.625,2.75,2.625,2.625,445.5806,3300
1986-07-03,2.625,2.625,2.625,2.625,445.5806,400
1986-07-08,2.5,2.625,2.5,2.5,424.3625,11100
1986-07-09,2.5,2.75,2.5,2.5,424.3625,11600
1986-07-10,2.5,2.75,2.5,2.5,424.3625,12400
1986-07-11,2.5,2.75,2.5,2.5,424.3625,1100
1986-07-14,2.5,2.5,2.437,2.5,424.3625,34000
1986-07-15,2.437,2.625,2.375,2.437,413.6685,44200
1986-07-16,2.437,2.625,2.437,2.437,413.6685,300
1986-07-17,2.437,2.437,2.437,2.437,413.6685,17600
1986-07-18,2.437,2.437,2.437,2.437,413.6685,300
1986-07-21,2.5,2.5,2.437,2.5,424.3625,8900
1986-07-22,2.25,2.5,2,2.25,381.9264,73600
1986-07-23,2,2.187,1.875,2,339.4897,122600
1986-07-24,1.812,2,1.5,1.812,307.5778,229300
1986-07-25,2.125,2.125,1.875,2.125,360.7082,16600
1986-07-28,1.875,2,1.875,1.875,318.2719,13100
1986-07-29,2,2.125,1.875,2,339.4897,19900
1986-07-30,1.937,2.125,1.875,1.937,328.796,3200
1986-07-31,2.125,2.125,1.875,2.125,360.7082,3300
1986-08-01,2,2.125,1.875,2,339.4897,11000
1986-08-04,2.125,2.125,2.125,2.125,360.7082,1200
1986-08-05,2.5,2.5,2.125,2.5,424.3625,17300
1986-08-06,2.375,2.375,2.25,2.375,403.1445,25500
1986-08-07,2.5,2.5,2.25,2.5,424.3625,6100
1986-08-08,2.25,2.5,2.25,2.25,381.9264,1300
1986-08-11,2.25,2.5,2.25,2.25,381.9264,800
1986-08-12,2.125,2.25,2.125,2.125,360.7082,20300
1986-08-13,2.125,2.25,2.125,2.125,360.7082,13400
1986-08-14,2.125,2.25,2.125,2.125,360.7082,1600
1986-08-15,2.125,2.25,2.125,2.125,360.7082,1100
1986-08-18,2,2.125,1.875,2,339.4897,213100
1986-08-19,2.125,2.25,2.125,2.125,360.7082,1000
1986-08-20,2.125,2.25,2.125,2.125,360.7082,150100
1986-08-21,2,2.125,2,2,339.4897,3600
1986-08-22,2,2.125,2,2,339.4897,4700
1986-08-25,2.125,2.125,2,2.125,360.7082,25000
1986-08-26,2.125,2.25,2,2.125,360.7082,30500
1986-08-27,2.125,2.375,2,2.125,360.7082,8600
1986-08-28,2.125,2.375,2.125,2.125,360.7082,1900
1986-08-29,2.125,2.125,2.125,2.125,360.7082,1800
1986-09-02,2.375,2.375,2.125,2.375,403.1445,3000
1986-09-03,2.125,2.375,2.125,2.125,360.7082,1200
1986-09-04,2.375,2.375,2.125,2.375,403.1445,6200
1986-09-05,2.125,2.375,2.125,2.125,360.7082,8900
1986-09-08,2.125,2.375,2.125,2.125,360.7082,13400
1986-09-09,2.125,2.375,2.125,2.125,360.7082,700
1986-09-10,2.125,2.125,2.125,2.125,360.7082,100
1986-09-11,2.375,2.375,2.375,2.375,403.1445,4000
1986-09-12,2.375,2.375,2.125,2.375,403.1445,700
1986-09-15,2.5,2.5,2.125,2.5,424.3625,4700
1986-09-16,2.25,2.375,2.25,2.25,381.9264,6900
1986-09-17,2.375,2.5,2.25,2.375,403.1445,17600
1986-09-18,2.25,2.25,2.25,2.25,381.9264,100
1986-09-19,2.25,2.5,2.25,2.25,381.9264,500
1986-09-22,2.5,2.5,2.25,2.5,424.3625,13300
1986-09-23,2.25,2.5,2.25,2.25,381.9264,4200
1986-09-24,2.25,2.5,2.25,2.25,381.9264,51400
1986-09-25,2.25,2.375,2.25,2.25,381.9264,15400
1986-09-26,2.25,2.25,2.25,2.25,381.9264,200
1986-09-30,2.5,2.5,2.5,2.5,424.3625,800
1986-10-01,2.437,2.5,2.375,2.437,413.6685,2200
1986-10-02,2.5,2.5,2.375,2.5,424.3625,700
1986-10-03,2.5,2.5,2.5,2.5,424.3625,700
1986-10-06,2.375,2.375,2.375,2.375,403.1445,2100
1986-10-07,2.375,2.375,2.375,2.375,403.1445,300
1986-10-08,2.5,2.5,2.5,2.5,424.3625,1900
1986-10-09,2.375,2.5,2.375,2.375,403.1445,2900
1986-10-10,2.5,2.5,2.375,2.5,424.3625,11700
1986-10-13,2.375,2.375,2.375,2.375,403.1445,1100
1986-10-14,2.375,2.375,2.375,2.375,403.1445,1200
1986-10-15,2.5,2.5,2.5,2.5,424.3625,5800
1986-10-16,2.5,2.5,2.5,2.5,424.3625,1000
1986-10-17,2.437,2.437,2.375,2.437,413.6685,19600
1986-10-20,2.25,2.5,2.25,2.25,381.9264,11300
1986-10-21,2.25,2.5,2.25,2.25,381.9264,7200
1986-10-22,2.25,2.25,2.25,2.25,381.9264,2900
1986-10-23,2.375,2.375,2.125,2.375,403.1445,10200
1986-10-24,2.125,2.375,2.125,2.125,360.7082,1400
1986-10-27,2.125,2.375,2.125,2.125,360.7082,2200
1986-10-28,2.125,2.125,2.125,2.125,360.7082,200
1986-10-29,2.125,2.25,2,2.125,360.7082,32400
1986-10-30,2,2.25,2,2,339.4897,35700
1986-10-31,2,2,2,2,339.4897,600
1986-11-03,2,2.25,2,2,339.4897,25200
1986-11-04,2.125,2.25,2,2.125,360.7082,16000
1986-11-05,2.125,2.25,2,2.125,360.7082,117200
1986-11-06,2,2,2,2,339.4897,800
1986-11-07,2,2,2,2,339.4897,1600
1986-11-10,2,2.25,2,2,339.4897,200
1986-11-11,2,2.25,2,2,339.4897,2600
1986-11-12,2.187,2.25,2,2.187,371.2324,23400
1986-11-13,2.25,2.25,2,2.25,381.9264,22200
1986-11-14,2.125,2.125,2.125,2.125,360.7082,6000
1986-11-17,2.25,2.25,2.125,2.25,381.9264,8800
1986-11-18,2.375,2.375,2.125,2.375,403.1445,1700
1986-11-19,2.25,2.375,2.125,2.25,381.9264,6800
1986-11-20,2.25,2.25,2.25,2.25,381.9264,1500
1986-11-21,2.25,2.25,2.25,2.25,381.9264,800
1986-11-24,2.25,2.25,2.25,2.25,381.9264,1300
1986-11-25,2.437,2.5,2.437,2.437,413.6685,10400
