,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2011-01-26,24.75,25.78,24.3,25.0,19.185,53157434
1,2011-01-27,24.9,25.85,24.9,25.4,19.492,5809324
2,2011-01-28,25.4,25.4,25.0,25.0,19.185,2611898
3,2011-01-31,24.98,26.5,24.75,26.07,20.0061,2505211
4,2011-02-01,26.45,26.63,25.5,25.75,19.7606,2155209
5,2011-02-02,25.98,26.33,25.74,25.95,19.914,1173080
6,2011-02-03,25.76,26.08,25.75,25.95,19.914,668254
7,2011-02-04,26.05,27.1,25.75,26.08,20.0138,720171
8,2011-02-07,26.05,26.2,25.64,25.79,19.7913,1204798
9,2011-02-08,25.7,26.06,25.65,26.03,19.9754,3631928
10,2011-02-09,25.97,26.2,25.53,25.58,19.6301,873112
11,2011-02-10,25.5,25.64,25.0,25.4,19.492,1149511
12,2011-02-11,26.02,26.02,25.11,25.22,19.3538,2107853
13,2011-02-14,25.47,25.47,25.11,25.37,19.469,1122490
14,2011-02-15,25.32,25.42,25.06,25.38,19.4766,887491
15,2011-02-16,25.31,26.0,25.31,26.0,19.9524,853316
16,2011-02-17,25.88,27.21,25.88,27.01,20.7275,1733035
17,2011-02-18,27.08,27.84,26.88,27.69,21.2493,2991074
18,2011-02-22,27.15,27.49,26.21,26.42,20.2747,1109310
19,2011-02-23,26.15,26.72,25.97,26.66,20.4589,1125323
20,2011-02-24,26.46,26.52,25.94,25.95,19.914,496901
21,2011-02-25,26.04,26.16,25.78,25.99,19.9447,556020
22,2011-02-28,26.11,26.74,25.96,26.59,20.4052,872315
23,2011-03-01,26.0,27.5,25.9201,27.13,20.8196,1033470
24,2011-03-02,27.05,27.25,26.74,26.92,20.6584,419643
25,2011-03-03,26.84,26.94,26.07,26.74,20.5203,2173582
26,2011-03-04,26.52,27.04,26.32,26.55,20.3745,719079
27,2011-03-07,27.27,27.84,26.85,27.0,20.7198,1476515
28,2011-03-08,27.0,27.49,26.9,27.1,20.7966,921279
29,2011-03-09,27.0,27.18,26.68,26.97,20.6968,470780
30,2011-03-10,26.47,26.94,25.87,26.02,19.9678,1128266
31,2011-03-11,25.81,26.48,25.81,26.0,19.9524,706848
32,2011-03-14,25.79,26.76,25.77,26.46,20.3054,786570
33,2011-03-15,25.9,26.58,25.81,26.34,20.2133,859551
34,2011-03-16,26.32,26.38,25.71,26.03,19.9754,1261035
35,2011-03-17,26.43,26.49,26.04,26.09,20.0215,363563
36,2011-03-18,26.2,26.66,26.2,26.64,20.4436,663809
37,2011-03-21,26.65,27.06,26.44,27.0,20.7198,377505
38,2011-03-22,26.91,27.47,26.82,27.15,20.8349,720548
39,2011-03-23,27.01,27.38,26.63,26.78,20.551,811977
40,2011-03-24,26.85,27.14,26.43,27.06,20.7659,225155
41,2011-03-25,27.21,28.15,27.21,27.62,21.1956,475112
42,2011-03-28,27.58,28.02,27.34,27.49,21.0958,605216
43,2011-03-29,27.52,27.94,27.31,27.94,21.4412,410800
44,2011-03-30,28.01,28.15,27.62,27.82,21.3491,911933
45,2011-03-31,27.84,27.95,27.15,27.31,20.9577,5847396
46,2011-04-01,27.4,27.66,27.01,27.29,20.9424,609793
47,2011-04-04,27.28,28.0,27.28,27.75,21.2954,945486
48,2011-04-05,27.64,27.64,27.17,27.41,21.0345,273377
49,2011-04-06,27.49,27.53,27.06,27.5,21.1035,653838
50,2011-04-07,27.39,27.61,26.94,27.48,21.0882,242400
51,2011-04-08,27.77,27.77,26.91,27.03,20.7428,446005
52,2011-04-11,27.0,27.97,26.88,27.65,21.2186,483623
53,2011-04-12,27.48,28.26,27.32,28.08,21.5486,1260285
54,2011-04-13,28.18,28.42,27.93,28.07,21.5409,1031564
55,2011-04-14,27.97,28.05,27.4805,27.66,21.2263,161663
56,2011-04-15,27.63,28.03,27.54,28.02,21.5026,246769
57,2011-04-18,27.7,27.88,27.22,27.3,20.95,311465
58,2011-04-19,27.3,28.19,27.27,27.6,21.1803,371104
59,2011-04-20,27.92,28.0,27.14,27.28,20.9347,1493472
60,2011-04-21,27.48,29.23,27.48,28.75,22.0628,1009424
61,2011-04-25,28.87,29.06,27.81,28.6,21.9477,1074140
62,2011-04-26,28.6,28.74,28.09,28.47,21.8479,491122
63,2011-04-27,28.57,29.11,28.52,28.72,22.0397,848455
64,2011-04-28,28.77,31.5,28.65,29.32,22.5002,2091129
65,2011-04-29,29.38,30.1,29.2709,29.89,22.9376,1065551
66,2011-05-02,29.89,30.15,29.74,29.83,22.8916,437743
67,2011-05-03,29.85,29.95,29.26,29.35,22.5232,470631
68,2011-05-04,29.5,29.58,28.58,28.85,22.1395,598990
69,2011-05-05,28.77,29.83,28.75,29.77,22.8455,415510
70,2011-05-06,29.94,30.13,29.6,29.83,22.8916,198457
71,2011-05-09,29.9,30.78,29.78,30.29,23.2446,742140
72,2011-05-10,30.43,30.85,30.09,30.22,23.1908,328480
73,2011-05-11,30.41,30.5,30.04,30.19,23.1678,701908
74,2011-05-12,30.08,30.52,29.35,30.27,23.2292,657188
75,2011-05-13,30.37,30.72,29.905,30.6,23.4825,383609
76,2011-05-16,30.49,31.47,30.2,30.9,23.7127,694375
77,2011-05-17,30.89,32.62,30.89,32.06,24.6029,1766229
78,2011-05-18,31.13,32.33,30.73,32.03,24.5798,1327343
79,2011-05-19,31.9,32.15,31.35,31.7,24.3266,643998
80,2011-05-20,31.73,32.07,31.5,31.94,24.5108,599317
81,2011-05-23,31.69,32.025,31.21,31.45,24.1347,732878
82,2011-05-24,31.74,31.75,30.13,30.61,23.4901,1721396
83,2011-05-25,30.61,31.86,30.33,30.74,23.5899,1114318
84,2011-05-26,30.77,31.2,30.54,31.02,23.8048,669025
85,2011-05-27,31.31,31.83,31.09,31.36,24.0657,1110116
86,2011-05-31,31.78,33.0,31.25,31.49,24.1654,4235962
87,2011-06-01,31.59,31.685,30.7,30.83,23.659,618092
88,2011-06-02,30.9,32.11,30.85,32.0,24.5568,597530
89,2011-06-03,31.65,31.96,31.14,31.62,24.2652,360371
90,2011-06-06,31.64,31.79,31.07,31.15,23.9045,281149
91,2011-06-07,31.18,32.0599,31.15,31.77,24.3803,782971
92,2011-06-08,31.64,31.85,31.38,31.44,24.1271,397145
93,2011-06-09,31.55,31.55,31.13,31.49,24.1654,153172
94,2011-06-10,31.43,31.43,30.29,30.56,23.4518,280867
95,2011-06-13,30.54,31.27,30.48,30.64,23.5132,508896
96,2011-06-14,30.82,31.2,30.57,30.61,23.4901,242153
97,2011-06-15,30.36,31.16,29.72,29.74,22.8225,848105
98,2011-06-16,29.71,29.9,28.59,29.13,22.3544,1063265
99,2011-06-17,29.27,31.17,29.27,30.28,23.2369,1302419
100,2011-06-20,30.16,30.25,29.385,29.54,22.669,515381
101,2011-06-21,29.5,30.74,29.32,30.55,23.4441,290951
102,2011-06-22,30.38,30.5,29.94,30.01,23.0297,345874
103,2011-06-23,29.78,30.93,29.53,30.75,23.5976,927863
104,2011-06-24,30.67,30.78,29.66,29.97,22.999,1285592
105,2011-06-27,29.92,30.15,29.34,29.4,22.5616,285785
106,2011-06-28,29.7,30.08,29.13,29.93,22.9683,435357
107,2011-06-29,29.97,30.72,29.73,30.5,23.4057,629496
108,2011-06-30,30.63,31.68,30.43,31.16,23.9122,779482
109,2011-07-01,31.11,31.29,30.17,30.84,23.6666,627971
110,2011-07-05,30.74,30.95,30.2,30.9,23.7127,190355
111,2011-07-06,30.91,31.2,30.41,30.69,23.5515,307185
112,2011-07-07,30.84,31.8,30.7206,31.36,24.0657,210316
113,2011-07-08,30.93,31.01,30.31,30.62,23.4978,150140
114,2011-07-11,30.32,30.51,30.0,30.08,23.0834,106430
115,2011-07-12,29.84,30.36,29.75,30.05,23.0604,289659
116,2011-07-13,30.31,31.12,29.97,30.1,23.0988,197729
117,2011-07-14,30.1,30.44,29.61,30.3,23.2522,504415
118,2011-07-15,30.68,31.48,30.68,31.04,23.8201,516933
119,2011-07-18,30.99,31.12,30.14,30.53,23.4287,347401
120,2011-07-19,30.63,31.34,30.63,30.84,23.6666,286977
121,2011-07-20,30.81,31.0,30.1,30.22,23.1908,441789
122,2011-07-21,30.5,30.74,30.33,30.51,23.4134,1397647
123,2011-07-22,30.62,31.35,30.46,30.94,23.7434,754067
124,2011-07-25,30.58,31.09,30.24,30.38,23.3136,719386
125,2011-07-26,30.4,30.57,30.16,30.29,23.2446,432518
126,2011-07-27,30.06,30.65,29.89,30.39,23.3213,1087854
127,2011-07-28,30.76,31.83,30.32,30.39,23.3213,824328
128,2011-07-29,30.03,30.14,29.68,29.96,22.9913,1749928
129,2011-08-01,30.22,30.48,29.7008,29.89,22.9376,502701
130,2011-08-02,29.67,30.0,28.94,29.0,22.2546,436354
131,2011-08-03,28.92,29.15,28.41,29.11,22.339,607954
132,2011-08-04,28.66,28.99,28.11,28.12,21.5793,909037
133,2011-08-05,28.33,28.53,26.74,27.65,21.2186,1560536
134,2011-08-08,26.75,27.44,26.06,26.12,20.0445,1136219
135,2011-08-09,26.36,27.06,25.79,27.05,20.7582,1107152
136,2011-08-10,26.59,27.41,26.37,26.47,20.3131,1437777
137,2011-08-11,26.7,27.64,26.42,27.43,21.0498,944823
138,2011-08-12,27.49,27.79,26.96,27.05,20.7582,289520
139,2011-08-15,27.18,28.01,27.11,27.88,21.3951,808511
140,2011-08-16,27.71,28.2,27.55,27.87,21.3875,517480
141,2011-08-17,27.92,28.785,27.92,28.51,21.8786,547393
142,2011-08-18,28.08,28.08,26.73,27.41,21.0345,1152936
143,2011-08-19,26.96,27.57,26.51,26.56,20.3822,1435187
144,2011-08-22,26.92,27.85,26.8,27.68,21.2416,1520877
145,2011-08-23,27.84,27.87,26.71,27.44,21.0575,847476
146,2011-08-24,27.18,28.23,27.17,27.75,21.2954,856953
147,2011-08-25,27.76,27.85,27.23,27.52,21.1189,670050
148,2011-08-26,27.4,28.85,27.05,28.29,21.7098,772356
149,2011-08-29,28.57,29.68,28.23,29.55,22.6767,462685
150,2011-08-30,29.37,29.68,28.92,29.43,22.5846,465239
151,2011-08-31,29.52,29.87,29.34,29.66,22.7611,583742
152,2011-09-01,29.63,29.89,29.34,29.39,22.5539,294615
153,2011-09-02,29.04,29.55,28.89,29.51,22.646,531944
154,2011-09-06,28.76,29.13,28.37,28.83,22.1242,575424
155,2011-09-07,29.16,29.5,28.83,29.07,22.3083,849794
156,2011-09-08,28.84,29.28,28.84,29.13,22.3544,401049
157,2011-09-09,28.97,29.15,27.87,28.33,21.7405,450725
158,2011-09-12,28.01,28.27,27.48,27.8,21.3337,323224
159,2011-09-13,27.88,27.88,27.44,27.61,21.1879,566123
160,2011-09-14,27.76,27.76,27.03,27.06,20.7659,889634
161,2011-09-15,27.39,27.88,27.12,27.72,21.2723,641056
162,2011-09-16,27.88,28.34,27.6182,28.28,21.7021,359103
163,2011-09-19,27.98,28.59,27.55,28.26,21.6867,605568
164,2011-09-20,28.28,28.34,27.48,27.67,21.234,1251857
165,2011-09-21,27.67,28.72,27.5012,28.59,21.94,1313997
166,2011-09-22,27.86,27.88,25.7,26.12,20.0445,1613707
167,2011-09-23,25.25,26.69,24.67,26.62,20.4282,1210801
168,2011-09-26,26.47,26.975,25.825,26.76,20.5356,1186215
169,2011-09-27,27.05,27.81,26.91,27.4,21.0268,1738537
170,2011-09-28,27.5,28.31,27.26,27.35,20.9884,1368439
171,2011-09-29,27.73,28.01,26.32,26.75,20.528,923831
172,2011-09-30,26.43,26.89,25.9516,26.08,20.0138,539600
173,2011-10-03,25.97,26.53,24.99,25.05,19.2234,745189
174,2011-10-04,24.86,25.51,24.38,25.12,19.2771,660152
175,2011-10-05,26.21,26.93,26.05,26.53,20.3591,1000280
176,2011-10-06,26.6,27.7,26.26,27.38,21.0114,1575362
177,2011-10-07,27.72,27.74,27.04,27.29,20.9424,333782
178,2011-10-10,27.62,27.78,27.03,27.5,21.1035,704039
179,2011-10-11,27.35,27.48,26.9,27.08,20.7812,651921
180,2011-10-12,27.29,27.84,27.13,27.7,21.257,616117
181,2011-10-13,27.56,28.08,27.45,27.95,21.4488,593945
182,2011-10-14,28.3,28.44,27.9,28.22,21.656,497622
183,2011-10-17,28.02,28.22,27.63,28.04,21.5179,278451
184,2011-10-18,27.91,28.69,27.15,28.3,21.7174,467112
185,2011-10-19,28.11,28.47,27.86,28.18,21.6253,768991
186,2011-10-20,28.08,28.82,27.39,28.81,22.1088,518811
187,2011-10-21,28.93,29.25,28.83,28.98,22.2393,699584
188,2011-10-24,28.99,29.12,28.68,28.78,22.0858,276494
189,2011-10-25,28.68,28.92,28.06,28.18,21.6253,619734
190,2011-10-26,28.38,28.56,27.25,27.39,21.0191,447736
191,2011-10-27,28.78,30.34,28.0,29.88,22.9299,1039804
192,2011-10-28,29.07,30.26,28.97,29.45,22.5999,2016922
193,2011-10-31,29.11,29.74,28.46,29.35,22.5232,1023299
194,2011-11-01,28.61,28.9,28.37,28.74,22.0551,458959
195,2011-11-02,28.79,29.15,28.41,28.7,22.0244,331154
196,2011-11-03,28.83,29.03,28.51,28.93,22.2009,146630
197,2011-11-04,28.69,29.5,28.55,29.47,22.6153,385713
198,2011-11-07,29.42,30.46,29.3217,30.05,23.0604,416344
199,2011-11-08,30.19,30.44,29.8,30.25,23.2139,546613
200,2011-11-09,29.73,30.0,29.39,29.48,22.623,454070
