,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1996-10-29,20.1139,20.9885,19.9891,20.1139,3.7879,12100000
1,1996-10-30,20.2388,23.4871,20.2388,22.7374,4.2819,2504800
2,1996-10-31,22.7374,23.6119,22.6125,23.2371,4.376,2497200
3,1996-11-01,23.2371,23.3622,21.738,21.9879,4.1408,1462400
4,1996-11-04,22.1128,22.2377,21.738,21.738,4.0937,284000
5,1996-11-05,21.738,21.8628,21.6131,21.6131,4.0702,293600
6,1996-11-06,21.738,21.9879,21.4882,21.8628,4.1172,179200
7,1996-11-07,21.738,22.1128,21.6131,22.1128,4.1643,246400
8,1996-11-08,22.2377,23.2371,22.1128,22.9874,4.329,396000
9,1996-11-11,23.1122,23.8619,23.1122,23.4871,4.4231,323200
10,1996-11-12,23.4871,24.2365,23.4871,23.9868,4.5172,236000
11,1996-11-13,24.4865,26.1105,24.1117,25.4859,4.7995,735600
12,1996-11-14,25.7357,26.7353,25.7357,26.2356,4.9407,609200
13,1996-11-15,26.4854,26.6102,25.8608,26.1105,4.9172,494800
14,1996-11-18,25.9856,25.9856,24.8613,25.4859,4.7995,358400
15,1996-11-19,25.7357,25.7357,25.3611,25.7357,4.8466,93200
16,1996-11-20,25.7357,25.8608,25.6108,25.6108,4.8231,174000
17,1996-11-21,25.7357,25.7357,25.3611,25.3611,4.776,457200
18,1996-11-22,25.6108,26.6102,25.3611,25.4859,4.7995,442800
19,1996-11-25,25.6108,27.235,25.6108,26.9851,5.0818,257600
20,1996-11-26,27.235,28.3593,27.235,27.4848,5.176,759200
21,1996-11-27,27.7348,27.9845,27.6097,27.9845,5.2701,58000
22,1996-11-29,28.2345,28.2345,28.1094,28.2345,5.3171,7600
23,1996-12-02,28.2345,28.2345,27.6097,27.9845,5.2701,215600
24,1996-12-03,27.9845,29.1088,27.9845,29.1088,5.4818,328000
25,1996-12-04,29.1088,29.1088,28.4842,28.4842,5.3642,326000
26,1996-12-05,28.7342,28.9839,28.2345,28.7342,5.4112,64000
27,1996-12-06,28.4842,28.6091,27.7348,27.9845,5.2701,57600
28,1996-12-09,28.1094,28.9839,28.1094,28.7342,5.4112,103600
29,1996-12-10,28.7342,28.7342,27.7348,27.7348,5.223,41600
30,1996-12-11,27.6097,27.6097,25.8608,26.1105,4.9172,82800
31,1996-12-12,26.3605,26.8602,26.3605,26.8602,5.0583,65200
32,1996-12-13,26.9851,26.9851,26.6102,26.7353,5.0348,154000
33,1996-12-16,26.8602,27.4848,26.8602,27.4848,5.176,122000
