,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,3.5938,3.5938,3.5625,3.5938,0.6673,42400
1,1984-11-06,3.5938,3.5938,3.5313,3.5938,0.6673,82400
2,1984-11-07,3.5313,3.5938,3.5313,3.5313,0.6557,113600
3,1984-11-08,3.5625,3.5625,3.5,3.5625,0.6615,15200
4,1984-11-09,3.5625,3.5625,3.5313,3.5625,0.6615,13600
5,1984-11-12,3.5625,3.5938,3.5313,3.5625,0.6615,37600
6,1984-11-13,3.7188,3.7188,3.625,3.7188,0.6905,39200
7,1984-11-14,3.75,3.7813,3.7188,3.75,0.6963,269600
8,1984-11-15,3.75,3.7813,3.75,3.75,0.6963,42400
9,1984-11-16,3.8438,3.8438,3.8125,3.8438,0.7137,86400
10,1984-11-19,3.7813,3.7813,3.7813,3.7813,0.7021,15200
11,1984-11-20,3.75,3.7813,3.75,3.75,0.6963,77600
12,1984-11-21,3.7813,3.7813,3.7813,3.7813,0.7021,7200
13,1984-11-23,3.8438,3.875,3.8438,3.8438,0.7137,212000
14,1984-11-26,3.8438,3.8438,3.8125,3.8438,0.7137,98400
15,1984-11-27,3.8125,3.8438,3.8125,3.8125,0.7079,8800
16,1984-11-28,3.8125,3.8125,3.7813,3.8125,0.7079,59200
17,1984-11-29,3.8125,3.8438,3.8125,3.8125,0.7079,66400
18,1984-11-30,3.8125,3.8438,3.8125,3.8125,0.7079,91200
19,1984-12-03,3.875,3.875,3.875,3.875,0.7195,42400
20,1984-12-04,3.8125,3.8438,3.8125,3.8125,0.7079,60800
21,1984-12-05,3.8438,3.8438,3.8438,3.8438,0.7137,16000
22,1984-12-06,3.8125,3.875,3.8125,3.8125,0.7079,27200
23,1984-12-07,3.875,3.9063,3.8125,3.875,0.7195,40000
24,1984-12-10,3.7813,3.8125,3.7188,3.7813,0.7021,88000
25,1984-12-11,3.8125,3.8125,3.8125,3.8125,0.7079,4800
26,1984-12-12,3.8438,3.875,3.8125,3.8438,0.7137,51200
27,1984-12-13,3.8125,3.8438,3.8125,3.8125,0.7079,6400
28,1984-12-14,3.875,3.875,3.875,3.875,0.7195,7200
29,1984-12-17,3.875,3.875,3.875,3.875,0.7195,72800
30,1984-12-18,3.9375,3.9375,3.8438,3.9375,0.7311,24000
31,1984-12-19,3.875,3.9688,3.875,3.875,0.7195,60000
32,1984-12-20,3.875,3.875,3.875,3.875,0.7195,3200
33,1984-12-21,3.875,3.9063,3.875,3.875,0.7195,44000
34,1984-12-24,3.875,3.875,3.875,3.875,0.7195,6400
35,1984-12-26,3.875,3.875,3.875,3.875,0.7195,12800
36,1984-12-27,3.875,3.875,3.875,3.875,0.7195,35200
37,1984-12-28,3.875,3.9063,3.875,3.875,0.7195,12000
38,1984-12-31,3.9063,3.9063,3.875,3.9063,0.7253,45600
39,1985-01-02,3.875,3.875,3.875,3.875,0.7195,10400
40,1985-01-03,3.9063,3.9063,3.875,3.9063,0.7253,5600
41,1985-01-04,3.9063,3.9063,3.9063,3.9063,0.7253,11200
42,1985-01-07,3.9063,3.9063,3.875,3.9063,0.7253,7200
43,1985-01-08,3.8438,3.875,3.8125,3.8438,0.7137,28800
44,1985-01-09,3.8438,3.8438,3.8125,3.8438,0.7137,6400
45,1985-01-10,3.7813,3.7813,3.7813,3.7813,0.7021,11200
46,1985-01-11,3.875,3.875,3.875,3.875,0.7195,14400
47,1985-01-14,3.9063,3.9063,3.875,3.9063,0.7253,37600
48,1985-01-15,3.9375,3.9688,3.9375,3.9375,0.7311,69600
49,1985-01-16,4.0,4.0,3.9375,4.0,0.7427,410400
50,1985-01-17,4.2188,4.2188,4.0625,4.2188,0.7833,92000
51,1985-01-18,4.25,4.3438,4.2188,4.25,0.7891,214400
52,1985-01-21,4.3125,4.3125,4.25,4.3125,0.8007,133600
53,1985-01-22,4.375,4.4688,4.3125,4.375,0.8123,123200
54,1985-01-23,4.5,4.5,4.4063,4.5,0.8355,312800
55,1985-01-24,4.7188,4.7188,4.5313,4.7188,0.8762,114400
56,1985-01-25,4.7188,4.7188,4.6875,4.7188,0.8762,60000
57,1985-01-28,4.625,4.6875,4.5938,4.625,0.8587,138400
58,1985-01-29,4.5625,4.5938,4.5,4.5625,0.8471,106400
59,1985-01-30,4.6563,4.6875,4.5938,4.6563,0.8645,59200
60,1985-01-31,4.6563,4.6563,4.6563,4.6563,0.8645,90400
61,1985-02-01,4.625,4.6563,4.625,4.625,0.8587,66400
62,1985-02-04,4.625,4.625,4.5625,4.625,0.8587,59200
63,1985-02-05,4.5625,4.625,4.5625,4.5625,0.8471,62400
