,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2021-05-14,31.0,33.25,31.0,33.25,31.523,342947
1,2021-05-17,34.0,35.0,34.0,34.1,32.3289,31467
2,2021-05-18,34.48,38.4205,34.48,37.5,35.5523,48892
3,2021-05-19,37.0,37.75,37.0,37.5,35.5523,43936
4,2021-05-20,37.5,37.75,37.5,37.75,35.7893,22918
5,2021-05-21,38.5,38.5,37.5,37.6,35.6471,18272
6,2021-05-24,38.0,38.25,37.9,38.0,36.0263,30555
7,2021-05-25,38.75,38.75,36.9,36.95,35.0309,35756
8,2021-05-26,37.9999,37.9999,36.0,36.83,34.9171,44359
9,2021-05-27,37.0,37.0,35.5,35.5,33.6562,40667
10,2021-05-28,36.0,37.1093,35.75,35.75,33.8932,60810
11,2021-06-01,36.65,37.459,35.9,36.0,34.1302,51993
12,2021-06-02,36.5,36.74,34.5,35.26,33.4286,1306897
13,2021-06-03,34.15,38.24,32.22,37.0,35.0783,22326020
14,2021-06-04,36.15,36.17,33.71,34.15,32.3763,7502305
15,2021-06-07,33.6,33.88,30.85,31.42,29.7881,11513110
16,2021-06-08,30.33,30.91,28.53,28.91,27.4084,18500289
17,2021-06-09,28.3,29.44,27.25,28.45,26.9723,14563600
18,2021-06-10,28.46,31.16,28.4,30.33,28.7547,11205890
19,2021-06-11,30.38,30.38,29.4,29.65,28.11,5728907
20,2021-06-14,30.08,30.63,29.27,30.28,28.7073,6971953
21,2021-06-15,30.03,32.09,29.8,31.81,30.1578,6339088
22,2021-06-16,31.52,31.65,30.27,30.7,29.1055,5288132
23,2021-06-17,30.49,31.73,30.1,31.46,29.826,5086446
24,2021-06-18,31.5,31.71,29.96,29.98,28.4229,10213830
25,2021-06-21,30.2,30.67,29.36,29.41,27.8825,3542702
26,2021-06-22,29.25,29.87,28.845,29.53,27.9962,4218326
27,2021-06-23,29.53,30.08,29.1,29.5,27.9678,3880875
28,2021-06-24,29.39,30.07,29.3,29.77,28.2238,2769564
29,2021-06-25,29.77,30.87,29.21,30.19,28.622,13582740
30,2021-06-28,29.69,31.03,29.41,30.94,29.333,3106152
31,2021-06-29,30.98,31.32,30.46,30.55,28.9633,2256727
32,2021-06-30,30.33,30.83,30.25,30.26,28.6883,2011138
33,2021-07-01,30.11,31.24,30.06,30.82,29.2192,2437119
34,2021-07-02,30.71,31.12,30.3,30.86,29.2572,1813073
35,2021-07-06,30.6,31.1,29.9,31.0,29.3899,2853517
36,2021-07-07,31.0,31.0399,29.87,30.12,28.5556,2936212
37,2021-07-08,29.65,30.18,29.26,29.65,28.11,1931412
38,2021-07-09,29.95,30.28,29.59,30.1,28.5366,2345711
39,2021-07-12,29.77,30.38,29.57,29.74,28.1953,1855651
40,2021-07-13,29.5,29.885,28.96,29.1,27.5886,2047933
41,2021-07-14,28.98,29.4,28.84,29.34,27.8161,2004663
42,2021-07-15,28.85,29.49,28.69,28.91,27.4084,2112296
43,2021-07-16,28.77,29.0,28.42,28.87,27.3705,1757732
44,2021-07-19,28.63,29.17,28.54,29.14,27.6265,2261653
45,2021-07-20,29.17,29.78,29.06,29.61,28.0721,1922637
46,2021-07-21,29.66,30.5,29.53,30.46,28.8779,2068422
47,2021-07-22,30.43,31.06,30.25,30.92,29.3141,2221127
48,2021-07-23,30.89,30.92,29.712,29.8,28.2522,1618174
49,2021-07-26,29.71,30.21,29.18,29.66,28.1195,1526892
50,2021-07-27,29.36,29.64,28.825,29.12,27.6075,2005402
51,2021-07-28,29.13,29.87,29.0,29.74,28.1953,1854551
52,2021-07-29,29.59,29.86,29.21,29.23,27.7118,1777020
53,2021-07-30,29.06,29.4,28.91,29.01,27.5033,1504450
54,2021-08-02,29.08,29.635,29.04,29.53,27.9962,1761869
55,2021-08-03,29.28,29.58,29.01,29.51,27.9773,1386730
56,2021-08-04,29.32,29.32,28.61,28.63,27.143,1851926
57,2021-08-05,28.64,29.58,28.5,29.56,28.0247,2190667
58,2021-08-06,29.49,29.78,29.17,29.5,27.9678,1298680
59,2021-08-09,29.78,30.0,28.9199,29.1,27.5886,1982564
60,2021-08-10,29.08,30.485,28.92,30.35,28.7737,2980245
61,2021-08-11,30.35,30.4,29.7201,29.93,28.3755,1869093
62,2021-08-12,31.06,34.0,31.0,33.5,31.76,7829569
63,2021-08-13,33.5,34.49,32.86,34.21,32.4332,3441477
64,2021-08-16,34.24,34.79,33.91,34.33,32.5469,2745751
65,2021-08-17,34.74,35.8197,34.44,35.38,33.5424,4683490
66,2021-08-18,35.88,36.49,33.5419,33.59,31.8454,4684987
67,2021-08-19,33.4,34.5668,33.015,34.1,32.3289,2501347
68,2021-08-20,33.95,34.46,33.15,33.22,31.7553,2354628
69,2021-08-23,33.55,33.79,32.86,33.24,31.7745,2473710
70,2021-08-24,33.35,33.82,32.96,33.16,31.698,2117657
71,2021-08-25,33.01,33.61,32.37,33.3,31.8318,1929428
72,2021-08-26,33.22,34.36,33.22,33.96,32.4627,1607914
73,2021-08-27,33.98,34.32,33.73,34.25,32.7399,1165789
74,2021-08-30,34.09,34.24,33.66,33.72,32.2333,1069016
75,2021-08-31,33.54,34.0981,33.42,33.89,32.3958,1694611
76,2021-09-01,34.45,35.37,34.26,34.56,33.0363,2738788
77,2021-09-02,35.12,35.64,34.35,35.61,34.04,2560691
78,2021-09-03,35.47,35.65,34.86,35.61,34.04,1466389
79,2021-09-07,35.28,35.75,34.87,35.64,34.0686,2247963
80,2021-09-08,35.53,35.53,34.75,34.97,33.4282,2185017
81,2021-09-09,34.97,35.0,34.24,34.68,33.151,1573687
82,2021-09-10,34.91,35.0,33.87,33.88,32.3862,1658485
83,2021-09-13,34.17,34.18,33.531,33.83,32.3384,1950103
84,2021-09-14,33.75,33.88,33.25,33.42,31.9465,1570318
85,2021-09-15,33.5,34.26,33.24,33.72,32.2333,1953210
86,2021-09-16,33.89,34.09,33.02,33.76,32.2715,1280625
87,2021-09-17,33.7,34.08,33.26,34.03,32.5296,4341396
88,2021-09-20,33.24,33.6999,32.77,32.94,31.4877,1937552
