,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1993-04-23,19.25,19.5,18.75,19.25,2.4063,16484800
1,1993-04-26,19.0,19.25,18.75,18.75,2.3438,3334400
2,1993-04-27,19.0,19.0,18.25,18.5,2.3125,2046400
3,1993-04-28,18.75,18.75,18.25,18.25,2.2813,897600
4,1993-04-29,18.25,18.75,18.25,18.5,2.3125,844800
5,1993-04-30,18.75,19.25,18.5,18.75,2.3438,1180800
6,1993-05-03,19.25,19.25,18.5,18.75,2.3438,623200
7,1993-05-04,19.0,19.25,18.5,19.0,2.375,555200
8,1993-05-05,19.0,19.5,19.0,19.5,2.4375,900800
9,1993-05-06,19.5,19.75,19.0,19.6252,2.4531,635200
10,1993-05-07,19.25,19.75,19.25,19.25,2.4063,170400
11,1993-05-10,19.75,20.0,19.25,19.5,2.4375,438400
12,1993-05-11,19.5,20.25,19.5,19.75,2.4688,312800
13,1993-05-12,20.0,20.25,19.5,20.25,2.5313,907200
14,1993-05-13,20.25,20.75,19.75,20.75,2.5938,608000
15,1993-05-14,20.75,22.25,20.25,21.8752,2.7344,774400
16,1993-05-17,22.25,22.25,21.0,21.5,2.6875,349600
17,1993-05-18,21.0,21.5,20.75,21.25,2.6563,555200
18,1993-05-19,21.25,21.25,20.5,20.8752,2.6094,408800
19,1993-05-20,21.0,21.0,20.5,20.5,2.5625,428000
20,1993-05-21,20.5,21.0,20.5,20.75,2.5938,144000
21,1993-05-24,21.0,21.0,20.5,20.5,2.5625,16800
22,1993-05-25,20.5,21.0,20.5,20.75,2.5938,62400
23,1993-05-26,21.0,21.0,20.5,20.5,2.5625,206400
24,1993-05-27,20.75,21.0,20.5,21.0,2.625,196800
25,1993-05-28,21.0,21.25,20.5,21.25,2.6563,175200
26,1993-06-01,21.25,22.0,21.25,21.25,2.6563,525600
27,1993-06-02,21.75,22.25,21.25,22.25,2.7813,302400
28,1993-06-03,22.5,22.5,22.0,22.5,2.8125,341600
29,1993-06-04,22.5,22.5,22.0,22.0,2.75,86400
30,1993-06-07,22.5,22.5,22.0,22.5,2.8125,288000
31,1993-06-08,22.5,22.5,22.0,22.5,2.8125,616800
32,1993-06-09,22.0,22.5,22.0,22.5,2.8125,96800
33,1993-06-10,22.25,23.25,22.25,22.75,2.8438,1295200
34,1993-06-11,23.0,23.25,22.75,23.0,2.875,213600
35,1993-06-14,23.25,23.25,22.75,22.75,2.8438,80800
36,1993-06-15,23.25,23.25,22.0,22.5,2.8125,663200
37,1993-06-16,22.0,22.5,22.0,22.0,2.75,353600
38,1993-06-17,22.0,22.5,22.0,22.0,2.75,135200
39,1993-06-18,22.5,23.25,22.0,23.0,2.875,132800
40,1993-06-21,22.75,23.5,22.75,23.1252,2.8906,365600
41,1993-06-22,23.5,23.5,23.0,23.5,2.9375,92000
42,1993-06-23,23.5,23.5,23.0,23.5,2.9375,132000
43,1993-06-24,23.5,23.5,23.0,23.5,2.9375,39200
44,1993-06-25,23.5,23.5,22.75,23.5,2.9375,167200
45,1993-06-28,23.5,23.75,22.75,23.75,2.9688,244800
46,1993-06-29,23.25,25.0,23.25,24.25,3.0313,301600
47,1993-06-30,24.75,24.75,23.5,24.0,3.0,194400
48,1993-07-01,24.0,24.0,23.25,23.25,2.9063,49600
49,1993-07-02,23.25,23.75,23.0,23.5,2.9375,37600
50,1993-07-06,23.5,23.5,23.5,23.5,2.9375,18400
51,1993-07-07,23.5,23.5,23.0,23.5,2.9375,44000
52,1993-07-08,23.5,24.0,23.5,23.5,2.9375,62400
53,1993-07-09,24.0,24.0,23.5,24.0,3.0,6400
54,1993-07-12,24.0,24.0,23.5,24.0,3.0,53600
55,1993-07-13,23.5,24.0,23.5,23.75,2.9688,44800
56,1993-07-14,24.0,24.0,24.0,24.0,3.0,4000
57,1993-07-15,24.0,24.0,23.5,23.5,2.9375,4800
58,1993-07-16,24.0,24.0,23.5,23.5,2.9375,30400
59,1993-07-19,23.5,23.75,23.25,23.25,2.9063,161600
60,1993-07-20,23.75,23.75,23.25,23.25,2.9063,148800
61,1993-07-21,23.25,24.0,23.25,24.0,3.0,13600
62,1993-07-22,24.0,24.0,23.25,23.25,2.9063,78400
63,1993-07-23,23.75,23.75,23.25,23.5,2.9375,100800
64,1993-07-26,23.5,23.75,23.5,23.5,2.9375,34400
65,1993-07-27,23.5,23.75,23.5,23.5,2.9375,33600
66,1993-07-28,24.0,24.0,23.5,23.5,2.9375,139200
67,1993-07-29,24.0,24.0,23.5,23.5,2.9375,11200
68,1993-07-30,23.5,24.25,23.5,23.75,2.9688,220000
69,1993-08-02,23.5,23.75,23.25,23.75,2.9688,129600
70,1993-08-03,23.75,23.75,23.25,23.75,2.9688,192000
71,1993-08-04,23.75,23.75,23.25,23.25,2.9063,71200
72,1993-08-05,23.75,23.75,23.25,23.5,2.9375,160800
73,1993-08-06,23.75,23.75,23.25,23.25,2.9063,338400
74,1993-08-09,23.0,23.5,23.0,23.1252,2.8906,67200
75,1993-08-10,23.0,23.3752,23.0,23.0,2.875,638400
76,1993-08-11,23.5,23.5,23.0,23.5,2.9375,16800
77,1993-08-12,23.0,23.75,23.0,23.75,2.9688,301600
78,1993-08-13,23.25,24.0,23.25,24.0,3.0,52000
79,1993-08-16,24.0,24.0,23.25,23.5,2.9375,320800
80,1993-08-17,24.0,24.0,23.25,24.0,3.0,72800
81,1993-08-18,23.25,24.0,23.25,23.6252,2.9531,40800
82,1993-08-19,23.25,24.0,23.25,23.25,2.9063,19200
83,1993-08-20,24.0,24.0,23.25,23.25,2.9063,34400
84,1993-08-23,23.25,23.3752,23.25,23.25,2.9063,412000
85,1993-08-24,23.25,23.75,23.25,23.75,2.9688,554400
86,1993-08-25,23.75,23.75,23.25,23.3752,2.9219,159200
87,1993-08-26,23.25,23.75,23.25,23.75,2.9688,35200
88,1993-08-27,23.75,23.75,23.75,23.75,2.9688,3200
89,1993-08-30,23.25,23.75,23.0,23.0,2.875,187200
90,1993-08-31,23.0,23.5,23.0,23.5,2.9375,5600
91,1993-09-01,23.0,23.3752,22.75,23.0,2.875,496800
92,1993-09-02,23.25,23.25,22.5,22.75,2.8438,72800
93,1993-09-03,23.25,23.25,22.75,23.25,2.9063,21600
94,1993-09-07,23.25,23.25,22.75,22.75,2.8438,38400
95,1993-09-08,22.75,23.0,22.3752,22.75,2.8438,150400
96,1993-09-09,22.25,22.75,22.25,22.75,2.8438,176000
97,1993-09-10,22.75,23.25,22.5,23.25,2.9063,145600
98,1993-09-13,23.25,23.25,22.75,22.75,2.8438,10400
99,1993-09-14,22.75,23.5,22.75,23.5,2.9375,108800
100,1993-09-15,23.0,23.5,23.0,23.5,2.9375,31200
101,1993-09-16,23.5,23.5,23.0,23.5,2.9375,40800
102,1993-09-17,23.5,23.5,23.0,23.5,2.9375,24800
103,1993-09-20,23.5,23.75,23.0,23.75,2.9688,144800
104,1993-09-21,23.75,24.0,23.5,24.0,3.0,152000
105,1993-09-22,23.5,24.0,23.5,23.5,2.9375,208000
106,1993-09-23,24.0,24.5,23.5,24.25,3.0313,478400
107,1993-09-24,25.0,25.0,24.25,24.25,3.0313,47200
108,1993-09-27,24.75,24.75,24.25,24.25,3.0313,85600
109,1993-09-28,24.25,24.75,24.25,24.75,3.0938,664000
110,1993-09-29,24.75,24.75,24.25,24.25,3.0313,144800
111,1993-09-30,24.75,24.75,23.0,23.25,2.9063,970400
112,1993-10-01,23.75,23.75,23.25,23.75,2.9688,132800
113,1993-10-04,23.75,23.75,23.6252,23.75,2.9688,26400
114,1993-10-05,23.75,24.0,23.5,23.75,2.9688,300000
115,1993-10-06,24.25,24.25,23.5,23.75,2.9688,34400
116,1993-10-07,24.25,24.25,23.75,24.25,3.0313,18400
117,1993-10-08,24.25,24.75,23.75,24.75,3.0938,55200
118,1993-10-11,24.75,25.0,24.0,24.75,3.0938,125600
119,1993-10-12,25.5,26.75,25.25,26.5,3.3125,242400
120,1993-10-13,26.5,26.5,25.75,26.0,3.25,109600
121,1993-10-14,25.75,26.25,25.75,26.25,3.2813,42400
122,1993-10-15,26.75,28.5,26.25,28.5,3.5625,210400
123,1993-10-18,28.75,29.25,28.5,29.0,3.625,160000
124,1993-10-19,29.0,29.25,28.5,29.0,3.625,84000
125,1993-10-20,29.25,29.5,28.75,29.5,3.6875,72800
126,1993-10-21,30.5,31.5,29.75,31.0,3.875,226400
127,1993-10-22,31.0,32.5,29.5,29.5,3.6875,720800
128,1993-10-25,28.75,29.5,28.75,29.0,3.625,98400
129,1993-10-26,29.5,30.5,29.25,30.0,3.75,56800
130,1993-10-27,31.0,31.25,30.75,31.25,3.9063,104800
131,1993-10-28,31.25,31.25,30.75,31.25,3.9063,52800
132,1993-10-29,31.25,31.5,30.75,30.75,3.8438,329600
