,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1990-06-18,27.25,27.375,27.25,27.25,18.338,2000
1,1990-06-19,26.75,27.0,26.5,26.75,18.0015,8100
2,1990-06-20,26.125,26.5,26.125,26.125,17.581,5600
3,1990-06-21,25.75,26.0,25.625,25.75,17.3286,7700
4,1990-06-22,26.0,26.0,26.0,26.0,17.4968,2000
5,1990-06-25,25.5,25.75,25.5,25.5,17.1604,4100
6,1990-06-26,24.75,25.5,24.75,24.75,16.6556,6600
7,1990-06-27,25.0,25.0,25.0,25.0,16.8239,10500
8,1990-06-28,25.0,25.25,24.75,25.0,16.8239,9300
9,1990-06-29,25.25,25.25,25.0,25.25,16.9921,1600
10,1990-07-02,25.125,25.125,24.875,25.125,16.908,2900
11,1990-07-03,24.75,25.25,24.75,24.75,16.6556,17900
12,1990-07-05,24.0,24.5,24.0,24.0,16.1509,3000
13,1990-07-06,24.0,24.0,24.0,24.0,16.1509,4800
14,1990-07-09,23.5,23.75,23.5,23.5,15.8144,9000
15,1990-07-10,23.375,23.375,23.0,23.375,15.7303,26300
16,1990-07-11,22.25,23.125,22.0,22.25,14.9732,22100
17,1990-07-12,22.0,22.125,21.75,22.0,14.805,5700
18,1990-07-13,21.5,22.0,21.25,21.5,14.4685,28000
19,1990-07-16,22.0,22.0,21.125,22.0,14.805,36400
20,1990-07-17,22.25,22.25,22.0,22.25,14.9732,19400
21,1990-07-18,22.0,22.25,21.75,22.0,14.805,42200
22,1990-07-19,22.25,22.25,22.125,22.25,14.9732,3000
23,1990-07-20,22.25,22.5,22.0,22.25,14.9732,5100
24,1990-07-23,22.0,22.0,21.75,22.0,14.805,11700
25,1990-07-24,22.25,22.25,22.25,22.25,14.9732,700
26,1990-07-25,23.0,23.0,22.25,23.0,15.478,13200
27,1990-07-26,21.875,22.75,21.75,21.875,14.7209,11700
28,1990-07-27,21.75,21.75,21.625,21.75,14.6368,600
29,1990-07-30,21.375,21.625,21.375,21.375,14.3844,5300
30,1990-07-31,20.875,21.25,20.75,20.875,14.0479,17100
31,1990-08-01,20.75,20.75,20.75,20.75,13.9638,16100
32,1990-08-02,20.25,20.5,20.25,20.25,13.6273,2300
33,1990-08-03,19.625,20.0,19.0,19.625,13.2067,12600
34,1990-08-06,18.5,19.25,18.5,18.5,12.4497,2000
35,1990-08-07,18.625,18.75,18.25,18.625,12.5338,12600
36,1990-08-08,18.125,18.5,18.0,18.125,12.1973,3000
37,1990-08-09,18.625,18.625,18.0,18.625,12.5338,2900
38,1990-08-10,18.375,18.75,18.125,18.375,12.3655,5200
39,1990-08-13,18.375,18.375,18.125,18.375,12.3655,6100
40,1990-08-14,18.375,18.5,18.0,18.375,12.3655,7200
41,1990-08-15,18.25,18.875,18.0,18.25,12.2814,74600
42,1990-08-16,18.0,18.125,17.75,18.0,12.1132,26500
43,1990-08-17,16.5,17.625,16.25,16.5,11.1038,15500
44,1990-08-20,17.125,17.125,16.5,17.125,11.5244,11000
45,1990-08-21,17.25,17.25,17.0,17.25,11.6085,8800
46,1990-08-22,16.75,17.5,16.75,16.75,11.272,2800
47,1990-08-23,15.125,16.5,15.125,15.125,10.1784,17800
48,1990-08-24,15.0,15.0,14.125,15.0,10.0943,35300
49,1990-08-27,15.75,15.75,15.25,15.75,10.599,94300
50,1990-08-28,15.5,15.5,15.5,15.5,10.4308,3500
51,1990-08-29,16.0,16.0,15.75,16.0,10.7673,13200
52,1990-08-30,15.875,15.875,15.875,15.875,10.6832,200
53,1990-08-31,16.25,16.25,16.125,16.25,10.9355,1000
54,1990-09-04,15.625,16.0,15.375,15.625,10.5149,55000
55,1990-09-05,15.625,15.625,15.375,15.625,10.5149,141200
56,1990-09-06,15.5,15.625,15.375,15.5,10.4308,21000
57,1990-09-07,15.875,16.0,15.5,15.875,10.6832,40100
58,1990-09-10,16.125,16.125,16.125,16.125,10.8514,19500
59,1990-09-11,17.5,17.5,16.25,17.5,11.7767,28200
60,1990-09-12,18.0,18.0,17.5,18.0,12.1132,3600
61,1990-09-13,18.25,18.25,18.0,18.25,12.2814,5800
62,1990-09-14,18.0,18.125,17.875,18.0,12.1132,31200
63,1990-09-17,17.875,18.0,17.625,17.875,12.0291,11400
64,1990-09-18,17.875,17.875,17.625,17.875,12.0291,16900
65,1990-09-19,18.125,18.125,18.0,18.125,12.1973,1700
66,1990-09-20,18.5,18.5,18.25,18.5,12.4497,13300
67,1990-09-21,18.25,18.375,18.0,18.25,12.2814,25500
68,1990-09-24,17.75,18.0,17.75,17.75,11.945,9000
69,1990-09-25,17.0,17.5,17.0,17.0,11.4402,22400
70,1990-09-26,16.75,17.0,16.75,16.75,11.272,23000
71,1990-09-27,16.625,16.625,16.625,16.625,11.1879,1000
72,1990-09-28,17.375,17.375,16.125,17.375,11.6926,42600
73,1990-10-01,18.25,18.25,17.75,18.25,12.2814,6800
74,1990-10-02,18.625,18.625,18.0,18.625,12.5338,7900
75,1990-10-03,18.75,18.75,18.375,18.75,12.6179,1700
76,1990-10-04,18.625,18.625,18.5,18.625,12.5338,3200
77,1990-10-05,18.625,18.625,18.125,18.625,12.5338,12700
78,1990-10-08,18.75,18.75,18.375,18.75,12.6179,2200
79,1990-10-09,18.0,19.0,17.875,18.0,12.1132,12100
80,1990-10-10,17.75,18.0,17.75,17.75,11.945,22700
81,1990-10-11,17.25,17.75,17.25,17.25,11.6085,15300
82,1990-10-12,16.5,17.25,16.25,16.5,11.1038,48200
83,1990-10-15,16.625,16.625,16.375,16.625,11.1879,8300
84,1990-10-17,16.5,16.5,16.375,16.5,11.1038,2600
85,1990-10-18,17.0,17.0,16.75,17.0,11.4402,25900
86,1990-10-19,16.875,16.875,16.875,16.875,11.3561,1300
87,1990-10-22,17.0,17.0,16.5,17.0,11.4402,4000
88,1990-10-23,16.875,16.875,16.875,16.875,11.3561,700
89,1990-10-24,15.875,16.625,15.875,15.875,10.6832,5400
90,1990-10-25,15.75,15.75,15.75,15.75,10.599,200
91,1990-10-26,15.75,15.75,15.625,15.75,10.599,5300
92,1990-10-29,14.375,16.0,14.125,14.375,9.6737,30400
93,1990-10-30,14.625,14.625,14.375,14.625,9.842,11000
94,1990-10-31,14.75,14.75,14.5,14.75,9.9261,3900
95,1990-11-01,14.375,14.875,14.375,14.375,9.6737,16000
96,1990-11-02,15.375,15.375,14.625,15.375,10.3467,9100
97,1990-11-05,15.5,15.625,15.25,15.5,10.4308,4900
98,1990-11-06,15.75,15.75,15.625,15.75,10.599,7700
99,1990-11-07,15.625,15.75,15.5,15.625,10.5149,1300
100,1990-11-08,15.25,15.375,15.25,15.25,10.2626,14500
101,1990-11-09,15.875,16.0,15.25,15.875,10.6832,22500
102,1990-11-12,17.75,17.75,16.125,17.75,11.945,132600
103,1990-11-13,17.375,17.5,17.25,17.375,11.6926,12600
104,1990-11-14,17.5,17.5,17.375,17.5,11.7767,34000
105,1990-11-15,17.375,17.5,17.375,17.375,11.6926,13500
106,1990-11-16,17.5,17.5,17.25,17.5,11.7767,7100
107,1990-11-19,17.375,17.375,17.375,17.375,11.6926,1500
108,1990-11-20,17.25,17.25,17.25,17.25,11.6085,1200
109,1990-11-21,17.125,17.5,17.125,17.125,11.5244,15500
110,1990-11-26,16.75,17.0,16.75,16.75,11.272,4500
111,1990-11-27,17.125,17.25,16.875,17.125,11.5244,49800
112,1990-11-28,19.5,19.5,17.25,19.5,13.1226,61100
113,1990-11-29,22.125,23.0,19.75,22.125,14.8891,65100
114,1990-11-30,21.625,22.0,21.5,21.625,14.5527,55000
115,1990-12-03,21.25,21.375,21.25,21.25,14.3003,1000
116,1990-12-04,21.25,21.5,21.125,21.25,14.3003,10100
117,1990-12-05,21.5,21.5,21.25,21.5,14.4685,57700
118,1990-12-06,21.25,21.375,21.25,21.25,14.3003,4000
119,1990-12-07,21.5,21.75,21.125,21.5,14.4685,11200
120,1990-12-10,21.375,21.5,21.375,21.375,14.3844,3500
121,1990-12-11,22.75,22.75,21.625,22.75,15.3097,36600
122,1990-12-12,23.75,23.75,23.0,23.75,15.9827,27800
123,1990-12-13,23.5,23.75,23.5,23.5,15.8144,4500
124,1990-12-14,23.0,23.375,23.0,23.0,15.478,11800
125,1990-12-17,22.875,23.0,22.75,22.875,15.3938,2000
126,1990-12-18,23.75,23.75,23.125,23.75,15.9827,16600
127,1990-12-19,24.25,24.25,23.5,24.25,16.3192,35700
128,1990-12-20,24.5,24.5,23.875,24.5,16.4874,39400
129,1990-12-21,25.0,25.0,24.375,25.0,16.8239,17600
130,1990-12-24,24.625,24.75,24.625,24.625,16.5715,3400
131,1990-12-26,24.5,24.5,24.5,24.5,16.4874,5100
132,1990-12-27,24.5,24.75,24.5,24.5,16.4874,17400
133,1990-12-28,24.375,24.375,24.25,24.375,16.4033,7700
134,1990-12-31,24.625,24.625,22.75,24.625,16.5715,89700
135,1991-01-02,24.0,24.25,23.875,24.0,16.1509,30100
136,1991-01-03,24.0,24.0,23.75,24.0,16.1509,6800
137,1991-01-04,23.75,23.875,23.5,23.75,15.9827,28100
138,1991-01-07,23.5,23.625,23.5,23.5,15.8144,4400
139,1991-01-08,23.75,23.75,23.5,23.75,15.9827,53200
140,1991-01-09,24.125,24.25,23.875,24.125,16.235,49400
141,1991-01-10,24.0,24.125,24.0,24.0,16.1509,26200
142,1991-01-11,24.0,24.0,24.0,24.0,16.1509,32600
143,1991-01-14,23.875,23.875,23.625,23.875,16.0668,4800
144,1991-01-15,23.625,23.875,23.625,23.625,15.8986,7300
145,1991-01-16,23.625,23.625,23.625,23.625,15.8986,10500
146,1991-01-17,24.0,24.125,24.0,24.0,16.1509,44500
147,1991-01-18,24.0,24.0,24.0,24.0,16.1509,32700
148,1991-01-21,23.875,24.0,23.875,23.875,16.0668,2000
149,1991-01-22,23.5,23.75,23.5,23.5,15.8144,30300
150,1991-01-23,23.25,23.5,23.25,23.25,15.6462,20500
151,1991-01-24,23.375,23.5,23.375,23.375,15.7303,25500
152,1991-01-25,23.25,23.5,23.25,23.25,15.6462,1700
153,1991-01-28,23.25,23.5,23.25,23.25,15.6462,2300
154,1991-01-29,23.5,23.5,23.375,23.5,15.8144,3400
155,1991-01-30,23.625,23.625,23.375,23.625,15.8986,1400
156,1991-01-31,23.75,23.75,23.5,23.75,15.9827,10100
157,1991-02-01,23.375,23.625,23.375,23.375,15.7303,12900
158,1991-02-04,23.375,23.625,23.375,23.375,15.7303,51300
159,1991-02-05,23.625,23.625,23.625,23.625,15.8986,7200
160,1991-02-06,23.75,23.75,23.25,23.75,15.9827,3400
161,1991-02-07,23.5,23.875,23.5,23.5,15.8144,39900
162,1991-02-08,23.625,23.625,23.375,23.625,15.8986,18900
163,1991-02-11,24.0,24.0,23.625,24.0,16.1509,17200
164,1991-02-12,23.5,23.625,23.125,23.5,15.8144,34600
165,1991-02-13,23.75,24.0,23.75,23.75,15.9827,6000
166,1991-02-14,23.625,23.75,23.625,23.625,15.8986,300
167,1991-02-15,23.875,23.875,23.875,23.875,16.0668,100
168,1991-02-19,23.625,23.75,23.625,23.625,15.8986,14300
169,1991-02-20,23.5,23.5,23.375,23.5,15.8144,1900
170,1991-02-21,23.625,23.625,23.5,23.625,15.8986,6300
171,1991-02-22,23.625,23.625,23.375,23.625,15.8986,2200
172,1991-02-25,23.5,23.625,23.5,23.5,15.8144,5900
173,1991-02-26,23.125,23.5,23.125,23.125,15.5621,40000
174,1991-02-27,23.25,23.25,23.0,23.25,15.6462,48000
175,1991-02-28,23.375,23.375,22.875,23.375,15.7303,32300
176,1991-03-01,23.125,23.125,23.125,23.125,15.5621,600
177,1991-03-04,23.0,23.125,23.0,23.0,15.478,60000
178,1991-03-05,24.0,24.0,22.875,24.0,16.1509,99000
179,1991-03-06,23.5,24.0,23.5,23.5,15.8144,13600
180,1991-03-07,23.375,23.5,23.375,23.375,15.7303,1500
181,1991-03-08,23.75,23.75,23.5,23.75,15.9827,4600
182,1991-03-11,23.375,23.5,23.375,23.375,15.7303,1700
183,1991-03-12,23.0,23.25,23.0,23.0,15.478,75300
184,1991-03-13,23.0,23.125,23.0,23.0,15.478,18500
185,1991-03-14,23.0,23.125,23.0,23.0,15.478,3600
186,1991-03-15,24.0,24.0,23.0,24.0,16.1509,28000
187,1991-03-18,24.125,24.25,24.125,24.125,16.235,7800
188,1991-03-19,24.25,24.25,24.0,24.25,16.3192,10400
189,1991-03-20,24.125,24.25,24.125,24.125,16.235,5900
190,1991-03-21,24.625,24.625,24.0,24.625,16.5715,5800
191,1991-03-22,24.75,24.75,24.25,24.75,16.6556,22800
192,1991-03-25,24.75,24.75,24.5,24.75,16.6556,8400
193,1991-03-26,24.375,24.75,24.375,24.375,16.4033,35600
194,1991-03-27,25.0,25.125,24.625,25.0,16.8239,47800
195,1991-03-28,25.0,25.0,24.75,25.0,16.8239,17800
196,1991-04-01,24.75,25.0,24.5,24.75,16.6556,11100
197,1991-04-02,24.875,24.875,24.625,24.875,16.7398,1100
198,1991-04-03,24.75,24.75,24.5,24.75,16.6556,9100
199,1991-04-04,25.75,26.25,24.5,25.75,17.3286,78600
200,1991-04-05,26.5,26.5,25.625,26.5,17.8333,50500
201,1991-04-08,28.0,28.0,26.0,28.0,18.8427,63800
202,1991-04-09,28.25,28.5,28.0,28.25,19.011,30300
203,1991-04-10,28.5,28.5,28.0,28.5,19.1792,18400
204,1991-04-11,29.0,29.0,28.625,29.0,19.5157,50900
205,1991-04-12,29.75,29.75,29.125,29.75,20.0204,16300
206,1991-04-15,29.0,29.625,29.0,29.0,19.5157,16000
207,1991-04-16,29.25,29.75,29.0,29.25,19.6839,12800
208,1991-04-17,29.5,29.5,29.375,29.5,19.8522,1400
209,1991-04-18,30.5,30.875,29.375,30.5,20.5251,21700
210,1991-04-19,30.125,30.375,30.0,30.125,20.2728,26400
211,1991-04-22,30.125,30.375,30.0,30.125,20.2728,12500
212,1991-04-23,30.25,30.375,29.875,30.25,20.3569,12700
213,1991-04-24,29.75,30.125,29.75,29.75,20.0204,5000
214,1991-04-25,30.0,30.0,29.5,30.0,20.1887,4100
215,1991-04-26,29.75,29.75,29.5,29.75,20.0204,2400
216,1991-04-29,29.25,29.5,29.0,29.25,19.6839,10600
217,1991-04-30,29.5,29.5,28.625,29.5,19.8522,6300
218,1991-05-01,29.0,29.375,29.0,29.0,19.5157,2300
219,1991-05-02,28.875,29.0,28.625,28.875,19.4316,8400
220,1991-05-03,28.625,28.625,28.625,28.625,19.2633,5100
