,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,7.7504,7.9412,7.7504,7.7504,0.0648,236427
1,1984-11-06,8.5022,8.5022,7.9412,8.5022,0.071,928407
2,1984-11-07,8.0027,8.1903,8.0027,8.0027,0.0669,2018277
3,1984-11-08,8.5022,8.5022,8.3133,8.5022,0.071,1937545
4,1984-11-09,8.5022,8.5022,8.5022,8.5022,0.071,242193
5,1984-11-12,8.5022,8.5022,8.3133,8.5022,0.071,570884
6,1984-11-13,8.5022,8.5022,8.3133,8.5022,0.071,40366
7,1984-11-14,8.5022,8.5022,8.1255,8.5022,0.071,6596878
8,1984-11-15,8.2517,8.2517,8.2517,8.2517,0.069,92264
9,1984-11-16,8.5022,8.5022,8.3133,8.5022,0.071,386356
10,1984-11-19,8.2517,8.441,8.2517,8.2517,0.069,224894
11,1984-11-20,8.2517,8.441,8.2517,8.2517,0.069,288325
12,1984-11-21,8.2517,8.441,8.2517,8.2517,0.069,138396
13,1984-11-23,8.2517,8.441,8.2517,8.2517,0.069,34599
14,1984-11-26,8.5022,8.5022,8.3133,8.5022,0.071,6083666
15,1984-11-27,8.5022,8.5022,8.3133,8.5022,0.071,74965
16,1984-11-28,8.7507,8.7507,8.5638,8.7507,0.0731,357523
17,1984-11-29,8.5022,8.6891,8.5022,8.5022,0.071,617016
18,1984-11-30,8.7507,8.7507,8.5638,8.7507,0.0731,86498
19,1984-12-03,8.7507,8.7507,8.5638,8.7507,0.0731,617016
20,1984-12-04,8.7507,8.7507,8.7507,8.7507,0.0731,17300
21,1984-12-05,8.5022,8.5022,8.5022,8.5022,0.071,34599
22,1984-12-06,8.5022,8.6891,8.5022,8.5022,0.071,98031
23,1984-12-07,8.5022,8.6891,8.5022,8.5022,0.071,230660
24,1984-12-10,8.5022,8.5022,8.5022,8.5022,0.071,11533
25,1984-12-11,8.5022,8.5022,8.5022,8.5022,0.071,11533
26,1984-12-12,8.5022,8.6891,8.5022,8.5022,0.071,196061
27,1984-12-13,8.7507,8.7507,8.5638,8.7507,0.0731,282559
28,1984-12-14,8.5022,8.5022,8.5022,8.5022,0.071,126863
29,1984-12-17,8.2517,8.6277,8.2517,8.2517,0.069,2439231
30,1984-12-18,8.7507,8.7507,8.3793,8.7507,0.0731,3679029
31,1984-12-19,8.7507,8.7507,8.5638,8.7507,0.0731,1631921
32,1984-12-20,8.7507,8.7507,8.7507,8.7507,0.0731,69198
33,1984-12-21,9.3797,9.3797,8.8119,9.3797,0.0784,5587742
34,1984-12-24,9.1278,9.3128,9.1278,9.1278,0.0763,155696
35,1984-12-26,9.3797,9.3797,9.1895,9.3797,0.0784,484386
