Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,30.44,30.94,30.19,30.25,30.25,64900
1998-01-02,30.06,30.38,30.06,30.13,30.13,58000
1998-01-05,30.13,30.75,30.13,30.75,30.75,93400
1998-01-06,31,31.13,30.75,30.94,30.94,81000
1998-01-07,30.88,31.38,30.56,31.38,31.38,96900
1998-01-08,31.44,31.63,31,31.06,31.06,58800
1998-01-09,30.81,31.13,30,30.06,30.06,100700
1998-01-12,30.13,30.5,30,30.25,30.25,88200
1998-01-13,30.5,30.75,30.06,30.5,30.5,60600
1998-01-14,31.13,31.63,30.69,31.38,31.38,91400
1998-01-15,31.5,31.5,31.19,31.44,31.44,59100
1998-01-16,31.44,32.25,31.25,32.25,32.25,65700
1998-01-20,32.13,32.81,31.81,32.38,32.38,63800
1998-01-21,32.5,32.5,31.38,31.94,31.94,65200
1998-01-22,32.13,32.38,31.56,32.31,32.31,60200
1998-01-23,32.56,32.75,31.56,32.31,32.31,50400
1998-01-26,32.44,32.75,32.19,32.38,32.38,48800
1998-01-27,32.63,32.69,32,32.25,32.25,26200
1998-01-28,32.25,33,31.75,32.81,32.81,59600
1998-01-29,32.88,32.94,32.13,32.56,32.56,53900
1998-01-30,32.69,32.94,32,32.5,32.5,37700
1998-02-02,32.75,34.69,32.75,33,33,90200
1998-02-03,34,34.88,33.56,34.88,34.88,63300
1998-02-04,34.63,34.63,33.75,34.19,34.19,58100
1998-02-05,34.19,34.25,33.38,33.56,33.56,40500
1998-02-06,33.94,34.19,33.25,34.19,34.19,63800
1998-02-09,33.5,34,33.25,33.63,33.63,52100
1998-02-10,33.63,34.25,33.63,34.13,34.13,42900
1998-02-11,33.19,33.75,33.13,33.69,33.69,30900
1998-02-12,33.5,33.75,33.25,33.25,33.25,43500
1998-02-13,33.25,33.63,32.75,33.25,33.25,48000
1998-02-17,33,33.38,32.75,32.81,32.81,39100
1998-02-18,32,33.38,32,33.38,33.38,48100
1998-02-19,33.13,33.13,32.31,32.88,32.88,42100
1998-02-20,33.19,33.19,32.81,33.19,33.19,28500
1998-02-23,33.63,33.63,32.13,32.5,32.5,41400
1998-02-24,32.5,32.75,32.31,32.31,32.31,34300
1998-02-25,32.56,32.75,31.94,32.69,32.69,35100
1998-02-26,32.75,32.94,32.25,32.75,32.75,39400
1998-02-27,33.75,33.75,33.06,33.63,33.63,54800
1998-03-02,34,34,33,33,33,59700
1998-03-03,33,33.44,32.5,33.19,33.19,30200
1998-03-04,33.44,33.69,32.81,33.19,33.19,19700
1998-03-05,32.5,33.31,32.25,33.13,33.13,41800
1998-03-06,33.38,33.56,32.88,33.56,33.56,21300
1998-03-09,33.44,33.94,32.31,33.63,33.63,63800
1998-03-10,33.38,33.63,33.06,33.19,33.19,50000
1998-03-11,33.44,34.56,33.19,34.5,34.5,91700
1998-03-12,34.25,34.56,33.88,34,34,35200
1998-03-13,34.25,34.25,33.56,33.94,33.94,40200
1998-03-16,33.88,34.13,33.5,33.94,33.94,50100
1998-03-17,33.88,34,33.56,33.88,33.88,47100
1998-03-18,33.75,34.06,33.69,34.06,34.06,35500
1998-03-19,34.06,34.19,33.5,34,34,33600
1998-03-20,33.75,34.13,33.25,33.44,33.44,57300
1998-03-23,33.81,34,33.31,33.38,33.38,40300
1998-03-24,33.13,33.31,32.63,33.06,33.06,43900
1998-03-25,32.81,33.25,32.75,33.25,33.25,47500
1998-03-26,32.69,33.13,32.69,33,33,30700
1998-03-27,32.88,33.13,32.63,33.06,33.06,39300
1998-03-30,33,33.44,32.63,33.19,33.19,71700
1998-03-31,33.25,33.63,32.88,33,33,30200
1998-04-01,33.56,33.56,32.75,32.81,32.81,34200
1998-04-02,32.75,33.13,32.69,32.81,32.81,33000
1998-04-03,32.75,33,32.63,32.63,32.63,28800
1998-04-06,32.63,32.81,32.44,32.44,32.44,53400
1998-04-07,32.5,32.88,32.13,32.88,32.88,44400
1998-04-08,32.94,33.25,32.75,33.25,33.25,47300
1998-04-09,32.88,33.06,32.5,32.63,32.63,64500
1998-04-13,33,33.5,32.75,33,33,60000
1998-04-14,33.5,34,33.38,34,34,64100
1998-04-15,34,34.25,33.13,33.44,33.44,51000
1998-04-16,33.38,33.5,32.5,33,33,59700
1998-04-17,32.38,33.13,32.06,33,33,95400
1998-04-20,33,33.31,33,33,33,38200
1998-04-21,32.81,33.94,32.81,33.81,33.81,48300
1998-04-22,33.63,33.69,32.75,32.81,32.81,56000
1998-04-23,32.88,33.19,32.44,32.63,32.63,64700
1998-04-24,32.56,32.94,32.38,32.63,32.63,46600
1998-04-27,32.38,32.5,32,32,32,47000
1998-04-28,32.75,32.88,32.13,32.44,32.44,35800
1998-04-29,32.5,32.5,31.94,32.13,32.13,47900
1998-04-30,32.06,32.31,31.75,32,32,48800
1998-05-01,31.94,32,30.63,31.5,31.5,103900
1998-05-04,31.38,32,31.13,32,32,48200
1998-05-05,32.25,32.5,32,32,32,41500
1998-05-06,32.75,33.5,32.44,32.81,32.81,62000
1998-05-07,33.06,33.06,32.25,32.25,32.25,46800
1998-05-08,32.25,32.38,32,32.38,32.38,25700
1998-05-11,32.5,32.94,31.56,32.13,32.13,69600
1998-05-12,32.13,32.69,32.13,32.63,32.63,281900
1998-05-13,32.25,32.38,32.06,32.38,32.38,31800
1998-05-14,32.38,32.5,31.88,32,32,37900
1998-05-15,32.06,32.38,32,32.13,32.13,35800
1998-05-18,32,32.81,32,32,32,56600
1998-05-19,32.13,32.44,32,32.25,32.25,33000
1998-05-20,32.25,32.25,32.25,32.25,32.25,47800
1998-05-21,32,32.19,31.56,31.63,31.63,38800
1998-05-22,31.88,31.88,31.06,31.25,31.25,45900
1998-05-26,31.25,31.56,30.38,30.88,30.88,63100
1998-05-27,30.94,30.94,30.38,30.94,30.94,63000
1998-05-28,30.94,31,30.13,30.5,30.5,58900
1998-05-29,30.94,30.94,30,30.5,30.5,99500
1998-06-01,30.63,30.88,29.88,30.13,30.13,75100
