,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2003-09-11,5.7,5.71,5.5,5.64,5.64,9667100
1,2003-10-01,5.88,5.95,5.77,5.8,5.8,7363600
2,2003-10-02,5.81,5.97,5.72,5.94,5.94,5067400
3,2003-10-03,6.21,6.21,5.96,5.98,5.98,5563600
4,2003-10-06,6.05,6.31,5.98,6.29,6.29,9482500
5,2003-10-07,6.1,6.27,6.1,6.24,6.24,7194600
6,2003-10-08,6.24,6.29,5.83,5.88,5.88,14560000
7,2003-10-09,5.98,6.07,5.77,5.78,5.78,7431600
8,2003-10-10,5.8,5.88,5.7,5.8,5.8,5763400
9,2003-10-13,5.9,5.92,5.73,5.77,5.77,7584400
10,2003-10-14,5.73,5.84,5.69,5.71,5.71,6382900
11,2003-10-15,5.8,5.84,5.71,5.75,5.75,5148700
12,2003-10-16,5.74,5.8,5.63,5.73,5.73,8904300
13,2003-10-17,5.62,5.75,5.4,5.43,5.43,7655900
14,2003-10-20,5.5,5.63,5.47,5.62,5.62,6450800
15,2003-10-21,5.51,5.62,5.34,5.45,5.45,9691000
16,2003-10-22,5.36,5.5,5.32,5.32,5.32,5882500
17,2003-10-23,4.67,5.0,4.41,4.41,4.41,40269600
18,2003-10-24,4.3,4.36,4.0,4.25,4.25,26677300
19,2003-10-27,4.38,4.44,4.17,4.21,4.21,13189800
20,2003-10-28,4.28,4.29,4.1,4.16,4.16,12653700
21,2003-10-29,4.13,4.43,4.13,4.43,4.43,22467700
22,2003-10-30,4.59,4.59,4.37,4.42,4.42,13084700
23,2003-10-31,4.52,4.52,4.28,4.35,4.35,11273500
24,2003-11-03,4.46,4.57,4.4,4.46,4.46,7073391
25,2003-11-04,4.46,4.46,4.3,4.39,4.39,11739680
26,2003-11-05,4.39,4.52,4.24,4.5,4.5,13797700
27,2003-11-06,4.54,4.54,4.4,4.53,4.53,16653200
28,2003-11-07,4.6,4.63,4.42,4.42,4.42,6390500
29,2003-11-10,4.4,4.42,4.36,4.39,4.39,5062800
30,2003-11-11,4.35,4.39,4.27,4.29,4.29,3916000
31,2003-11-12,4.28,4.42,4.27,4.4,4.4,4420900
32,2003-11-13,4.25,4.31,4.22,4.27,4.27,8061000
33,2003-11-14,4.31,4.32,4.2,4.25,4.25,5374700
34,2003-11-17,4.27,4.28,4.13,4.2,4.2,14687400
35,2003-11-18,4.23,4.26,4.08,4.09,4.09,7606600
36,2003-11-19,4.01,4.21,3.8,4.15,4.15,19098400
37,2003-11-20,4.1,4.26,4.08,4.18,4.18,10640900
38,2003-11-21,4.28,4.37,4.21,4.35,4.35,10626200
39,2003-11-24,4.5,4.63,4.4,4.61,4.61,12988200
40,2003-11-25,4.66,4.73,4.5,4.54,4.54,8160200
41,2003-11-26,4.63,4.64,4.45,4.55,4.55,6037800
42,2003-11-28,4.58,4.59,4.49,4.59,4.59,1792300
43,2003-12-01,4.55,4.57,4.38,4.4,4.4,11675100
44,2003-12-02,4.47,4.48,4.36,4.37,4.37,6847600
45,2003-12-03,4.41,4.57,4.4,4.55,4.55,8847400
46,2003-12-04,4.59,4.73,4.53,4.62,4.62,10243400
47,2003-12-05,4.65,4.75,4.51,4.72,4.72,6067500
48,2003-12-08,4.73,4.73,4.45,4.53,4.53,5267200
49,2003-12-09,4.63,4.63,4.49,4.54,4.54,7286500
50,2003-12-10,4.5,4.61,4.5,4.6,4.6,4058500
51,2003-12-11,4.56,4.7,4.56,4.62,4.62,6145200
52,2003-12-12,4.62,4.69,4.55,4.67,4.67,2795900
53,2003-12-15,4.72,4.8,4.55,4.57,4.57,4866000
54,2003-12-16,4.8,4.8,4.61,4.72,4.72,11557800
55,2003-12-17,4.65,4.69,4.57,4.68,4.68,4235100
56,2003-12-18,4.68,4.88,4.63,4.88,4.88,7348700
57,2003-12-19,4.91,5.12,4.81,5.06,5.06,11316100
58,2003-12-22,5.1,5.3,5.03,5.29,5.29,12739400
59,2003-12-23,5.3,5.45,5.29,5.4,5.4,7516900
60,2003-12-24,5.38,5.53,5.3,5.39,5.39,3394000
61,2003-12-26,5.35,5.39,5.29,5.32,5.32,1727400
62,2003-12-29,5.29,5.41,5.29,5.36,5.36,3883600
63,2003-12-30,5.37,5.63,5.36,5.55,5.55,6922700
64,2003-12-31,5.55,5.68,5.5,5.62,5.62,4882500
65,2004-01-02,5.58,5.69,5.51,5.62,5.62,6699800
66,2004-01-05,5.7,5.91,5.64,5.89,5.89,7179500
67,2004-01-06,6.05,6.08,5.82,6.01,6.01,16360000
68,2004-01-07,5.95,6.051,5.84,5.97,5.97,8756900
69,2004-01-08,6.0,6.13,5.98,6.11,6.11,7413200
70,2004-01-09,5.85,6.11,5.85,5.94,5.94,6372500
71,2004-01-12,5.95,6.06,5.93,5.95,5.95,4873400
72,2004-01-13,6.15,6.25,6.04,6.19,6.19,9536500
73,2004-01-14,6.55,7.09,6.44,7.05,7.05,30891800
74,2004-01-15,7.14,7.14,6.85,7.07,7.07,21646100
75,2004-01-16,7.35,7.56,7.3,7.51,7.51,23678400
76,2004-01-20,7.55,8.04,7.51,8.04,8.04,31097000
77,2004-01-21,8.09,8.09,7.81,8.0,8.0,22388100
78,2004-01-22,7.88,8.0975,7.86,7.97,7.97,17971300
79,2004-01-23,8.0,8.01,7.91,7.97,7.97,10214800
80,2004-01-26,7.97,7.98,7.89,7.97,7.97,9461800
81,2004-01-27,7.95,8.31,7.94,8.23,8.23,15660400
82,2004-01-28,8.3,8.45,7.93,8.06,8.06,13272900
83,2004-01-29,8.1,8.1,7.47,7.8,7.8,14281000
84,2004-01-30,8.2,8.29,7.85,8.13,8.13,14057200
85,2004-02-02,8.2,8.28,8.13,8.24,8.24,8119700
86,2004-02-03,8.05,8.2,7.94,8.13,8.13,14013400
87,2004-02-04,7.96,8.58,7.96,8.56,8.56,18610800
88,2004-02-05,9.02,9.3,8.69,8.69,8.69,33263100
89,2004-02-06,8.85,9.4,8.68,9.34,9.34,17075100
90,2004-02-09,9.39,9.39,9.17,9.3,9.3,19424300
91,2004-02-10,9.2,9.22,9.0,9.19,9.19,8714500
92,2004-02-11,9.24,9.66,9.23,9.63,9.63,13751300
93,2004-02-12,9.94,9.99,9.3,9.35,9.35,27349500
94,2004-02-13,9.25,9.6,9.09,9.22,9.22,10277300
95,2004-02-17,10.26,10.7,9.75,9.95,9.95,30861700
96,2004-02-18,10.05,10.05,9.72,9.85,9.85,14703400
97,2004-02-19,10.0,10.05,9.71,9.78,9.78,12660500
98,2004-02-20,9.71,9.9,9.31,9.46,9.46,11553600
99,2004-02-23,9.5,9.66,9.41,9.54,9.54,12196200
100,2004-02-24,9.0,9.3,8.82,9.21,9.21,13869100
101,2004-02-25,9.3,9.45,8.85,8.85,8.85,11808800
102,2004-02-26,8.85,8.96,8.5,8.79,8.79,10331400
103,2004-02-27,8.88,9.05,8.65,9.0,9.0,12138500
104,2004-03-01,9.05,9.63,9.05,9.51,9.51,50223600
105,2004-03-02,9.5,9.55,9.37,9.42,9.42,22288800
106,2004-03-03,9.44,9.45,9.3,9.32,9.32,15235200
107,2004-03-04,9.31,9.53,9.28,9.53,9.53,13804200
108,2004-03-05,9.45,9.61,9.36,9.47,9.47,16914600
109,2004-03-08,9.44,9.55,9.38,9.43,9.43,9031700
110,2004-03-09,9.4,9.54,9.35,9.38,9.38,7900200
111,2004-03-10,9.46,9.6,9.1,9.13,9.13,9631000
112,2004-03-11,9.07,9.19,8.72,8.78,8.78,14049000
113,2004-03-12,8.82,8.95,8.76,8.86,8.86,17279000
114,2004-03-15,8.88,8.88,8.01,8.52,8.52,15608700
115,2004-03-16,8.52,8.64,8.46,8.51,8.51,12216500
116,2004-03-17,8.55,9.0,8.52,8.92,8.92,17640500
117,2004-03-18,8.9,8.98,8.67,8.87,8.87,6449800
118,2004-03-19,8.95,8.96,8.78,8.82,8.82,9366800
119,2004-03-22,8.78,8.84,8.68,8.74,8.74,7052500
120,2004-03-23,8.81,8.85,8.55,8.63,8.63,6711900
121,2004-03-24,8.65,8.7,8.42,8.5,8.5,6499600
122,2004-03-25,8.4,8.82,8.4,8.76,8.76,8141200
123,2004-03-26,8.75,8.96,8.65,8.86,8.86,4643600
124,2004-03-29,8.91,9.0,8.88,8.94,8.94,5452700
125,2004-03-30,8.99,9.25,8.94,9.03,9.03,10918200
126,2004-03-31,9.06,9.31,9.01,9.2,9.2,11547400
127,2004-04-01,9.28,9.62,9.28,9.55,9.55,11005300
128,2004-04-02,9.73,9.85,9.62,9.83,9.83,9512000
129,2004-04-05,9.8,9.83,9.6,9.67,9.67,7197700
130,2004-04-06,9.78,9.98,9.78,9.89,9.89,6312200
131,2004-04-07,9.79,9.8,9.61,9.7,9.7,7193800
132,2004-04-08,9.7,9.88,9.63,9.71,9.71,3780900
133,2004-04-12,9.68,9.801,9.63,9.75,9.75,2747100
134,2004-04-13,9.73,9.83,9.54,9.54,9.54,5068100
135,2004-04-14,9.2,9.58,9.199,9.5,9.5,5474800
136,2004-04-15,9.49,9.57,9.3,9.41,9.41,3826000
137,2004-04-16,9.5,9.5,9.26,9.39,9.39,5151500
138,2004-04-19,9.29,9.55,9.28,9.5,9.5,5540400
139,2004-04-20,9.8,9.99,9.58,9.58,9.58,14316300
140,2004-04-21,9.64,9.67,9.16,9.52,9.52,12135700
141,2004-04-22,9.25,9.64,9.24,9.56,9.56,21978300
142,2007-04-19,25.1,27.61,24.5,27.4,27.4,31776500
143,2007-04-20,27.4,28.8,27.1,28.55,28.55,6109500
144,2007-04-23,28.6,28.94,28.29,28.75,28.75,3752800
145,2007-04-24,28.51,29.4,28.51,29.2,29.2,3065900
146,2007-04-25,29.55,29.75,28.51,28.61,28.61,2452200
147,2007-04-26,29.25,29.29,27.3,28.2,28.2,1188300
148,2007-04-27,28.2,28.5,27.65,28.4,28.4,356300
149,2007-04-30,28.48,28.96,28.0,28.05,28.05,365000
150,2007-05-01,28.0,28.5,27.8,27.9,27.9,918400
151,2007-05-02,27.8,28.62,27.76,28.16,28.16,857000
152,2007-05-03,28.15,28.73,28.06,28.65,28.65,371200
153,2007-05-04,28.77,29.1,28.41,28.8,28.8,279700
154,2007-05-07,28.7,29.1,28.5,29.07,29.07,586600
155,2007-05-08,29.18,29.4,29.0,29.3,29.3,519200
156,2007-05-09,29.47,31.27,29.29,30.85,30.85,1179600
157,2007-05-10,30.85,30.85,29.73,30.41,30.41,1137300
158,2007-05-11,30.85,31.61,30.7,30.91,30.91,1292700
159,2007-05-14,31.5,32.0,31.0,31.92,31.92,782900
160,2007-05-15,34.0,34.7,33.69,34.21,34.21,2449500
161,2007-05-16,34.75,34.89,34.15,34.36,34.36,479100
162,2007-05-17,34.45,36.68,34.438,36.4,36.4,1188400
163,2007-05-18,36.5,37.25,35.75,36.58,36.58,1810600
164,2007-05-21,36.68,36.89,33.54,34.54,34.54,1417770
165,2007-05-22,34.8,35.0,31.84,33.71,33.71,3901300
166,2007-05-23,34.25,34.87,33.5,33.58,33.58,1241900
167,2007-05-24,33.78,34.5,33.7,33.93,33.93,1200100
168,2007-05-25,33.93,35.2,33.85,35.01,35.01,763200
169,2007-05-29,36.14,36.14,33.55,33.9,33.9,886200
170,2007-05-30,33.97,35.87,33.66,35.82,35.82,863900
171,2007-05-31,35.95,37.0,35.3,35.66,35.66,1086400
172,2007-06-01,35.58,36.74,35.55,36.59,36.59,813300
173,2007-06-04,36.43,36.68,35.15,36.68,36.68,574300
174,2007-06-05,36.59,36.95,35.22,35.26,35.26,862200
175,2007-06-06,34.71,34.8,33.17,33.89,33.89,1306700
176,2007-06-07,34.25,34.32,32.5,32.53,32.53,1229710
177,2007-06-08,32.7,33.0,32.12,32.55,32.55,517700
178,2007-06-11,33.02,34.25,32.9,33.77,33.77,979600
179,2007-06-12,33.4,33.72,32.5,33.12,33.12,1161160
180,2007-06-13,32.5,33.85,32.5,33.79,33.79,728400
181,2007-06-14,34.0,34.17,32.56,32.93,32.93,1095600
182,2007-06-15,33.0,35.85,32.9,35.6,35.6,1872300
183,2007-06-18,35.81,36.85,34.81,35.62,35.62,1618500
184,2007-06-19,35.8,35.8,33.87,33.99,33.99,859700
185,2007-06-20,33.91,34.07,32.56,32.64,32.64,1197300
186,2007-06-21,32.87,33.98,32.55,33.62,33.62,760800
187,2007-06-22,33.37,34.0,32.78,33.83,33.83,2658400
188,2007-06-25,33.77,35.05,33.44,35.0,35.0,603100
189,2007-06-26,34.81,34.95,33.75,34.76,34.76,529500
190,2007-06-27,34.76,35.31,34.16,34.85,34.85,565300
191,2007-06-28,34.93,34.93,33.65,33.65,33.65,426600
192,2007-06-29,33.67,34.08,32.85,33.04,33.04,767800
193,2007-07-02,33.06,33.5,32.96,33.03,33.03,414400
194,2007-07-03,33.03,34.65,33.03,34.34,34.34,358900
195,2007-07-05,34.48,34.52,33.55,34.19,34.19,239400
196,2007-07-06,34.35,35.2,34.16,35.17,35.17,658100
197,2007-07-09,35.03,35.78,34.27,35.18,35.18,621300
198,2007-07-10,34.95,36.0,34.88,35.61,35.61,394800
199,2007-07-11,35.83,36.49,35.49,36.17,36.17,707500
200,2007-07-12,36.27,37.7,36.27,37.16,37.16,646800
201,2007-07-13,36.3,37.57,36.2,37.21,37.21,378000
202,2007-07-16,37.57,39.4,37.21,38.36,38.36,750400
203,2007-07-17,37.98,40.4,37.95,40.33,40.33,1511100
204,2007-07-18,39.01,39.83,38.1,39.32,39.32,1221500
205,2007-07-19,39.48,40.02,39.15,39.55,39.55,528600
206,2007-07-20,39.6,40.87,39.05,39.37,39.37,556400
207,2007-07-23,39.7,40.29,38.69,39.01,39.01,386400
208,2007-07-24,38.55,38.71,37.37,37.75,37.75,780600
209,2007-07-25,37.84,38.35,35.52,35.64,35.64,917000
210,2007-07-26,35.64,36.3,34.4601,35.45,35.45,2080300
211,2007-07-27,35.34,36.29,34.12,35.2,35.2,1020700
212,2007-07-30,36.25,38.32,36.02,37.29,37.29,1138600
213,2007-07-31,38.2,38.37,36.03,36.62,36.62,873400
214,2007-08-01,36.92,37.57,35.58,36.85,36.85,645400
215,2007-08-02,36.7,39.2,36.47,39.02,39.02,1250500
216,2007-08-03,31.83,33.79,29.1,31.16,31.16,6506651
217,2007-08-06,31.6,33.4,30.12,30.59,30.59,3062800
218,2007-08-07,30.8,32.36,30.64,32.0,32.0,2429800
219,2007-08-08,29.0,32.25,24.75,31.76,31.76,7287100
220,2007-08-09,30.0,31.18,27.25,27.99,27.99,1428000
221,2007-08-10,28.0,29.13,25.25,27.5,27.5,1914500
222,2007-08-13,28.19,29.5,28.19,28.83,28.83,975200
223,2007-08-14,28.83,28.89,27.62,27.74,27.74,829100
224,2007-08-15,28.06,28.06,25.35,25.79,25.79,875932
225,2007-08-16,25.8,25.8,23.25,24.15,24.15,2003300
226,2007-08-17,26.0,28.03,25.28,26.18,26.18,1858000
227,2007-08-20,26.25,26.44,24.01,25.7,25.7,681900
228,2007-08-21,25.62,26.0,24.76,25.59,25.59,1042000
229,2007-08-22,25.7,26.19,25.28,25.54,25.54,764800
230,2007-08-23,25.75,25.75,24.45,25.53,25.53,1039900
231,2007-08-24,25.45,28.66,25.433,28.35,28.35,1636600
232,2007-08-27,28.0,30.99,27.98,30.67,30.67,1215110
233,2007-08-28,30.25,30.95,29.17,29.93,29.93,1139800
234,2007-08-29,30.06,30.09,27.72,28.3,28.3,1361600
235,2007-08-30,27.88,28.2,26.57,26.93,26.93,1180800
236,2007-08-31,27.42,27.88,27.24,27.29,27.29,571800
237,2007-09-04,28.5,29.48,27.35,28.65,28.65,7218186
238,2007-09-05,29.1,29.48,28.0,28.89,28.89,1970600
239,2007-09-06,29.2,29.27,28.0,28.09,28.09,1233100
240,2007-09-07,28.1,28.15,26.2,27.22,27.22,1794800
241,2007-09-10,28.75,28.75,26.51,26.75,26.75,749400
242,2007-09-11,26.95,27.01,26.18,26.65,26.65,1446500
243,2007-09-12,26.75,26.75,26.02,26.02,26.02,1857700
244,2007-09-13,26.27,26.47,24.63,24.79,24.79,5830000
245,2007-09-14,24.8,25.35,24.0,25.1,25.1,2104200
246,2007-09-17,25.45,25.45,24.48,25.19,25.19,1446100
247,2007-09-18,25.2,25.72,25.2,25.46,25.46,2353000
248,2007-09-19,25.46,26.43,25.27,25.65,25.65,2326600
249,2007-09-20,25.7,26.84,25.69,26.44,26.44,1207400
250,2007-09-21,26.59,27.07,25.98,26.5,26.5,2172100
251,2007-09-24,26.5,26.86,26.32,26.71,26.71,1408800
