,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,37.8924,38.01,37.5372,37.8924,0.4988,14121600
1,1984-11-06,37.6548,37.8924,37.2996,37.6548,0.4957,8364000
2,1984-11-07,37.4184,37.6548,37.182,37.4184,0.4926,11136000
3,1984-11-08,37.6548,37.6548,37.182,37.6548,0.4957,9357600
4,1984-11-09,36.8268,37.8924,36.5892,36.8268,0.4848,13286400
5,1984-11-12,36.8268,36.8268,36.1164,36.8268,0.4848,12828000
6,1984-11-13,36.708,36.8268,36.3528,36.708,0.4874,5342400
7,1984-11-14,37.182,37.4184,36.8268,37.182,0.4936,6321600
8,1984-11-15,36.708,37.4184,36.708,36.708,0.4874,6986400
9,1984-11-16,36.5892,37.2996,36.5892,36.5892,0.4858,9652800
10,1984-11-19,36.3528,36.8268,36.234,36.3528,0.4826,4164000
11,1984-11-20,37.4184,37.5372,36.4716,37.4184,0.4968,7912800
12,1984-11-21,37.4184,37.5372,36.9444,37.4184,0.4968,5443200
13,1984-11-23,38.7204,38.8392,37.5372,38.7204,0.5141,17779199
14,1984-11-26,38.3652,38.6028,38.2476,38.3652,0.5094,6235200
15,1984-11-27,38.01,38.2476,37.7736,38.01,0.5046,10348800
16,1984-11-28,37.4184,38.1288,37.182,37.4184,0.4968,7288800
17,1984-11-29,36.8268,37.182,36.5892,36.8268,0.4889,7660800
18,1984-11-30,36.9444,37.182,36.4716,36.9444,0.4905,5193600
19,1984-12-03,36.4716,36.9444,36.3528,36.4716,0.4842,4984800
20,1984-12-04,36.4716,36.708,36.3528,36.4716,0.4842,5628000
21,1984-12-05,36.5892,37.0632,36.1164,36.5892,0.4858,9480000
22,1984-12-06,37.4184,37.4184,36.4716,37.4184,0.4968,7850400
23,1984-12-07,37.5372,37.7736,37.182,37.5372,0.4984,3890400
24,1984-12-10,37.7736,37.8924,37.4184,37.7736,0.5015,5704800
25,1984-12-11,37.6548,37.8924,37.5372,37.6548,0.4999,8755200
26,1984-12-12,37.4184,38.01,37.4184,37.4184,0.4968,9417600
27,1984-12-13,37.7736,37.7736,37.4184,37.7736,0.5015,4802400
28,1984-12-14,37.8924,38.01,37.4184,37.8924,0.5031,6254400
29,1984-12-17,37.8924,38.01,37.5372,37.8924,0.5031,5491200
30,1984-12-18,39.4308,39.4308,38.2476,39.4308,0.5235,18343199
31,1984-12-19,39.0756,39.9048,38.958,39.0756,0.5188,17212800
32,1984-12-20,38.3652,39.1944,38.3652,38.3652,0.5094,12038400
33,1984-12-21,38.6028,38.8392,38.3652,38.6028,0.5125,8126400
34,1984-12-24,39.6684,39.6684,38.8392,39.6684,0.5267,4610400
35,1984-12-26,39.4308,39.6684,39.3132,39.4308,0.5235,4641600
36,1984-12-27,39.5496,39.5496,39.3132,39.5496,0.5251,5160000
37,1984-12-28,39.7872,39.9048,39.4308,39.7872,0.5282,3612000
38,1984-12-31,40.0236,40.1424,39.4308,40.0236,0.5314,4989600
39,1985-01-02,38.2476,39.7872,38.2476,38.2476,0.5078,7845600
40,1985-01-03,37.182,38.2476,36.8268,37.182,0.4936,12559200
41,1985-01-04,37.182,37.182,36.5892,37.182,0.4936,5476800
42,1985-01-07,37.182,37.2996,36.5892,37.182,0.4936,4958400
43,1985-01-08,37.4184,37.6548,37.2996,37.4184,0.4968,5844000
44,1985-01-09,37.6548,37.7736,37.2996,37.6548,0.4999,7200000
45,1985-01-10,38.8392,38.8392,37.2996,38.8392,0.5157,10094400
46,1985-01-11,38.3652,38.6028,38.1288,38.3652,0.5094,11044800
47,1985-01-14,39.3132,39.4308,38.1288,39.3132,0.5219,7610400
48,1985-01-15,39.4308,39.6684,38.8392,39.4308,0.5235,13946400
49,1985-01-16,39.3132,39.9048,39.0756,39.3132,0.5219,13660800
50,1985-01-17,38.1288,39.5496,37.7736,38.1288,0.5062,13963200
51,1985-01-18,37.2996,38.01,36.708,37.2996,0.4952,13423200
52,1985-01-21,38.958,39.1944,37.5372,38.958,0.5172,15648000
53,1985-01-22,37.8924,39.6684,37.8924,37.8924,0.5031,14337600
54,1985-01-23,38.6028,38.8392,37.6548,38.6028,0.5125,11368800
55,1985-01-24,38.1288,39.0756,38.1288,38.1288,0.5062,11884800
56,1985-01-25,37.5372,38.3652,37.4184,37.5372,0.4984,16137600
57,1985-01-28,37.5372,38.1288,37.2996,37.5372,0.5031,9336000
58,1985-01-29,38.8392,38.958,37.182,38.8392,0.5205,9600000
59,1985-01-30,37.8924,38.7204,37.5372,37.8924,0.5078,15016800
60,1985-01-31,37.4184,37.6548,37.182,37.4184,0.5015,21388799
61,1985-02-01,37.182,37.4184,37.0632,37.182,0.4983,8109600
62,1985-02-04,38.01,38.1288,37.182,38.01,0.5094,9775200
63,1985-02-05,38.3652,38.6028,37.8924,38.3652,0.5142,8220000
64,1985-02-06,38.1288,38.2476,38.01,38.1288,0.511,10624800
65,1985-02-07,38.3652,38.484,38.1288,38.3652,0.5142,11697600
66,1985-02-08,38.484,38.7204,38.2476,38.484,0.5158,11354400
67,1985-02-11,38.1288,38.6028,38.01,38.1288,0.511,7627200
68,1985-02-12,37.8924,38.1288,37.6548,37.8924,0.5078,6799200
69,1985-02-13,37.8924,37.8924,37.5372,37.8924,0.5078,20932799
70,1985-02-14,37.6548,38.01,37.2996,37.6548,0.5047,19444799
71,1985-02-15,37.7736,37.8924,37.4184,37.7736,0.5062,13963200
72,1985-02-19,38.01,38.2476,37.4184,38.01,0.5094,16293600
73,1985-02-20,37.182,37.7736,36.8268,37.182,0.4983,15861600
74,1985-02-21,36.8268,37.182,36.5892,36.8268,0.4935,9340800
75,1985-02-22,36.3528,37.182,36.234,36.3528,0.4872,9177600
76,1985-02-25,36.1164,36.234,35.6424,36.1164,0.484,9220800
77,1985-02-26,36.4716,37.7736,35.8788,36.4716,0.4888,14330400
78,1985-02-27,37.2996,37.5372,37.0632,37.2996,0.4999,14457600
79,1985-02-28,38.1288,38.484,37.8924,38.1288,0.511,32771999
80,1985-03-01,39.6684,39.7872,38.484,39.6684,0.5316,34163999
81,1985-03-04,39.3132,40.0236,39.0756,39.3132,0.5269,12765600
82,1985-03-05,39.0756,39.6684,38.958,39.0756,0.5237,11006400
83,1985-03-06,38.7204,39.0756,38.484,38.7204,0.5189,8541600
84,1985-03-07,38.8392,39.1944,38.1288,38.8392,0.5205,6067200
85,1985-03-08,38.3652,39.0756,38.3652,38.3652,0.5142,4778400
86,1985-03-11,37.5372,38.8392,37.5372,37.5372,0.5031,10824000
87,1985-03-12,38.01,38.1288,37.5372,38.01,0.5094,10104000
88,1985-03-13,38.1288,38.2476,37.7736,38.1288,0.511,9321600
89,1985-03-14,38.1288,38.3652,38.01,38.1288,0.511,11815200
90,1985-03-15,37.8924,38.2476,37.6548,37.8924,0.5078,19605599
91,1985-03-18,38.01,38.2476,37.5372,38.01,0.5094,8498400
92,1985-03-19,39.4308,39.5496,38.1288,39.4308,0.5285,11498400
93,1985-03-20,39.0756,39.5496,38.958,39.0756,0.5237,11328000
94,1985-03-21,40.0236,40.3788,39.0756,40.0236,0.5364,17383200
95,1985-03-22,40.0236,40.26,39.5496,40.0236,0.5364,11052000
96,1985-03-25,39.5496,40.0236,39.4308,39.5496,0.53,7264800
97,1985-03-26,40.1424,40.3788,39.4308,40.1424,0.538,13624800
98,1985-03-27,41.208,41.5632,40.4976,41.208,0.5523,12153600
99,1985-03-28,40.6152,41.4444,40.4976,40.6152,0.5443,8188800
100,1985-03-29,40.6152,40.9704,40.4976,40.6152,0.5443,6499200
101,1985-04-01,40.8528,40.8528,40.6152,40.8528,0.5475,7716000
102,1985-04-02,40.4976,40.8528,40.3788,40.4976,0.5427,6439200
103,1985-04-03,40.734,40.734,40.1424,40.734,0.5459,8107200
104,1985-04-04,40.8528,40.8528,40.26,40.8528,0.5475,3688800
