,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,23.499,24.0,23.499,23.499,0.0297,3901
1,1980-03-18,23.374,23.875,23.374,23.374,0.0296,2101
2,1980-03-19,23.499,24.0,23.499,23.499,0.0297,601
3,1980-03-20,23.248,23.749,23.248,23.248,0.0294,1600
4,1980-03-21,22.371,22.872,22.371,22.371,0.0283,5101
5,1980-03-24,21.255,21.756,21.255,21.255,0.0269,8000
6,1980-03-25,21.369,21.87,21.369,21.369,0.027,801
7,1980-03-26,20.868,21.369,20.868,20.868,0.0264,4601
8,1980-03-27,19.125,19.626,19.125,19.125,0.0242,5601
9,1980-03-28,19.751,20.253,19.751,19.751,0.025,4701
10,1980-03-31,20.628,21.13,20.628,20.628,0.0261,5701
11,1980-04-01,20.868,21.369,20.868,20.868,0.0264,1501
12,1980-04-02,22.007,22.747,22.007,22.007,0.0279,4501
13,1980-04-03,22.007,22.747,22.007,22.007,0.0279,301
14,1980-04-07,22.007,22.747,22.007,22.007,0.0279,2401
15,1980-04-08,22.246,22.998,22.246,22.246,0.0282,1901
16,1980-04-09,24.0,24.752,24.0,24.0,0.0304,12001
17,1980-04-10,24.251,25.002,24.251,24.251,0.0307,7001
18,1980-04-11,24.501,25.242,24.501,24.501,0.031,1001
19,1980-04-14,24.501,25.242,24.501,24.501,0.031,1101
20,1980-04-15,24.251,25.002,24.251,24.251,0.0307,1101
21,1980-04-16,24.0,24.752,24.0,24.0,0.0304,601
22,1980-04-17,24.0,24.752,24.0,24.0,0.0304,501
23,1980-04-18,24.0,24.752,24.0,24.0,0.0304,1001
24,1980-04-22,26.745,27.497,26.745,26.745,0.0338,13001
25,1980-04-23,26.244,26.996,26.244,26.244,0.0332,3301
26,1980-04-24,26.506,27.246,26.506,26.506,0.0336,3001
27,1980-04-25,26.506,27.246,26.506,26.506,0.0336,1801
28,1980-04-28,26.506,27.246,26.506,26.506,0.0336,400
29,1980-04-29,27.497,28.249,27.497,27.497,0.0348,4501
30,1980-04-30,27.748,28.499,27.748,27.748,0.0351,5801
31,1980-05-01,26.996,27.748,26.996,26.996,0.0341,5001
32,1980-05-02,26.996,27.748,26.996,26.996,0.0341,1401
33,1980-05-05,26.996,27.748,26.996,26.996,0.0341,101
34,1980-05-06,27.497,28.249,27.497,27.497,0.0348,1801
35,1980-05-07,27.998,28.75,27.998,27.998,0.0354,2601
36,1980-05-08,28.499,29.251,28.499,28.499,0.0361,1801
37,1980-05-09,28.499,29.251,28.499,28.499,0.0361,1001
38,1980-05-12,28.249,29.001,28.249,28.249,0.0358,901
39,1980-05-14,28.499,29.251,28.499,28.499,0.0361,1001
40,1980-05-15,29.752,30.504,29.752,29.752,0.0377,3001
41,1980-05-16,29.502,30.254,29.502,29.502,0.0374,3401
42,1980-05-19,29.251,30.003,29.251,29.251,0.037,101
43,1980-05-20,29.251,30.003,29.251,29.251,0.037,5401
44,1980-05-21,29.251,30.003,29.251,29.251,0.037,1201
45,1980-05-22,29.502,30.254,29.502,29.502,0.0374,2601
46,1980-05-23,29.752,30.504,29.752,29.752,0.0377,2401
47,1980-05-27,30.504,31.256,30.504,30.504,0.0386,2301
48,1980-05-28,30.504,31.256,30.504,30.504,0.0386,3301
49,1980-05-29,31.256,31.996,31.256,31.256,0.0395,3001
50,1980-05-30,31.256,31.996,31.256,31.256,0.0395,2401
51,1980-06-02,31.256,31.996,31.256,31.256,0.0395,301
52,1980-06-03,31.256,31.996,31.256,31.256,0.0395,2401
53,1980-06-04,31.256,31.996,31.256,31.256,0.0395,601
54,1980-06-06,31.256,31.996,31.256,31.256,0.0395,501
55,1980-06-09,31.256,31.996,31.256,31.256,0.0395,501
56,1980-06-10,31.256,31.996,31.256,31.256,0.0395,2801
57,1980-06-11,31.495,32.247,31.495,31.495,0.0399,2201
58,1980-06-12,31.495,32.247,31.495,31.495,0.0399,3701
59,1980-06-13,33.75,34.502,33.75,33.75,0.0427,5101
60,1980-06-16,33.75,34.502,33.75,33.75,0.0427,3701
61,1980-06-17,32.999,33.75,32.999,32.999,0.0418,4201
62,1980-06-18,32.999,33.75,32.999,32.999,0.0418,1501
63,1980-06-19,32.748,33.5,32.748,32.748,0.0415,1201
64,1980-06-20,32.497,33.249,32.497,32.497,0.0412,2501
65,1980-06-23,32.497,33.249,32.497,32.497,0.0412,1401
66,1980-06-24,31.495,32.247,31.495,31.495,0.0399,6701
67,1980-06-25,31.495,32.247,31.495,31.495,0.0399,1001
68,1980-06-26,31.746,32.497,31.746,31.746,0.0402,7201
69,1980-06-27,31.996,32.748,31.996,31.996,0.0405,2401
70,1980-06-30,31.996,32.748,31.996,31.996,0.0405,101
71,1980-07-01,31.996,32.748,31.996,31.996,0.0405,1201
72,1980-07-02,31.996,32.748,31.996,31.996,0.0405,2000
73,1980-07-07,32.497,32.748,32.497,32.497,0.0412,8301
74,1980-07-08,32.999,33.249,32.999,32.999,0.0418,24801
75,1980-07-09,32.999,33.249,32.999,32.999,0.0418,501
76,1980-07-10,33.249,33.5,33.249,33.249,0.0421,5901
77,1980-07-11,33.249,33.5,33.249,33.249,0.0421,2401
78,1980-07-14,34.001,34.252,34.001,34.001,0.043,4701
79,1980-07-15,34.502,34.753,34.502,34.502,0.0437,4501
80,1980-07-16,34.753,34.992,34.753,34.753,0.044,2901
81,1980-07-17,35.755,36.256,35.755,35.755,0.0453,6001
82,1980-07-18,35.994,36.496,35.994,35.994,0.0456,4101
83,1980-07-21,36.256,36.746,36.256,36.256,0.0459,201
84,1980-07-22,36.997,37.498,36.997,36.997,0.0468,4601
85,1980-07-23,36.496,36.997,36.496,36.496,0.0462,6001
86,1980-07-24,37.999,38.5,37.999,37.999,0.0481,8801
87,1980-07-25,38.25,38.5,38.25,38.25,0.0484,2301
88,1980-07-28,38.25,38.5,38.25,38.25,0.0484,301
89,1980-07-29,38.25,38.5,38.25,38.25,0.0484,1301
90,1980-07-30,38.25,38.5,38.25,38.25,0.0484,2401
91,1980-07-31,37.498,37.749,37.498,37.498,0.0475,4001
92,1980-08-01,38.5,39.002,38.5,38.5,0.0487,5301
93,1980-08-04,39.252,39.503,39.252,39.252,0.0497,3301
94,1980-08-05,39.503,40.004,39.503,39.503,0.05,1201
95,1980-08-06,39.753,40.254,39.753,39.753,0.0503,101
96,1980-08-07,40.254,40.505,40.254,40.254,0.051,16801
97,1980-08-08,39.503,40.004,39.503,39.503,0.05,3801
98,1980-08-12,40.004,40.254,40.004,40.004,0.0507,2101
99,1980-08-13,39.753,40.254,39.753,39.753,0.0503,701
100,1980-08-15,39.753,40.254,39.753,39.753,0.0503,7701
101,1980-08-18,39.503,39.753,39.503,39.503,0.05,3200
102,1980-08-20,39.252,39.503,39.252,39.252,0.0497,801
103,1980-08-21,39.252,39.503,39.252,39.252,0.0497,1801
104,1980-08-25,38.5,39.002,38.5,38.5,0.0487,15901
105,1980-08-26,38.5,39.002,38.5,38.5,0.0487,1301
106,1980-08-27,38.5,38.751,38.5,38.5,0.0487,4101
107,1980-08-28,38.5,38.751,38.5,38.5,0.0487,201
108,1980-08-29,37.247,37.749,37.247,37.247,0.0471,6601
109,1980-09-02,37.247,37.498,37.247,37.247,0.0471,16801
110,1980-09-03,37.247,37.498,37.247,37.247,0.0471,6501
111,1980-09-04,37.498,37.749,37.498,37.498,0.0475,6501
112,1980-09-05,37.247,37.749,37.247,37.247,0.0471,501
113,1980-09-08,37.247,37.749,37.247,37.247,0.0471,3200
114,1980-09-09,36.997,37.498,36.997,36.997,0.0468,1701
115,1980-09-10,36.746,37.247,36.746,36.746,0.0465,3901
116,1980-09-12,36.746,37.498,36.746,36.746,0.0465,2201
117,1980-09-15,36.997,37.498,36.997,36.997,0.0468,8000
118,1980-09-16,37.247,37.749,37.247,37.247,0.0471,2401
119,1980-09-17,37.247,37.749,37.247,37.247,0.0471,701
120,1980-09-18,37.498,37.999,37.498,37.498,0.0475,2401
121,1980-09-19,37.749,38.25,37.749,37.749,0.0478,1801
122,1980-09-22,37.749,38.25,37.749,37.749,0.0478,3801
123,1980-09-23,24.748,25.249,24.748,24.748,0.047,600
