,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,18.5,18.8752,18.25,18.5,1.6852,284000
1,1984-11-06,18.5,18.75,18.5,18.5,1.6852,488800
2,1984-11-07,18.3752,18.75,18.1252,18.3752,1.6738,196800
3,1984-11-08,18.1252,18.5,18.1252,18.1252,1.651,194400
4,1984-11-09,17.6252,18.25,17.6252,17.6252,1.6055,287200
5,1984-11-12,17.3752,17.3752,16.8752,17.3752,1.5827,140800
6,1984-11-13,17.0,17.3752,16.8752,17.0,1.5485,142400
7,1984-11-14,17.0,17.3752,17.0,17.0,1.5485,175200
8,1984-11-15,16.8752,17.25,16.6252,16.8752,1.5371,280000
9,1984-11-16,16.8752,17.1252,16.8752,16.8752,1.5371,132000
10,1984-11-19,16.8752,16.8752,16.6252,16.8752,1.5371,127200
11,1984-11-20,16.75,16.75,16.6252,16.75,1.5258,64000
12,1984-11-21,16.1252,16.75,16.1252,16.1252,1.4688,465600
13,1984-11-23,16.75,16.8752,16.3752,16.75,1.5258,247200
14,1984-11-26,17.25,17.3752,17.0,17.25,1.5713,1076000
15,1984-11-27,17.3752,17.6252,17.25,17.3752,1.5827,149600
16,1984-11-28,17.5,17.5,17.25,17.5,1.5941,520000
17,1984-11-29,17.25,17.5,17.25,17.25,1.5713,211200
18,1984-11-30,17.5,17.5,16.75,17.5,1.5941,487200
19,1984-12-03,17.1252,17.25,17.1252,17.1252,1.5599,56000
20,1984-12-04,17.0,17.25,17.0,17.0,1.5485,151200
21,1984-12-05,16.5,17.0,16.5,16.5,1.503,200000
22,1984-12-06,16.5,16.75,16.3752,16.5,1.503,110400
23,1984-12-07,15.6252,16.25,15.6252,15.6252,1.4233,313600
24,1984-12-10,16.1252,16.1252,15.25,16.1252,1.4688,253600
25,1984-12-11,16.0,16.25,16.0,16.0,1.4574,87200
26,1984-12-12,15.8752,16.0,15.75,15.8752,1.446,100800
27,1984-12-13,15.8752,16.1252,15.8752,15.8752,1.446,264800
28,1984-12-14,16.0,16.0,15.75,16.0,1.4574,344800
29,1984-12-17,16.5,16.5,15.8752,16.5,1.503,306400
30,1984-12-18,18.25,18.5,17.0,18.25,1.6624,685600
31,1984-12-19,18.75,18.8752,18.3752,18.75,1.7079,626400
32,1984-12-20,18.5,18.8752,18.5,18.5,1.6852,292000
33,1984-12-21,18.0,18.6252,18.0,18.0,1.6396,390400
34,1984-12-24,18.5,18.6252,18.1252,18.5,1.6852,200000
35,1984-12-26,18.3752,18.6252,18.3752,18.3752,1.6738,110400
36,1984-12-27,18.25,18.3752,18.0,18.25,1.6624,63200
37,1984-12-28,18.25,18.3752,18.1252,18.25,1.6624,100000
38,1984-12-31,18.5,18.6252,18.1252,18.5,1.6852,151200
39,1985-01-02,18.75,18.8752,18.5,18.75,1.7079,1248800
40,1985-01-03,18.5,18.8752,18.3752,18.5,1.6852,817600
41,1985-01-04,18.25,18.5,18.0,18.25,1.6624,206400
42,1985-01-07,18.25,18.3752,18.1252,18.25,1.6624,316800
43,1985-01-08,18.1252,18.3752,18.0,18.1252,1.651,97600
44,1985-01-09,19.1252,19.1252,18.1252,19.1252,1.7421,702400
45,1985-01-10,20.25,20.25,18.75,20.25,1.8446,900800
46,1985-01-11,20.0,20.1252,19.5,20.0,1.8218,480800
47,1985-01-14,20.75,21.1252,20.5,20.75,1.8901,1944800
48,1985-01-15,20.5,21.0,20.5,20.5,1.8673,1758400
49,1985-01-16,21.0,21.0,20.5,21.0,1.9129,653600
50,1985-01-17,21.5,21.75,21.1252,21.5,1.9584,722400
51,1985-01-18,21.1252,21.75,21.1252,21.1252,1.9243,608800
52,1985-01-21,21.1252,21.75,21.1252,21.1252,1.9243,789600
53,1985-01-22,20.0,21.25,19.75,20.0,1.8218,2803200
54,1985-01-23,20.25,20.5,20.0,20.25,1.8446,1534400
55,1985-01-24,19.8752,20.5,19.0,19.8752,1.8104,1468000
56,1985-01-25,19.8752,20.25,19.3752,19.8752,1.8104,1063200
