,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2000-01-28,12.0,12.1875,12.0,12.0,6.3643,11192000
1,2000-01-31,12.0,12.0625,12.0,12.0625,6.3974,1880900
2,2000-02-01,12.0,12.0625,12.0,12.0,6.3643,367100
3,2000-02-02,12.0,12.0625,12.0,12.0625,6.3974,697400
4,2000-02-03,12.0,12.0625,12.0,12.0,6.3643,579800
5,2000-02-04,12.0,12.0625,11.25,11.375,6.0328,1681900
6,2000-02-07,11.125,11.125,10.5,10.8125,5.7345,927200
7,2000-02-08,10.75,10.875,9.75,9.875,5.2373,795400
8,2000-02-09,9.875,10.25,9.75,10.125,5.3698,1710100
9,2000-02-10,10.5,11.25,10.4375,10.625,5.635,571500
10,2000-02-11,10.75,10.9375,10.0,10.0625,5.3367,1062000
11,2000-02-14,10.1875,10.3125,9.75,9.8125,5.2041,289000
12,2000-02-15,10.0,10.625,9.9375,10.4375,5.5356,541400
13,2000-02-16,10.5625,10.625,10.25,10.5625,5.6019,360700
14,2000-02-17,10.875,10.875,10.25,10.375,5.5024,291600
15,2000-02-18,10.5,10.75,10.3125,10.5,5.5687,330700
16,2000-02-22,10.25,10.625,9.875,10.3125,5.4693,314500
17,2000-02-23,9.9375,10.3125,9.8125,10.125,5.3698,494300
18,2000-02-24,10.125,10.3125,9.875,9.9375,5.2704,919900
19,2000-02-25,10.3125,10.625,10.0,10.4375,5.5356,1095500
20,2000-02-28,10.25,10.3125,10.0,10.0625,5.3367,365900
21,2000-02-29,10.125,11.25,10.0,10.875,5.7676,1652500
22,2000-03-01,10.875,11.25,10.875,11.0,5.8339,266700
23,2000-03-02,10.875,11.9375,10.8125,11.5,6.0991,890300
24,2000-03-03,11.5,11.5,10.875,10.9375,5.8008,160300
25,2000-03-06,10.5,10.8125,10.375,10.75,5.7013,242800
26,2000-03-07,10.625,10.75,10.0625,10.25,5.4361,393500
27,2000-03-08,10.1875,10.5,9.875,10.375,5.5024,424200
28,2000-03-09,10.3125,10.8125,10.25,10.5,5.5687,310100
29,2000-03-10,10.5,10.5,10.0,10.25,5.4361,168900
30,2000-03-13,10.0,10.125,9.5625,9.75,5.171,1767400
31,2000-03-14,9.75,10.125,9.75,9.875,5.2373,660500
32,2000-03-15,9.875,9.875,9.25,9.625,5.1047,1231100
33,2000-03-16,9.8125,10.25,9.5,9.75,5.171,404100
34,2000-03-17,9.75,9.9375,9.25,9.5625,5.0715,814800
35,2000-03-20,9.6875,9.875,9.5,9.625,5.1047,473200
36,2000-03-21,9.5625,9.8125,9.5,9.625,5.1047,176200
37,2000-03-22,9.625,9.75,9.5,9.5625,5.0715,430300
38,2000-03-23,9.5,9.8125,9.5,9.6875,5.1378,477400
39,2000-03-24,9.5625,9.875,9.5625,9.75,5.171,236700
40,2000-03-27,9.75,10.0,9.75,9.875,5.2373,67600
41,2000-03-28,9.875,10.0,9.75,9.8125,5.2041,157900
42,2000-03-29,9.8125,9.9375,9.8125,9.8125,5.2041,253000
43,2000-03-30,9.8125,10.125,9.8125,9.8125,5.2041,235200
44,2000-03-31,9.8125,10.5,9.75,10.5,5.5687,627300
45,2000-04-03,10.375,10.375,10.0625,10.3125,5.4693,108400
46,2000-04-04,10.375,10.375,10.0,10.0625,5.3367,411000
47,2000-04-05,9.9375,10.375,9.875,10.25,5.4361,185700
48,2000-04-06,10.25,11.125,10.125,10.8125,5.7345,296700
49,2000-04-07,10.5,10.625,10.25,10.5,5.5687,262800
50,2000-04-10,10.5,10.75,10.25,10.3125,5.4693,139400
51,2000-04-11,10.25,10.625,10.25,10.5625,5.6019,315000
52,2000-04-12,10.5625,11.0,10.5625,10.8125,5.7345,392000
53,2000-04-13,10.6875,10.8125,10.625,10.625,5.635,243200
54,2000-04-14,10.5,10.625,10.0,10.125,5.3698,269900
55,2000-04-17,10.0,10.375,10.0,10.375,5.5024,321300
56,2000-04-18,10.375,10.8125,10.25,10.625,5.635,862200
57,2000-04-19,10.5,11.25,10.5,10.9375,5.8008,531900
58,2000-04-20,10.9375,11.0,10.625,10.625,5.635,193500
59,2000-04-24,10.75,11.375,10.75,10.875,5.7676,355700
60,2000-04-25,11.0625,11.5625,11.0,11.25,5.9665,621900
61,2000-04-26,11.25,11.375,11.0,11.0,5.8339,391800
62,2000-04-27,11.0,11.25,10.8125,10.8125,5.7345,246300
63,2000-04-28,11.125,11.875,11.0,11.875,6.298,284100
64,2000-05-01,11.75,11.9375,11.375,11.625,6.1654,138900
65,2000-05-02,11.875,11.875,11.5625,11.75,6.2317,159200
66,2000-05-03,11.625,11.6875,11.5,11.5625,6.1322,105600
67,2000-05-04,11.5625,11.75,11.5,11.75,6.2317,180500
68,2000-05-05,11.625,12.0,11.5625,11.9375,6.3311,240000
69,2000-05-08,11.875,12.0,11.75,11.875,6.298,117900
70,2000-05-09,11.75,11.875,11.625,11.8125,6.2648,87000
71,2000-05-10,11.75,12.0625,11.5625,12.0,6.3643,383700
72,2000-05-11,11.875,12.0625,11.75,12.0,6.3643,404400
73,2000-05-12,12.0,12.125,11.9375,12.0,6.3643,171600
74,2000-05-15,12.0,12.75,12.0,12.625,6.6957,227300
75,2000-05-16,12.5,12.625,12.125,12.375,6.5631,251500
76,2000-05-17,12.3125,12.4375,12.25,12.375,6.5631,195300
77,2000-05-18,12.25,12.3125,11.9375,12.0,6.3643,94500
78,2000-05-19,12.0,12.25,12.0,12.125,6.4306,334900
79,2000-05-22,12.0625,12.1875,11.8125,11.8125,6.2648,522400
80,2000-05-23,11.75,11.875,11.375,11.625,6.1654,258000
81,2000-05-24,11.5,11.5625,11.25,11.375,6.0328,209300
82,2000-05-25,11.25,11.5,11.25,11.4375,6.0659,526000
83,2000-05-26,11.4375,11.875,11.375,11.875,6.298,159000
84,2000-05-30,11.5,11.6875,11.25,11.6875,6.1985,217400
85,2000-05-31,11.5625,11.75,11.5,11.5,6.0991,204900
86,2000-06-01,11.375,11.75,11.0,11.25,5.9665,359100
87,2000-06-02,11.25,11.375,11.0,11.0625,5.867,183500
88,2000-06-05,11.0625,11.375,11.0,11.125,5.9002,102800
89,2000-06-06,11.125,11.3125,11.125,11.3125,5.9996,353700
90,2000-06-07,11.3125,11.375,11.0,11.25,5.9665,303500
91,2000-06-08,11.1875,11.25,11.0625,11.0625,5.867,279300
92,2000-06-09,11.0625,11.375,11.0,11.25,5.9665,136600
93,2000-06-12,11.125,11.375,11.0,11.375,6.0328,215100
94,2000-06-13,11.375,11.5,11.125,11.5,6.0991,128400
95,2000-06-14,11.5,11.6875,11.3125,11.5625,6.1322,137200
96,2000-06-15,11.5625,11.8125,11.125,11.25,5.9665,140000
97,2000-06-16,11.125,11.125,10.6875,10.6875,5.6682,417700
98,2000-06-19,10.75,11.125,10.625,11.0,5.8339,178200
99,2000-06-20,10.8125,10.875,10.125,10.5,5.5687,183500
100,2000-06-21,10.25,11.0,10.25,11.0,5.8339,122900
101,2000-06-22,10.875,11.0,10.25,10.6875,5.6682,205200
102,2000-06-23,10.4375,10.625,10.3125,10.5,5.5687,69700
103,2000-06-26,10.375,10.6875,10.25,10.625,5.635,307100
104,2000-06-27,10.5,11.0,10.5,11.0,5.8339,203500
105,2000-06-28,10.875,11.875,10.8125,11.625,6.1654,199200
106,2000-06-29,11.625,12.375,11.375,12.125,6.4306,292900
107,2000-06-30,12.25,12.5,10.125,10.125,5.3698,1202100
108,2000-07-03,10.875,11.375,10.875,11.3125,5.9996,174800
109,2000-07-05,11.375,11.375,11.0,11.25,5.9665,161500
110,2000-07-06,11.125,11.25,10.875,11.25,5.9665,58700
111,2000-07-07,11.125,11.25,10.875,11.125,5.9002,82700
112,2000-07-10,11.125,11.3125,11.0,11.0,5.8339,103000
113,2000-07-11,11.0,11.3125,10.875,11.25,5.9665,206700
114,2000-07-12,11.25,11.5,11.25,11.5,6.0991,54300
115,2000-07-13,11.4375,11.875,11.4375,11.6875,6.1985,146800
116,2000-07-14,11.625,11.9375,11.5625,11.875,6.298,173100
117,2000-07-17,11.8125,12.0,11.75,11.9375,6.3311,148600
118,2000-07-18,11.875,11.9375,11.8125,11.875,6.298,87800
119,2000-07-19,11.875,11.875,11.25,11.5,6.0991,143900
120,2000-07-20,11.75,11.75,11.5625,11.625,6.1654,80600
121,2000-07-21,11.625,11.875,11.625,11.625,6.1654,118300
