,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-11-21,23.5,23.5,22.75,23.0,8.3524,3821400
1,1997-11-24,23.0,23.0,22.25,22.75,8.2617,541600
2,1997-11-25,22.875,23.0,22.6875,23.0,8.3524,425000
3,1997-11-26,23.0,23.0,22.75,22.75,8.2617,165200
4,1997-11-28,22.75,23.0,22.75,23.0,8.3524,60500
5,1997-12-01,23.0625,23.125,23.0,23.0625,8.3751,120300
6,1997-12-02,23.125,23.125,22.875,23.0,8.3524,164200
7,1997-12-03,23.0625,23.0625,22.9375,23.0,8.3524,540000
8,1997-12-04,23.0,23.0625,23.0,23.0,8.3524,43800
9,1997-12-05,22.875,23.375,22.875,23.0625,8.3751,147500
10,1997-12-08,23.0,23.25,23.0,23.1875,8.4205,74900
11,1997-12-09,23.125,23.1875,23.0,23.1875,8.4205,61000
12,1997-12-10,23.125,23.25,23.0625,23.0625,8.3751,104500
13,1997-12-11,23.0,23.125,23.0,23.0625,8.3751,153600
14,1997-12-12,23.0625,23.1875,23.0625,23.1875,8.4205,59900
15,1997-12-15,23.125,23.1875,23.0625,23.1875,8.4205,24400
16,1997-12-16,23.1875,23.75,23.1875,23.625,8.6293,107900
17,1997-12-17,23.75,24.25,23.6875,24.1875,8.8347,63900
18,1997-12-18,24.125,24.25,24.125,24.25,8.8576,35700
19,1997-12-19,24.25,24.25,23.75,23.875,8.7206,134400
20,1997-12-22,23.9375,24.125,23.875,24.0,8.7663,34400
21,1997-12-23,24.0,24.1875,24.0,24.0,8.7663,88500
22,1997-12-24,23.9375,24.0,23.8125,24.0,8.7663,63300
23,1997-12-26,23.875,23.875,23.5625,23.6875,8.6521,34600
24,1997-12-29,23.875,24.0625,23.75,23.8125,8.6978,159600
25,1997-12-30,24.0,24.3125,23.6875,24.3125,8.8804,52400
26,1997-12-31,24.375,25.125,24.375,25.125,9.1772,215700
27,1998-01-02,25.0,25.0,24.625,24.875,9.0859,52000
28,1998-01-05,24.75,24.9375,24.625,24.625,8.9945,42300
29,1998-01-06,24.75,24.75,24.625,24.6875,9.0174,26900
30,1998-01-07,24.6875,24.75,24.4375,24.625,8.9945,49500
31,1998-01-08,24.5,24.75,24.375,24.5625,8.9717,95700
32,1998-01-09,24.5,24.5,24.125,24.375,8.9032,37800
33,1998-01-12,24.125,24.4375,23.75,24.4375,8.9261,24500
34,1998-01-13,24.5,24.625,24.4375,24.5625,8.9717,190300
35,1998-01-14,24.5,24.75,24.25,24.75,9.0402,201800
36,1998-01-15,24.75,24.75,24.5,24.5,8.9489,39200
37,1998-01-16,24.5625,24.5625,24.375,24.5,8.9489,13600
38,1998-01-20,24.625,24.75,24.5625,24.625,8.9945,63200
39,1998-01-21,24.6875,24.875,24.5625,24.75,9.0402,90400
40,1998-01-22,24.875,24.875,24.625,24.6875,9.0174,99600
41,1998-01-23,24.75,24.75,24.4375,24.4375,8.9261,11200
42,1998-01-26,24.3125,24.375,24.125,24.125,8.8119,50500
43,1998-01-27,24.25,24.5,24.0,24.25,8.8576,17300
44,1998-01-28,24.125,24.125,23.875,24.0,8.7663,68700
45,1998-01-29,23.75,24.125,23.75,24.0,8.7663,67700
46,1998-01-30,24.0,24.5,24.0,24.5,8.9489,33000
47,1998-02-02,24.5,24.75,24.4375,24.75,9.0402,31000
48,1998-02-03,24.625,24.75,24.5,24.5,8.9489,18300
49,1998-02-04,24.5625,24.5625,24.375,24.375,8.9032,29200
50,1998-02-05,24.375,24.625,24.375,24.5,8.9489,10900
51,1998-02-06,24.5,24.5,24.125,24.25,8.8576,129200
52,1998-02-09,24.1875,24.3125,23.9375,24.3125,8.8804,101100
53,1998-02-10,24.375,24.625,24.3125,24.625,8.9945,35000
54,1998-02-11,24.625,24.625,24.4375,24.625,8.9945,40400
55,1998-02-12,24.5,24.625,24.3125,24.5,8.9489,34500
56,1998-02-13,24.5625,24.625,24.375,24.5,8.9489,73100
57,1998-02-17,24.625,24.8125,24.5,24.8125,9.063,110500
58,1998-02-18,24.6875,24.6875,23.875,24.125,8.8119,85500
59,1998-02-19,24.25,24.25,24.0,24.0,8.7663,7900
60,1998-02-20,24.0,24.375,24.0,24.1875,8.8347,82700
61,1998-02-23,24.125,24.25,24.0,24.0625,8.7891,26300
62,1998-02-24,24.0625,24.1875,23.875,23.875,8.7206,8700
63,1998-02-25,23.875,23.9375,23.75,23.75,8.6749,45600
64,1998-02-26,23.75,23.875,23.625,23.625,8.6293,21300
65,1998-02-27,23.625,23.8125,23.5,23.5,8.5836,42700
66,1998-03-02,23.75,23.75,23.4375,23.4375,8.5608,102800
67,1998-03-03,23.4375,23.6875,23.4375,23.5625,8.6065,24500
68,1998-03-04,23.625,23.625,23.375,23.375,8.538,108100
69,1998-03-05,23.375,23.5,23.375,23.4375,8.5608,43100
70,1998-03-06,23.4375,23.8125,23.4375,23.5,8.5836,17400
71,1998-03-09,23.5,24.1875,23.5,24.0,8.7663,105300
72,1998-03-10,24.125,24.25,24.0,24.0,8.7663,89800
73,1998-03-11,24.0,24.1875,24.0,24.1875,8.8347,8200
74,1998-03-12,24.1875,24.1875,24.0,24.0,8.7663,103000
75,1998-03-13,23.8125,24.0,23.8125,23.875,8.7206,438900
76,1998-03-16,23.625,23.625,23.25,23.5625,8.7317,16000
77,1998-03-17,23.4375,23.5625,23.375,23.5,8.7086,15300
78,1998-03-18,23.5,23.625,23.5,23.5,8.7086,39800
79,1998-03-19,23.5,23.875,23.5,23.875,8.8475,100200
80,1998-03-20,23.8125,24.375,23.8125,24.25,8.9865,137800
81,1998-03-23,24.25,24.5,24.25,24.375,9.0328,13400
82,1998-03-24,24.5,24.5,24.25,24.25,8.9865,10800
83,1998-03-25,24.375,24.5,24.25,24.3125,9.0096,18700
84,1998-03-26,24.625,24.9375,24.5,24.75,9.1718,22800
85,1998-03-27,24.75,24.9375,24.625,24.9375,9.2413,45500
86,1998-03-30,24.9375,24.9375,24.5625,24.625,9.1255,20000
87,1998-03-31,24.5,24.5,24.125,24.125,8.9402,113200
88,1998-04-01,24.0625,24.25,23.8125,24.125,8.9402,32600
89,1998-04-02,24.25,24.5625,24.0,24.0,8.8938,58100
90,1998-04-03,23.9375,23.9375,23.25,23.5,8.7086,64100
91,1998-04-06,23.5,23.5625,23.1875,23.25,8.6159,114700
92,1998-04-07,23.125,23.1875,23.0,23.0,8.5233,139600
93,1998-04-08,23.1875,23.4375,23.125,23.4375,8.6854,24700
94,1998-04-09,23.5,23.5,23.375,23.5,8.7086,125900
95,1998-04-13,23.5,23.5,23.125,23.1875,8.5927,61300
96,1998-04-14,23.0625,23.1875,22.875,23.1875,8.5927,93300
97,1998-04-15,23.125,23.625,23.125,23.5,8.7086,8100
98,1998-04-16,23.375,23.375,23.0,23.125,8.5696,21100
99,1998-04-17,23.0625,23.1875,22.75,23.0625,8.5464,103200
100,1998-04-20,23.25,23.25,22.8125,22.875,8.4769,20600
101,1998-04-21,22.75,22.75,22.5625,22.6875,8.4075,32700
102,1998-04-22,22.5625,23.5,22.5625,23.375,8.6622,67900
103,1998-04-23,23.375,23.5,23.1875,23.375,8.6622,16500
104,1998-04-24,23.375,23.75,23.375,23.5,8.7086,24700
105,1998-04-27,23.375,23.5,23.0625,23.0625,8.5464,6800
106,1998-04-28,23.375,23.375,23.0,23.0,8.5233,16400
107,1998-04-29,23.1875,23.1875,23.125,23.125,8.5696,12500
108,1998-04-30,23.25,23.375,23.0,23.0,8.5233,15900
109,1998-05-01,23.0,24.0625,23.0,24.0625,8.917,72100
110,1998-05-04,24.125,25.0,24.125,24.75,9.1718,102900
111,1998-05-05,24.875,24.875,24.375,24.75,9.1718,73300
112,1998-05-06,24.75,24.75,24.375,24.5,9.0791,65800
113,1998-05-07,24.5,24.875,24.5,24.875,9.2181,69100
114,1998-05-08,24.875,24.875,24.4375,24.5,9.0791,55600
115,1998-05-11,24.5,24.5,23.5,23.5,8.7086,53400
116,1998-05-12,23.625,23.625,23.25,23.4375,8.6854,57700
117,1998-05-13,23.5625,23.625,23.5,23.5,8.7086,3300
118,1998-05-14,23.5,23.625,23.5,23.5,8.7086,1600
119,1998-05-15,23.5,23.625,23.5,23.625,8.7549,27300
120,1998-05-18,23.6875,23.6875,23.5625,23.6875,8.778,27000
121,1998-05-19,23.6875,23.6875,23.375,23.375,8.6622,9600
122,1998-05-20,23.5,23.5,23.125,23.3125,8.6391,15300
123,1998-05-21,23.4375,23.5625,23.125,23.125,8.5696,82800
124,1998-05-22,23.125,23.25,23.125,23.25,8.6159,2500
125,1998-05-26,23.25,23.75,23.25,23.375,8.6622,96500
126,1998-05-27,23.125,23.4375,23.125,23.4375,8.6854,49200
127,1998-05-28,23.375,23.4375,23.1875,23.25,8.6159,23200
128,1998-05-29,23.25,23.8125,23.25,23.8125,8.8244,48000
129,1998-06-01,23.9375,23.9375,23.5625,23.625,8.7549,77300
130,1998-06-02,23.5,23.5625,23.5,23.5625,8.7317,11400
131,1998-06-03,23.5625,23.5625,23.5,23.5,8.7086,521600
132,1998-06-04,23.5,23.625,23.5,23.5625,8.7317,6000
133,1998-06-05,23.6875,23.8125,23.6875,23.6875,8.778,52400
134,1998-06-08,23.8125,23.8125,23.5,23.5,8.7086,40800
135,1998-06-09,23.375,23.4375,23.125,23.1875,8.5927,13500
136,1998-06-10,23.1875,23.3125,23.0625,23.25,8.6159,25200
137,1998-06-11,23.25,23.25,22.5,22.875,8.4769,33100
138,1998-06-12,22.75,22.75,22.625,22.625,8.3843,46100
139,1998-06-15,22.625,22.625,22.3125,22.375,8.2917,33800
140,1998-06-16,22.375,22.75,22.375,22.625,8.3843,13000
141,1998-06-17,22.5,23.0625,22.5,23.0625,8.5464,59700
142,1998-06-18,22.875,24.25,22.6875,24.25,8.9865,141400
143,1998-06-19,24.0625,24.0625,23.8125,24.0,8.8938,116200
144,1998-06-22,23.875,23.875,23.25,23.5,8.7086,66100
145,1998-06-23,23.375,23.4375,23.375,23.4375,8.6854,36100
146,1998-06-24,23.375,24.0,23.25,23.9375,8.8707,97100
147,1998-06-25,24.0,24.125,23.625,24.0625,8.917,158000
148,1998-06-26,23.8125,24.125,23.625,24.0,9.0223,59300
149,1998-06-29,24.0,25.0,23.625,25.0,9.3982,81900
150,1998-06-30,25.0,25.0,24.25,24.5,9.2102,298200
151,1998-07-01,24.5,24.5,24.0625,24.1875,9.0927,14900
152,1998-07-02,24.125,24.125,24.0625,24.0625,9.0458,14500
