,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1973-02-21,22.375,22.625,22.125,22.375,3.9948,4300
1,1973-02-22,22.5,22.5,22.125,22.5,4.0172,4000
2,1973-02-23,22.0,22.5,22.0,22.0,3.9279,3500
3,1973-02-26,21.875,22.125,21.75,21.875,3.9056,2200
4,1973-02-27,21.5,21.875,21.5,21.5,3.8386,6400
5,1973-02-28,21.625,21.75,21.5,21.625,3.8609,2200
6,1973-03-01,21.625,21.875,21.5,21.625,3.8609,6200
7,1973-03-02,21.75,21.875,21.625,21.75,3.8832,3100
8,1973-03-05,20.75,22.0,20.5,20.75,3.7047,27800
9,1973-03-06,20.875,21.125,20.875,20.875,3.727,7900
10,1973-03-07,21.25,21.375,21.0,21.25,3.794,4400
11,1973-03-08,21.25,21.625,21.0,21.25,3.794,14200
12,1973-03-09,20.875,21.375,20.875,20.875,3.727,3600
13,1973-03-12,20.5,20.875,20.5,20.5,3.6601,4800
14,1973-03-13,21.125,21.375,20.5,21.125,3.7717,8400
15,1973-03-14,21.0,21.25,20.75,21.0,3.7493,9500
16,1973-03-15,21.0,21.375,21.0,21.0,3.7493,6600
17,1973-03-16,20.75,21.375,20.75,20.75,3.7047,5900
18,1973-03-19,20.625,21.0,20.625,20.625,3.6824,5900
19,1973-03-20,20.375,20.5,20.25,20.375,3.6378,6300
20,1973-03-21,20.375,20.375,20.25,20.375,3.6378,5700
21,1973-03-22,19.875,20.375,19.875,19.875,3.5485,7000
22,1973-03-23,20.0,20.0,19.625,20.0,3.5708,10400
23,1973-03-26,20.25,20.25,20.0,20.25,3.6154,5700
24,1973-03-27,20.25,20.375,20.0,20.25,3.6154,8300
25,1973-03-28,20.25,20.5,20.125,20.25,3.6154,3500
26,1973-03-29,20.5,20.625,20.0,20.5,3.6601,34400
27,1973-03-30,20.625,20.75,20.5,20.625,3.6824,3400
28,1973-04-02,19.875,20.75,19.875,19.875,3.5485,19000
29,1973-04-03,19.875,19.875,19.75,19.875,3.5485,7700
30,1973-04-04,19.5,19.875,19.5,19.5,3.4815,17200
31,1973-04-05,19.625,19.625,19.25,19.625,3.5038,7400
32,1973-04-06,19.375,19.625,19.25,19.375,3.4592,9300
33,1973-04-09,20.0,20.125,19.5,20.0,3.5708,5500
34,1973-04-10,19.875,20.125,19.625,19.875,3.5485,22500
35,1973-04-11,19.875,20.0,19.875,19.875,3.5485,10800
36,1973-04-12,20.0,20.125,19.75,20.0,3.5708,22900
37,1973-04-13,20.5,20.625,20.25,20.5,3.6601,7600
38,1973-04-16,20.625,20.75,20.375,20.625,3.6824,3000
39,1973-04-17,20.75,21.0,20.75,20.75,3.7047,1900
40,1973-04-18,21.125,21.125,20.875,21.125,3.7717,1800
41,1973-04-19,21.875,22.25,21.125,21.875,3.9056,7000
42,1973-04-23,22.125,22.5,22.0,22.125,3.9502,18900
43,1973-04-24,21.875,22.25,21.875,21.875,3.9056,5400
44,1973-04-25,21.25,21.375,20.875,21.25,3.845,3800
45,1973-04-26,21.25,21.375,21.125,21.25,3.845,3100
46,1973-04-27,21.25,21.5,21.125,21.25,3.845,3800
47,1973-04-30,21.0,21.5,21.0,21.0,3.7997,5700
48,1973-05-01,21.125,21.5,21.125,21.125,3.8223,6900
49,1973-05-02,21.5,21.5,21.0,21.5,3.8902,5000
50,1973-05-03,21.75,21.75,21.25,21.75,3.9354,3800
51,1973-05-04,22.375,22.625,22.0,22.375,4.0485,6800
52,1973-05-07,21.75,22.5,21.75,21.75,3.9354,5100
53,1973-05-08,21.75,21.75,21.5,21.75,3.9354,8300
54,1973-05-09,21.625,21.875,21.625,21.625,3.9128,2500
55,1973-05-10,21.75,21.875,21.625,21.75,3.9354,13700
56,1973-05-11,21.75,21.75,21.625,21.75,3.9354,6700
57,1973-05-14,21.125,21.375,20.75,21.125,3.8223,10900
58,1973-05-15,21.0,21.25,20.75,21.0,3.7997,9800
59,1973-05-16,21.0,21.375,20.75,21.0,3.7997,4400
60,1973-05-17,20.875,21.0,20.875,20.875,3.7771,2000
61,1973-05-18,20.25,20.75,20.25,20.25,3.664,8700
62,1973-05-21,20.125,20.5,20.125,20.125,3.6414,3900
63,1973-05-22,20.25,20.5,20.125,20.25,3.664,2100
64,1973-05-23,20.5,20.75,20.125,20.5,3.7092,6500
65,1973-05-24,21.0,21.0,20.75,21.0,3.7997,4600
66,1973-05-25,21.25,21.5,21.0,21.25,3.845,4400
67,1973-05-29,21.125,21.375,21.125,21.125,3.8223,2500
68,1973-05-30,21.25,21.375,21.125,21.25,3.845,6800
69,1973-05-31,21.125,21.375,21.125,21.125,3.8223,2700
70,1973-06-01,21.125,21.375,21.125,21.125,3.8223,4500
71,1973-06-04,21.125,21.125,21.125,21.125,3.8223,2600
72,1973-06-05,21.375,21.375,21.125,21.375,3.8676,2700
73,1973-06-06,21.25,21.625,21.125,21.25,3.845,3200
74,1973-06-07,21.125,21.5,21.125,21.125,3.8223,2700
75,1973-06-08,21.625,21.75,21.5,21.625,3.9128,2900
76,1973-06-11,21.75,22.125,21.75,21.75,3.9354,12500
77,1973-06-12,21.5,21.875,21.5,21.5,3.8902,4000
78,1973-06-13,21.75,21.75,21.625,21.75,3.9354,1500
79,1973-06-14,21.375,21.625,21.0,21.375,3.8676,9400
80,1973-06-15,21.0,21.125,20.75,21.0,3.7997,2000
81,1973-06-18,20.375,20.75,20.375,20.375,3.6866,5500
82,1973-06-19,20.625,20.625,20.375,20.625,3.7319,1800
83,1973-06-20,20.375,20.75,20.375,20.375,3.6866,1500
84,1973-06-21,20.375,20.625,20.25,20.375,3.6866,3300
85,1973-06-22,20.875,20.875,20.5,20.875,3.7771,3500
86,1973-06-25,20.625,21.0,20.5,20.625,3.7319,4900
87,1973-06-26,21.25,21.25,20.625,21.25,3.845,3600
88,1973-06-27,21.0,21.25,20.875,21.0,3.7997,4400
89,1973-06-28,20.75,20.875,20.75,20.75,3.7545,3000
90,1973-06-29,21.25,21.375,20.75,21.25,3.845,3600
91,1973-07-02,21.25,21.5,21.25,21.25,3.845,1000
92,1973-07-03,21.5,21.5,21.125,21.5,3.8902,1300
93,1973-07-05,20.25,21.0,20.25,20.25,3.664,12500
94,1973-07-06,20.125,20.5,20.0,20.125,3.6414,3200
95,1973-07-09,20.25,20.25,19.875,20.25,3.664,5200
96,1973-07-10,20.125,20.75,20.0,20.125,3.6414,6900
97,1973-07-11,20.0,20.125,20.0,20.0,3.6188,10400
98,1973-07-12,20.75,20.75,20.25,20.75,3.7545,5900
99,1973-07-13,20.625,20.625,19.875,20.625,3.7319,14300
100,1973-07-16,20.125,20.75,20.0,20.125,3.6414,8200
101,1973-07-17,20.125,20.5,20.125,20.125,3.6414,3600
102,1973-07-18,20.5,20.5,20.125,20.5,3.7092,3800
103,1973-07-19,20.5,20.875,20.375,20.5,3.7092,3300
104,1973-07-20,20.25,20.875,20.0,20.25,3.664,6400
105,1973-07-23,21.125,21.25,20.25,21.125,3.8223,8200
106,1973-07-24,20.5,20.875,20.375,20.5,3.7092,5600
107,1973-07-25,20.5,20.625,20.25,20.5,3.7092,8200
108,1973-07-26,20.125,20.5,20.125,20.125,3.6414,5200
109,1973-07-27,20.5,20.5,20.125,20.5,3.7092,5200
110,1973-07-30,20.375,20.375,20.125,20.375,3.6866,3400
111,1973-07-31,20.25,20.5,20.125,20.25,3.664,4700
112,1973-08-01,20.0,20.125,19.75,20.0,3.6188,3200
113,1973-08-02,20.0,20.0,19.75,20.0,3.6188,3400
114,1973-08-03,20.0,20.0,19.75,20.0,3.6188,3100
115,1973-08-06,19.5,20.0,19.5,19.5,3.5283,5500
116,1973-08-07,19.375,19.75,19.375,19.375,3.5057,3100
117,1973-08-08,19.125,19.5,19.125,19.125,3.4605,5500
118,1973-08-09,19.375,19.375,19.125,19.375,3.5057,2500
119,1973-08-10,19.25,19.5,19.125,19.25,3.4831,1100
120,1973-08-13,19.125,19.625,19.125,19.125,3.4605,2500
121,1973-08-14,19.0,19.125,18.875,19.0,3.4378,4100
122,1973-08-15,18.75,19.0,18.625,18.75,3.3926,6400
123,1973-08-16,18.75,19.0,18.625,18.75,3.3926,3600
124,1973-08-17,18.75,19.125,18.625,18.75,3.3926,3900
125,1973-08-20,18.75,18.75,18.25,18.75,3.3926,6600
126,1973-08-21,18.625,18.875,18.625,18.625,3.37,1000
127,1973-08-22,18.5,18.875,18.5,18.5,3.3474,7400
128,1973-08-23,18.25,18.625,18.25,18.25,3.3021,54900
129,1973-08-24,18.5,18.5,18.25,18.5,3.3474,3000
130,1973-08-27,18.25,18.5,18.25,18.25,3.3021,5700
