,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,25.56,26.0,25.56,25.81,25.81,380500
1,1998-01-02,25.5,25.63,25.06,25.25,25.25,189200
2,1998-01-05,25.06,25.31,24.13,25.06,25.06,447000
3,1998-01-06,24.63,24.94,24.44,24.5,24.5,356800
4,1998-01-07,24.44,24.44,24.06,24.25,24.25,294100
5,1998-01-08,24.44,24.44,24.06,24.44,24.44,189700
6,1998-01-09,24.31,24.75,24.25,24.38,24.38,111100
7,1998-01-12,24.0,24.81,24.0,24.81,24.81,200400
8,1998-01-13,24.63,24.94,24.44,24.94,24.94,320400
9,1998-01-14,24.88,24.88,24.44,24.63,24.63,93100
10,1998-01-15,24.5,24.56,24.13,24.31,24.31,219700
11,1998-01-16,24.25,24.56,24.13,24.13,24.13,125900
12,1998-01-20,24.06,24.19,23.88,23.88,23.88,229200
13,1998-01-21,23.63,23.94,23.63,23.75,23.75,422000
14,1998-01-22,23.56,24.0,23.44,24.0,24.0,162400
15,1998-01-23,24.06,24.25,23.88,24.19,24.19,237400
16,1998-01-26,24.13,24.69,24.13,24.5,24.5,422400
17,1998-01-27,24.5,24.75,24.38,24.56,24.56,322000
18,1998-01-28,24.56,25.0,24.56,25.0,25.0,789000
19,1998-01-29,24.88,25.06,24.81,24.88,24.88,262500
20,1998-01-30,24.88,25.06,24.88,24.88,24.88,209300
21,1998-02-02,24.88,25.13,24.88,24.94,24.94,376500
22,1998-02-03,24.88,24.91,24.63,24.63,24.63,284100
23,1998-02-04,24.88,24.88,24.5,24.69,24.69,134500
24,1998-02-05,24.63,24.88,24.63,24.75,24.75,104600
25,1998-02-06,24.75,24.94,24.63,24.63,24.63,107700
26,1998-02-09,24.63,24.75,24.0,24.25,24.25,102600
27,1998-02-10,24.5,24.81,24.44,24.56,24.56,173400
28,1998-02-11,24.5,24.75,24.38,24.5,24.5,188600
29,1998-02-12,24.5,24.5,24.06,24.31,24.31,324700
30,1998-02-13,24.19,24.38,24.06,24.38,24.38,216500
31,1998-02-17,24.25,24.63,24.19,24.63,24.63,398900
32,1998-02-18,24.56,25.19,24.5,25.19,25.19,602700
33,1998-02-19,25.13,25.38,25.13,25.31,25.31,503400
34,1998-02-20,25.25,25.25,25.0,25.19,25.19,175900
35,1998-02-23,25.19,25.25,25.06,25.13,25.13,674400
36,1998-02-24,25.06,25.13,24.75,25.0,25.0,211500
37,1998-02-25,25.13,25.31,25.06,25.13,25.13,639600
38,1998-02-26,25.0,25.31,25.0,25.25,25.25,156300
39,1998-02-27,25.19,25.25,25.06,25.13,25.13,357600
40,1998-03-02,25.06,25.13,24.94,24.94,24.94,148100
41,1998-03-03,25.0,25.56,24.94,25.56,25.56,433100
42,1998-03-04,25.5,25.56,25.25,25.38,25.38,447900
43,1998-03-05,25.38,25.5,25.31,25.5,25.5,536400
44,1998-03-06,24.75,25.13,24.56,24.75,24.75,1687300
45,1998-03-09,24.75,24.75,24.56,24.69,24.69,194200
