,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2012-04-12,33.25,34.21,32.0,34.0,24.1624,654690
1,2012-04-13,34.0,37.45,33.91,37.0,26.2943,1685119
2,2012-04-16,37.0,37.0,35.99,36.55,25.9745,550150
3,2012-04-17,36.4,36.75,36.0,36.0,25.5837,179577
4,2012-04-18,36.0,36.44,34.5,36.0,25.5837,207074
5,2012-04-19,36.0,37.22,35.8,36.0,25.5837,598016
6,2012-04-20,36.1,37.0,36.1,36.32,25.8111,149660
7,2012-04-23,36.24,36.24,35.42,35.68,25.3563,95700
8,2012-04-24,36.0,36.0,34.68,34.75,24.6954,124488
9,2012-04-25,34.8,35.5,34.5,34.75,24.6954,266124
10,2012-04-26,34.61,34.99,34.44,34.95,24.8375,183833
11,2012-04-27,35.25,35.25,33.97,34.11,24.2405,520520
12,2012-04-30,34.34,34.9,34.0,34.05,24.1979,4105661
13,2012-05-01,33.74,34.1,32.58,32.76,23.2812,6879137
14,2012-05-02,32.6,32.665,31.63,32.0,22.7411,11287820
15,2012-05-03,31.93,31.98,31.05,31.39,22.3076,11794170
16,2012-05-04,30.85,31.09,30.12,30.16,21.4334,10880960
17,2012-05-07,30.1,30.55,29.25,29.35,20.8578,12257130
18,2012-05-08,29.09,30.41,28.75,30.1,21.3908,14602520
19,2012-05-09,29.81,32.89,29.73,32.49,23.0893,13991380
20,2012-05-10,33.05,33.35,31.5199,32.48,23.0822,8862449
21,2012-05-11,31.73,32.15,31.4,31.83,22.6202,4462784
22,2012-05-14,31.19,31.58,30.765,31.32,22.2578,6398344
23,2012-05-15,31.35,32.32,31.06,31.67,22.5065,6362783
24,2012-05-16,31.46,32.39,31.25,32.1,22.8121,6119700
25,2012-05-17,31.89,32.0,31.2,31.26,22.2152,5850849
26,2012-05-18,31.43,31.685,30.99,31.38,22.3004,7940710
27,2012-05-21,31.23,32.34,30.95,32.19,22.8761,5481256
28,2012-05-22,31.88,32.27,31.33,31.63,22.4781,5415170
29,2012-05-23,31.35,31.49,30.88,31.41,22.3218,5268865
30,2012-05-24,31.42,31.44,30.75,31.13,22.1228,4210378
31,2012-05-25,31.01,31.41,30.83,31.3,22.2436,3217880
32,2012-05-29,31.28,31.72,30.86,31.01,22.0375,3980088
33,2012-05-30,30.79,30.83,30.175,30.44,21.6324,6000530
34,2012-05-31,30.26,30.35,29.72,30.03,21.3411,8098327
35,2012-06-01,29.5,30.17,29.38,29.92,21.2629,5701781
36,2012-06-04,29.3,30.19,29.25,29.53,20.9857,4845298
37,2012-06-05,29.37,30.1,29.3145,29.9,21.2487,4046996
38,2012-06-06,30.03,32.0,29.82,31.53,22.407,8609774
39,2012-06-07,32.07,32.75,31.735,31.83,22.6202,7694514
40,2012-06-08,31.66,32.35,31.51,32.12,22.8263,4302337
41,2012-06-11,32.45,33.05,32.23,32.6,23.1674,5998990
42,2012-06-12,32.56,33.7384,32.49,33.49,23.7999,6809855
43,2012-06-13,33.27,33.49,32.54,32.77,23.2883,2876111
44,2012-06-14,32.77,33.64,32.31,33.53,23.8284,4460097
45,2012-06-15,33.6,34.91,33.38,34.9,24.802,9914292
46,2012-06-18,34.38,34.5,33.83,33.86,24.0629,4254404
47,2012-06-19,34.06,34.53,33.73,33.86,24.0629,4873473
48,2012-06-20,33.79,34.85,33.48,34.66,24.6314,4628528
49,2012-06-21,34.7,34.76,33.06,33.48,23.7928,3489835
50,2012-06-22,33.65,34.71,33.03,34.16,24.2761,4369263
51,2012-06-25,33.69,33.69,32.76,32.87,23.3593,3518598
52,2012-06-26,32.81,33.98,32.4,32.58,23.1532,3274695
53,2012-06-27,32.61,33.4,31.42,31.89,22.6629,3615526
54,2012-06-28,31.54,32.4,31.29,32.31,22.9614,3115829
55,2012-06-29,32.78,33.38,32.646,33.24,23.6223,4599960
56,2012-07-02,33.59,34.32,33.37,34.0,24.1624,3868491
57,2012-07-03,34.02,34.63,33.83,34.24,24.3329,3647467
58,2012-07-05,33.83,34.24,33.54,33.8,24.0202,2711223
59,2012-07-06,33.4,33.68,32.92,33.37,23.7147,1907785
60,2012-07-09,33.08,33.76,32.65,33.25,23.6294,2264549
61,2012-07-10,33.47,33.47,32.5,32.68,23.2243,2972898
62,2012-07-11,32.66,33.64,32.35,33.48,23.7928,2582945
63,2012-07-12,33.15,33.19,32.55,33.01,23.4588,3505596
64,2012-07-13,33.61,35.08,33.51,34.94,24.8304,4801583
65,2012-07-16,34.69,36.12,34.56,36.1,25.6547,4895653
66,2012-07-17,36.16,36.8,35.86,36.69,26.074,3604306
67,2012-07-18,36.65,37.67,36.59,37.1,26.3654,2839176
68,2012-07-19,36.99,37.0,35.49,35.6,25.4365,3758508
69,2012-07-20,35.18,35.44,34.91,35.32,25.2365,3289930
70,2012-07-23,34.79,35.28,34.5,35.02,25.0221,3245840
71,2012-07-24,35.25,35.42,34.6135,35.23,25.1722,2351584
72,2012-07-25,35.6,35.89,34.87,35.4,25.2936,3551211
73,2012-07-26,35.76,36.06,35.5901,35.96,25.6938,2951738
74,2012-07-27,36.23,36.91,35.9,36.52,26.0939,6159905
75,2012-07-30,36.86,37.65,36.83,37.65,26.9013,2830879
76,2012-07-31,37.74,38.36,37.51,37.6,26.8656,6958421
77,2012-08-01,39.08,40.18,37.78,38.27,27.3443,6640199
78,2012-08-02,37.94,39.07,37.84,38.3,27.3657,4434735
79,2012-08-03,38.6,39.85,38.6,39.67,28.3446,4515975
80,2012-08-06,39.94,40.35,39.77,40.07,28.6304,3405031
81,2012-08-07,40.39,40.83,39.59,39.77,28.4161,4636760
82,2012-08-08,39.6,40.2,39.46,40.15,28.6876,4002567
83,2012-08-09,39.9,40.6,39.88,40.32,28.809,2888402
84,2012-08-10,40.26,40.43,39.75,40.0,28.5804,2107632
85,2012-08-13,39.86,40.35,39.77,40.15,28.6876,2213411
86,2012-08-14,40.19,40.45,39.8,39.93,28.5304,2535482
87,2012-08-15,40.54,40.66,39.93,40.36,28.8376,4009437
88,2012-08-16,40.53,41.26,40.37,41.18,29.4235,3862105
89,2012-08-17,41.62,42.93,41.47,42.77,30.5596,5536614
90,2012-08-20,42.87,43.45,42.75,43.07,30.7739,3809871
91,2012-08-21,43.38,43.38,41.49,41.55,29.6879,4469525
92,2012-08-22,41.36,41.53,40.42,41.48,29.6379,4384468
93,2012-08-23,41.48,41.63,41.05,41.33,29.5307,1996903
94,2012-08-24,41.15,41.54,40.745,41.36,29.5521,2562877
95,2012-08-27,41.43,42.39,40.97,41.07,29.3449,3779120
96,2012-08-28,40.9,42.47,40.9,41.96,29.9808,3770767
97,2012-08-29,41.9,42.39,41.65,41.98,29.9951,2674285
98,2012-08-30,41.79,42.7,41.62,42.48,30.3524,2523712
99,2012-08-31,42.7,43.0,41.1,42.0,30.0094,5791145
100,2012-09-04,42.07,42.45,41.48,42.41,30.3024,2620889
101,2012-09-05,42.49,42.58,41.43,41.74,29.8236,2881756
102,2012-09-06,42.16,43.74,42.16,43.42,31.024,4222973
103,2012-09-07,43.48,44.31,43.36,44.26,31.6242,3458005
104,2012-09-10,43.93,44.85,43.93,44.54,31.8243,4417886
105,2012-09-11,44.64,46.1,44.46,45.59,32.5745,6305249
106,2012-09-12,46.14,47.41,46.04,46.28,33.0675,5269786
107,2012-09-13,46.3,46.85,45.37,46.64,33.3247,5292183
108,2012-09-14,47.16,48.22,46.011,46.73,33.389,6718832
109,2012-09-17,46.17,46.97,46.0,46.14,32.9675,4835577
110,2012-09-18,45.53,45.78,44.44,45.52,32.5245,6109079
111,2012-09-19,45.53,46.6,45.51,45.57,32.5602,3505452
112,2012-09-20,45.39,46.3099,45.17,45.78,32.7103,3233690
113,2012-09-21,46.04,47.09,46.04,46.82,33.4533,5963458
114,2012-09-24,46.69,46.92,46.26,46.74,33.3962,2454207
115,2012-09-25,47.0,47.3,45.96,45.98,32.8532,2912109
116,2012-09-26,45.69,46.33,45.23,45.53,32.5316,3626927
117,2012-09-27,45.8,46.745,45.68,46.53,33.2461,3180121
118,2012-09-28,46.43,46.53,46.02,46.37,33.1318,3254636
119,2012-10-01,46.6,47.02,46.26,46.56,33.2676,2785428
120,2012-10-02,46.68,46.96,46.27,46.42,33.1675,2911829
121,2012-10-03,46.27,46.41,45.0,45.16,32.2673,5392634
122,2012-10-04,45.59,45.66,45.08,45.39,32.4316,6199093
123,2012-10-05,45.87,47.68,45.76,46.02,32.8817,7658255
124,2012-10-08,45.96,46.57,45.56,45.93,32.8174,3415521
125,2012-10-09,46.16,46.75,46.055,46.09,32.9318,3668400
126,2012-10-10,46.02,46.33,44.69,45.15,32.2601,5564785
127,2012-10-11,45.38,45.65,44.57,44.6,32.0446,4600511
128,2012-10-12,44.33,44.62,42.45,43.92,31.556,6634256
129,2012-10-15,43.85,44.43,43.41,44.38,31.8865,2722300
130,2012-10-16,44.77,46.7901,44.6,46.49,33.4025,5743223
131,2012-10-17,46.55,47.22,46.31,46.65,33.5175,2841911
132,2012-10-18,46.62,46.63,45.39,45.56,32.7343,3402277
133,2012-10-19,45.53,46.09,44.55,44.64,32.0733,3002431
134,2012-10-22,44.73,45.7273,44.73,45.58,32.7487,3421657
135,2012-10-23,44.91,45.08,43.93,44.92,32.2745,4079469
136,2012-10-24,45.0,45.65,44.66,44.78,32.1739,3478694
137,2012-10-25,45.14,45.45,44.55,45.03,32.3535,2903891
138,2012-10-26,45.57,47.62,44.82,47.5,34.1282,6123860
139,2012-10-31,47.82,48.4,46.64,47.16,33.8839,4791189
140,2012-11-01,47.0,47.65,46.39,47.38,34.042,4292034
141,2012-11-02,48.01,48.15,46.07,46.21,33.2013,2825940
142,2012-11-05,46.23,47.9,46.23,47.76,34.315,3024433
143,2012-11-06,48.0,51.0,47.86,50.04,35.9531,8221513
144,2012-11-07,49.23,50.079,48.75,49.46,35.5364,6709161
145,2012-11-08,49.34,49.975,48.94,49.0,35.2059,3699028
146,2012-11-09,48.11,48.56,47.17,47.41,34.0635,5424162
147,2012-11-12,47.43,48.11,47.28,47.35,34.0204,2699199
148,2012-11-13,47.0,47.76,46.56,46.86,33.6683,3129022
149,2012-11-14,47.17,47.46,45.71,45.76,32.878,3542601
150,2012-11-15,45.53,46.19,44.94,45.34,32.5762,3805077
151,2012-11-16,45.56,45.92,44.95,45.77,32.8852,4591869
152,2012-11-19,46.4,48.25,46.38,48.12,34.5736,4341677
153,2012-11-20,48.19,49.07,47.8717,49.06,35.249,3493412
154,2012-11-21,49.32,49.65,48.84,49.39,35.4861,3805847
155,2012-11-23,49.58,50.0,49.41,49.82,35.7951,1698687
156,2012-11-26,49.55,49.98,49.07,49.56,35.6083,2944427
157,2012-11-27,49.51,50.42,49.011,50.06,35.9675,4638862
158,2012-11-28,49.66,51.27,49.25,51.0,36.6429,5404801
159,2012-11-29,51.2,51.66,50.83,51.56,37.0452,3951277
160,2012-11-30,51.68,52.53,51.45,52.37,37.6272,5325044
161,2012-12-03,52.65,52.76,51.02,51.56,37.0452,5669941
162,2012-12-04,51.48,52.24,51.48,51.56,37.0452,3726575
163,2012-12-05,51.45,51.9454,50.27,50.69,36.4202,3332646
164,2012-12-06,50.69,51.21,50.3,50.97,36.6213,3405972
165,2012-12-07,51.19,52.75,51.06,52.34,37.6057,4854830
166,2012-12-10,52.21,54.32,52.2,53.58,38.4966,7741761
167,2012-12-11,53.72,53.92,52.73,53.04,38.1086,5205789
168,2012-12-12,53.33,53.5,52.94,53.05,38.1158,8429676
169,2012-12-13,52.6,52.6,51.24,52.21,37.5123,7136529
170,2012-12-14,52.0,53.54,51.8,53.47,38.4176,5120719
171,2012-12-17,53.56,53.86,53.18,53.52,38.4535,4292947
172,2012-12-18,53.44,53.7,53.0,53.17,38.202,3922737
173,2012-12-19,53.28,53.3799,51.84,52.5,37.7206,6409892
174,2012-12-20,52.58,52.72,51.7,52.42,37.6631,4391727
175,2012-12-21,51.71,52.38,51.33,52.16,37.4763,5053809
176,2012-12-24,52.22,52.4,51.9,51.97,37.3398,975106
177,2012-12-26,52.16,52.62,51.32,51.36,36.9015,2322886
178,2012-12-27,51.5,51.71,50.4,51.56,37.0452,2885361
179,2012-12-28,51.06,51.5,50.52,50.57,36.3339,2999362
180,2012-12-31,50.4,53.22,50.4,53.1,38.1517,4234989
181,2013-01-02,54.25,55.31,53.23,55.26,39.7036,5231367
182,2013-01-03,55.03,55.17,52.87,53.19,38.2164,5293064
183,2013-01-04,53.12,53.675,52.29,53.14,38.1805,4161031
184,2013-01-07,52.48,52.48,50.77,51.36,36.9015,6884099
185,2013-01-08,51.2,51.775,51.08,51.59,37.0668,3576909
186,2013-01-09,51.56,52.15,51.02,51.32,36.8728,4430231
187,2013-01-10,51.64,51.84,51.224,51.51,37.0093,3403346
188,2013-01-11,51.28,51.7,50.36,50.58,36.3411,4615796
189,2013-01-14,50.67,51.42,50.12,51.35,36.8944,5000840
190,2013-01-15,51.35,52.33,51.2,52.24,37.5338,4499582
191,2013-01-16,52.13,54.55,52.07,54.52,39.172,8025560
192,2013-01-17,54.98,55.83,54.19,55.15,39.6246,5976768
193,2013-01-18,55.21,55.74,54.58,55.07,39.5671,5999412
194,2013-01-22,55.24,55.24,53.9194,54.61,39.2366,4461942
195,2013-01-23,54.72,56.19,54.2,55.52,39.8905,4294571
196,2013-01-24,55.5,56.95,55.37,56.12,40.3215,4704870
197,2013-01-25,56.5,56.89,56.11,56.81,40.8173,3612623
198,2013-01-28,57.09,57.68,56.5,57.09,41.0185,4055966
199,2013-01-29,58.0,60.45,57.96,59.88,43.0231,8452889
200,2013-01-30,62.38,62.91,60.65,60.76,43.6553,7922446
201,2013-01-31,60.37,61.05,59.91,60.57,43.5188,5452274
202,2013-02-01,62.0,63.25,61.22,62.75,45.0851,4709684
203,2013-02-04,62.13,62.25,61.16,61.22,43.9858,3796773
204,2013-02-05,61.72,61.982,60.98,61.01,43.835,4578981
205,2013-02-06,60.79,62.5,60.71,61.72,44.3451,5068678
206,2013-02-07,61.88,63.34,61.0,63.26,45.4516,4393613
207,2013-02-08,63.41,65.24,63.22,64.02,45.9976,4746271
208,2013-02-11,64.0,64.66,63.72,64.18,46.1126,3098615
209,2013-02-12,64.62,64.78,63.78,64.43,46.2922,3702321
210,2013-02-13,64.5,64.5,63.85,64.11,46.0623,2777089
211,2013-02-14,63.77,64.92,63.75,64.83,46.5796,3560119
212,2013-02-15,64.55,65.38,63.53,64.17,46.1054,3788421
213,2013-02-19,64.02,64.89,63.54,64.76,46.757,3092383
214,2013-02-20,64.75,64.945,62.54,62.64,45.2263,4848653
215,2013-02-21,62.32,62.92,61.22,62.29,44.9736,5033132
216,2013-02-22,62.78,64.12,62.51,64.11,46.2877,3049275
217,2013-02-25,64.49,64.74,61.31,61.34,44.2877,4295033
218,2013-02-26,61.48,61.69,59.935,61.23,44.2083,4346822
219,2013-02-27,61.3,63.1225,61.0,62.99,45.479,2581416
220,2013-02-28,62.86,64.265,62.0,62.96,45.4574,4226784
221,2013-03-01,62.71,63.93,62.19,63.9,46.1361,3150179
222,2013-03-04,63.84,65.74,63.54,65.68,47.4212,3759112
223,2013-03-05,66.04,66.05,64.52,65.77,47.4862,3920271
224,2013-03-06,66.0,66.975,65.4,66.05,47.6884,2930455
225,2013-03-07,65.89,66.1199,64.791,65.87,47.5584,3429702
226,2013-03-08,66.08,66.28,65.6,66.03,47.6739,4045212
227,2013-03-11,65.9,66.08,63.94,65.69,47.4284,4966759
228,2013-03-12,65.66,66.4,65.211,66.22,47.8111,4134693
229,2013-03-13,65.88,66.04,64.2,64.55,46.6054,4785309
230,2013-03-14,64.96,65.45,64.2929,64.95,46.8942,3836975
231,2013-03-15,64.49,65.24,64.11,64.15,46.3166,5983383
232,2013-03-18,63.32,65.29,63.011,65.03,46.9519,3644747
233,2013-03-19,64.88,66.35,64.66,65.41,47.2263,4124338
234,2013-03-20,66.0,68.44,65.95,67.54,48.7642,5088263
235,2013-03-21,67.0,67.84,66.11,66.82,48.2443,3394838
236,2013-03-22,66.97,67.79,66.84,67.55,48.7714,2651543
237,2013-03-25,67.94,68.7,66.65,66.86,48.2732,3905333
238,2013-03-26,66.98,67.41,66.37,67.24,48.5476,3243532
239,2013-03-27,67.13,68.29,66.462,68.27,49.2912,3921471
240,2013-03-28,68.38,70.52,67.96,69.97,50.5186,6224846
241,2013-04-01,70.0,70.19,68.73,69.36,50.0782,3015491
242,2013-04-02,70.17,70.2,66.705,66.84,48.2588,5680256
243,2013-04-03,66.84,66.875,61.47,62.46,45.0964,14033830
244,2013-04-04,62.57,63.95,61.9356,62.39,45.0458,6139078
245,2013-04-05,61.26,62.97,60.2,62.31,44.9881,5289787
246,2013-04-08,62.29,63.8,61.9,63.62,45.9339,3969301
247,2013-04-09,63.95,65.23,62.86,64.66,46.6848,4291901
248,2013-04-10,64.78,65.21,63.0475,63.86,46.1072,6006488
249,2013-04-11,63.81,63.86,61.81,62.01,44.7715,6205726
250,2013-04-12,61.37,61.74,59.07,60.67,43.804,8307864
251,2013-04-15,59.18,59.9899,57.08,57.52,41.5297,7897962
252,2013-04-16,58.15,59.32,57.77,59.28,42.8004,5644287
253,2013-04-17,58.55,58.79,57.158,57.99,41.869,4602098
254,2013-04-18,57.92,58.54,56.13,57.23,41.3203,4270153
255,2013-04-19,58.14,58.14,56.46,57.84,41.7607,5045419
256,2013-04-22,58.12,60.34,58.07,59.43,42.9087,3659439
257,2013-04-23,59.59,61.4201,59.36,61.15,44.1506,5320070
258,2013-04-24,61.41,63.05,61.31,61.82,44.6343,4772100
259,2013-04-25,62.04,63.09,61.78,61.9,44.6921,4384071
260,2013-04-26,61.85,62.08,61.14,61.6,44.4755,3034655
261,2013-04-29,61.97,62.3,61.48,61.8,44.6199,3446189
262,2013-04-30,61.93,62.195,60.02,60.95,44.0061,5459070
263,2013-05-01,61.11,61.939,59.55,59.67,43.082,5679845
264,2013-05-02,60.07,60.68,59.161,60.3,43.5368,4212394
265,2013-05-03,60.8,62.66,60.49,62.18,44.8942,4549157
266,2013-05-06,62.49,64.24,62.3235,63.87,46.1144,3683260
267,2013-05-07,64.25,65.34,64.02,64.48,46.5548,4677576
268,2013-05-08,64.23,64.47,62.85,63.41,45.7823,3664569
269,2013-05-09,63.23,63.2701,61.88,62.13,44.8581,3436857
270,2013-05-10,61.73,62.2,61.0,61.38,44.3166,5061030
271,2013-05-13,61.13,62.28,60.39,61.97,44.7426,3829450
272,2013-05-14,62.06,64.18,62.0,64.08,46.266,6213983
273,2013-05-15,63.73,65.48,63.73,64.95,46.8942,5621625
274,2013-05-16,64.71,65.41,63.7,63.84,46.3156,3994641
275,2013-05-17,64.2,65.92,64.18,65.46,47.4909,5524472
276,2013-05-20,65.32,66.85,65.32,65.96,47.8536,4531833
277,2013-05-21,66.1,66.71,64.89,65.42,47.4619,4505475
278,2013-05-22,65.3,66.62,64.8,65.39,47.4401,4483176
279,2013-05-23,64.44,65.559,63.9,65.25,47.3385,2380415
280,2013-05-24,64.77,65.5,63.8,65.47,47.4981,2518313
281,2013-05-28,66.39,66.98,65.92,66.52,48.2599,2792167
282,2013-05-29,66.21,67.34,65.65,66.84,48.4921,3135140
