,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1989-12-08,17.5002,17.7498,15.7498,17.5002,1.8229,26329919
1,1989-12-11,17.0003,18.0,16.4998,17.0003,1.7708,3155520
2,1989-12-12,17.0003,17.5002,17.0003,17.0003,1.7708,1175040
3,1989-12-13,16.4998,17.2499,16.4998,16.4998,1.7188,1050240
4,1989-12-14,17.5002,17.5002,16.2502,17.5002,1.8229,1039680
5,1989-12-15,17.5002,18.0,16.7501,17.5002,1.8229,665280
6,1989-12-18,16.7501,17.5002,16.4998,16.7501,1.7448,496320
7,1989-12-19,16.8749,17.2499,16.4998,16.8749,1.7578,412800
8,1989-12-20,16.8749,17.0003,16.7501,16.8749,1.7578,198720
9,1989-12-21,17.7498,17.7498,16.7501,17.7498,1.849,567360
10,1989-12-22,18.0,18.2502,17.2499,18.0,1.875,589440
11,1989-12-26,19.5002,19.5002,17.7498,19.5002,2.0313,581760
12,1989-12-27,20.0,20.2502,19.5002,20.0,2.0833,783360
13,1989-12-28,19.2499,20.0,19.0003,19.2499,2.0052,329280
14,1989-12-29,21.0003,21.5002,19.2499,21.0003,2.1875,952320
15,1990-01-02,21.0003,21.0003,20.2502,21.0003,2.1875,628800
16,1990-01-03,21.7498,22.0,20.7501,21.7498,2.2656,660480
17,1990-01-04,21.5002,21.5002,20.7501,21.5002,2.2396,732480
18,1990-01-05,21.7498,21.7498,21.0003,21.7498,2.2656,396480
19,1990-01-08,22.2502,22.2502,20.7501,22.2502,2.3177,490560
20,1990-01-09,22.0,22.7501,22.0,22.0,2.2917,434880
21,1990-01-10,21.7498,22.2502,21.5002,21.7498,2.2656,254400
22,1990-01-11,21.2499,22.0,21.0003,21.2499,2.2135,327360
23,1990-01-12,20.4998,21.2499,20.2502,20.4998,2.1354,608640
24,1990-01-15,19.7498,20.7501,19.7498,19.7498,2.0573,463680
25,1990-01-16,19.7498,19.7498,18.7501,19.7498,2.0573,875520
26,1990-01-17,20.2502,20.2502,20.0,20.2502,2.1094,257280
27,1990-01-18,22.2502,22.375,20.0,22.2502,2.3177,980160
28,1990-01-19,24.7501,24.7501,22.0,24.7501,2.5781,1104960
29,1990-01-22,23.2499,24.7501,23.0003,23.2499,2.4219,805440
30,1990-01-23,24.4998,24.4998,22.7501,24.4998,2.5521,1039680
31,1990-01-24,26.7501,27.2499,23.2499,26.7501,2.7865,1621440
32,1990-01-25,25.3747,27.3747,24.4998,25.3747,2.6432,3177600
33,1990-01-26,25.3747,25.5002,22.4998,25.3747,2.6432,1975680
34,1990-01-29,24.2502,25.5002,23.5002,24.2502,2.526,1343040
35,1990-01-30,23.0003,24.2502,21.7498,23.0003,2.3958,2641920
36,1990-01-31,23.5002,24.0,23.2499,23.5002,2.4479,558720
37,1990-02-01,24.2502,25.0003,23.2499,24.2502,2.526,523200
38,1990-02-02,25.0003,25.8752,24.2502,25.0003,2.6042,844800
39,1990-02-05,24.8749,25.5002,24.2502,24.8749,2.5911,649920
40,1990-02-06,23.7498,25.0003,23.2499,23.7498,2.474,1814400
41,1990-02-07,24.0,24.2502,23.1251,24.0,2.5,2859840
