,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,25.875,25.875,25.5,25.875,3.385,29000
1,1984-11-06,26.25,26.25,25.75,26.25,3.4341,49000
2,1984-11-07,25.75,25.875,25.625,25.75,3.3687,20500
3,1984-11-08,26.125,26.125,25.75,26.125,3.4177,95000
4,1984-11-09,26.0,26.0,25.75,26.0,3.4014,27000
5,1984-11-12,25.625,26.25,25.625,25.625,3.3523,42500
6,1984-11-13,25.625,25.875,25.625,25.625,3.3523,38500
7,1984-11-14,24.75,25.375,24.125,24.75,3.2379,225500
8,1984-11-15,24.625,24.75,24.625,24.625,3.2215,88500
9,1984-11-16,24.625,24.625,24.5,24.625,3.2215,70500
10,1984-11-19,24.25,24.375,24.0,24.25,3.1724,72500
11,1984-11-20,24.75,25.0,24.25,24.75,3.2379,406000
12,1984-11-21,25.75,25.75,25.0,25.75,3.3687,98000
13,1984-11-23,26.5,26.625,26.0,26.5,3.4668,79500
14,1984-11-26,26.0,26.5,25.625,26.0,3.4014,106500
15,1984-11-27,26.0,26.0,25.625,26.0,3.4014,69500
16,1984-11-28,25.75,26.0,25.75,25.75,3.3687,23000
17,1984-11-29,25.75,25.75,25.375,25.75,3.3687,20500
18,1984-11-30,26.0,26.0,25.125,26.0,3.4014,82000
19,1984-12-03,25.25,25.75,25.25,25.25,3.368,35000
20,1984-12-04,25.5,25.625,25.25,25.5,3.4014,40000
21,1984-12-05,24.875,25.5,24.375,24.875,3.318,321000
22,1984-12-06,25.375,25.375,24.625,25.375,3.3847,202000
23,1984-12-07,25.25,25.25,25.0,25.25,3.368,46000
24,1984-12-10,25.25,25.25,24.875,25.25,3.368,103000
25,1984-12-11,26.5,26.5,25.25,26.5,3.5348,443500
26,1984-12-12,28.0,28.5,26.5,28.0,3.7349,1974000
27,1984-12-13,27.375,27.75,26.75,27.375,3.6515,328500
28,1984-12-14,27.25,27.375,26.5,27.25,3.6348,204500
29,1984-12-17,26.625,27.125,26.5,26.625,3.5514,116000
30,1984-12-18,26.0,27.0,25.875,26.0,3.4681,193500
31,1984-12-19,26.0,26.5,25.625,26.0,3.4681,275000
32,1984-12-20,25.625,25.875,25.5,25.625,3.4181,76500
33,1984-12-21,26.0,26.25,25.625,26.0,3.4681,396000
34,1984-12-24,26.375,26.75,26.125,26.375,3.5181,334500
35,1984-12-26,26.5,26.625,26.25,26.5,3.5348,101000
36,1984-12-27,26.5,26.625,26.25,26.5,3.5348,257500
37,1984-12-28,24.75,26.25,24.25,24.75,3.3013,1116000
38,1984-12-31,25.0,25.0,24.25,25.0,3.3347,94000
39,1985-01-02,24.125,24.75,23.875,24.125,3.218,64000
40,1985-01-03,24.5,24.75,24.0,24.5,3.268,51000
41,1985-01-04,24.0,24.375,23.75,24.0,3.2013,255500
42,1985-01-07,24.625,24.625,23.75,24.625,3.2847,150000
43,1985-01-08,24.5,24.875,24.5,24.5,3.268,55500
44,1985-01-09,24.375,24.5,24.25,24.375,3.2513,25500
45,1985-01-10,23.5,24.25,23.0,23.5,3.1346,132500
46,1985-01-11,23.75,23.75,22.625,23.75,3.168,295000
47,1985-01-14,24.125,24.125,23.75,24.125,3.218,76500
48,1985-01-15,24.25,24.25,23.875,24.25,3.2347,60000
49,1985-01-16,25.5,25.5,24.125,25.5,3.4014,234000
50,1985-01-17,25.75,26.125,25.625,25.75,3.4347,267500
51,1985-01-18,25.625,25.875,25.625,25.625,3.4181,34500
52,1985-01-21,25.125,25.75,25.125,25.125,3.3514,47500
53,1985-01-22,24.875,24.875,24.625,24.875,3.318,69500
54,1985-01-23,24.875,24.875,24.5,24.875,3.318,66500
55,1985-01-24,24.75,24.75,24.375,24.75,3.3013,58500
56,1985-01-25,24.625,24.875,24.5,24.625,3.2847,61000
57,1985-01-28,24.875,25.125,24.625,24.875,3.318,121500
