,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2017-05-11,0.25,0.25,0.25,0.25,0.3554,6164
1,2017-05-12,0.262,0.45,0.262,0.273,0.3881,12748
2,2017-05-15,0.35,0.35,0.25,0.29,0.4122,3581
3,2017-05-16,0.29,0.34,0.28,0.34,0.4833,1212
4,2017-05-17,0.3405,0.35,0.3405,0.35,0.4975,767
5,2017-05-19,0.35,0.35,0.25,0.29,0.4122,16181
6,2017-05-23,0.25,0.34,0.25,0.34,0.4833,8971
7,2017-05-24,0.34,0.34,0.34,0.34,0.4833,1204
8,2017-05-25,0.25,0.25,0.25,0.25,0.3554,102
9,2017-05-26,0.34,0.34,0.3,0.3,0.4265,14769
10,2017-05-30,0.25,0.25,0.25,0.25,0.3554,70
11,2017-05-31,0.265,0.265,0.265,0.265,0.3767,1229
12,2017-06-01,0.31,0.31,0.25,0.25,0.3554,3555
13,2017-06-02,0.25,0.3,0.25,0.3,0.4265,1988
14,2017-06-05,0.25,0.27,0.25,0.27,0.3838,2700
15,2017-06-08,0.3,0.3,0.3,0.3,0.4265,4130
16,2017-06-09,0.25,0.3,0.25,0.285,0.4051,2018
17,2017-06-12,0.36,0.36,0.36,0.36,0.5118,1506
18,2017-06-13,0.2,0.21,0.2,0.21,0.2985,3500
19,2017-06-14,0.22,0.22,0.22,0.22,0.3127,420
20,2017-06-15,0.21,0.27,0.2,0.22,0.3127,3650
21,2017-06-19,0.59,0.59,0.28,0.35,0.4975,133478
22,2017-06-20,0.35,0.37,0.35,0.365,0.5189,53988
23,2017-06-21,0.36,0.3707,0.36,0.37,0.526,31501
24,2017-06-22,0.375,0.5,0.375,0.5,0.7108,186577
25,2017-06-23,0.51,0.54,0.38,0.53,0.7534,79272
26,2017-06-26,0.3,0.51,0.3,0.5,0.7108,129354
27,2017-06-27,0.45,0.52,0.36,0.47,0.6681,17667
28,2017-06-28,0.4,0.454,0.4,0.44,0.6255,92684
29,2017-06-29,0.441,0.451,0.44,0.44,0.6255,12736
30,2017-06-30,0.45,0.5,0.45,0.5,0.7108,69808
31,2017-07-03,0.5,0.512,0.5,0.51,0.725,7403
32,2017-07-05,0.51,0.51,0.43,0.43,0.6113,85832
33,2017-07-06,0.43,0.52,0.43,0.51,0.725,139682
34,2017-07-07,0.461,0.52,0.45,0.52,0.7392,26482
35,2017-07-10,0.4969,0.52,0.4969,0.52,0.7392,81166
36,2017-07-11,0.5,0.5299,0.43,0.43,0.6113,93692
37,2017-07-12,0.438,0.5311,0.435,0.53,0.7534,700062
38,2017-07-13,0.49,0.526,0.49,0.5,0.7108,1918
39,2017-07-14,0.53,0.545,0.51,0.54,0.7676,33417
40,2017-07-18,0.438,0.5023,0.438,0.5,0.7108,7035
41,2017-07-19,0.48,0.54,0.48,0.5,0.7108,20766
42,2017-07-20,0.5,0.5,0.48,0.5,0.7108,255910
43,2017-07-21,0.49,0.525,0.49,0.525,0.7463,17074
44,2017-07-24,0.49,0.5,0.48,0.48,0.6823,5572
45,2017-07-25,0.5,0.51,0.5,0.5,0.7108,29243
46,2017-07-26,0.4551,0.515,0.4551,0.47,0.6681,7904
47,2017-07-27,0.4612,0.4769,0.3895,0.42,0.597,331918
48,2017-07-28,0.415,0.421,0.415,0.4202,0.5974,33811
49,2017-07-31,0.42,0.42,0.3701,0.3701,0.5261,18710
50,2017-08-01,0.35,0.43,0.35,0.43,0.6113,237070
51,2017-08-02,0.44,0.4615,0.405,0.4615,0.656,37009
52,2017-08-03,0.4501,0.462,0.4101,0.46,0.6539,47481
53,2017-08-04,0.425,0.425,0.425,0.425,0.6042,336
54,2017-08-07,0.425,0.46,0.425,0.44,0.6255,16408
55,2017-08-08,0.4554,0.468,0.4554,0.46,0.6539,40156
56,2017-08-09,0.425,0.4645,0.415,0.4645,0.6603,27926
57,2017-08-10,0.4251,0.4595,0.4251,0.4329,0.6155,31420
58,2017-08-11,0.4251,0.465,0.4251,0.46,0.6539,35324
59,2017-08-14,0.468,0.49,0.45,0.49,0.6966,6871
60,2017-08-15,0.45,0.47,0.43,0.43,0.6113,12985
61,2017-08-16,0.4,0.46,0.4,0.45,0.6397,21140
62,2017-08-17,0.4615,0.4615,0.4615,0.4615,0.656,480
63,2017-08-18,0.45,0.48,0.45,0.48,0.6823,12460
64,2017-08-21,0.43,0.48,0.43,0.47,0.6681,4859
65,2017-08-22,0.44,0.48,0.418,0.4502,0.64,53892
66,2017-08-23,0.4671,0.48,0.4671,0.47,0.6681,11783
67,2017-08-24,0.47,0.471,0.47,0.471,0.6695,4155
68,2017-08-28,0.42,0.477,0.42,0.477,0.6781,13639
69,2017-08-29,0.476,0.476,0.43,0.43,0.6113,3171
70,2017-08-30,0.476,0.476,0.43,0.43,0.6113,3917
71,2017-08-31,0.43,0.476,0.43,0.45,0.6397,5767
72,2017-09-01,0.476,0.476,0.476,0.476,0.6767,350
73,2017-09-05,0.42,0.4595,0.42,0.4595,0.6532,1673
74,2017-09-06,0.42,0.45,0.41,0.42,0.597,33257
75,2017-09-07,0.42,0.45,0.3681,0.45,0.6397,22295
76,2017-09-08,0.39,0.476,0.39,0.398,0.5658,11696
77,2017-09-11,0.476,0.476,0.38,0.38,0.5402,10500
78,2017-09-12,0.4,0.44,0.39,0.39,0.5544,45619
79,2017-09-13,0.428,0.428,0.409,0.418,0.5942,9349
80,2017-09-14,0.428,0.428,0.41,0.4209,0.5983,6702
