,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1987-12-22,7.0,7.3125,7.0,7.0,5.7492,116400
1,1987-12-23,7.3125,7.5,7.0,7.3125,6.0058,48000
2,1987-12-24,7.625,7.625,7.375,7.625,6.2625,20600
3,1987-12-28,7.5,7.5,7.375,7.5,6.1598,14200
4,1987-12-29,7.3125,7.5,7.3125,7.3125,6.0058,11000
5,1987-12-30,7.0625,7.375,7.0,7.0625,5.8005,34200
6,1987-12-31,7.1875,7.25,7.0,7.1875,5.9032,23000
7,1988-01-04,7.25,7.25,7.1875,7.25,5.9545,3800
8,1988-01-05,7.1875,7.1875,7.0625,7.1875,5.9032,12400
9,1988-01-06,7.1875,7.1875,7.125,7.1875,5.9032,9200
10,1988-01-07,7.375,7.375,7.125,7.375,6.0571,15600
11,1988-01-08,7.3125,7.5,7.1875,7.3125,6.0058,23400
12,1988-01-11,7.25,7.3125,7.125,7.25,5.9545,6800
13,1988-01-12,7.375,7.375,7.1875,7.375,6.0571,12600
14,1988-01-13,7.875,7.875,7.25,7.875,6.4678,21800
15,1988-01-14,8.0,8.0,7.9375,8.0,6.5705,9200
16,1988-01-15,8.125,8.125,7.875,8.125,6.6731,7200
17,1988-01-18,8.3125,8.3125,8.125,8.3125,6.8271,6800
18,1988-01-19,8.375,8.5,8.3125,8.375,6.8785,16200
19,1988-01-20,8.1875,8.5,8.125,8.1875,6.7245,19600
20,1988-01-21,8.375,8.375,8.1875,8.375,6.8785,5200
21,1988-01-22,8.5625,8.625,8.5,8.5625,7.0324,16800
22,1988-01-25,8.625,8.625,8.5,8.625,7.0838,4400
23,1988-01-26,8.4375,8.5,8.375,8.4375,6.9298,4400
24,1988-01-27,8.125,8.375,8.125,8.125,6.6731,7400
25,1988-01-28,8.25,8.25,8.125,8.25,6.7758,3600
26,1988-01-29,8.375,8.375,8.125,8.375,6.8785,4600
27,1988-02-01,8.4375,8.4375,8.25,8.4375,6.9298,5800
28,1988-02-02,8.4375,8.4375,8.375,8.4375,6.9298,3600
29,1988-02-03,8.3125,8.4375,8.3125,8.3125,6.8271,3800
30,1988-02-04,8.375,8.4375,8.375,8.375,6.8785,2800
31,1988-02-05,8.375,8.375,8.3125,8.375,6.8785,3600
32,1988-02-08,8.375,8.375,8.25,8.375,6.8785,1800
33,1988-02-09,8.25,8.375,8.25,8.25,6.7758,2600
34,1988-02-10,8.375,8.4375,8.25,8.375,6.8785,7400
35,1988-02-11,8.4375,8.4375,8.3125,8.4375,6.9298,2200
36,1988-02-12,8.3125,8.5,8.25,8.3125,6.8271,8000
37,1988-02-16,8.125,8.3125,8.0625,8.125,6.6731,10400
38,1988-02-17,8.0625,8.125,8.0625,8.0625,6.6218,2800
39,1988-02-18,8.1875,8.1875,8.0625,8.1875,6.7245,600
40,1988-02-19,8.0625,8.125,8.0625,8.0625,6.6218,3000
41,1988-02-22,8.125,8.1875,8.0625,8.125,6.6731,5000
42,1988-02-23,7.875,8.0,7.875,7.875,6.4678,14600
43,1988-02-24,7.8125,7.8125,7.75,7.8125,6.4165,3400
44,1988-02-25,7.6875,7.75,7.6875,7.6875,6.3138,4000
45,1988-02-26,7.5,7.6875,7.5,7.5,6.1598,5200
46,1988-02-29,7.6875,7.6875,7.5,7.6875,6.3138,33800
47,1988-03-01,7.8125,7.8125,7.75,7.8125,6.4165,4400
48,1988-03-02,7.875,7.875,7.8125,7.875,6.4678,2400
49,1988-03-03,7.875,7.875,7.75,7.875,6.4678,1600
50,1988-03-04,7.875,7.875,7.8125,7.875,6.4678,3800
51,1988-03-07,7.875,7.9375,7.75,7.875,6.4678,3600
52,1988-03-08,7.9375,8.0,7.9375,7.9375,6.5191,4000
53,1988-03-09,7.9375,7.9375,7.9375,7.9375,6.5191,400
54,1988-03-10,7.9375,8.0,7.9375,7.9375,6.5191,6200
55,1988-03-11,8.0,8.0,7.9375,8.0,6.5705,2200
56,1988-03-14,7.9375,8.0,7.9375,7.9375,6.5191,1600
57,1988-03-15,7.875,8.0625,7.875,7.875,6.4678,3400
