,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2013-05-09,43.76,44.33,42.0,42.11,42.11,19155086
1,2013-05-10,42.26,42.97,41.78,42.39,42.39,2969890
2,2013-05-13,42.3,43.37,42.3,43.32,43.32,1053120
3,2013-05-14,44.24,44.749,43.9,44.43,44.43,2052383
4,2013-05-15,45.2,45.74,44.85,45.5,45.5,2382302
5,2013-05-16,46.28,46.5,45.6001,45.85,45.85,1244916
6,2013-05-17,46.13,46.21,45.35,45.52,45.52,921149
7,2013-05-20,45.45,45.7299,45.26,45.38,45.38,535823
8,2013-05-21,45.0,45.3,44.41,45.05,45.05,668915
9,2013-05-22,45.14,45.38,44.11,44.65,44.65,913369
10,2013-05-23,44.03,45.15,44.01,45.0,45.0,881615
11,2013-05-24,44.97,45.1,44.835,45.03,45.03,387311
12,2013-05-28,45.73,45.81,44.05,45.43,45.43,719605
13,2013-05-29,45.43,45.65,44.13,44.47,44.47,311296
14,2013-05-30,44.5,44.5,44.01,44.25,44.25,298995
15,2013-05-31,44.12,44.45,44.04,44.04,44.04,154953
16,2013-06-03,44.02,44.58,43.8,44.58,44.58,394178
17,2013-06-04,44.48,44.7,43.06,43.19,43.19,576869
18,2013-06-05,43.0,43.19,42.71,42.85,42.85,967703
19,2013-06-06,42.71,43.26,42.68,43.23,43.23,531275
20,2013-06-07,43.41,43.7602,42.72,42.97,42.97,471774
21,2013-06-10,43.03,43.64,42.96,43.64,43.64,808536
22,2013-06-11,43.21,44.9,43.03,43.95,43.95,329968
23,2013-06-12,43.75,44.045,42.89,43.0,43.0,531718
24,2013-06-13,42.85,43.09,42.53,42.9,42.9,500288
25,2013-06-14,43.0,43.2,42.79,43.09,43.09,265457
26,2013-06-17,43.3,43.62,42.55,43.53,43.53,472146
27,2013-06-18,44.0,44.25,43.65,43.89,43.89,534771
28,2013-06-19,43.66,44.19,43.01,43.79,43.79,343208
29,2013-06-20,43.31,43.73,42.5,43.34,43.34,322910
30,2013-06-21,43.41,44.28,42.59,44.19,44.19,655912
31,2013-06-24,43.57,43.85,42.315,43.32,43.32,348195
32,2013-06-25,43.54,43.74,42.64,43.0,43.0,214764
33,2013-06-26,43.24,43.292,42.02,42.02,42.02,753503
34,2013-06-27,42.17,42.71,41.5,42.33,42.33,675991
35,2013-06-28,42.29,42.96,42.26,42.56,42.56,1403973
36,2013-07-01,42.56,43.26,42.28,42.95,42.95,355022
37,2013-07-02,43.01,43.5,42.5,43.06,43.06,256162
38,2013-07-03,42.99,43.83,42.25,43.62,43.62,493948
39,2013-07-05,43.98,44.0,42.95,43.24,43.24,197667
40,2013-07-08,43.06,44.25,42.906,43.93,43.93,233774
41,2013-07-09,44.08,44.32,43.35,43.69,43.69,115164
42,2013-07-10,43.9,44.16,43.28,43.61,43.61,129691
43,2013-07-11,43.71,43.84,43.04,43.27,43.27,337374
44,2013-07-12,43.19,43.56,43.01,43.5,43.5,211677
45,2013-07-15,43.6,43.85,43.2,43.65,43.65,215591
46,2013-07-16,43.65,43.9,42.82,43.74,43.74,382091
47,2013-07-17,43.66,44.34,43.015,43.83,43.83,540338
48,2013-07-18,43.88,44.1,43.67,44.04,44.04,93787
49,2013-07-19,43.91,44.24,43.22,44.07,44.07,135224
50,2013-07-22,44.0,44.59,43.59,44.57,44.57,129335
51,2013-07-23,44.5,44.6,43.75,44.32,44.32,244961
52,2013-07-24,44.3,44.3,43.21,43.52,43.52,187385
53,2013-07-25,43.39,43.75,43.225,43.48,43.48,217345
54,2013-07-26,43.23,43.62,43.16,43.27,43.27,223045
55,2013-07-29,43.01,43.72,43.01,43.47,43.47,199487
56,2013-07-30,43.41,43.4499,43.0,43.39,43.39,250754
57,2013-07-31,43.44,45.48,43.15,44.85,44.85,733803
58,2013-08-01,46.71,47.5,45.5,46.29,46.29,1155378
59,2013-08-02,46.49,46.92,45.16,45.22,45.22,498650
60,2013-08-05,44.87,45.42,44.4,45.33,45.33,324157
61,2013-08-06,45.09,46.0,45.04,45.95,45.95,368664
62,2013-08-07,45.9,45.9,44.37,45.54,45.54,292489
63,2013-08-08,45.63,45.75,45.14,45.38,45.38,172314
64,2013-08-09,45.31,45.65,44.8701,45.64,45.64,119832
65,2013-08-12,45.44,45.72,45.201,45.58,45.58,231592
66,2013-08-13,45.52,45.646,45.1001,45.38,45.38,218012
67,2013-08-14,45.25,45.455,45.03,45.3,45.3,250754
68,2013-08-15,45.0,45.09,44.6,44.75,44.75,177774
69,2013-08-16,44.7,44.7,44.01,44.16,44.16,236595
70,2013-08-19,44.6,45.0,44.14,44.32,44.32,315193
71,2013-08-20,44.42,44.45,43.57,44.29,44.29,322686
72,2013-08-21,44.21,44.21,43.68,44.0,44.0,193596
73,2013-08-22,44.0,44.21,43.66,43.66,43.66,120926
74,2013-08-23,43.66,43.805,43.5,43.53,43.53,116196
75,2013-08-26,43.55,43.87,43.35,43.43,43.43,156435
76,2013-08-27,43.22,43.46,42.78,43.12,43.12,226055
77,2013-08-28,43.05,44.25,43.05,43.98,43.98,216310
78,2013-08-29,44.0,44.22,43.61,43.9,43.9,170429
79,2013-08-30,43.89,43.89,42.79,43.26,43.26,205099
80,2013-09-03,43.48,43.6,42.95,43.1,43.1,193666
81,2013-09-04,43.05,43.66,42.77,43.23,43.23,339329
82,2013-09-05,43.21,43.39,43.0,43.19,43.19,62754
83,2013-09-06,43.14,43.49,42.7,42.82,42.82,194176
84,2013-09-09,42.82,43.31,42.71,43.15,43.15,250145
85,2013-09-10,43.15,43.8,42.868,43.77,43.77,422229
86,2013-09-11,43.77,44.64,43.01,43.73,43.73,444188
87,2013-09-12,43.81,45.14,43.516,44.47,44.47,506592
88,2013-09-13,44.44,44.5708,43.81,44.37,44.37,167114
89,2013-09-16,44.54,44.8,43.9728,44.45,44.45,224649
90,2013-09-17,44.94,45.74,44.34,44.77,44.77,284566
91,2013-09-18,44.8,45.53,44.17,45.09,45.09,214933
92,2013-09-19,45.01,45.01,43.85,44.0,44.0,483223
