,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2010-06-16,37.0,37.0,34.6,34.61,33.6261,62900
1,2010-06-17,34.25,34.55,33.8,34.0,33.0335,21700
2,2010-06-18,34.25,34.5,34.25,34.5,33.5192,300
3,2010-06-21,34.31,34.75,33.5,33.75,32.7907,12000
4,2010-06-22,33.85,33.85,32.3,32.3,31.382,81870
5,2010-06-23,32.17,32.27,31.74,32.27,31.3527,7260
6,2010-06-24,32.47,34.24,31.98,32.0,31.0905,420240
7,2010-06-25,32.25,32.95,32.08,32.51,31.5858,562333
8,2010-06-28,32.71,32.71,32.1,32.25,31.3332,361700
9,2010-06-29,32.0,32.0,30.07,30.31,29.4484,818809
10,2010-06-30,30.25,31.15,30.15,30.83,29.9537,7171103
11,2010-07-01,30.4,31.03,29.22,29.31,28.4769,2811483
12,2010-07-02,29.5,29.96,28.88,29.02,28.195,3081062
13,2010-07-06,29.61,29.61,28.01,28.18,27.3789,2271437
14,2010-07-07,28.51,29.63,27.9,29.54,28.7003,2222356
15,2010-07-08,29.95,31.09,29.91,30.3,29.4387,2271411
16,2010-07-09,30.32,31.21,30.09,30.44,29.5749,1732721
17,2010-07-12,30.44,30.44,30.0,30.19,29.3317,1356308
18,2010-07-13,30.39,30.67,30.33,30.47,29.6038,1379902
19,2010-07-14,30.25,30.567,30.02,30.47,29.6038,896484
20,2010-07-15,30.42,30.61,29.69,30.53,29.6621,1659982
21,2010-07-16,30.22,30.54,29.25,29.72,28.8752,1342544
22,2010-07-19,29.86,30.32,29.55,29.8,28.9528,1046405
23,2010-07-20,29.51,30.51,29.11,30.43,29.5651,1201607
24,2010-07-21,30.56,30.56,29.39,29.72,28.8752,861512
25,2010-07-22,30.01,30.37,29.81,30.02,29.1666,852835
26,2010-07-23,29.99,29.99,29.05,29.27,28.4381,662492
27,2010-07-26,29.18,29.6,28.952,29.58,28.7393,888827
28,2010-07-27,30.2,31.0,29.51,30.16,29.3026,1705730
29,2010-07-28,30.42,31.01,30.35,30.91,30.0314,1706632
30,2010-07-29,31.49,33.16,31.34,32.5,31.576,3203176
31,2010-07-30,32.41,35.15,31.68,34.42,33.4415,2745767
32,2010-08-02,34.31,34.32,33.62,33.9,32.9364,1547370
33,2010-08-03,33.97,34.79,33.4,34.56,33.5775,805883
34,2010-08-04,34.61,34.99,34.24,34.9,33.908,833481
35,2010-08-05,34.71,35.06,34.3,34.89,33.8983,605487
36,2010-08-06,34.83,34.83,33.01,33.97,33.0043,1409697
37,2010-08-09,34.08,34.46,33.14,34.3,33.325,554221
38,2010-08-10,34.21,34.28,33.39,33.61,32.6545,852991
39,2010-08-11,32.92,32.92,31.57,31.78,30.8766,860216
40,2010-08-12,31.5,31.5,30.06,30.89,30.0118,1094844
41,2010-08-13,30.75,31.25,29.92,30.14,29.2833,1841342
42,2010-08-16,30.07,30.63,29.63,30.32,29.4581,935629
43,2010-08-17,30.64,31.93,30.29,31.6,30.7018,1117356
44,2010-08-18,31.42,31.9,30.79,31.5,30.6046,980416
45,2010-08-19,31.29,31.46,30.76,31.34,30.4491,442005
46,2010-08-20,30.93,31.37,30.7705,31.01,30.1286,724259
47,2010-08-23,31.09,31.48,30.58,31.17,30.2841,497884
48,2010-08-24,30.66,30.93,30.33,30.65,29.7787,893521
49,2010-08-25,30.55,30.9,30.16,30.54,29.6718,758713
50,2010-08-26,30.71,31.04,30.16,30.41,29.5455,1206199
51,2010-08-27,30.62,30.68,29.76,30.38,29.5162,730669
52,2010-08-30,30.34,30.61,29.44,29.45,28.613,736597
53,2010-08-31,29.21,29.72,28.57,29.03,28.2048,1402267
54,2010-09-01,29.5,30.8,29.3,30.76,29.8855,929198
55,2010-09-02,30.84,31.55,30.33,31.31,30.42,546176
56,2010-09-03,31.68,31.85,31.11,31.75,30.8474,617129
57,2010-09-07,31.47,31.74,31.25,31.31,30.42,378754
58,2010-09-08,30.85,31.3,30.26,30.55,29.6817,874344
59,2010-09-09,30.76,31.03,30.0,30.08,29.2248,383748
60,2010-09-10,30.08,30.22,29.83,30.07,29.2153,986777
61,2010-09-13,30.49,30.49,29.01,29.765,28.9191,1569612
62,2010-09-14,29.78,29.85,29.27,29.76,28.9143,937873
63,2010-09-15,29.62,29.89,29.4,29.87,29.0209,463364
64,2010-09-16,29.61,30.07,29.51,29.7,28.8556,872759
65,2010-09-17,29.86,30.16,29.06,29.19,28.3603,2999853
66,2010-09-20,29.31,30.0,28.85,29.77,28.9238,834512
67,2010-09-21,29.7,29.71,28.65,29.24,28.4087,1686989
68,2010-09-22,29.36,29.58,28.99,29.3,28.4672,1443446
69,2010-09-23,29.17,29.48,29.07,29.3,28.4672,1345495
70,2010-09-24,29.54,29.73,29.2416,29.34,28.506,1139463
71,2010-09-27,29.3,29.5,29.13,29.17,28.3408,616764
72,2010-09-28,29.15,29.88,28.74,29.84,28.9918,569886
