,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-01-02,24.0,24.375,24.0,24.2499,2.8296,23400
1,1980-01-03,23.625,23.625,22.7499,23.3751,2.7275,131400
2,1980-01-04,23.3751,23.625,23.1249,23.4999,2.7421,85500
3,1980-01-07,23.0001,23.0001,23.0001,23.0001,2.6838,34200
4,1980-01-08,23.0001,23.0001,22.2501,22.5,2.6254,797100
5,1980-01-09,23.25,23.7501,23.25,23.4999,2.7421,227700
6,1980-01-10,23.4999,24.1251,23.3751,24.1251,2.815,46200
7,1980-01-11,24.2499,25.2501,24.2499,24.8751,2.9026,207300
8,1980-01-14,24.9999,25.3749,24.9999,25.3749,2.9609,221700
9,1980-01-15,25.3749,25.3749,25.125,25.2501,2.9463,60600
10,1980-01-16,25.2501,25.2501,25.125,25.2501,2.9463,40800
11,1980-01-17,25.2501,25.3749,25.125,25.2501,2.9463,30900
12,1980-01-18,25.2501,25.3749,25.125,25.2501,2.9463,21300
13,1980-01-21,25.2501,25.7499,25.125,25.6251,2.9901,96300
14,1980-01-22,25.6251,26.0001,25.5,25.6251,2.9901,46200
15,1980-01-23,25.6251,26.0001,25.2501,25.6251,2.9901,242400
16,1980-01-24,25.7499,26.3751,25.7499,26.1249,3.0484,61200
17,1980-01-25,26.1249,26.1249,25.875,26.1249,3.0484,12900
18,1980-01-28,26.1249,26.1249,25.875,26.0001,3.0338,63000
19,1980-01-29,26.0001,26.25,25.875,26.0001,3.0338,258000
20,1980-01-30,26.0001,26.1249,25.7499,25.7499,3.0046,45600
21,1980-01-31,25.7499,26.0001,25.7499,25.7499,3.0046,98400
22,1980-02-01,25.7499,26.0001,25.7499,25.7499,3.0046,32400
23,1980-02-04,26.0001,26.0001,26.0001,26.0001,3.0338,33000
24,1980-02-05,26.0001,26.25,26.0001,26.1249,3.0484,23100
25,1980-02-06,26.1249,26.25,26.0001,26.0001,3.0338,44400
26,1980-02-07,26.1249,26.3751,26.1249,26.1249,3.0484,192300
27,1980-02-08,26.25,26.25,26.25,26.25,3.063,276600
28,1980-02-11,26.25,26.3751,26.0001,26.0001,3.0338,121200
29,1980-02-12,25.7499,25.7499,24.6249,24.8751,2.9026,67500
30,1980-02-13,24.8751,25.125,24.75,24.75,2.888,199500
31,1980-02-14,24.75,25.2501,24.75,24.75,2.888,100200
32,1980-02-15,24.375,24.375,23.8749,24.0,2.8004,54900
33,1980-02-19,24.0,24.1251,23.7501,24.0,2.8004,39300
34,1980-02-20,24.0,24.2499,23.7501,23.7501,2.7713,38700
35,1980-02-21,23.7501,23.8749,23.25,23.25,2.7129,116100
36,1980-02-22,23.25,23.25,22.7499,22.7499,2.6546,18300
37,1980-02-25,22.6251,22.6251,21.75,22.2501,2.5963,24300
38,1980-02-26,22.2501,22.7499,22.2501,22.7499,2.6546,233100
39,1980-02-27,22.7499,23.1249,22.5,22.5,2.6254,45600
40,1980-02-28,22.5,22.6251,21.9999,21.9999,2.5671,75000
41,1980-02-29,21.9999,22.2501,21.75,21.8751,2.5525,167700
42,1980-03-03,21.6249,21.6249,21.2499,21.375,2.4941,25800
43,1980-03-04,21.375,21.75,21.375,21.375,2.4941,32400
44,1980-03-05,21.375,21.5001,21.1251,21.2499,2.4795,126900
45,1980-03-06,21.2499,21.375,21.2499,21.2499,2.4795,12300
46,1980-03-07,21.2499,21.5001,21.2499,21.5001,2.5087,32700
