Date,Open,High,Low,Close,Adjusted_close,Volume
1999-06-01,4.015,4.25,4.015,4.015,4.015,1863200
1999-06-02,4.015,4.015,3.906,4.015,4.015,2673600
1999-06-03,4.015,4.048,4.015,4.031,4.031,1793600
1999-06-04,4.031,4.063,4.031,4.063,4.063,4088000
1999-06-07,4.063,4.094,4.048,4.063,4.063,1609600
1999-06-08,4.048,4.048,4,4.015,4.015,9968800
1999-06-09,4.063,4.11,4.063,4.077,4.077,3097600
1999-06-10,4.077,4.235,4.077,4.156,4.156,2355200
1999-06-11,4.156,4.188,4.094,4.14,4.14,1560000
1999-06-14,4.14,4.14,3.938,4.015,4.015,34048800
1999-06-15,4.016,4.094,3.985,4.055,4.055,35851200
1999-06-16,4.07,4.079,3.961,4.031,4.031,14152800
1999-06-17,4,4.048,3.976,4.031,4.031,6240000
1999-06-18,4.008,4.016,3.969,3.985,3.985,5632000
1999-06-21,3.938,3.976,3.914,3.954,3.954,13520000
1999-06-22,3.954,3.961,3.797,3.813,3.813,30824800
1999-06-23,3.813,4.016,3.797,3.954,3.954,17687200
1999-06-24,3.954,4.016,3.922,3.976,3.976,4419200
1999-06-25,3.976,4.039,3.969,4.031,4.031,6022400
1999-06-28,4.016,4.117,4.016,4.07,4.07,6233600
1999-06-29,3.969,4.016,3.938,4,4,11170400
1999-06-30,4,4.016,3.922,3.969,3.969,12585600
1999-07-01,3.961,4.063,3.954,4.063,4.063,6097600
1999-07-02,4.11,4.11,4.039,4.048,4.048,3256800
1999-07-06,4.063,4.07,3.993,4.008,4.008,3855200
1999-07-07,3.954,3.969,3.781,3.86,3.86,6241600
1999-07-08,3.625,3.774,3.625,3.766,3.766,7117600
1999-07-09,3.781,3.781,3.579,3.625,3.625,7378400
1999-07-12,3.625,3.641,3.594,3.594,3.594,5721600
1999-07-13,3.594,3.632,3.555,3.601,3.601,9185600
1999-07-14,3.579,3.68,3.579,3.618,3.618,8331200
1999-07-15,3.641,3.664,3.618,3.656,3.656,9793600
1999-07-16,3.704,3.704,3.632,3.649,3.649,2060800
1999-07-19,3.649,3.649,3.579,3.579,3.579,5459200
1999-07-20,3.57,3.618,3.57,3.57,3.57,4518400
1999-07-21,3.579,3.601,3.563,3.579,3.579,3432000
1999-07-22,3.57,3.656,3.563,3.618,3.618,3892800
1999-07-23,3.61,3.618,3.547,3.586,3.586,5260000
1999-07-26,3.555,3.555,3.454,3.5,3.5,2332000
1999-07-27,3.547,3.555,3.485,3.507,3.507,1609600
1999-07-28,3.507,3.539,3.43,3.438,3.438,5281600
1999-07-29,3.382,3.406,3.351,3.391,3.391,8338400
1999-07-30,3.391,3.422,3.382,3.422,3.422,3200000
1999-08-02,3.438,3.438,3.399,3.422,3.422,2364800
1999-08-03,3.422,3.422,3.32,3.32,3.32,7121600
1999-08-04,3.32,3.344,3.297,3.336,3.336,2873600
1999-08-05,3.351,3.36,3.101,3.211,3.211,5187200
1999-08-06,3.243,3.297,3.235,3.281,3.281,18079200
1999-08-09,3.281,3.305,3.25,3.297,3.297,1631200
1999-08-10,3.289,3.399,3.289,3.382,3.382,18192000
1999-08-11,3.375,3.399,3.351,3.382,3.382,2552800
1999-08-12,3.375,3.399,3.351,3.399,3.399,1483200
1999-08-13,3.399,3.399,3.36,3.368,3.368,2175200
1999-08-16,3.368,3.391,3.36,3.36,3.36,3092000
1999-08-17,3.375,3.375,3.297,3.297,3.297,1390400
1999-08-18,3.297,3.368,3.281,3.336,3.336,1463200
1999-08-19,3.313,3.36,3.266,3.344,3.344,1310400
1999-08-20,3.344,3.36,3.297,3.297,3.297,760800
1999-08-23,3.305,3.461,3.305,3.422,3.422,4116000
1999-08-24,3.422,3.461,3.375,3.454,3.454,2163200
