,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1993-04-28,36.5,37.5,36.0,36.5,5.8358,7810200
1,1993-04-29,36.5,37.25,36.5,37.25,5.9553,2118800
2,1993-04-30,37.5,37.5,36.5,36.75,5.8757,536800
3,1993-05-03,36.5,36.75,36.25,36.75,5.8757,509600
4,1993-05-04,36.75,36.75,35.75,36.25,5.7958,787400
5,1993-05-05,36.0,36.25,35.5,35.5,5.6757,747200
6,1993-05-06,35.75,36.0,35.25,35.25,5.636,392800
7,1993-05-07,35.5,35.75,35.25,35.5,5.6757,180000
8,1993-05-10,35.75,36.25,35.5,35.5,5.6757,269600
9,1993-05-11,35.75,35.75,35.5,35.75,5.7158,109400
10,1993-05-12,35.5,35.5,34.75,35.25,5.636,110800
11,1993-05-13,35.25,35.25,35.0,35.0,5.5959,171000
12,1993-05-14,35.0,35.5,35.0,35.0,5.5959,166800
13,1993-05-17,35.0,35.0,34.25,34.5,5.516,132000
14,1993-05-18,34.5,34.5,32.0,33.0,5.2761,534400
15,1993-05-19,33.5,34.25,33.5,33.75,5.3959,203600
16,1993-05-20,33.25,33.5,31.75,32.5,5.1963,1189000
17,1993-05-21,32.75,33.0,32.0,32.75,5.2361,475600
18,1993-05-24,33.0,33.0,32.0,32.5,5.1963,719200
19,1993-05-25,32.0,32.25,31.25,31.75,5.076,326600
20,1993-05-26,32.0,33.25,32.0,33.0,5.2761,209200
21,1993-05-27,33.5,34.25,33.0,34.0,5.4356,307800
22,1993-05-28,34.5,35.25,33.75,34.75,5.5556,986400
23,1993-06-01,35.0,35.0,33.75,34.0,5.4356,116800
24,1993-06-02,34.0,34.75,33.75,34.75,5.5556,205200
25,1993-06-03,34.75,34.75,34.0,34.0,5.4356,92000
26,1993-06-04,34.25,34.5,34.0,34.25,5.4758,118200
27,1993-06-07,34.0,34.75,34.0,34.5,5.516,60000
28,1993-06-08,34.5,34.5,34.0,34.25,5.4758,298200
29,1993-06-09,34.25,34.25,33.75,33.75,5.3959,27400
30,1993-06-10,33.75,34.5,33.75,34.25,5.4758,153600
31,1993-06-11,34.75,35.25,34.25,35.25,5.636,84200
32,1993-06-14,35.75,36.0,35.0,35.75,5.7158,434000
33,1993-06-15,35.5,36.5,35.25,35.5,5.6757,169600
34,1993-06-16,35.5,36.25,35.5,35.75,5.7158,288200
35,1993-06-17,36.0,36.0,35.25,35.75,5.7158,165400
36,1993-06-18,35.75,36.0,35.25,35.5,5.6757,89400
37,1993-06-21,35.25,35.75,35.25,35.5,5.6757,34200
38,1993-06-22,35.75,36.25,35.25,35.5,5.6757,143000
39,1993-06-23,35.5,36.0,35.0,35.0,5.5959,23600
40,1993-06-24,35.0,36.0,35.0,35.25,5.636,58200
41,1993-06-25,35.25,37.0,35.25,36.75,5.8757,370000
42,1993-06-28,36.75,38.5,36.25,38.25,6.1153,135200
43,1993-06-29,39.0,39.0,37.75,38.0,6.0758,575600
44,1993-06-30,38.0,38.0,37.5,38.0,6.0758,132000
45,1993-07-01,38.0,38.5,37.75,38.5,6.1552,120800
46,1993-07-02,38.5,39.0,38.0,38.0,6.0758,239400
47,1993-07-06,38.0,38.5,37.25,37.25,5.9553,87200
48,1993-07-07,37.5,37.5,36.75,37.0,5.9158,74400
49,1993-07-08,37.25,38.25,37.0,38.0,6.0758,104000
50,1993-07-09,38.0,38.25,37.75,38.0,6.0758,302600
51,1993-07-12,38.25,38.25,37.75,38.0,6.0758,98200
52,1993-07-13,38.0,38.25,37.75,38.0,6.0758,212400
53,1993-07-14,38.0,39.0,38.0,39.0,6.2354,153200
54,1993-07-15,39.0,39.0,38.75,39.0,6.2354,133800
55,1993-07-16,39.0,39.0,38.5,39.0,6.2354,126000
56,1993-07-19,38.75,39.25,38.75,39.0,6.2354,244800
57,1993-07-20,39.0,39.0,38.75,39.0,6.2354,111000
58,1993-07-21,39.25,39.75,39.0,39.75,6.3548,117400
59,1993-07-22,39.75,40.5,39.75,40.25,6.4349,240600
60,1993-07-23,40.25,40.5,39.5,39.5,6.3149,138200
61,1993-07-26,39.5,40.25,39.0,40.25,6.4349,236200
62,1993-07-27,40.5,41.25,40.5,41.0,6.5554,259200
63,1993-07-28,43.0,44.75,42.75,44.25,7.0749,583200
64,1993-07-29,44.75,46.75,44.5,45.75,7.3145,344800
65,1993-07-30,46.0,46.75,45.75,46.75,7.4742,217800
66,1993-08-02,46.75,47.5,46.5,46.5,7.4345,511400
67,1993-08-03,46.5,46.5,44.5,46.0,7.3544,161000
68,1993-08-04,45.5,47.5,45.5,47.25,7.5543,129200
69,1993-08-05,47.5,49.25,47.5,48.75,7.7941,270200
70,1993-08-06,48.25,48.5,47.5,47.75,7.6344,397600
71,1993-08-09,47.75,48.25,47.5,48.0,7.674,148200
72,1993-08-10,48.0,48.0,46.5,46.75,7.4742,104000
73,1993-08-11,46.75,47.5,46.75,47.0,7.5141,77400
74,1993-08-12,47.0,47.0,45.75,47.0,7.5141,64000
75,1993-08-13,47.0,47.0,46.25,46.75,7.4742,17600
76,1993-08-16,46.75,47.0,46.0,47.0,7.5141,119600
77,1993-08-17,46.5,47.75,46.5,47.75,7.6344,82800
78,1993-08-18,48.0,49.0,48.0,48.0,7.674,98800
79,1993-08-19,48.0,48.5,47.25,48.5,7.754,96600
80,1993-08-20,48.0,48.25,47.25,48.0,7.674,43600
81,1993-08-23,47.75,48.0,47.5,48.0,7.674,280200
82,1993-08-24,48.0,48.75,48.0,48.25,7.7146,279000
83,1993-08-25,48.25,49.25,48.25,49.25,7.8739,97600
84,1993-08-26,48.75,48.75,47.75,48.0,7.7305,258600
85,1993-08-27,48.25,48.25,45.75,46.25,7.4488,315800
86,1993-08-30,46.0,47.25,46.0,47.25,7.6099,31600
87,1993-08-31,47.5,47.75,47.25,47.5,7.6504,58600
88,1993-09-01,47.5,48.5,47.0,48.25,7.771,104000
89,1993-09-02,48.25,49.75,48.25,49.75,8.0127,174600
90,1993-09-03,49.75,50.0,48.75,49.0,7.8921,349000
91,1993-09-07,48.25,49.0,48.25,48.75,7.8516,86200
92,1993-09-08,48.75,48.75,48.0,48.25,7.771,123000
93,1993-09-09,47.75,48.25,47.5,47.75,7.6906,41200
94,1993-09-10,47.25,47.5,46.75,47.0,7.5694,126000
95,1993-09-13,47.5,47.5,47.0,47.25,7.6099,143600
96,1993-09-14,47.0,47.0,45.25,45.75,7.3682,412400
97,1993-09-15,45.25,45.75,45.0,45.75,7.3682,195200
98,1993-09-16,45.75,46.5,45.5,46.25,7.4488,125400
