,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1999-08-11,11.5,14.188,10.0,13.625,13.625,71532400
1,1999-08-12,14.5,19.469,14.5,18.157,18.157,61172000
2,1999-08-13,21.282,22.672,20.063,21.313,21.313,35562800
3,1999-08-16,21.438,21.563,18.407,18.625,18.625,24968400
4,1999-08-17,19.0,19.125,15.594,16.813,16.813,26670800
5,1999-08-18,16.625,18.938,15.25,17.875,17.875,17195600
6,1999-08-19,17.297,18.828,16.813,17.828,17.828,7605600
7,1999-08-20,18.469,18.719,16.797,17.032,17.032,5004400
8,1999-08-23,16.0,16.969,15.875,15.969,15.969,5534800
9,1999-08-24,15.703,17.703,15.688,17.25,17.25,7478000
10,1999-08-25,18.438,19.125,17.563,18.375,18.375,7516400
11,1999-08-26,19.313,21.157,18.813,19.735,19.735,11600000
12,1999-08-27,20.813,20.875,19.125,19.953,19.953,5280400
13,1999-08-30,20.188,20.265,18.75,18.89,18.89,2608800
14,1999-08-31,19.157,20.625,17.625,20.578,20.578,5985600
15,1999-09-01,20.969,21.5,19.657,19.907,19.907,5119200
16,1999-09-02,19.407,20.375,18.75,20.0,20.0,3088800
17,1999-09-03,21.11,21.313,20.157,21.235,21.235,4486000
18,1999-09-07,21.75,27.469,20.844,27.0,27.0,32912800
19,1999-09-08,26.563,33.813,26.5,29.188,29.188,49036800
20,1999-09-09,31.328,32.875,30.813,30.813,30.813,20741600
21,1999-09-10,32.563,32.672,29.282,29.938,29.938,11276400
22,1999-09-13,29.625,29.688,26.438,27.094,27.094,10793200
23,1999-09-14,26.157,26.625,25.032,25.242,25.242,10264000
24,1999-09-15,26.5,26.657,24.0,24.211,24.211,9416800
25,1999-09-16,24.93,28.375,23.125,28.36,28.36,18866000
26,1999-09-17,28.735,30.203,26.782,26.844,26.844,18408400
27,1999-09-20,27.75,28.75,26.602,27.617,27.617,5754000
28,1999-09-21,27.282,29.313,27.125,28.094,28.094,7792400
29,1999-09-22,28.75,28.75,26.875,27.063,27.063,5994800
30,1999-09-23,27.86,28.125,25.0,25.25,25.25,5552800
31,1999-09-24,25.75,26.313,24.563,25.515,25.515,5126400
32,1999-09-27,27.0,27.157,25.219,25.563,25.563,2789200
33,1999-09-28,25.265,25.578,24.688,24.907,24.907,2660400
34,1999-09-29,24.75,26.0,24.375,24.547,24.547,2983200
35,1999-09-30,24.985,25.375,23.938,24.0,24.0,2527600
36,1999-10-01,23.75,23.75,21.407,21.86,21.86,6468400
37,1999-10-04,22.75,23.125,21.89,22.172,22.172,3339600
38,1999-10-05,22.75,24.375,22.313,22.719,22.719,6480800
39,1999-10-06,23.469,23.469,22.032,22.719,22.719,2805200
40,1999-10-07,23.125,23.235,21.313,21.594,21.594,5930000
41,1999-10-08,21.594,22.375,21.219,21.625,21.625,2860400
42,1999-10-11,21.594,23.875,21.594,23.813,23.813,5464400
43,1999-10-12,23.625,24.047,22.5,22.782,22.782,4042800
44,1999-10-13,22.282,23.375,21.547,22.36,22.36,3144800
45,1999-10-14,22.64,22.64,21.5,21.852,21.852,1609200
46,1999-10-15,20.265,21.188,20.063,20.313,20.313,3281200
47,1999-10-18,20.11,21.0,20.015,20.969,20.969,1938400
48,1999-10-19,21.719,21.75,19.313,19.375,19.375,2504800
49,1999-10-20,20.032,20.703,19.469,19.828,19.828,2518800
50,1999-10-21,19.25,20.75,18.75,19.25,19.25,3254400
51,1999-10-22,19.703,19.735,18.75,18.797,18.797,2819200
52,1999-10-25,18.532,19.813,18.0,19.219,19.219,3431200
