,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-06-12,32.125,33.0,30.875,31.5,25.149,19961199
1,1997-06-13,31.75,32.875,31.5,32.375,25.8476,3661100
2,1997-06-16,32.25,32.5,30.625,30.875,24.65,2481700
3,1997-06-17,30.125,30.25,29.125,29.75,23.7518,2283800
4,1997-06-18,29.75,29.75,28.125,28.375,22.6541,1749900
5,1997-06-19,28.5,29.625,28.25,29.375,23.4524,1269900
6,1997-06-20,29.5,30.25,29.375,29.5,23.5522,857900
7,1997-06-23,29.875,29.875,28.125,28.25,22.5543,725000
8,1997-06-24,28.5,29.625,27.125,28.875,23.0532,1212100
9,1997-06-25,29.125,29.125,28.125,28.6875,22.9035,726600
10,1997-06-26,28.125,28.5,27.625,28.25,22.5543,534500
11,1997-06-27,28.125,28.375,27.1875,27.25,21.7559,441500
12,1997-06-30,27.125,27.625,26.25,27.375,21.8557,796900
13,1997-07-01,27.25,27.3125,26.5,26.9375,21.5064,621300
14,1997-07-02,26.9375,27.9375,26.625,27.8125,22.205,818700
15,1997-07-03,27.5625,28.1875,26.75,28.0625,22.4046,696800
16,1997-07-07,28.5,28.625,27.0,27.125,21.6561,1180500
17,1997-07-08,27.25,27.6875,27.125,27.6875,22.1052,595000
18,1997-07-09,27.6875,27.6875,26.375,26.625,21.2569,958000
19,1997-07-10,26.25,26.3125,25.125,25.5,20.3587,1069200
20,1997-07-11,25.625,26.125,25.375,25.9375,20.708,674600
21,1997-07-14,26.1875,26.25,25.4375,25.6875,20.5084,471200
22,1997-07-15,25.3125,25.5625,25.0,25.4375,20.3088,513000
23,1997-07-16,25.5625,25.5625,23.75,23.8125,19.0114,899600
24,1997-07-17,24.0,26.25,23.9375,26.0625,20.8078,1286200
25,1997-07-18,26.125,26.5,25.3125,25.875,20.6581,346200
26,1997-07-21,25.8125,25.8125,25.0,25.3125,20.209,216600
27,1997-07-22,25.125,25.875,25.125,25.625,20.4585,351200
28,1997-07-23,25.625,26.125,25.0,25.0,19.9595,507100
29,1997-07-24,25.0,25.0625,24.25,24.625,19.6601,412300
30,1997-07-25,24.875,25.0,24.1875,24.625,19.6601,253000
31,1997-07-28,24.875,25.4375,24.375,25.25,20.1591,953700
32,1997-07-29,25.5,26.6875,25.5,26.6875,21.3068,1028100
33,1997-07-30,26.8125,27.9375,26.6875,27.75,22.1551,801700
34,1997-07-31,27.875,28.0,26.6875,26.8125,21.4066,458400
35,1997-08-01,26.3125,27.0,26.25,26.625,21.2569,250100
36,1997-08-04,26.375,27.875,26.25,27.625,22.0553,629700
37,1997-08-05,28.125,28.4375,26.5,27.0625,21.6062,1157915
38,1997-08-06,27.0625,27.125,26.25,26.5,21.1571,350500
39,1997-08-07,26.5,26.6875,25.75,25.75,20.5583,456200
40,1997-08-08,25.5,25.6875,24.75,25.25,20.1591,576600
41,1997-08-11,25.375,25.375,24.5,24.75,19.7599,370400
42,1997-08-12,25.0,25.4375,24.3125,24.3125,19.4106,912100
43,1997-08-13,24.5,25.1875,23.8125,24.375,19.4605,416500
44,1997-08-14,24.625,24.75,23.9375,24.0,19.1611,309000
45,1997-08-15,24.0,24.0,22.875,23.0625,18.4127,1385300
46,1997-08-18,23.5625,23.6875,22.9375,23.5,18.7619,551500
47,1997-08-19,23.375,24.25,23.375,24.25,19.3607,380800
48,1997-08-20,24.875,25.625,24.6875,25.625,20.4585,610400
49,1997-08-21,25.375,25.5625,24.5,24.75,19.7599,479600
50,1997-08-22,24.125,24.625,24.0,24.5,19.5603,378500
51,1997-08-25,25.0,25.0625,24.1875,24.3125,19.4106,230200
52,1997-08-26,24.25,24.9375,24.125,24.6875,19.71,296300
53,1997-08-27,24.9375,25.0,24.25,24.5,19.5603,619500
54,1997-08-28,24.5,25.375,24.375,25.3125,20.209,492400
55,1997-08-29,25.3125,26.875,25.25,26.25,20.9575,686100
56,1997-09-02,26.375,26.4375,25.5,26.25,20.9575,414700
57,1997-09-03,26.25,26.375,26.0,26.0625,20.8078,265000
58,1997-09-04,26.0,26.3125,25.5,25.75,20.5583,237400
59,1997-09-05,26.25,26.4375,25.5625,25.875,20.6581,151100
60,1997-09-08,25.75,26.0,25.3125,25.375,20.2589,91200
61,1997-09-09,25.25,25.5,24.625,24.875,19.8597,318400
62,1997-09-10,24.875,24.875,24.1875,24.25,19.3607,365900
63,1997-09-11,24.0,24.75,24.0,24.25,19.3607,721200
64,1997-09-12,24.375,24.625,24.0,24.4375,19.5104,234000
65,1997-09-15,24.6875,25.875,24.5,25.1875,20.1092,855800
66,1997-09-16,25.625,25.9375,25.25,25.5,20.3587,384100
67,1997-09-17,25.75,26.4375,25.625,26.4375,21.1072,922000
