,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1995-06-02,10.7504,12.0,10.5,10.7504,0.5741,14915200
1,1995-06-05,10.2504,10.8752,10.1872,10.2504,0.5474,4787200
2,1995-06-06,10.5,10.6248,10.2504,10.2504,0.5474,4769600
3,1995-06-07,10.2504,10.2504,9.7504,10.2504,0.5474,4793600
4,1995-06-08,10.2504,11.2504,10.0,11.2504,0.6008,7235200
5,1995-06-09,11.2504,11.5,11.0,11.2504,0.6008,4771200
6,1995-06-12,11.5,11.5,11.0,11.5,0.6142,4409600
7,1995-06-13,11.5,11.5,11.0,11.0,0.5875,2212800
8,1995-06-14,11.2504,11.2504,11.0,11.0,0.5875,4632000
9,1995-06-15,11.2504,11.2504,11.0,11.0624,0.5908,896000
10,1995-06-16,11.0,11.2504,11.0,11.0,0.5875,388800
11,1995-06-19,11.2504,11.2504,11.0,11.0624,0.5908,374400
12,1995-06-20,11.0,11.2504,11.0,11.0,0.5875,201600
13,1995-06-21,11.0,11.2504,11.0,11.2504,0.6008,481600
14,1995-06-22,11.2504,11.2504,11.0,11.2504,0.6008,5576000
15,1995-06-23,11.0784,12.0,11.0,12.0,0.6409,2844800
16,1995-06-26,11.2504,12.0,11.2504,11.5,0.6142,825600
17,1995-06-27,12.0,12.0,11.2504,12.0,0.6409,1020800
18,1995-06-28,11.2504,12.0,11.2504,12.0,0.6409,193600
19,1995-06-29,12.0,12.0,11.2504,12.0,0.6409,104000
20,1995-06-30,12.0,12.0,12.0,12.0,0.6409,14400
21,1995-07-03,12.0,12.0,12.0,12.0,0.6409,32000
22,1995-07-05,11.5,13.0,11.5,12.5,0.6676,417600
23,1995-07-06,12.5,13.2504,12.5,13.2504,0.7076,691200
24,1995-07-07,12.7504,14.2504,12.7504,13.7504,0.7343,1740800
25,1995-07-10,14.0,14.5,13.7504,14.0,0.7477,1068800
26,1995-07-11,14.5,14.5,13.0,13.0,0.6943,432000
27,1995-07-12,13.5,14.0,13.5,14.0,0.7477,708800
28,1995-07-13,14.0,14.0,13.5,14.0,0.7477,337600
29,1995-07-14,14.0,14.2504,14.0,14.2504,0.761,513600
30,1995-07-17,13.7504,14.2504,13.7504,14.2504,0.761,60800
31,1995-07-18,14.2504,14.2504,13.2504,14.0,0.7477,192000
32,1995-07-19,14.0,14.0,12.7504,13.2504,0.7076,332800
33,1995-07-21,13.2504,13.2504,12.7504,12.8128,0.6843,176000
34,1995-07-24,12.5,13.2504,12.5,13.2504,0.7076,3200
35,1995-07-25,13.2504,13.2504,12.7504,12.7504,0.6809,46400
36,1995-07-26,13.2504,13.5,12.7504,13.5,0.721,187200
37,1995-07-27,13.5,14.2504,13.2504,14.2504,0.761,979200
38,1995-07-28,14.2504,14.5,14.2504,14.5,0.7744,9600
39,1995-07-31,13.7504,14.5,13.7504,13.7504,0.7343,89600
40,1995-08-01,14.5,14.5,14.5,14.5,0.7744,9600
41,1995-08-02,14.5,14.5,13.7504,13.7504,0.7343,38400
42,1995-08-03,13.7504,14.5,13.7504,14.5,0.7744,59200
43,1995-08-04,13.7504,13.7504,13.7504,13.7504,0.7343,11200
44,1995-08-07,14.2504,14.2504,13.7504,13.7504,0.7343,14400
45,1995-08-08,13.7504,14.2504,13.7504,14.2504,0.761,216000
46,1995-08-09,14.2504,14.2504,13.7504,13.7504,0.7343,182400
47,1995-08-10,14.2504,14.2504,14.2504,14.2504,0.761,9600
48,1995-08-11,13.7504,14.2504,13.7504,14.2504,0.761,8000
49,1995-08-14,14.2504,14.2504,13.7504,14.0624,0.751,107200
50,1995-08-15,14.2504,14.2504,14.2504,14.2504,0.761,4800
51,1995-08-16,14.2504,14.2504,14.2504,14.2504,0.761,8000
52,1995-08-17,14.2504,14.2504,13.7504,14.2504,0.761,99200
53,1995-08-18,13.7504,14.2504,13.7504,13.7504,0.7343,257600
54,1995-08-21,14.2504,14.2504,14.0,14.0,0.7477,401600
55,1995-08-22,15.0,15.0,14.2504,15.0,0.8011,2531200
56,1995-08-23,15.0,15.0,14.6248,15.0,0.8011,928000
57,1995-08-24,15.0,15.0,14.2504,14.2504,0.761,9324800
58,1995-08-25,15.0,15.0,14.2504,15.0,0.8011,86400
59,1995-08-28,15.0,15.0,14.2504,14.2504,0.761,65600
60,1995-08-29,15.0,15.0,14.2504,15.0,0.8011,784000
61,1995-08-30,14.2504,15.0,14.2504,15.0,0.8011,33600
62,1995-08-31,15.0,15.0,15.0,15.0,0.8011,27200
63,1995-09-01,15.0,15.0,15.0,15.0,0.8011,75200
64,1995-09-05,14.2504,15.0,14.2504,15.0,0.8011,38400
65,1995-09-06,15.0,15.5,14.2504,15.5,0.8278,1896000
66,1995-09-07,14.7504,15.7504,14.7504,15.7504,0.8411,769600
67,1995-09-08,15.7504,16.0,15.5,16.0,0.8545,2222400
68,1995-09-11,16.0,16.2504,15.7504,16.2504,0.8678,1158400
69,1995-09-12,15.5,16.5,15.5,16.5,0.8812,427200
70,1995-09-13,16.2504,16.2504,16.2504,16.2504,0.8678,6400
71,1995-09-14,16.2504,16.7504,15.7504,16.7504,0.8945,452800
72,1995-09-15,16.7504,16.7504,16.0,16.7504,0.8945,51200
73,1995-09-18,16.7504,16.7504,16.0,16.7504,0.8945,30400
74,1995-09-19,16.7504,17.5,16.0,17.5,0.9346,2232000
75,1995-09-20,17.0,17.5,17.0,17.5,0.9346,4377600
76,1995-09-21,17.0,18.0,17.0,18.0,0.9613,132800
77,1995-09-22,17.0,18.0,17.0,18.0,0.9613,24000
78,1995-09-25,17.0,18.0,17.0,17.7504,0.9479,80000
79,1995-09-26,18.0,18.0,17.0,17.7504,0.9479,80000
80,1995-09-27,17.0,17.0,17.0,17.0,0.9079,152000
81,1995-09-28,17.0,17.7504,17.0,17.1248,0.9146,284800
82,1995-09-29,17.2504,17.7504,17.2504,17.7504,0.9479,209600
83,1995-10-02,17.0,17.7504,17.0,17.7504,0.9479,17600
84,1995-10-03,17.5,17.7504,17.0,17.0,0.9079,3403200
85,1995-10-04,17.0,17.1248,16.5,16.5,0.8812,5144000
86,1995-10-05,16.5,16.7504,15.7504,15.7504,0.8411,334400
87,1995-10-06,15.7504,16.2504,15.2504,15.5,0.8278,329600
88,1995-10-09,16.2504,16.2504,15.0,15.5,0.8278,129600
89,1995-10-10,14.7504,15.5,14.2504,14.5,0.7744,379200
90,1995-10-11,14.0,14.7504,14.0,14.3752,0.7677,163200
91,1995-10-12,14.7504,14.7504,14.1248,14.3752,0.7677,206400
92,1995-10-13,14.7504,14.7504,13.7504,13.7504,0.7343,620800
93,1995-10-16,14.5,14.5,13.7504,13.7504,0.7343,846400
94,1995-10-17,14.5,14.5,13.7504,13.7504,0.7343,641600
95,1995-10-18,14.2504,14.5,14.1248,14.1248,0.7544,892800
96,1995-10-19,14.5,14.5,14.0,14.5,0.7744,1720000
97,1995-10-20,14.5,14.5,14.5,14.5,0.7744,20800
98,1995-10-23,14.2504,15.0,14.0,15.0,0.8011,30400
99,1995-10-24,15.0,16.0,14.5,16.0,0.8545,411200
