Date,Open,High,Low,Close,Adjusted_close,Volume
1980-06-19,0.75,1.125,0.75,0.75,6.7047,62205
1980-06-20,0.75,1.125,0.75,0.75,6.7047,28695
1980-06-23,0.625,1,0.625,0.625,5.5872,195
1980-06-24,0.625,0.875,0.625,0.625,5.5872,13695
1980-06-25,0.75,1,0.75,0.75,6.7047,7500
1980-06-26,0.75,1,0.75,0.75,6.7047,64500
1980-06-27,0.75,1,0.75,0.75,6.7047,19995
1980-06-30,0.75,1,0.75,0.75,6.7047,12900
1980-07-01,0.875,1.125,0.875,0.875,7.8221,71100
1980-07-02,0.875,1.125,0.875,0.875,7.8221,32400
1980-07-03,1,1.25,1,1,8.9396,191595
1980-07-07,1,1.125,1,1,8.9396,28305
1980-07-08,1.125,1.125,1.125,1.125,10.057,52095
1980-07-09,1.125,1.125,1.125,1.125,10.057,63600
1980-07-10,1.125,1.25,1.125,1.125,10.057,94305
1980-07-11,1.125,1.25,1.125,1.125,10.057,40005
1980-07-14,1,1.125,1,1,8.9396,21600
1980-07-15,1,1.125,1,1,8.9396,10005
1980-07-16,1,1.125,1,1,8.9396,29295
1980-07-17,1.25,1.375,1.25,1.25,11.1745,232395
1980-07-18,1.25,1.25,1.25,1.25,11.1745,47895
1980-07-21,1.25,1.25,1.25,1.25,11.1745,21705
1980-07-22,1.25,1.25,1.25,1.25,11.1745,25005
1980-07-23,1.125,1.25,1.125,1.125,10.057,28005
1980-07-24,1.25,1.25,1.25,1.25,11.1745,44295
1980-07-25,1.125,1.25,1.125,1.125,10.057,26100
1980-07-28,1.125,1.25,1.125,1.125,10.057,10095
1980-07-29,1.125,1.25,1.125,1.125,10.057,39300
1980-07-30,1.125,1.25,1.125,1.125,10.057,13305
1980-07-31,1.125,1.25,1.125,1.125,10.057,28005
1980-08-01,1.125,1.25,1.125,1.125,10.057,6195
1980-08-04,1.125,1.25,1.125,1.125,10.057,21495
1980-08-05,1.125,1.25,1.125,1.125,10.057,3495
1980-08-06,1.125,1.25,1.125,1.125,10.057,17805
1980-08-07,1.125,1.25,1.125,1.125,10.057,66405
1980-08-08,1.25,1.25,1.25,1.25,11.1745,49995
1980-08-11,1.25,1.25,1.25,1.25,11.1745,7200
1980-08-12,1.125,1.25,1.125,1.125,10.057,15195
1980-08-13,1,1.25,1,1,8.9396,6600
1980-08-14,1.125,1.25,1.125,1.125,10.057,13395
1980-08-15,1.125,1.25,1.125,1.125,10.057,8805
1980-08-18,1,1.125,1,1,8.9396,22005
1980-08-19,1,1.125,1,1,8.9396,27000
1980-08-20,1,1.125,1,1,8.9396,40500
1980-08-21,1.125,1.125,1.125,1.125,10.057,56400
1980-08-22,1.125,1.125,1.125,1.125,10.057,63495
1980-08-25,1.125,1.25,1.125,1.125,10.057,46500
1980-08-26,1.125,1.25,1.125,1.125,10.057,43395
1980-08-27,1.375,1.5,1.375,1.375,12.2919,120705
1980-08-28,1.75,1.75,1.75,1.75,15.6443,246795
1980-08-29,1.625,1.75,1.625,1.625,14.5268,123405
1980-09-02,1.625,1.75,1.625,1.625,14.5268,28995
1980-09-03,1.5,1.625,1.5,1.5,13.4094,23595
1980-09-04,1.375,1.5,1.375,1.375,12.2919,46995
