,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1999-06-16,8.875,9.3125,8.125,8.875,8.6694,5718100
1,1999-06-17,8.6875,8.875,7.75,8.6875,8.4862,542200
2,1999-06-18,9.0,9.125,8.5625,9.0,8.7915,557600
3,1999-06-21,9.25,9.75,9.0,9.25,9.0357,218000
4,1999-06-22,9.0625,9.5,9.0,9.0625,8.8525,281400
5,1999-06-23,9.375,9.5,9.0,9.375,9.1578,395200
6,1999-06-24,9.125,9.625,9.0,9.125,8.9136,238100
7,1999-06-25,9.1875,9.2188,9.0,9.1875,8.9747,172400
8,1999-06-28,9.25,9.375,9.0,9.25,9.0357,81400
9,1999-06-29,9.375,10.25,9.25,9.375,9.1578,321500
10,1999-06-30,9.6875,10.125,9.375,9.6875,9.4631,429900
11,1999-07-01,9.9375,10.375,9.5,9.9375,9.7073,363500
12,1999-07-02,10.875,10.875,10.125,10.875,10.6231,460800
13,1999-07-06,10.6875,11.0,10.5,10.6875,10.4399,565900
14,1999-07-07,10.875,11.125,10.375,10.875,10.6231,270500
15,1999-07-08,12.25,13.0,11.375,12.25,11.9662,1793800
16,1999-07-09,13.5,13.75,12.1875,13.5,13.1872,1738400
17,1999-07-12,14.8125,15.375,13.625,14.8125,14.4693,5465000
18,1999-07-13,13.375,15.3125,12.625,13.375,13.0651,2568600
19,1999-07-14,13.375,13.75,11.875,13.375,13.0651,970700
20,1999-07-15,13.125,14.0,12.75,13.125,12.8209,572700
21,1999-07-16,14.0,14.25,13.1875,14.0,13.6757,793100
22,1999-07-19,14.0,14.375,13.5,14.0,13.6757,336500
23,1999-07-20,12.9375,14.0625,12.5,12.9375,12.6378,324300
24,1999-07-21,12.5,13.3125,12.5,12.5,12.2104,237600
25,1999-07-22,12.0,12.75,11.875,12.0,11.722,165100
26,1999-07-23,11.5,12.25,11.0,11.5,11.2336,178500
27,1999-07-26,10.375,11.5,9.75,10.375,10.1346,370500
28,1999-07-27,10.375,10.875,9.875,10.375,10.1346,312600
29,1999-07-28,11.25,11.875,10.25,11.25,10.9894,176700
