,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,29.81,29.94,29.75,29.94,29.94,143300
1,1998-01-02,29.44,29.81,29.38,29.69,29.69,167600
2,1998-01-05,29.75,29.94,29.44,29.63,29.63,525100
3,1998-01-06,29.5,29.5,29.13,29.31,29.31,268500
4,1998-01-07,28.88,29.06,28.5,29.06,29.06,246000
5,1998-01-08,29.06,29.31,28.63,29.19,29.19,70000
6,1998-01-09,29.25,29.56,29.0,29.38,29.38,249000
7,1998-01-12,29.13,29.5,29.13,29.5,29.5,171600
8,1998-01-13,29.38,29.44,29.06,29.31,29.31,54600
9,1998-01-14,29.13,29.13,28.88,29.06,29.06,366600
10,1998-01-15,28.88,28.88,28.38,28.44,28.44,252300
11,1998-01-16,28.44,28.75,28.44,28.56,28.56,82300
12,1998-01-20,28.63,28.75,28.56,28.69,28.69,76800
13,1998-01-21,28.5,28.81,28.38,28.81,28.81,151500
14,1998-01-22,28.5,28.81,28.31,28.69,28.69,93000
15,1998-01-23,28.81,29.0,28.56,28.63,28.63,71800
16,1998-01-26,28.63,28.81,28.44,28.81,28.81,67100
17,1998-01-27,28.69,28.81,28.56,28.56,28.56,103400
18,1998-01-28,28.69,29.0,28.63,28.63,28.63,106700
19,1998-01-29,28.81,28.94,28.63,28.63,28.63,157800
20,1998-01-30,28.75,28.75,28.06,28.19,28.19,104300
21,1998-02-02,28.44,28.63,28.25,28.31,28.31,65600
22,1998-02-03,28.13,28.44,28.13,28.31,28.31,75900
23,1998-02-04,28.13,28.25,28.06,28.19,28.19,168500
24,1998-02-05,28.25,28.56,28.25,28.38,28.38,175700
25,1998-02-06,28.38,28.56,28.38,28.5,28.5,116900
26,1998-02-09,28.5,28.63,28.19,28.19,28.19,244700
27,1998-02-10,28.31,28.44,28.13,28.25,28.25,169500
28,1998-02-11,28.25,28.25,27.94,28.06,28.06,237500
29,1998-02-12,28.0,28.44,27.88,28.38,28.38,183400
30,1998-02-13,28.19,28.56,28.19,28.56,28.56,175400
31,1998-02-17,28.69,28.88,28.5,28.63,28.63,80500
32,1998-02-18,28.63,28.81,28.5,28.63,28.63,161800
33,1998-02-19,28.25,28.81,28.19,28.25,28.25,405600
34,1998-02-20,28.25,28.44,28.13,28.38,28.38,48800
35,1998-02-23,28.38,28.69,28.31,28.44,28.44,117700
36,1998-02-24,28.44,28.44,28.06,28.31,28.31,86100
37,1998-02-25,28.5,28.81,28.44,28.75,28.75,65600
38,1998-02-26,28.5,28.56,28.44,28.5,28.5,189400
39,1998-02-27,28.44,28.81,28.44,28.75,28.75,164300
40,1998-03-02,28.63,29.0,28.56,28.81,28.81,110400
41,1998-03-03,28.81,29.19,28.81,29.06,29.06,167900
42,1998-03-04,28.94,29.0,28.75,28.94,28.94,81300
43,1998-03-05,28.81,29.13,28.75,28.81,28.81,131900
44,1998-03-06,28.63,29.0,28.43,28.81,28.81,1863500
45,1998-03-09,28.81,29.0,28.81,28.88,28.88,84600
46,1998-03-10,28.81,29.19,28.69,29.06,29.06,411500
47,1998-03-11,29.0,29.19,28.75,29.13,29.13,79100
48,1998-03-12,29.13,29.13,28.88,29.06,29.06,227200
49,1998-03-13,29.06,29.06,28.81,28.94,28.94,54000
50,1998-03-16,28.94,29.5,28.94,29.38,29.38,219100
51,1998-03-17,29.31,29.5,29.19,29.5,29.5,108200
52,1998-03-18,29.5,29.75,29.38,29.75,29.75,101100
53,1998-03-19,29.69,29.81,29.56,29.81,29.81,108700
54,1998-03-20,29.81,30.44,29.75,30.31,30.31,250500
55,1998-03-23,30.25,30.56,30.0,30.25,30.25,124800
56,1998-03-24,30.25,30.88,30.19,30.69,30.69,161900
57,1998-03-25,30.81,30.94,30.25,30.44,30.44,133800
58,1998-03-26,30.38,30.63,30.19,30.25,30.25,242600
59,1998-03-27,30.31,30.56,30.13,30.25,30.25,91100
60,1998-03-30,30.13,30.19,29.94,30.19,30.19,79200
61,1998-03-31,30.25,31.0,30.25,30.94,30.94,125900
62,1998-04-01,30.94,31.25,30.75,30.94,30.94,348400
63,1998-04-02,30.94,31.13,30.63,30.94,30.94,142300
64,1998-04-03,30.94,31.38,30.94,31.0,31.0,277400
65,1998-04-06,30.88,30.88,30.5,30.81,30.81,123000
66,1998-04-07,30.75,30.88,30.5,30.63,30.63,101800
67,1998-04-08,30.5,30.63,30.44,30.5,30.5,178000
68,1998-04-09,30.38,30.63,30.25,30.31,30.31,105200
69,1998-04-13,30.31,30.44,30.0,30.13,30.13,134200
70,1998-04-14,30.13,30.25,30.06,30.19,30.19,27400
71,1998-04-15,30.44,30.75,30.19,30.44,30.44,116300
72,1998-04-16,30.19,30.25,29.5,29.81,29.81,100500
73,1998-04-17,29.69,30.13,29.69,30.0,30.0,191300
74,1998-04-20,30.0,30.13,30.0,30.0,30.0,47200
75,1998-04-21,30.0,30.13,29.75,30.0,30.0,106100
76,1998-04-22,30.0,30.0,29.69,29.69,29.69,102900
77,1998-04-23,29.75,29.75,29.13,29.31,29.31,167900
78,1998-04-24,29.19,29.56,29.19,29.44,29.44,136100
79,1998-04-27,29.0,29.0,28.56,29.0,29.0,142200
80,1998-04-28,29.13,29.5,29.13,29.31,29.31,168900
81,1998-04-29,29.31,29.69,29.25,29.31,29.31,185000
82,1998-04-30,29.38,30.13,29.38,29.88,29.88,201600
83,1998-05-01,29.88,30.0,29.75,29.81,29.81,122700
84,1998-05-04,29.75,29.81,29.5,29.56,29.56,99200
85,1998-05-05,29.56,29.88,29.56,29.69,29.69,112400
86,1998-05-06,29.63,29.69,29.31,29.31,29.31,229000
87,1998-05-07,29.31,29.38,29.0,29.0,29.0,256500
88,1998-05-08,29.0,29.31,29.0,29.25,29.25,237700
89,1998-05-11,29.25,29.69,29.25,29.63,29.63,93100
90,1998-05-12,29.56,29.63,29.25,29.38,29.38,101400
91,1998-05-13,29.38,29.5,29.13,29.13,29.13,136000
92,1998-05-14,29.06,29.31,29.06,29.13,29.13,81500
93,1998-05-15,29.13,29.13,28.81,28.81,28.81,194500
94,1998-05-18,28.81,28.88,28.38,28.44,28.44,108500
95,1998-05-19,28.44,28.5,28.0,28.0,28.0,559300
96,1998-05-20,28.31,28.31,28.31,28.31,28.31,364400
97,1998-05-21,28.25,28.44,28.19,28.44,28.44,123700
98,1998-05-22,28.38,28.44,28.25,28.25,28.25,175300
99,1998-05-26,28.25,28.5,28.06,28.13,28.13,108800
100,1998-05-27,28.13,28.31,27.88,28.13,28.13,330500
101,1998-05-28,28.13,28.69,28.13,28.38,28.38,89900
102,1998-05-29,28.38,29.0,28.38,28.81,28.81,156400
103,1998-06-01,28.81,29.81,28.81,29.81,29.81,181300
104,1998-06-02,29.63,30.25,29.63,29.75,29.75,159800
105,1998-06-03,29.69,30.5,29.69,29.88,29.88,161100
106,1998-06-04,29.63,30.13,29.63,30.0,30.0,97600
107,1998-06-05,30.0,30.19,30.0,30.19,30.19,108000
108,1998-06-08,29.69,30.0,29.69,29.94,29.94,788500
109,1998-06-09,29.88,30.31,29.88,30.19,30.19,256300
110,1998-06-10,30.12,30.19,30.06,30.12,30.12,225400
111,1998-06-11,30.19,30.44,30.0,30.31,30.31,156900
112,1998-06-12,30.5,30.69,30.0,30.31,30.31,213500
113,1998-06-15,30.25,30.38,30.0,30.0,30.0,337300
114,1998-06-16,30.0,30.25,29.75,30.13,30.13,108200
115,1998-06-17,30.0,30.06,29.63,29.75,29.75,360800
116,1998-06-18,29.75,29.94,29.75,29.81,29.81,141700
117,1998-06-19,29.69,30.06,29.69,30.06,30.06,169100
118,1998-06-22,29.94,30.19,29.88,29.94,29.94,112900
119,1998-06-23,30.13,30.19,29.88,29.88,29.88,57000
120,1998-06-24,29.88,29.94,29.75,29.81,29.81,110800
121,1998-06-25,29.88,29.88,29.56,29.69,29.69,79800
122,1998-06-26,29.69,29.69,29.5,29.56,29.56,88000
123,1998-06-29,29.69,30.13,29.63,30.13,30.13,136500
124,1998-06-30,30.13,30.19,29.75,29.81,29.81,131200
125,1998-07-01,30.0,30.5,30.0,30.38,30.38,107000
126,1998-07-02,30.44,30.44,30.13,30.38,30.38,89500
127,1998-07-06,30.25,30.5,30.25,30.38,30.38,107300
128,1998-07-07,30.38,30.56,30.31,30.38,30.38,225100
129,1998-07-08,30.25,30.25,30.06,30.25,30.25,42300
130,1998-07-09,30.25,30.25,30.13,30.19,30.19,86100
131,1998-07-10,30.13,30.25,30.13,30.25,30.25,340900
132,1998-07-13,30.19,30.38,30.19,30.31,30.31,261300
133,1998-07-14,30.25,30.44,30.13,30.31,30.31,64400
134,1998-07-15,30.19,30.25,30.0,30.0,30.0,192700
135,1998-07-16,30.0,30.25,30.0,30.19,30.19,96300
136,1998-07-17,30.19,30.25,30.0,30.25,30.25,67200
137,1998-07-20,30.25,30.31,30.13,30.19,30.19,209300
138,1998-07-21,30.13,30.19,29.88,29.94,29.94,98600
139,1998-07-22,29.88,29.94,29.63,29.81,29.81,80800
140,1998-07-23,29.81,30.0,29.63,29.63,29.63,90700
141,1998-07-24,29.69,29.75,29.25,29.69,29.69,58400
142,1998-07-27,29.5,29.63,29.44,29.5,29.5,79900
143,1998-07-28,29.63,29.69,29.13,29.25,29.25,294800
144,1998-07-29,29.25,29.38,29.25,29.31,29.31,277800
145,1998-07-30,29.31,29.56,29.13,29.13,29.13,133800
146,1998-07-31,29.13,29.38,28.81,28.81,28.81,355100
147,1998-08-03,28.81,29.25,28.81,29.19,29.19,237900
148,1998-08-04,29.13,29.25,28.88,28.88,28.88,151900
149,1998-08-05,28.88,29.0,28.5,28.88,28.88,186800
150,1998-08-06,28.88,28.94,28.63,28.88,28.88,101600
151,1998-08-07,28.81,29.47,28.81,29.44,29.44,388000
152,1998-08-10,29.44,29.5,29.19,29.25,29.25,253200
153,1998-08-11,29.0,29.0,28.75,28.94,28.94,72900
154,1998-08-12,29.0,30.06,28.75,30.0,30.0,426800
155,1998-08-13,29.88,29.94,29.19,29.38,29.38,118200
156,1998-08-14,29.44,29.88,29.38,29.5,29.5,105900
157,1998-08-17,29.63,30.0,29.63,29.94,29.94,210100
158,1998-08-18,29.88,29.94,29.5,29.69,29.69,121700
159,1998-08-19,29.69,29.69,29.13,29.38,29.38,198300
160,1998-08-20,29.38,29.56,29.19,29.56,29.56,336600
161,1998-08-21,29.44,30.13,29.25,30.0,30.0,272600
162,1998-08-24,29.94,30.63,29.94,30.5,30.5,170700
163,1998-08-25,30.5,30.69,30.13,30.25,30.25,74300
164,1998-08-26,30.25,30.5,29.81,30.44,30.44,123700
165,1998-08-27,30.38,30.63,30.19,30.31,30.31,132000
166,1998-08-28,30.25,30.75,30.0,30.63,30.63,144800
167,1998-08-31,30.75,31.38,30.56,30.69,30.69,174100
168,1998-09-01,30.75,31.0,30.38,30.56,30.56,453100
169,1998-09-02,30.69,31.0,30.63,30.69,30.69,307400
170,1998-09-03,30.44,31.06,30.13,31.0,31.0,168700
171,1998-09-04,30.94,31.13,30.44,30.56,30.56,175600
172,1998-09-08,30.25,30.44,30.13,30.44,30.44,107900
173,1998-09-09,30.38,30.5,30.06,30.44,30.44,158800
174,1998-09-10,30.19,30.38,29.88,30.31,30.31,653500
175,1998-09-11,30.31,31.0,30.13,30.94,30.94,156100
176,1998-09-14,30.88,31.56,30.88,31.38,31.38,190800
177,1998-09-15,31.25,32.13,31.19,32.13,32.13,343400
178,1998-09-16,32.38,32.44,32.06,32.31,32.31,147000
179,1998-09-17,31.75,32.75,31.75,32.69,32.69,203900
180,1998-09-18,32.5,32.81,32.38,32.63,32.63,276400
181,1998-09-21,32.5,33.38,32.19,33.13,33.13,227700
182,1998-09-22,33.38,33.56,33.25,33.44,33.44,397300
183,1998-09-23,33.31,33.75,33.25,33.56,33.56,230700
184,1998-09-24,33.38,33.44,32.81,32.94,32.94,95600
185,1998-09-25,32.88,33.5,32.69,33.44,33.44,145600
186,1998-09-28,33.38,33.38,32.94,33.19,33.19,142100
187,1998-09-29,33.0,33.75,33.0,33.75,33.75,183000
188,1998-09-30,33.69,33.88,33.31,33.56,33.56,220800
189,1998-10-01,33.56,34.5,33.56,34.19,34.19,295000
190,1998-10-02,34.38,35.5,34.25,35.06,35.06,192900
191,1998-10-05,34.81,35.69,34.63,35.69,35.69,296900
192,1998-10-06,35.69,36.25,35.44,36.06,36.06,476600
193,1998-10-07,36.0,36.75,35.56,36.44,36.44,301000
194,1998-10-08,36.44,37.25,36.25,37.25,37.25,543200
195,1998-10-09,36.63,37.0,36.25,36.63,36.63,366100
196,1998-10-12,36.5,36.56,35.31,35.94,35.94,754500
197,1998-10-13,35.75,35.81,35.31,35.69,35.69,228500
