,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2003-04-28,14.05,14.05,14.05,14.05,7.9387,10000
1,2003-04-29,16.0,16.0,15.5,15.55,8.7863,165000
2,2003-04-30,15.8,15.8,14.95,15.0,8.4755,496400
3,2003-05-02,15.0,15.15,14.9,15.0,8.4755,432600
4,2003-05-05,14.95,15.25,14.95,15.0,8.4755,213300
5,2003-05-06,15.25,15.25,14.95,15.0,8.4755,120400
6,2003-05-07,15.0,15.05,13.45,13.55,7.6562,651200
7,2003-05-08,13.5,13.6,12.85,12.85,7.2607,450100
8,2003-05-09,12.7,13.3,12.0,13.2,7.4584,1282300
9,2003-05-12,13.3,16.25,13.2,16.1,9.097,863200
10,2003-05-13,16.1,16.1,15.0,15.2,8.5885,573000
11,2003-05-14,15.25,15.25,14.25,14.35,8.1082,629700
12,2003-05-15,14.35,14.36,13.74,14.1,7.967,442500
13,2003-05-16,14.0,14.1,13.85,14.0,7.9105,501300
14,2003-05-19,14.05,14.1,13.95,14.05,7.9387,235000
15,2003-05-20,14.0,14.05,13.85,13.93,7.8709,236800
16,2003-05-21,13.93,14.5,13.9,14.2,8.0235,404600
17,2003-05-22,14.25,14.7,14.25,14.65,8.2778,194500
18,2003-05-23,14.7,14.8,14.61,14.75,8.3342,62400
19,2003-05-27,14.75,14.9,14.75,14.89,8.4134,203900
20,2003-05-28,14.85,15.465,14.85,15.45,8.7298,386100
21,2003-05-29,15.45,15.95,15.45,15.85,8.9557,442900
22,2003-05-30,15.85,16.1,15.85,15.9,8.984,391300
23,2003-06-02,15.9,15.95,15.5,15.75,8.8993,320200
24,2003-06-03,15.7,15.75,15.0,15.05,8.5037,105100
25,2003-06-04,14.9,15.2,14.72,15.0,8.4755,320200
26,2003-06-05,14.96,15.5,14.96,15.35,8.6733,420900
27,2003-06-06,15.4,16.14,15.28,16.0,9.0406,369600
28,2003-06-09,16.13,18.5,16.1,17.7,10.001,683900
29,2003-06-10,17.55,21.42,17.5,19.6,11.0747,1618178
30,2003-06-11,19.95,20.0,18.16,19.251,10.8775,842840
31,2003-06-12,19.2,19.5,18.3,18.56,10.4871,258528
32,2003-06-13,18.34,18.75,17.22,18.5,10.4531,580750
33,2003-06-16,18.53,24.43,18.4,22.502,12.7144,2832069
34,2003-06-17,22.55,23.0,20.47,21.77,12.3008,1089267
35,2003-06-18,21.77,22.0,20.562,21.8,12.3177,568752
36,2003-06-19,21.34,23.81,21.231,22.94,12.9619,709597
37,2003-06-20,23.45,27.0,23.43,25.2,14.2389,3207391
38,2003-06-23,25.55,26.98,25.24,26.26,14.8378,1207787
39,2003-06-24,26.43,26.78,24.85,24.91,14.075,585463
40,2003-06-25,25.1,26.0,25.05,25.65,14.4931,409100
41,2003-06-26,25.78,26.35,24.86,25.03,14.1428,628154
42,2003-06-27,24.76,25.64,24.25,25.64,14.4875,737884
43,2003-06-30,24.95,27.05,24.9,26.99,15.2503,1621730
44,2003-07-01,26.79,26.79,25.76,25.95,14.6627,721906
45,2003-07-02,25.98,26.9,25.32,26.64,15.0525,617020
46,2003-07-03,26.11,26.4,25.51,25.73,14.5383,125490
47,2003-07-07,26.0,26.2,25.0,25.82,14.5892,159010
48,2003-07-08,25.79,26.2,25.2,25.96,14.6683,359382
49,2003-07-09,26.0,26.01,25.11,25.58,14.4536,490962
50,2003-07-10,25.351,25.9,23.75,25.2,14.2389,431688
51,2003-07-11,25.1,25.1,23.75,24.2,13.6738,620680
52,2003-07-14,24.29,24.9,24.29,24.6,13.8998,155905
53,2003-07-15,24.75,24.75,24.13,24.45,13.8151,94843
54,2003-07-16,24.45,25.5,24.45,24.7,13.9563,367688
55,2003-07-17,24.67,25.0,23.9,24.12,13.6286,259510
56,2003-07-18,24.25,24.48,23.3,24.25,13.702,482358
57,2003-07-21,23.76,24.62,23.51,23.96,13.5382,224400
