,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1988-07-14,13.625,13.625,13.625,13.625,54.8906,195
1,1988-07-15,13.25,13.25,13.25,13.25,53.3799,345
2,1988-07-18,12.875,12.875,12.875,12.875,51.8691,405
3,1988-07-19,13.0001,13.0001,13.0001,13.0001,52.3727,435
4,1988-07-20,13.0001,13.0001,12.875,13.0001,52.3727,330
5,1988-07-21,13.0001,13.0001,13.0001,13.0001,52.3727,600
6,1988-07-22,12.875,12.875,12.875,12.875,51.8691,675
7,1988-07-25,12.875,12.875,12.875,12.875,51.8691,30
8,1988-07-26,12.875,12.875,12.875,12.875,51.8691,60
9,1988-07-27,12.875,12.875,12.875,12.875,51.8691,45
10,1988-07-29,12.875,12.875,12.75,12.875,51.8691,405
11,1988-08-01,13.0001,13.0001,13.0001,13.0001,52.3727,15
12,1988-08-02,12.75,12.75,12.75,12.75,51.3655,450
13,1988-08-04,13.0001,13.0001,13.0001,13.0001,52.3727,15
14,1988-08-09,12.5,12.6251,12.5,12.5,50.3584,1725
15,1988-08-10,12.125,12.2501,12.125,12.125,48.8476,300
16,1988-08-11,12.2501,12.2501,12.2501,12.2501,49.3512,330
17,1988-08-12,12.2501,12.2501,12.2501,12.2501,49.3512,150
18,1988-08-15,12.0,12.0,12.0,12.0,48.344,300
19,1988-08-17,12.0,12.125,12.0,12.0,48.344,975
20,1988-08-19,12.0,12.0,12.0,12.0,48.344,15
21,1988-08-23,12.125,12.125,12.125,12.125,48.8476,30
22,1988-08-30,11.0,11.0,11.0,11.0,44.3154,15
23,1988-08-31,11.0,11.0,11.0,11.0,44.3154,15
24,1988-09-09,10.7501,10.7501,10.7501,10.7501,43.3082,375
25,1988-09-16,11.1251,11.1251,11.1251,11.1251,44.8189,15
26,1988-09-26,10.7501,10.7501,10.7501,10.7501,43.3082,45
27,1988-09-28,10.5,10.625,10.5,10.5,42.301,135
28,1988-09-30,10.5,10.625,10.5,10.5,42.301,840
29,1988-10-05,10.7501,10.7501,10.7501,10.7501,43.3494,30
30,1988-10-10,11.0,11.0,11.0,11.0,44.3576,135
31,1988-10-11,10.125,10.125,10.125,10.125,40.8291,150
32,1988-10-14,10.25,10.25,10.25,10.25,41.3332,300
33,1988-10-18,10.625,10.625,10.3751,10.625,42.8454,1050
34,1988-10-19,10.625,10.625,10.625,10.625,42.8454,300
35,1988-10-21,10.7501,10.7501,10.7501,10.7501,43.3494,150
36,1988-10-24,10.5,10.5,10.5,10.5,42.3413,75
37,1988-10-28,10.3751,10.3751,10.3751,10.3751,41.8372,225
38,1988-11-01,10.5,10.5,10.5,10.5,42.3413,150
39,1988-11-02,10.5,10.625,10.3751,10.5,42.3413,390
40,1988-11-15,10.625,10.625,10.625,10.625,42.8454,60
41,1988-11-17,11.0,11.0,11.0,11.0,44.3576,15
42,1988-11-18,11.0,11.1251,11.0,11.0,44.3576,165
43,1988-11-23,11.25,11.25,11.25,11.25,45.3657,15
44,1988-11-29,10.3751,10.3751,10.3751,10.3751,41.8372,180
45,1988-12-01,10.125,10.125,10.125,10.125,40.8291,255
46,1988-12-02,10.25,10.25,10.125,10.25,41.3332,375
47,1988-12-09,9.5,9.5,9.5,9.5,38.431,150
48,1988-12-13,9.125,9.125,9.125,9.125,36.914,375
49,1988-12-15,8.8751,9.0,8.625,8.8751,35.9027,495
50,1988-12-27,8.8751,8.8751,8.8751,8.8751,35.9027,150
51,1988-12-28,9.125,9.125,9.125,9.125,36.914,150
52,1988-12-29,9.2501,9.2501,9.2501,9.2501,37.4197,30
53,1989-01-20,9.875,10.0001,9.875,9.875,39.948,675
54,1989-01-25,10.125,10.125,10.125,10.125,40.9594,75
55,1989-01-31,11.375,11.375,11.375,11.375,46.0161,45
56,1989-02-01,11.1251,11.1251,11.1251,11.1251,45.0047,75
57,1989-02-13,11.0,11.0,10.7501,11.0,44.4991,225
