Date,Open,High,Low,Close,Adjusted_close,Volume
2003-09-11,19.1,19.39,19.1,19.39,19.39,2951600
2003-10-01,18.45,18.76,18.39,18.71,18.71,1850800
2003-10-02,18.85,19.22,18.74,19.22,19.22,2008800
2003-10-03,19.37,19.41,18.88,18.88,18.88,1711800
2003-10-06,18.9,19.1,18.8,19.02,19.02,1072300
2003-10-07,19.02,19.26,18.95,19.25,19.25,1541500
2003-10-08,19.24,19.25,19.04,19.18,19.18,1067300
2003-10-09,19.21,19.34,18.9,18.99,18.99,1778100
2003-10-10,19.04,19.08,18.76,18.86,18.86,1264300
2003-10-13,18.98,19.05,18.87,19.03,19.03,661900
2003-10-14,18.98,19.11,18.85,19.06,19.06,976700
2003-10-15,19.13,19.45,19.08,19.39,19.39,2312400
2003-10-16,19.28,19.302,19.01,19.07,19.07,1612800
2003-10-17,19.16,19.18,18.8,18.98,18.98,1638200
2003-10-20,19.1,19.11,18.83,18.9,18.9,1647100
2003-10-21,18.9,19.13,18.83,18.9,18.9,1373800
2003-10-22,18.85,18.89,18.6,18.68,18.68,2111000
2003-10-23,18.68,19.12,18.57,19.12,19.12,1905200
2003-10-24,19,19,18.6,18.9,18.9,1667700
2003-10-27,18.98,19.1,18.82,18.9,18.9,1563300
2003-10-28,18.96,19.33,18.91,19.29,19.29,2451100
2003-10-29,19.39,19.68,19.19,19.55,19.55,2650200
2003-10-30,19.55,19.68,19.5,19.67,19.67,1919700
2003-10-31,19.62,19.93,19.53,19.93,19.93,2244700
2003-11-03,19.9,19.93,19.66,19.88,19.88,2032658
2003-11-04,19.79,19.81,19.56,19.6,19.6,1834199
2003-11-05,19.6,19.67,19.38,19.59,19.59,1677300
2003-11-06,19.5,19.86,19.47,19.85,19.85,1896700
2003-11-07,19.8,19.95,19.79,19.86,19.86,2145400
2003-11-10,19.95,20,19.83,19.96,19.96,2130200
2003-11-11,19.86,20.18,19.85,20.06,20.06,2126700
2003-11-12,20.1,20.25,20.06,20.22,20.22,1559800
2003-11-13,20.23,20.41,20.13,20.24,20.24,1868700
2003-11-14,20.17,20.35,20.11,20.32,20.32,2303000
2003-11-17,20.34,20.35,20.13,20.27,20.27,1626300
2003-11-18,20.4,20.59,20.17,20.18,20.18,2458700
2003-11-19,20.45,20.63,20.35,20.57,20.57,2063900
2003-11-20,20.39,20.54,20.2,20.22,20.22,1747900
2003-11-21,20.18,20.39,20.16,20.31,20.31,1474400
2003-11-24,20.39,20.64,20.25,20.58,20.58,1594600
2003-11-25,20.68,20.74,20.51,20.64,20.64,1799400
2003-11-26,20.7,20.71,20.44,20.65,20.65,2025200
2003-11-28,20.6,20.63,20.45,20.55,20.55,864800
2003-12-01,20.45,20.65,20.41,20.6,20.6,2071000
2003-12-02,20.52,20.63,20.36,20.42,20.42,2569400
2003-12-03,20.42,20.96,20.41,20.85,20.85,2517900
2003-12-04,20.85,21.14,20.82,21.12,21.12,2187000
2003-12-05,21.12,21.19,21.06,21.17,21.17,1670800
2003-12-08,21.08,21.17,21.06,21.12,21.12,1734000
2003-12-09,21.12,21.2,21.01,21.1,21.1,1603600
2003-12-10,21.01,21.05,20.56,20.7,20.7,1865600
2003-12-11,20.69,21.08,20.65,20.96,20.96,1408600
2003-12-12,21,21.13,20.91,20.95,20.95,2243200
2003-12-15,21.2,21.49,21.13,21.24,21.24,2824200
2003-12-16,21.18,21.25,21.13,21.2,21.2,1998400
2003-12-17,21.1,21.15,21.02,21.1,21.1,1978400
2003-12-18,21.05,21.25,21.02,21.19,21.19,2987200
2003-12-19,21.19,21.34,20.75,20.82,20.82,3962600
2003-12-22,20.85,21.03,20.77,21.01,21.01,3365600
2003-12-23,21,21.13,20.95,21.1,21.1,1884200
2003-12-24,20.96,21.05,20.85,21,21,940300
2003-12-26,20.93,21.03,20.9,20.96,20.96,588600
2003-12-29,21.07,21.46,21.05,21.46,21.46,2024200
2003-12-30,21.3,21.63,21.3,21.59,21.59,1561100
2003-12-31,21.65,21.75,21.57,21.71,21.71,1640600
2004-01-02,21.87,22,21.49,21.58,21.58,2672800
2004-01-05,21.71,21.85,21.4,21.78,21.78,2541900
2004-01-06,21.64,21.93,21.58,21.87,21.87,1686600
2004-01-07,21.77,21.8,21.35,21.59,21.59,2047800
2004-01-08,21.54,21.61,21.42,21.55,21.55,2277800
2004-01-09,21.4,21.55,21.39,21.49,21.49,2000800
2004-01-12,21.41,21.44,21.06,21.34,21.34,2062000
2004-01-13,21.26,21.36,20.9,21.01,21.01,2110000
2004-01-14,21.04,21.23,21.01,21.1,21.1,1619300
2004-01-15,21.15,21.18,20.98,21.18,21.18,1516700
2004-01-16,21.18,21.2,20.85,20.95,20.95,2810300
2004-01-20,21,21.5,20.91,21.5,21.5,2659000
2004-01-21,21.5,21.52,21.22,21.5,21.5,2787200
2004-01-22,21,21,20.3,20.49,20.49,7019300
2004-01-23,20.4,20.54,20.17,20.31,20.31,3729500
2004-01-26,20.35,20.52,20.27,20.39,20.39,3075500
2004-01-27,20.35,20.47,20.35,20.43,20.43,3268300
2004-01-28,20.35,21.06,20.3,20.73,20.73,3471700
2004-01-29,20.75,21.27,20.68,21.23,21.23,3162300
