Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,4.97,5.157,4.875,5.077,5.077,2615200
1998-01-02,5.11,5.532,5.015,5.5,5.5,1360800
1998-01-05,5.907,6.313,5.813,6.077,6.077,2655600
1998-01-06,6.125,6.125,5.75,6,6,1414800
1998-01-07,5.938,5.952,5.438,5.907,5.907,1362800
1998-01-08,5.75,5.845,5.625,5.657,5.657,394000
1998-01-09,5.657,5.72,5.188,5.25,5.25,1205200
1998-01-12,4.938,5.438,4.845,5.407,5.407,820800
1998-01-13,5.407,5.952,5.407,5.813,5.813,801200
1998-01-14,5.845,5.97,5.47,5.5,5.5,1006400
1998-01-15,5.532,5.532,5.095,5.188,5.188,1075200
1998-01-16,5.313,5.532,5.25,5.345,5.345,994800
1998-01-20,5.438,5.5,5.22,5.327,5.327,879200
1998-01-21,5.22,5.282,5.063,5.157,5.157,980800
1998-01-22,4.938,5.438,4.875,5,5,1326800
1998-01-23,5.032,5.282,5.032,5.188,5.188,996800
1998-01-26,5.188,5.188,4.875,4.907,4.907,1178000
1998-01-27,4.907,5.032,4.782,4.845,4.845,504800
1998-01-28,4.827,5.095,4.827,5.063,5.063,1379200
1998-01-29,5.095,5.095,4.97,5,5,798800
1998-01-30,5,5.095,4.97,5,5,313600
1998-02-02,5.157,5.375,5.063,5.188,5.188,910000
1998-02-03,5.188,5.345,5,5.14,5.14,535200
1998-02-04,5.157,5.157,5.032,5.032,5.032,524000
1998-02-05,5.095,5.313,5.015,5.103,5.103,1052000
1998-02-06,5.095,5.157,4.97,5.063,5.063,582800
1998-02-09,5.095,5.095,4.89,4.938,4.938,471600
1998-02-10,4.97,5.063,4.875,5.032,5.032,1182000
1998-02-11,5.063,5.532,5.063,5.5,5.5,2125200
1998-02-12,5.47,5.813,5.39,5.673,5.673,2367200
1998-02-13,5.688,5.907,5.563,5.688,5.688,1056400
1998-02-17,5.782,5.845,5.438,5.438,5.438,1329600
1998-02-18,5.375,5.5,5.345,5.407,5.407,1029600
1998-02-19,5.5,5.702,5.375,5.595,5.595,1198000
1998-02-20,5.595,5.875,5.595,5.782,5.782,1437200
1998-02-23,5.813,5.907,5.625,5.688,5.688,798000
1998-02-24,5.688,5.75,5.595,5.657,5.657,670400
1998-02-25,5.657,5.938,5.657,5.907,5.907,1372400
1998-02-26,5.907,6.173,5.907,6.095,6.095,1676000
1998-02-27,6.125,6.438,6.063,6.36,6.36,2811200
1998-03-02,6.375,6.563,6.235,6.282,6.282,2958400
1998-03-03,6.22,6.282,6.157,6.22,6.22,1147200
1998-03-04,6.202,6.375,6.173,6.313,6.313,622000
1998-03-05,6,6.032,5.875,5.97,5.97,1322800
1998-03-06,6,6.345,5.97,6.282,6.282,1009600
1998-03-09,6.22,6.375,6.063,6.095,6.095,1057600
1998-03-10,6.095,6.25,6.095,6.22,6.22,1773200
1998-03-11,6.22,6.25,6.157,6.173,6.173,744800
1998-03-12,6.157,6.282,6.095,6.25,6.25,502400
1998-03-13,6.25,6.407,6.22,6.25,6.25,722400
1998-03-16,6.25,6.313,6.188,6.22,6.22,562800
1998-03-17,6.25,6.313,6.095,6.157,6.157,1012400
1998-03-18,6.125,6.235,6.095,6.188,6.188,1113600
1998-03-19,6.125,6.22,6.125,6.188,6.188,384800
1998-03-20,6.188,6.282,6.157,6.235,6.235,2061200
1998-03-23,6.235,6.438,6.188,6.36,6.36,1103200
1998-03-24,6.407,6.438,6.313,6.36,6.36,724000
1998-03-25,6.423,6.423,6.22,6.25,6.25,943600
1998-03-26,6.327,6.327,6.188,6.235,6.235,2079200
1998-03-27,6.22,6.282,6.048,6.048,6.048,1592400
1998-03-30,6.048,6.157,5.845,5.938,5.938,548000
1998-03-31,5.907,6.22,5.907,6.22,6.22,1146000
