Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,7.595,7.75,7.577,7.625,7.625,1468000
1998-01-02,7.64,8.188,7.625,8.125,8.125,1701200
1998-01-05,8,8.063,7.735,7.845,7.845,2210800
1998-01-06,7.845,7.845,7.75,7.765,7.765,808000
1998-01-07,7.75,7.938,7.673,7.907,7.907,2767600
1998-01-08,7.938,7.952,7.735,7.89,7.89,1394000
1998-01-09,7.86,7.86,7.5,7.563,7.563,1290400
1998-01-12,7.265,7.485,7.265,7.39,7.39,1322800
1998-01-13,7.407,7.61,7.39,7.548,7.548,1547200
1998-01-14,7.61,8.033,7.407,7.875,7.875,3060400
1998-01-15,7.86,7.907,7.72,7.735,7.735,2712400
1998-01-16,7.813,7.813,7.688,7.72,7.72,2050000
1998-01-20,7.782,7.827,7.72,7.75,7.75,2436000
1998-01-21,7.765,8,7.765,7.907,7.907,1530400
1998-01-22,7.845,7.938,7.702,7.923,7.923,681600
1998-01-23,7.938,8.203,7.938,8.14,8.14,1297600
1998-01-26,8.203,8.22,8.033,8.033,8.033,1038400
1998-01-27,8.033,8.172,8.033,8.125,8.125,890800
1998-01-28,8.188,8.22,8.095,8.22,8.22,457200
1998-01-29,8.235,8.453,8.203,8.203,8.203,1240400
1998-01-30,8.158,8.313,8.015,8.125,8.125,659600
1998-02-02,8.188,8.625,8.188,8.578,8.578,1927200
1998-02-03,8.595,8.875,8.547,8.86,8.86,2369600
1998-02-04,8.875,9.033,8.783,8.797,8.797,2319600
1998-02-05,8.86,8.86,8.595,8.658,8.658,1070800
1998-02-06,8.595,8.813,8.595,8.72,8.72,717200
1998-02-09,8.735,8.735,8.39,8.485,8.485,1879200
1998-02-10,8.563,8.985,8.563,8.64,8.64,3468000
1998-02-11,8.64,8.813,8.625,8.672,8.672,1240400
1998-02-12,9,9.313,8.828,9.297,9.297,9996000
1998-02-13,9.283,9.5,9.095,9.095,9.095,6039600
1998-02-17,9.015,9.14,9.015,9.078,9.078,1500400
1998-02-18,9.11,9.235,9.033,9.11,9.11,1097600
1998-02-19,9,9,8.875,8.938,8.938,1338400
1998-02-20,9.015,9.015,8.875,8.922,8.922,924000
1998-02-23,9.015,9.063,8.97,9.047,9.047,1135200
1998-02-24,9.015,9.063,8.97,9.033,9.033,702400
1998-02-25,9.063,9.172,9.015,9.11,9.11,948400
1998-02-26,9.063,9.078,8.953,9.063,9.063,545600
1998-02-27,9.063,9.158,9.047,9.125,9.125,1063200
1998-03-02,9.095,9.158,9.063,9.125,9.125,1638000
1998-03-03,9.095,9.14,9.033,9.095,9.095,860800
1998-03-04,9.063,9.11,8.97,8.97,8.97,726400
1998-03-05,8.908,8.922,8.783,8.797,8.797,820000
1998-03-06,8.765,9,8.765,8.922,8.922,1068800
1998-03-09,8.89,9.063,8.86,9,9,1467200
1998-03-10,9.015,9.078,8.97,9.015,9.015,1495600
1998-03-11,9,9.063,8.908,8.97,8.97,2228400
1998-03-12,8.97,9,8.765,8.783,8.783,1466800
1998-03-13,8.845,9.408,8.828,9.36,9.36,2771200
1998-03-16,9.313,9.36,9.158,9.235,9.235,982400
1998-03-17,9.22,9.235,9.078,9.078,9.078,904000
1998-03-18,9.125,9.158,9.063,9.095,9.095,952000
1998-03-19,9.095,9.095,8.953,8.97,8.97,1132000
1998-03-20,8.938,8.97,8.813,8.875,8.875,1040400
1998-03-23,8.908,9.125,8.845,8.875,8.875,909600
1998-03-24,8.985,9.188,8.985,9.14,9.14,1178000
1998-03-25,9.22,9.438,9.14,9.14,9.14,2130400
1998-03-26,9.25,9.297,8.97,8.985,8.985,1386800
1998-03-27,9,9.078,8.625,8.703,8.703,1174000
1998-03-30,8.72,8.845,8.5,8.563,8.563,1061600
1998-03-31,8.578,8.688,8.345,8.36,8.36,1834000
1998-04-01,8.438,8.61,8.422,8.595,8.595,3930000
1998-04-02,8.61,8.703,8.563,8.672,8.672,1607200
1998-04-03,8.658,8.828,8.658,8.783,8.783,1416800
1998-04-06,8.783,8.797,8.64,8.75,8.75,1859600
1998-04-07,8.688,8.89,8.688,8.845,8.845,1577200
1998-04-08,8.908,8.938,8.845,8.89,8.89,1432400
1998-04-09,8.89,9.078,8.845,8.89,8.89,865600
1998-04-13,8.97,8.97,8.86,8.89,8.89,1456800
1998-04-14,8.875,8.97,8.845,8.89,8.89,1834400
1998-04-15,8.86,8.922,8.845,8.845,8.845,1375200
1998-04-16,8.813,8.875,8.625,8.688,8.688,1733600
1998-04-17,8.688,8.688,8.625,8.688,8.688,1388000
1998-04-20,8.658,8.845,8.64,8.813,8.813,1235200
1998-04-21,8.783,8.922,8.72,8.908,8.908,1223200
1998-04-22,8.938,9.047,8.86,8.908,8.908,1424800
1998-04-23,8.86,8.86,8.453,8.625,8.625,1649600
1998-04-24,8.563,8.563,8.36,8.453,8.453,1979200
