,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2002-12-11,11.5,12.0,11.25,11.5,5.8591,36719898
1,2002-12-12,11.5,11.59,11.02,11.18,5.696,9195600
2,2002-12-13,11.1,11.5,10.95,11.42,5.8183,7739400
3,2002-12-16,11.32,11.62,11.13,11.61,5.9151,3836400
4,2002-12-17,11.6,11.78,11.45,11.5,5.8591,2729900
5,2002-12-18,11.42,11.43,11.13,11.2,5.7062,2152800
6,2002-12-19,11.15,11.2,10.71,10.76,5.482,6450800
7,2002-12-20,10.85,10.94,10.56,10.81,5.5075,2930900
8,2002-12-23,10.71,10.71,10.2,10.4,5.2986,3455900
9,2002-12-24,10.4,10.45,10.0,10.24,5.2171,3302500
10,2002-12-26,10.05,10.2,10.0,10.03,5.1101,2019200
11,2002-12-27,10.0,10.13,9.86,10.13,5.1611,1639400
12,2002-12-30,10.22,10.55,10.0,10.47,5.3343,2742800
13,2002-12-31,10.3,10.96,10.3,10.73,5.4668,3730800
14,2003-01-02,10.75,10.76,10.25,10.5,5.3496,3473000
15,2003-01-03,10.5,10.75,10.33,10.75,5.477,1716600
16,2003-01-06,10.9,11.57,10.85,11.43,5.8234,4041400
17,2003-01-07,11.5,12.25,11.4,12.25,6.2412,6823500
18,2003-01-08,12.05,12.24,11.95,12.2,6.2157,4623100
19,2003-01-09,12.3,12.95,12.25,12.6,6.4195,9600300
20,2003-01-10,11.5,11.95,10.7,11.1,5.6553,7554700
21,2003-01-13,11.15,11.28,10.15,10.23,5.212,2834700
22,2003-01-14,10.23,10.35,10.0,10.25,5.2222,1629200
23,2003-01-15,10.36,10.88,10.19,10.77,5.4871,2588100
24,2003-01-16,10.98,11.1,10.78,11.01,5.6094,1443400
25,2003-01-17,10.98,11.0,10.4,10.8,5.5024,2000000
26,2003-01-21,10.9,10.98,10.21,10.24,5.2171,1165700
27,2003-01-22,10.34,10.34,9.3,9.52,4.8503,3488500
28,2003-01-23,9.75,10.15,9.61,10.0,5.0948,2498400
29,2003-01-24,10.17,10.43,9.8,9.95,5.0694,2772100
30,2003-01-27,9.8,9.9,9.32,9.35,4.7637,1150600
31,2003-01-28,9.43,9.71,9.4,9.4,4.7892,1267000
32,2003-01-29,9.42,9.92,9.4,9.73,4.9573,1174400
