,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1986-07-07,22.6664,22.6664,22.6664,22.6664,1.7094,1800
1,1986-07-08,22.6664,22.6664,22.6664,22.6664,1.7094,3600
2,1986-07-10,22.6664,22.6664,22.6664,22.6664,1.7094,5400
3,1986-07-11,22.6664,22.6664,22.6664,22.6664,1.7094,5400
4,1986-07-14,22.6664,23.1664,22.6664,22.6664,1.7094,36000
5,1986-07-15,22.1664,22.6664,22.1664,22.1664,1.6717,91800
6,1986-07-16,22.0,22.0832,22.0,22.0,1.6591,1450800
7,1986-07-17,22.1664,22.1664,22.0,22.1664,1.6717,196200
8,1986-07-18,22.1664,22.3336,22.0832,22.1664,1.6717,104400
9,1986-07-21,21.8336,22.0,21.8336,21.8336,1.6465,154800
10,1986-07-22,20.5,21.7504,20.1664,20.5,1.546,289800
11,1986-07-23,21.2504,21.3336,20.5,21.2504,1.6025,149400
12,1986-07-24,21.0,21.0832,20.6664,21.0,1.5837,144000
13,1986-07-25,21.0,21.0,20.6664,21.0,1.5837,95400
14,1986-07-28,20.5,20.8336,20.2504,20.5,1.546,190800
15,1986-07-29,20.5832,20.5832,20.4168,20.5832,1.5523,18000
16,1986-07-30,20.5,20.6664,20.4168,20.5,1.546,48600
17,1986-07-31,21.2504,21.5,20.6664,21.2504,1.6025,178200
18,1986-08-01,21.6664,22.0,21.1664,21.6664,1.634,198000
19,1986-08-04,21.3336,21.7504,21.3336,21.3336,1.6088,153000
20,1986-08-05,21.8336,21.8336,21.5,21.8336,1.6465,46800
21,1986-08-06,21.7504,21.7504,21.6664,21.7504,1.6402,19800
22,1986-08-07,22.2504,22.2504,21.5832,22.2504,1.6779,93600
23,1986-08-08,22.1664,22.3336,22.0,22.1664,1.6717,84600
24,1986-08-11,22.0,22.3336,22.0,22.0,1.6591,59400
25,1986-08-12,22.6664,22.6664,22.0,22.6664,1.7094,86400
26,1986-08-13,23.4168,23.5,23.0,23.4168,1.7659,108000
27,1986-08-14,23.8336,23.8336,23.1664,23.8336,1.7973,336600
28,1986-08-15,24.9168,24.9168,23.8336,24.9168,1.879,241200
29,1986-08-18,24.5832,24.7504,24.5832,24.5832,1.8539,228600
30,1986-08-19,23.8336,24.5,23.8336,23.8336,1.7973,88200
31,1986-08-20,23.3336,23.7504,23.2504,23.3336,1.7596,41400
32,1986-08-21,23.4168,23.4168,23.0832,23.4168,1.7659,199800
33,1986-08-22,23.0832,23.4168,23.0832,23.0832,1.7408,55800
34,1986-08-25,22.9168,22.9168,22.7504,22.9168,1.7282,70200
35,1986-08-26,22.8336,22.8336,22.7504,22.8336,1.7219,190800
36,1986-08-27,22.6664,22.7504,22.5,22.6664,1.7094,99000
37,1986-08-28,22.4168,22.5832,22.4168,22.4168,1.6905,140400
38,1986-08-29,22.0832,22.2504,22.0832,22.0832,1.6654,28800
39,1986-09-02,22.0,22.1664,22.0,22.0,1.6591,54000
40,1986-09-03,22.0,22.0,22.0,22.0,1.6591,14400
41,1986-09-04,22.0,22.0,21.8336,22.0,1.6591,9000
42,1986-09-05,22.4168,22.4168,22.0,22.4168,1.6905,18000
43,1986-09-08,21.8336,22.2504,21.8336,21.8336,1.6465,64800
44,1986-09-09,20.6664,21.6664,20.5832,20.6664,1.5585,86400
45,1986-09-10,20.1664,20.9168,20.1664,20.1664,1.5208,77400
46,1986-09-11,19.3336,20.0,19.3336,19.3336,1.458,156600
47,1986-09-12,19.1664,19.3336,19.0832,19.1664,1.4454,46800
48,1986-09-15,18.6664,19.0,18.5832,18.6664,1.4077,124200
49,1986-09-16,18.6664,18.8336,18.5,18.6664,1.4077,72000
50,1986-09-17,18.8336,18.8336,18.8336,18.8336,1.4203,7200
51,1986-09-18,19.1664,19.1664,19.0,19.1664,1.4454,23400
52,1986-09-19,19.8336,20.1664,19.3336,19.8336,1.4957,133200
53,1986-09-22,20.0832,20.1664,19.8336,20.0832,1.5145,187200
54,1986-09-23,20.0832,20.0832,20.0,20.0832,1.5145,52200
55,1986-09-24,19.7504,20.0,19.7504,19.7504,1.4894,23400
56,1986-09-25,19.3336,19.6664,19.3336,19.3336,1.458,34200
57,1986-09-26,18.6664,19.1664,18.6664,18.6664,1.4077,19800
58,1986-09-29,18.5,18.8336,18.5,18.5,1.3951,50400
59,1986-09-30,18.8336,18.8336,18.6664,18.8336,1.4203,48600
60,1986-10-01,19.0832,19.0832,19.0,19.0832,1.4391,5400
61,1986-10-02,19.2504,19.2504,19.1664,19.2504,1.4517,3600
62,1986-10-03,18.9168,19.3336,18.9168,18.9168,1.4266,55800
63,1986-10-06,19.0,19.0832,18.8336,19.0,1.4329,23400
64,1986-10-07,19.1664,19.1664,18.6664,19.1664,1.4454,34200
65,1986-10-08,19.2504,19.2504,19.0,19.2504,1.4517,27000
66,1986-10-09,19.0,19.0,19.0,19.0,1.4329,10800
67,1986-10-10,18.3336,18.9168,18.3336,18.3336,1.3826,43200
68,1986-10-13,18.1664,18.1664,18.0,18.1664,1.37,32400
69,1986-10-14,18.1664,18.1664,18.0,18.1664,1.37,39600
70,1986-10-15,18.6664,18.6664,18.1664,18.6664,1.4077,48600
71,1986-10-16,18.6664,18.6664,18.5,18.6664,1.4077,32400
72,1986-10-17,18.5,18.6664,18.3336,18.5,1.3951,52200
73,1986-10-20,18.5,18.5,18.5,18.5,1.3951,1800
74,1986-10-21,18.0,18.5,17.8336,18.0,1.3574,203400
75,1986-10-22,18.0,18.0,17.6664,18.0,1.3574,36000
76,1986-10-23,18.0832,18.3336,17.9168,18.0832,1.3637,126000
77,1986-10-24,18.3336,18.3336,18.2504,18.3336,1.3826,18000
78,1986-10-27,18.5,18.7504,18.3336,18.5,1.3951,135000
79,1986-10-28,18.6664,18.8336,18.5,18.6664,1.4077,32400
80,1986-10-29,18.5,18.5,18.2504,18.5,1.3951,111600
81,1986-10-30,17.9168,18.5,17.6664,17.9168,1.3512,302400
82,1986-10-31,18.0,18.0,17.8336,18.0,1.3574,12600
83,1986-11-03,18.6664,18.6664,18.1664,18.6664,1.4077,37800
84,1986-11-04,18.3336,19.0,18.3336,18.3336,1.3826,136800
85,1986-11-05,18.5,18.5,18.5,18.5,1.3951,1800
86,1986-11-07,18.4168,18.4168,18.4168,18.4168,1.3889,1800
87,1986-11-10,18.1664,18.5,18.1664,18.1664,1.37,12600
88,1986-11-11,17.8336,18.1664,17.8336,17.8336,1.3449,28800
89,1986-11-12,17.1664,17.6664,17.1664,17.1664,1.2946,50400
