Date,Open,High,Low,Close,Adjusted_close,Volume
2012-09-20,23.4,23.81,22.52,22.91,9.3449,4901187
2012-09-21,23.33,23.4,22.8,23.08,9.4142,630949
2012-09-24,23.25,23.36,22.89,23.03,9.3939,291457
2012-09-25,23,23.15,22.89,23.09,9.4183,252758
2012-09-26,23.16,23.38,22.89,23.31,9.5081,87351
2012-09-27,23.3,23.5,23.1,23.4,9.5448,200324
2012-09-28,23.39,24.1,23.39,23.9994,9.7893,90538
2012-10-01,24.24,24.43,23.62,23.9,9.7487,253243
2012-10-02,23.9,24.03,23.65,23.77,9.6957,77834
2012-10-03,23.99,23.99,23.09,23.45,9.5652,157899
2012-10-04,23.79,23.97,23.4,23.84,9.7242,63597
2012-10-05,23.86,25.22,23.73,24.32,9.92,173528
2012-10-08,24.36,24.49,23.7,23.81,9.712,109475
2012-10-09,23.95,24.17,23.53,23.81,9.712,75037
2012-10-10,24,24.19,23.8405,24.1,9.8303,105925
2012-10-11,24.34,24.38,24.171,24.32,9.92,81033
2012-10-12,24.49,25.44,24.48,24.94,10.1729,498271
2012-10-15,25.73,26,25.2,25.28,10.3116,209738
2012-10-16,25.57,26.34,24.91,25.26,10.3035,272661
2012-10-17,25.4,25.46,24.96,25.01,10.2015,176914
2012-10-18,24.91,25.56,24.8067,25.21,10.2831,282456
2012-10-19,25.35,25.54,25.02,25.11,10.2423,337625
2012-10-22,25.2,25.505,25.02,25.1,10.2382,263650
2012-10-23,24.85,25.35,24.81,24.9,10.1566,131428
2012-10-24,24.9,25.25,24.5,24.5,9.9935,241967
2012-10-25,24.61,24.95,24.32,24.35,9.9323,109250
2012-10-26,24.48,24.79,24.21,24.4,9.9527,159856
2012-10-31,25.24,25.7,24.35,24.58,10.0261,188066
2012-11-01,24.93,25.25,24.405,24.61,10.0383,153087
2012-11-02,24.79,24.98,23.9,24.08,9.8221,183360
2012-11-05,24.25,24.5,23.76,23.91,9.7528,180967
2012-11-06,23.91,24.275,23.8,23.92,9.7569,118080
2012-11-07,24.13,24.4339,23.65,24.22,9.8792,80629
2012-11-08,24.36,24.64,24.04,24.34,9.9282,95126
2012-11-09,24.21,24.837,24.1,24.76,10.0995,80095
2012-11-12,24.97,25.96,24.9101,25.96,10.589,159508
2012-11-13,25.7,25.9853,25.11,25.31,10.3239,118438
2012-11-14,25.44,25.44,24.43,24.66,10.0587,114838
2012-11-15,24.6,24.98,23.79,24.15,9.8621,108856
2012-11-16,24.15,25.07,23.7901,24.46,9.9887,74659
2012-11-19,24.7,25.09,24.18,24.41,9.9683,128296
2012-11-20,24.5,24.66,24.09,24.11,9.8458,84618
2012-11-21,24.26,24.4432,24.095,24.33,9.9356,36596
2012-11-23,24.3,24.43,24.06,24.3203,9.9316,27449
2012-11-26,24.19,24.29,23.95,24.23,9.8948,23348
2012-11-27,24.27,24.44,24.15,24.2,9.8825,34505
2012-11-28,24.3,24.75,24.13,24.55,10.0254,37497
2012-11-29,24.75,24.8945,24.32,24.49,10.0009,32061
2012-11-30,24.38,25.28,24.38,24.97,10.197,107022
2012-12-03,25.29,25.5,25.02,25.25,10.3113,84357
2012-12-04,25.15,25.25,24.78,24.85,10.148,205703
2012-12-05,25.22,25.4,24.98,25.23,10.3031,68723
2012-12-06,25.18,25.2469,24.71,24.75,10.1071,50131
2012-12-07,24.73,25.17,24.73,24.98,10.201,42161
2012-12-10,25.15,25.18,24.85,24.85,10.148,34362
2012-12-11,25,25.05,24.88,24.88,10.1602,43972
2012-12-12,24.88,25.3,24.38,24.48,9.9969,60546
2012-12-13,24.44,24.8784,24.32,24.49,10.0009,47268
2012-12-14,24.68,25,24.52,24.58,10.0377,43664
2012-12-17,24.8,25.19,24.72,24.9,10.1684,49505
2012-12-18,24.95,25.44,24.74,24.91,10.1725,43755
2012-12-19,25.06,25.32,24.82,25.1,10.25,35631
2012-12-20,24.84,25.53,24.84,24.97,10.197,40767
2012-12-21,25.03,25.36,24.77,24.9,10.1684,96119
2012-12-24,25.27,25.29,24.76,25.17,10.2786,18312
2012-12-26,25.06,25.26,24.85,24.93,10.1806,32930
2012-12-27,24.91,25.21,24.77,24.91,10.1725,79204
2012-12-28,24.93,25.1,24.71,24.87,10.1561,150425
2012-12-31,24.99,25.24,24.87,25.16,10.2745,39455
2013-01-02,25.42,26,25.42,25.99,10.6135,82752
2013-01-03,25.95,27,25.66,26.86,10.9688,43948
2013-01-04,26.47,26.85,25.98,26.76,10.9279,60654
2013-01-07,26.78,26.97,26.27,26.81,10.9484,36788
2013-01-08,26.9,27.47,26.81,27.22,11.1158,73140
2013-01-09,27.47,28.4,27.18,28.3,11.5568,123133
2013-01-10,28.27,28.89,27.91,28.64,11.6957,74083
2013-01-11,28.64,28.986,28.28,28.71,11.7243,93704
2013-01-14,28.77,28.95,28.05,28.79,11.7569,79192
2013-01-15,28.46,28.92,28.43,28.68,11.712,31283
2013-01-16,28.81,29.2499,28.74,29.11,11.8876,98186
2013-01-17,29.25,30.1186,28.53,28.72,11.7283,90714
2013-01-18,28.62,29.409,28.62,28.97,11.8304,38525
2013-01-22,28.96,29.37,28.94,28.99,11.8386,30306
2013-01-23,28.93,29.13,28.825,28.88,11.7937,13434
2013-01-24,29.01,29.14,28.844,28.93,11.8141,17006
2013-01-25,29.06,29.14,28.75,28.95,11.8223,38301
2013-01-28,29.05,29.05,28.81,28.93,11.8141,16102
2013-01-29,29.06,29.11,28.86,28.88,11.7937,26259
2013-01-30,28.83,29.12,28.75,28.75,11.7406,36136
2013-01-31,28.65,29.12,28.65,29,11.8427,60833
2013-02-01,28.99,29.12,27.52,27.98,11.4261,359087
2013-02-04,28,28.13,27.9,27.93,11.4057,24388
2013-02-05,27.97,28.47,27.97,28.41,11.6017,30887
2013-02-06,28.41,28.9098,28.31,28.81,11.7651,21920
2013-02-07,28.56,28.95,28.4402,28.6599,11.7038,22654
2013-02-08,28.5,29.2,28.5,29.13,11.8958,19852
2013-02-11,29.13,29.13,28.84,29,11.8427,33001
2013-02-12,29.29,29.29,28.39,28.43,11.6099,45121
2013-02-13,28.68,29.29,28,28.3,11.5568,81546
2013-02-14,27.67,28.748,27.61,27.75,11.5102,71178
2013-02-15,27.98,28.01,26.52,26.71,11.0788,180902
2013-02-19,26.78,28.48,25.85,28.37,11.7673,417865
2013-02-20,28.37,28.73,27.555,27.71,11.4936,69449
2013-02-21,27.37,27.63,26.84,27.45,11.3857,104825
2013-02-22,27.42,27.99,27.42,27.95,11.5931,55143
2013-02-25,28.18,29.02,27.89,28.31,11.7424,84483
2013-02-26,28.4,29.25,28.12,29.25,12.1323,181090
2013-02-27,29.05,29.59,28.29,28.69,11.9001,129175
2013-02-28,28.77,29.232,28.77,29.14,12.0867,74911
2013-03-01,29.08,29.436,28.92,29.39,12.1904,36250
2013-03-04,29.55,29.83,29.22,29.63,12.2899,111134
2013-03-05,29.6,30.14,29.54,30.1,12.4849,67327
2013-03-06,30.42,30.96,30.42,30.86,12.8001,43056
2013-03-07,30.86,30.86,30.14,30.79,12.7711,39647
2013-03-08,30.89,30.96,30.59,30.82,12.7835,34304
2013-03-11,30.96,30.98,30.51,30.98,12.8499,37056
2013-03-12,30.95,31.26,30.641,31.26,12.966,27829
2013-03-13,31.3,31.5,30.81,31.42,13.0324,49755
2013-03-14,31.32,31.75,31.25,31.66,13.132,18094
2013-03-15,31.66,31.93,31.66,31.8,13.19,23402
2013-03-18,31.44,31.65,31.11,31.3,12.9826,46244
2013-03-19,31.4,31.83,31.4,31.65,13.1278,52518
2013-03-20,31.77,32.48,31.77,32.04,13.2896,46804
2013-03-21,32,32.45,31.815,32.42,13.4472,51515
2013-03-22,32.4,33.41,32.21,32.39,13.4347,34933
2013-03-25,32.46,32.7782,31.99,32.43,13.4513,36777
2013-03-26,32.61,33.04,32.062,32.84,13.6214,17602
2013-03-27,32.65,32.96,32.03,32.6,13.5218,78048
2013-03-28,32.7,32.89,32.161,32.5,13.4804,22453
