,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,30.94,31.625,30.75,31.625,31.625,2981500
1,1998-01-02,31.315,31.44,30.69,31.44,31.44,2261700
2,1998-01-05,31.44,31.5,30.75,31.03,31.03,1486500
3,1998-01-06,31.28,31.47,30.5,30.905,30.905,1568900
4,1998-01-07,30.905,31.47,30.815,31.44,31.44,2055300
5,1998-01-08,31.47,32.095,30.97,32.0,32.0,1981600
6,1998-01-09,32.095,32.345,31.5,31.78,31.78,2742700
7,1998-01-12,31.0,31.69,30.875,31.69,31.69,2010400
8,1998-01-13,31.94,31.94,31.405,31.53,31.53,1543500
9,1998-01-14,31.53,31.97,31.25,31.875,31.875,1055800
10,1998-01-15,31.78,31.94,31.69,31.815,31.815,695200
11,1998-01-16,31.97,32.47,31.815,32.44,32.44,1185600
12,1998-01-20,32.44,32.44,31.78,32.375,32.375,1594400
13,1998-01-21,32.47,32.47,32.03,32.47,32.47,1021400
14,1998-01-22,32.47,32.875,32.375,32.625,32.625,2102900
15,1998-01-23,32.5,32.69,32.155,32.19,32.19,1500100
16,1998-01-26,32.22,32.28,31.75,32.28,32.28,1534800
17,1998-01-27,32.155,32.375,31.94,32.065,32.065,888700
18,1998-01-28,32.095,32.44,32.095,32.44,32.44,1354000
19,1998-01-29,32.815,33.44,32.815,32.905,32.905,3570400
20,1998-01-30,33.25,33.44,33.065,33.22,33.22,2916900
21,1998-02-02,33.595,34.125,33.565,34.0,34.0,2395500
22,1998-02-03,33.75,34.25,33.53,34.25,34.25,2507200
23,1998-02-04,34.03,34.22,33.53,34.03,34.03,1169100
24,1998-02-05,34.065,34.28,33.815,34.155,34.155,1803500
25,1998-02-06,34.155,34.19,33.69,33.94,33.94,1121700
26,1998-02-09,34.125,34.19,33.875,34.0,34.0,675300
27,1998-02-10,34.0,34.595,33.94,34.47,34.47,1260900
28,1998-02-11,34.5,34.53,34.125,34.315,34.315,1202600
29,1998-02-12,34.25,34.905,34.19,34.845,34.845,628400
30,1998-02-13,34.72,34.905,34.405,34.53,34.53,1011100
31,1998-02-17,34.565,34.78,34.125,34.22,34.22,1681800
32,1998-02-18,34.22,34.875,34.065,34.53,34.53,1112100
33,1998-02-19,34.655,35.155,34.5,35.065,35.065,1211900
34,1998-02-20,35.095,35.75,34.875,35.69,35.69,1476200
35,1998-02-23,35.655,36.0,35.625,35.72,35.72,1295500
36,1998-02-24,35.5,35.565,34.94,35.22,35.22,2040800
37,1998-02-25,35.125,35.315,35.03,35.25,35.25,1829400
38,1998-02-26,35.63,35.69,34.06,35.19,35.19,685150
39,1998-02-27,34.75,35.25,34.63,34.88,34.88,1300200
40,1998-03-02,35.25,35.63,34.94,35.38,35.38,1185700
41,1998-03-03,35.88,36.06,35.44,35.88,35.88,1208700
42,1998-03-04,35.94,36.25,34.75,35.31,35.31,1040000
43,1998-03-05,35.06,35.44,34.63,34.88,34.88,650900
44,1998-03-06,34.81,35.5,34.63,35.5,35.5,1053000
45,1998-03-09,35.44,35.81,35.06,35.81,35.81,848700
46,1998-03-10,35.63,35.63,35.31,35.5,35.5,694400
47,1998-03-11,35.5,35.88,35.25,35.69,35.69,613600
48,1998-03-12,35.69,35.81,35.06,35.38,35.38,592100
49,1998-03-13,35.69,36.31,35.56,35.63,35.63,1128200
50,1998-03-16,35.69,36.38,35.69,36.0,36.0,587500
51,1998-03-17,35.88,35.88,35.31,35.5,35.5,697900
52,1998-03-18,35.31,35.94,35.31,35.5,35.5,756700
53,1998-03-19,35.69,35.94,35.31,35.56,35.56,521900
54,1998-03-20,36.06,36.06,35.38,35.94,35.94,640800
55,1998-03-23,35.69,35.75,34.63,35.13,35.13,1243600
56,1998-03-24,35.13,36.19,35.13,35.69,35.69,1631300
57,1998-03-25,35.69,36.69,35.69,36.25,36.25,1309300
58,1998-03-26,36.25,36.69,36.06,36.69,36.69,1032100
59,1998-03-27,37.0,37.25,35.44,35.63,35.63,1322900
60,1998-03-30,35.31,36.06,35.25,36.06,36.06,710700
61,1998-03-31,36.25,37.5,36.25,37.0,37.0,1188200
62,1998-04-01,38.94,39.69,38.56,39.0,39.0,5361800
63,1998-04-02,39.5,39.69,38.63,39.0,39.0,2220100
64,1998-04-03,39.13,39.69,39.06,39.5,39.5,1914400
65,1998-04-06,39.5,39.88,39.31,39.38,39.38,858000
66,1998-04-07,39.38,39.44,38.56,38.88,38.88,959100
67,1998-04-08,38.75,39.25,38.25,38.5,38.5,1131900
68,1998-04-09,38.5,38.81,38.06,38.5,38.5,972500
69,1998-04-13,38.13,38.69,38.06,38.38,38.38,785800
70,1998-04-14,38.63,39.19,38.44,38.81,38.81,995500
71,1998-04-15,39.0,39.13,38.25,38.88,38.88,878300
72,1998-04-16,39.75,39.75,38.0,38.5,38.5,1119800
73,1998-04-17,38.75,39.13,38.13,38.44,38.44,968000
74,1998-04-20,39.0,39.13,37.25,37.44,37.44,1426000
75,1998-04-21,37.63,37.69,37.13,37.44,37.44,1372100
76,1998-04-22,37.44,37.56,36.38,36.5,36.5,1753900
77,1998-04-23,36.25,37.44,35.75,36.81,36.81,1262000
78,1998-04-24,37.0,37.38,36.31,36.5,36.5,794100
79,1998-04-27,35.13,36.0,35.0,35.56,35.56,1648100
80,1998-04-28,35.69,36.31,35.56,35.56,35.56,1173500
81,1998-04-29,36.13,38.5,36.13,37.75,37.75,2589900
82,1998-04-30,38.38,38.38,37.38,38.13,38.13,1847700
83,1998-05-01,38.06,38.94,38.06,38.88,38.88,660600
84,1998-05-04,38.88,39.0,38.63,39.0,39.0,679700
85,1998-05-05,38.75,38.94,38.63,38.63,38.63,1032700
86,1998-05-06,38.56,38.81,38.0,38.0,38.0,884800
87,1998-05-07,38.31,38.31,37.0,37.06,37.06,1488000
88,1998-05-08,36.25,37.06,36.25,36.69,36.69,1387500
89,1998-05-11,36.69,37.56,36.69,37.19,37.19,805900
90,1998-05-12,37.06,37.25,36.75,37.25,37.25,581300
91,1998-05-13,37.5,37.81,36.88,37.19,37.19,1000200
92,1998-05-14,36.81,38.56,36.81,38.19,38.19,1336400
93,1998-05-15,37.13,38.31,37.13,37.75,37.75,1322100
94,1998-05-18,37.81,38.44,37.81,38.44,38.44,736400
95,1998-05-19,38.69,38.81,37.25,37.81,37.81,1006800
96,1998-05-20,36.88,36.94,36.88,36.94,36.94,1362900
97,1998-05-21,37.19,37.25,36.38,36.69,36.69,837900
98,1998-05-22,36.63,36.69,36.06,36.5,36.5,1537700
99,1998-05-26,36.75,36.88,35.06,35.69,35.69,1885800
100,1998-05-27,34.0,36.81,34.0,36.56,36.56,2078500
101,1998-05-28,36.44,36.69,36.31,36.5,36.5,653000
102,1998-05-29,36.63,36.88,36.25,36.44,36.44,776200
103,1998-06-01,36.44,37.56,36.44,37.25,37.25,753900
104,1998-06-02,37.25,38.06,37.0,37.94,37.94,1328200
105,1998-06-03,39.5,39.5,38.38,38.88,38.88,1583000
106,1998-06-04,38.94,39.38,38.5,38.81,38.81,846800
107,1998-06-05,38.56,39.38,38.56,38.56,38.56,987000
108,1998-06-08,38.75,38.94,38.63,38.69,38.69,704500
109,1998-06-09,38.88,39.81,38.25,39.44,39.44,1272300
110,1998-06-10,39.25,39.5,38.87,39.37,39.37,900200
111,1998-06-11,39.19,40.44,39.0,39.19,39.19,1092100
112,1998-06-12,39.31,39.63,38.13,39.19,39.19,683500
113,1998-06-15,39.44,39.44,38.56,38.94,38.94,1148600
114,1998-06-16,39.13,39.25,38.13,38.94,38.94,1685200
115,1998-06-17,39.44,39.5,39.06,39.44,39.44,796800
116,1998-06-18,39.31,40.25,39.06,40.06,40.06,1035900
117,1998-06-19,40.31,40.31,39.69,40.06,40.06,722600
118,1998-06-22,40.06,41.31,40.06,40.25,40.25,1184000
119,1998-06-23,40.38,41.0,40.31,40.56,40.56,929600
120,1998-06-24,40.94,40.94,40.25,40.69,40.69,1095600
121,1998-06-25,40.94,41.06,40.56,40.69,40.69,963100
122,1998-06-26,40.88,41.25,40.75,40.81,40.81,678200
123,1998-06-29,40.88,41.63,40.81,41.25,41.25,559100
