Date,Open,High,Low,Close,Adjusted_close,Volume
1997-12-31,30.94,31.625,30.75,31.625,31.625,2981500
1998-01-02,31.315,31.44,30.69,31.44,31.44,2261700
1998-01-05,31.44,31.5,30.75,31.03,31.03,1486500
1998-01-06,31.28,31.47,30.5,30.905,30.905,1568900
1998-01-07,30.905,31.47,30.815,31.44,31.44,2055300
1998-01-08,31.47,32.095,30.97,32,32,1981600
1998-01-09,32.095,32.345,31.5,31.78,31.78,2742700
1998-01-12,31,31.69,30.875,31.69,31.69,2010400
1998-01-13,31.94,31.94,31.405,31.53,31.53,1543500
1998-01-14,31.53,31.97,31.25,31.875,31.875,1055800
1998-01-15,31.78,31.94,31.69,31.815,31.815,695200
1998-01-16,31.97,32.47,31.815,32.44,32.44,1185600
1998-01-20,32.44,32.44,31.78,32.375,32.375,1594400
1998-01-21,32.47,32.47,32.03,32.47,32.47,1021400
1998-01-22,32.47,32.875,32.375,32.625,32.625,2102900
1998-01-23,32.5,32.69,32.155,32.19,32.19,1500100
1998-01-26,32.22,32.28,31.75,32.28,32.28,1534800
1998-01-27,32.155,32.375,31.94,32.065,32.065,888700
1998-01-28,32.095,32.44,32.095,32.44,32.44,1354000
1998-01-29,32.815,33.44,32.815,32.905,32.905,3570400
1998-01-30,33.25,33.44,33.065,33.22,33.22,2916900
1998-02-02,33.595,34.125,33.565,34,34,2395500
1998-02-03,33.75,34.25,33.53,34.25,34.25,2507200
1998-02-04,34.03,34.22,33.53,34.03,34.03,1169100
1998-02-05,34.065,34.28,33.815,34.155,34.155,1803500
1998-02-06,34.155,34.19,33.69,33.94,33.94,1121700
1998-02-09,34.125,34.19,33.875,34,34,675300
1998-02-10,34,34.595,33.94,34.47,34.47,1260900
1998-02-11,34.5,34.53,34.125,34.315,34.315,1202600
1998-02-12,34.25,34.905,34.19,34.845,34.845,628400
1998-02-13,34.72,34.905,34.405,34.53,34.53,1011100
1998-02-17,34.565,34.78,34.125,34.22,34.22,1681800
1998-02-18,34.22,34.875,34.065,34.53,34.53,1112100
1998-02-19,34.655,35.155,34.5,35.065,35.065,1211900
1998-02-20,35.095,35.75,34.875,35.69,35.69,1476200
1998-02-23,35.655,36,35.625,35.72,35.72,1295500
1998-02-24,35.5,35.565,34.94,35.22,35.22,2040800
1998-02-25,35.125,35.315,35.03,35.25,35.25,1829400
1998-02-26,35.63,35.69,34.06,35.19,35.19,685150
1998-02-27,34.75,35.25,34.63,34.88,34.88,1300200
1998-03-02,35.25,35.63,34.94,35.38,35.38,1185700
1998-03-03,35.88,36.06,35.44,35.88,35.88,1208700
1998-03-04,35.94,36.25,34.75,35.31,35.31,1040000
1998-03-05,35.06,35.44,34.63,34.88,34.88,650900
1998-03-06,34.81,35.5,34.63,35.5,35.5,1053000
1998-03-09,35.44,35.81,35.06,35.81,35.81,848700
1998-03-10,35.63,35.63,35.31,35.5,35.5,694400
1998-03-11,35.5,35.88,35.25,35.69,35.69,613600
1998-03-12,35.69,35.81,35.06,35.38,35.38,592100
1998-03-13,35.69,36.31,35.56,35.63,35.63,1128200
1998-03-16,35.69,36.38,35.69,36,36,587500
1998-03-17,35.88,35.88,35.31,35.5,35.5,697900
1998-03-18,35.31,35.94,35.31,35.5,35.5,756700
1998-03-19,35.69,35.94,35.31,35.56,35.56,521900
1998-03-20,36.06,36.06,35.38,35.94,35.94,640800
1998-03-23,35.69,35.75,34.63,35.13,35.13,1243600
1998-03-24,35.13,36.19,35.13,35.69,35.69,1631300
1998-03-25,35.69,36.69,35.69,36.25,36.25,1309300
1998-03-26,36.25,36.69,36.06,36.69,36.69,1032100
1998-03-27,37,37.25,35.44,35.63,35.63,1322900
1998-03-30,35.31,36.06,35.25,36.06,36.06,710700
1998-03-31,36.25,37.5,36.25,37,37,1188200
1998-04-01,38.94,39.69,38.56,39,39,5361800
1998-04-02,39.5,39.69,38.63,39,39,2220100
1998-04-03,39.13,39.69,39.06,39.5,39.5,1914400
1998-04-06,39.5,39.88,39.31,39.38,39.38,858000
1998-04-07,39.38,39.44,38.56,38.88,38.88,959100
1998-04-08,38.75,39.25,38.25,38.5,38.5,1131900
1998-04-09,38.5,38.81,38.06,38.5,38.5,972500
1998-04-13,38.13,38.69,38.06,38.38,38.38,785800
1998-04-14,38.63,39.19,38.44,38.81,38.81,995500
1998-04-15,39,39.13,38.25,38.88,38.88,878300
1998-04-16,39.75,39.75,38,38.5,38.5,1119800
1998-04-17,38.75,39.13,38.13,38.44,38.44,968000
1998-04-20,39,39.13,37.25,37.44,37.44,1426000
1998-04-21,37.63,37.69,37.13,37.44,37.44,1372100
1998-04-22,37.44,37.56,36.38,36.5,36.5,1753900
1998-04-23,36.25,37.44,35.75,36.81,36.81,1262000
1998-04-24,37,37.38,36.31,36.5,36.5,794100
1998-04-27,35.13,36,35,35.56,35.56,1648100
1998-04-28,35.69,36.31,35.56,35.56,35.56,1173500
1998-04-29,36.13,38.5,36.13,37.75,37.75,2589900
1998-04-30,38.38,38.38,37.38,38.13,38.13,1847700
1998-05-01,38.06,38.94,38.06,38.88,38.88,660600
1998-05-04,38.88,39,38.63,39,39,679700
1998-05-05,38.75,38.94,38.63,38.63,38.63,1032700
1998-05-06,38.56,38.81,38,38,38,884800
1998-05-07,38.31,38.31,37,37.06,37.06,1488000
1998-05-08,36.25,37.06,36.25,36.69,36.69,1387500
1998-05-11,36.69,37.56,36.69,37.19,37.19,805900
1998-05-12,37.06,37.25,36.75,37.25,37.25,581300
1998-05-13,37.5,37.81,36.88,37.19,37.19,1000200
1998-05-14,36.81,38.56,36.81,38.19,38.19,1336400
1998-05-15,37.13,38.31,37.13,37.75,37.75,1322100
1998-05-18,37.81,38.44,37.81,38.44,38.44,736400
1998-05-19,38.69,38.81,37.25,37.81,37.81,1006800
1998-05-20,36.88,36.94,36.88,36.94,36.94,1362900
1998-05-21,37.19,37.25,36.38,36.69,36.69,837900
1998-05-22,36.63,36.69,36.06,36.5,36.5,1537700
1998-05-26,36.75,36.88,35.06,35.69,35.69,1885800
1998-05-27,34,36.81,34,36.56,36.56,2078500
1998-05-28,36.44,36.69,36.31,36.5,36.5,653000
1998-05-29,36.63,36.88,36.25,36.44,36.44,776200
1998-06-01,36.44,37.56,36.44,37.25,37.25,753900
1998-06-02,37.25,38.06,37,37.94,37.94,1328200
1998-06-03,39.5,39.5,38.38,38.88,38.88,1583000
1998-06-04,38.94,39.38,38.5,38.81,38.81,846800
1998-06-05,38.56,39.38,38.56,38.56,38.56,987000
1998-06-08,38.75,38.94,38.63,38.69,38.69,704500
1998-06-09,38.88,39.81,38.25,39.44,39.44,1272300
1998-06-10,39.25,39.5,38.87,39.37,39.37,900200
1998-06-11,39.19,40.44,39,39.19,39.19,1092100
1998-06-12,39.31,39.63,38.13,39.19,39.19,683500
1998-06-15,39.44,39.44,38.56,38.94,38.94,1148600
1998-06-16,39.13,39.25,38.13,38.94,38.94,1685200
1998-06-17,39.44,39.5,39.06,39.44,39.44,796800
1998-06-18,39.31,40.25,39.06,40.06,40.06,1035900
1998-06-19,40.31,40.31,39.69,40.06,40.06,722600
1998-06-22,40.06,41.31,40.06,40.25,40.25,1184000
1998-06-23,40.38,41,40.31,40.56,40.56,929600
1998-06-24,40.94,40.94,40.25,40.69,40.69,1095600
1998-06-25,40.94,41.06,40.56,40.69,40.69,963100
1998-06-26,40.88,41.25,40.75,40.81,40.81,678200
1998-06-29,40.88,41.63,40.81,41.25,41.25,559100
1998-06-30,42,42.94,40.69,40.69,40.69,1834200
1998-07-01,41.38,42.25,41.38,41.69,41.69,1013200
1998-07-02,41.63,42.81,41.19,42.5,42.5,998900
1998-07-06,42.56,42.88,42.5,42.88,42.88,1053800
1998-07-07,42.56,42.94,41.25,41.56,41.56,1620100
1998-07-08,41.31,41.44,40.19,41,41,2000200
