,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1983-11-21,61.6248,62.1253,61.0004,61.6248,0.3015,5177899
1,1983-11-22,61.1243,61.6248,61.1243,61.1243,0.2991,3884616
2,1983-11-23,60.8749,61.2498,60.6254,60.8749,0.2979,2143291
3,1983-11-25,61.0004,61.2498,60.8749,61.0004,0.2985,4475650
4,1983-11-28,60.3744,61.1243,60.3744,60.3744,0.2954,5713325
5,1983-11-29,59.375,60.2505,59.375,59.375,0.2905,3039374
6,1983-11-30,59.0001,59.6245,58.8746,59.0001,0.2887,5174722
7,1983-12-01,59.6245,59.75,59.1256,59.6245,0.2917,12648437
8,1983-12-02,59.375,59.6245,59.2495,59.375,0.2905,2553202
9,1983-12-05,59.1256,59.5006,59.1256,59.1256,0.2893,1987589
10,1983-12-06,58.8746,59.2495,58.8746,58.8746,0.2881,3927514
11,1983-12-07,58.6251,59.1256,58.2502,58.6251,0.2869,8342789
12,1983-12-08,58.6251,58.8746,58.4996,58.6251,0.2869,8574754
13,1983-12-09,58.2502,58.6251,58.1247,58.2502,0.285,9132422
14,1983-12-12,58.3757,58.4996,58.2502,58.3757,0.2856,4474061
15,1983-12-13,58.8746,59.1256,58.2502,58.8746,0.2881,9666259
16,1983-12-14,59.0001,59.75,58.8746,59.0001,0.2887,6601464
17,1983-12-15,58.6251,59.1256,58.4996,58.6251,0.2869,4914158
18,1983-12-16,58.6251,59.0001,58.2502,58.6251,0.2869,4410509
19,1983-12-19,58.6251,58.7506,58.4996,58.6251,0.2869,4968178
20,1983-12-20,58.8746,58.8746,58.4996,58.8746,0.2881,3191899
21,1983-12-21,59.0001,59.0001,58.4996,59.0001,0.2887,9906168
22,1983-12-22,58.6251,59.1256,58.6251,58.6251,0.2869,10011029
23,1983-12-23,58.7506,58.7506,58.2502,58.7506,0.2875,5112758
24,1983-12-27,58.6251,58.7506,58.3757,58.6251,0.2869,3371434
25,1983-12-28,59.2495,59.2495,58.6251,59.2495,0.2899,7093992
26,1983-12-29,59.1256,59.2495,59.0001,59.1256,0.2893,5942112
27,1983-12-30,58.8746,59.5006,58.8746,58.8746,0.2881,3870317
28,1984-01-03,61.0004,61.1243,59.0001,61.0004,0.2985,3298349
29,1984-01-04,64.0,64.5005,61.6248,64.0,0.3132,8595408
30,1984-01-05,63.7506,65.1249,63.4996,63.7506,0.3119,5363789
31,1984-01-06,62.2508,64.0,62.1253,62.2508,0.3046,6042206
32,1984-01-09,61.9997,62.3747,61.6248,61.9997,0.3034,4278638
33,1984-01-10,61.9997,62.2508,61.6248,61.9997,0.3034,4354901
34,1984-01-11,62.3747,62.8752,62.1253,62.3747,0.3052,5621174
35,1984-01-12,62.5002,62.7497,62.1253,62.5002,0.3058,3549379
36,1984-01-13,63.4996,63.4996,62.5002,63.4996,0.3107,5357434
37,1984-01-16,64.75,65.3744,63.0007,64.75,0.3168,4486771
38,1984-01-17,64.9994,64.9994,64.375,64.9994,0.318,3492182
39,1984-01-18,65.8748,66.0003,64.9994,65.8748,0.3223,5911925
40,1984-01-19,65.1249,66.0003,65.1249,65.1249,0.3187,3991066
41,1984-01-20,65.1249,65.2504,64.6244,65.1249,0.3187,3282461
42,1984-01-23,64.9994,65.2504,64.75,64.9994,0.318,2343480
43,1984-01-24,64.75,65.4999,64.75,64.75,0.3168,2843952
44,1984-01-25,63.7506,64.8755,63.6251,63.7506,0.3119,2105160
45,1984-01-26,62.5002,63.4996,62.3747,62.5002,0.3058,4065739
46,1984-01-27,62.3747,62.7497,61.7503,62.3747,0.3052,5795942
47,1984-01-30,63.3756,63.6251,62.2508,63.3756,0.3101,6531557
48,1984-01-31,62.8752,63.6251,62.8752,62.8752,0.3076,2910682
49,1984-02-01,62.5002,63.2501,62.5002,62.5002,0.3058,2521426
50,1984-02-02,62.1253,62.6257,62.1253,62.1253,0.304,5649773
51,1984-02-03,62.2508,62.5002,61.9997,62.2508,0.3046,4299293
52,1984-02-06,61.6248,62.2508,61.6248,61.6248,0.3015,3624053
53,1984-02-07,61.3753,62.5002,60.8749,61.3753,0.3003,4292938
54,1984-02-08,61.1243,61.7503,61.0004,61.1243,0.2991,2653296
55,1984-02-09,59.9994,60.8749,59.9994,59.9994,0.2936,3528725
56,1984-02-10,59.75,60.125,59.5006,59.75,0.2924,2918626
57,1984-02-13,61.0004,61.1243,59.75,61.0004,0.2985,4429574
58,1984-02-14,61.3753,62.2508,60.8749,61.3753,0.3003,4296115
59,1984-02-15,61.1243,61.6248,60.7494,61.1243,0.2991,5397154
60,1984-02-16,60.8749,61.3753,59.9994,60.8749,0.2979,4912570
61,1984-02-17,60.4999,61.0004,60.3744,60.4999,0.296,1723848
62,1984-02-21,60.4999,60.7494,60.2505,60.4999,0.296,4385088
63,1984-02-22,60.7494,61.2498,60.3744,60.7494,0.2972,4431163
64,1984-02-23,59.8755,60.4999,59.6245,59.8755,0.293,7465771
65,1984-02-24,59.5006,60.125,59.0001,59.5006,0.2911,7024085
66,1984-02-27,59.75,60.125,59.375,59.75,0.2924,4516958
67,1984-02-28,59.2495,59.8755,59.2495,59.2495,0.2899,2484883
68,1984-02-29,60.125,60.125,59.0001,60.125,0.2942,6194731
69,1984-03-01,61.2498,61.2498,59.9994,61.2498,0.2997,4400976
70,1984-03-02,60.7494,61.3753,60.4999,60.7494,0.2972,3415920
71,1984-03-05,60.2505,60.6254,60.125,60.2505,0.2948,2060674
72,1984-03-06,59.9994,60.2505,59.75,59.9994,0.2936,2945635
73,1984-03-07,59.2495,59.8755,59.0001,59.2495,0.2899,3106104
74,1984-03-08,59.9994,59.9994,59.0001,59.9994,0.2936,3015542
75,1984-03-09,59.6245,59.8755,59.1256,59.6245,0.2917,2542080
76,1984-03-12,59.2495,59.8755,59.1256,59.2495,0.2899,3558912
77,1984-03-13,59.5006,59.6245,59.0001,59.5006,0.2911,4829952
78,1984-03-14,59.6245,59.75,58.8746,59.6245,0.2917,4585277
79,1984-03-15,59.5006,60.125,59.375,59.5006,0.2911,5149301
80,1984-03-16,58.7506,59.8755,58.6251,58.7506,0.2875,4604342
81,1984-03-19,58.7506,58.8746,58.1247,58.7506,0.2875,3627230
82,1984-03-20,58.3757,58.7506,58.1247,58.3757,0.2856,8670082
83,1984-03-21,58.6251,58.6251,58.2502,58.6251,0.2869,5030141
84,1984-03-22,58.1247,58.8746,58.0007,58.1247,0.2844,11051693
85,1984-03-23,58.6251,58.6251,57.3747,58.6251,0.2869,6037440
86,1984-03-26,57.2492,58.7506,56.7503,57.2492,0.2893,4381910
87,1984-03-27,57.2492,57.7497,57.1253,57.2492,0.2893,5597342
88,1984-03-28,57.3747,57.6258,57.2492,57.3747,0.2899,3493771
89,1984-03-29,57.5003,57.8752,57.3747,57.5003,0.2905,2148058
90,1984-03-30,57.2492,57.6258,57.2492,57.2492,0.2893,5878560
91,1984-04-02,56.4993,57.5003,56.3754,56.4993,0.2855,5738746
92,1984-04-03,56.0004,56.7503,55.5,56.0004,0.283,5637062
93,1984-04-04,56.0004,56.6248,56.0004,56.0004,0.283,5727624
94,1984-04-05,55.6255,56.2499,55.5,55.6255,0.2811,3346013
95,1984-04-06,55.6255,55.7494,55.5,55.6255,0.2811,2413387
96,1984-04-09,55.5,55.8749,55.5,55.5,0.2804,2464229
97,1984-04-10,55.5,56.0004,55.5,55.5,0.2804,4756867
98,1984-04-11,55.5,56.0004,55.5,55.5,0.2804,3655829
99,1984-04-12,56.2499,56.4993,55.5,56.2499,0.2842,4192843
100,1984-04-13,56.0004,56.3754,55.7494,56.0004,0.283,5557622
101,1984-04-16,56.0004,56.1244,55.7494,56.0004,0.283,2761334
102,1984-04-17,56.2499,56.4993,56.1244,56.2499,0.2842,3411154
103,1984-04-18,56.2499,56.9998,56.2499,56.2499,0.2842,4693315
104,1984-04-19,56.4993,56.8743,56.2499,56.4993,0.2855,3946579
105,1984-04-23,56.8743,56.9998,56.3754,56.8743,0.2874,2494416
