,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2007-09-12,30.0,30.0,25.9,25.9,23.7974,265700
1,2007-09-13,24.9,26.07,24.9,25.7,23.6136,86400
2,2007-09-14,25.25,25.98,25.25,25.89,23.7882,2900
3,2007-09-17,26.5,26.5,25.95,25.95,23.8433,31700
4,2007-09-18,26.0,26.0,25.2,25.35,23.2921,521200
5,2007-09-19,24.85,25.4,24.55,24.9,22.8786,76000
6,2007-09-20,25.19,25.75,25.1,25.75,23.6596,8100
7,2007-09-21,25.5,26.1,25.21,25.5,23.4299,23400
8,2007-09-24,25.2,25.71,22.75,25.65,23.5678,170600
9,2007-09-25,25.85,26.09,25.75,25.8,23.7055,482000
10,2007-09-26,25.8,26.3,25.5,25.75,23.6596,4021200
11,2007-09-27,25.5,26.2,25.5,25.85,23.7515,669500
12,2007-09-28,25.85,26.25,25.62,26.08,23.9628,3181400
13,2007-10-01,26.45,28.49,26.1,27.98,25.7085,3712099
14,2007-10-02,28.3,29.5,27.05,27.55,25.3135,3453447
15,2007-10-03,26.0,27.55,26.0,26.55,24.3946,1458709
16,2007-10-04,26.81,27.0,26.1,27.0,24.8081,2807383
17,2007-10-05,26.32,27.43,26.32,27.15,24.9459,2846300
18,2007-10-08,27.04,27.45,27.0,27.27,25.0562,2235238
19,2007-10-09,27.3,27.45,27.02,27.35,25.1297,2903900
20,2007-10-10,27.8,28.13,26.82,26.97,24.7805,2050766
21,2007-10-11,26.86,27.52,26.71,26.82,24.6428,1788100
22,2007-10-12,27.0,28.5,26.5,28.4,26.0945,3646552
23,2007-10-15,28.96,29.25,28.6,29.08,26.7192,3953400
24,2007-10-16,30.08,30.08,28.61,29.03,26.6733,2784500
25,2007-10-17,29.4,29.4,28.4,28.84,26.4988,2447816
26,2007-10-18,28.01,28.95,27.51,28.82,26.4804,1424799
27,2007-10-19,28.72,28.87,27.51,27.53,25.2951,1718500
28,2007-10-22,28.89,28.89,27.17,27.81,25.5524,1225671
29,2007-10-23,28.05,28.24,27.56,27.89,25.6259,1176200
30,2007-10-24,27.89,28.26,27.5,28.26,25.9658,1899468
31,2007-10-25,28.18,28.63,27.94,28.45,26.1404,1437500
32,2007-10-26,28.7,29.69,28.5,28.9,26.5539,1926300
33,2007-10-29,28.5,28.9,27.625,27.83,25.5708,1122400
34,2007-10-30,28.5,28.76,28.13,28.34,26.0393,1398945
35,2007-10-31,27.06,28.64,27.06,28.53,26.2139,2720400
36,2007-11-01,27.83,28.13,27.46,27.67,25.4238,1501000
37,2007-11-02,27.7,28.23,27.46,27.94,25.6718,812000
38,2007-11-05,27.99,28.0,27.18,27.4,25.1756,956600
39,2007-11-06,27.02,27.49,27.0,27.25,25.0378,934800
40,2007-11-07,27.01,27.75,26.63,26.63,24.4682,1064625
41,2007-11-08,26.65,26.65,25.89,26.22,24.0915,1270350
42,2007-11-09,25.82,25.82,24.75,24.77,22.7592,1247898
43,2007-11-12,24.75,25.08,24.59,24.85,22.8326,2256712
44,2007-11-13,25.01,25.95,24.75,25.95,23.8433,823740
45,2007-11-14,26.06,26.06,24.56,25.0,22.9705,942668
46,2007-11-15,25.0,25.09,24.23,24.41,22.4284,1656136
47,2007-11-16,24.53,24.53,23.2,23.8,21.8679,1893004
48,2007-11-19,23.4,23.74,23.13,23.13,21.2523,1287192
49,2007-11-20,23.25,24.36,22.35,24.12,22.1619,2057801
50,2007-11-21,23.97,24.51,23.9,24.01,22.0608,863050
51,2007-11-23,24.22,24.87,23.6,24.84,22.8235,518900
52,2007-11-26,24.96,25.33,24.25,24.26,22.2905,1270332
53,2007-11-27,24.16,24.6,23.97,24.59,22.5938,1025850
54,2007-11-28,25.01,26.26,24.59,26.1,23.9812,691500
55,2007-11-29,26.07,26.78,25.77,26.5,24.3487,852997
56,2007-11-30,26.5,26.575,25.65,25.96,23.8525,1133750
57,2007-12-03,25.53,26.5,25.38,26.19,24.0639,757886
58,2007-12-04,26.41,27.5,26.25,26.45,24.3028,837437
59,2007-12-05,26.67,27.31,26.66,26.78,24.6059,2115806
60,2007-12-06,26.77,27.09,26.66,26.87,24.6886,1164190
61,2007-12-07,27.14,27.23,26.29,26.52,24.3671,994253
62,2007-12-10,26.54,26.86,26.44,26.69,24.5232,768562
63,2007-12-11,26.7,27.12,25.48,25.54,23.4666,836300
64,2007-12-12,26.06,26.82,25.81,26.16,24.0363,762587
65,2007-12-13,25.9,26.72,25.9,26.63,24.4682,664900
66,2007-12-14,26.55,27.74,26.49,27.12,24.9184,843300
67,2007-12-17,26.95,27.0,26.32,26.67,24.5049,747850
68,2007-12-18,26.64,27.12,26.46,26.83,24.6519,722200
69,2007-12-19,27.09,27.09,26.16,26.44,24.2936,776150
70,2007-12-20,26.65,26.73,26.44,26.65,24.4865,964700
71,2007-12-21,26.7,27.1,26.5,26.87,24.6886,1734900
72,2007-12-24,27.19,27.7,27.02,27.41,25.1848,304630
73,2007-12-26,27.63,27.63,26.7,27.04,24.8449,631365
74,2007-12-27,26.67,26.98,26.67,26.8,24.6243,430450
75,2007-12-28,27.03,27.81,27.0,27.5,25.2675,1237900
76,2007-12-31,27.4,27.56,27.22,27.41,25.1848,392823
77,2008-01-02,27.41,27.9,26.78,26.84,24.6611,1172203
78,2008-01-03,27.21,27.5,26.78,26.89,24.7071,1140761
79,2008-01-04,26.69,27.03,26.29,26.62,24.4589,929370
80,2008-01-07,26.77,26.94,26.75,26.87,24.6886,3274290
81,2008-01-08,26.87,27.23,26.63,26.64,24.4773,3033450
82,2008-01-09,26.77,26.99,26.45,26.99,24.7989,2036100
83,2008-01-10,27.05,27.05,26.395,26.73,24.5601,644500
84,2008-01-11,26.66,26.7,25.47,25.75,23.6596,1782900
85,2008-01-14,25.9,25.92,25.11,25.52,23.4482,1324241
86,2008-01-15,25.26,26.1,25.04,25.11,23.0715,2197400
87,2008-01-16,24.96,26.34,24.96,25.67,23.5861,1683099
88,2008-01-17,25.69,25.9,24.8,24.84,22.8235,831434
89,2008-01-18,24.97,26.0,24.0,24.17,22.2079,1441730
90,2008-01-22,23.09,23.73,22.13,23.27,21.3809,1870937
91,2008-01-23,22.36,23.14,22.25,22.48,20.6551,3650079
92,2008-01-24,22.38,23.18,22.25,22.91,21.0502,1594366
93,2008-01-25,22.87,23.4,22.64,23.02,21.1512,611909
94,2008-01-28,23.17,23.85,22.97,23.85,21.9138,614115
95,2008-01-29,23.99,23.99,23.36,23.46,21.5555,975547
96,2008-01-30,23.33,23.64,22.92,23.09,21.2155,1148207
97,2008-01-31,22.82,24.02,22.82,23.8,21.8679,894961
98,2008-02-01,23.89,24.0,23.53,23.61,21.6933,924200
99,2008-02-04,23.52,24.41,23.52,24.27,22.2998,529970
100,2008-02-05,23.89,24.0,23.43,23.57,21.6566,589500
101,2008-02-06,23.47,23.71,23.14,23.35,21.4545,1366925
102,2008-02-07,23.34,23.58,23.06,23.25,21.3625,954561
103,2008-02-08,22.89,23.115,22.27,22.66,20.8205,896693
104,2008-02-11,22.53,22.76,22.43,22.6,20.7653,826412
105,2008-02-12,22.5,23.0,21.1,21.75,19.9843,3710445
106,2008-02-13,21.96,24.16,21.89,23.18,21.2982,2862635
107,2008-02-14,23.07,23.8,22.99,23.5,21.5922,1597321
108,2008-02-15,23.33,23.75,23.11,23.72,21.7944,1205672
109,2008-02-19,24.01,24.73,23.84,24.52,22.5295,1516316
110,2008-02-20,24.48,24.98,24.32,24.95,22.9245,988116
111,2008-02-21,25.0,25.1,24.32,24.57,22.5754,2735350
112,2008-02-22,24.62,24.97,24.39,24.93,22.9062,1074122
113,2008-02-25,24.99,25.22,24.89,25.12,23.0808,1750383
114,2008-02-26,25.22,26.5,25.01,26.03,23.9169,2854934
115,2008-02-27,26.04,27.04,26.04,26.49,24.3395,1042961
116,2008-02-28,26.39,26.67,26.03,26.05,23.9352,495518
117,2008-02-29,25.71,25.95,25.12,25.23,23.1818,644500
118,2008-03-03,25.25,26.04,25.25,25.98,23.8709,651100
119,2008-03-04,25.63,26.05,25.17,25.6,23.5218,657732
120,2008-03-05,25.59,26.53,25.59,26.53,24.3762,692347
121,2008-03-06,26.26,26.53,25.67,25.73,23.6412,1216704
122,2008-03-07,25.4,25.63,24.48,24.94,22.9153,1081690
123,2008-03-10,24.86,24.95,24.16,24.18,22.2171,710050
124,2008-03-11,24.29,25.06,24.29,24.78,22.7683,1102165
125,2008-03-12,25.01,25.06,24.51,24.77,22.7592,767600
126,2008-03-13,24.35,24.68,24.06,24.53,22.5386,689250
127,2008-03-14,25.42,25.42,23.6,23.71,21.7852,1089855
128,2008-03-17,23.57,24.49,22.55,22.65,20.8112,1563395
129,2008-03-18,22.72,23.82,22.57,23.73,21.8036,1656164
130,2008-03-19,24.09,24.11,22.9,22.98,21.1145,1266287
131,2008-03-20,23.75,23.75,22.35,23.47,21.5646,1380269
132,2008-03-24,23.52,25.38,23.47,24.92,22.8969,1010200
133,2008-03-25,24.83,25.12,24.03,24.25,22.2813,669766
134,2008-03-26,23.99,24.27,23.2,23.26,21.3718,884496
135,2008-03-27,23.29,23.29,22.24,22.51,20.6826,1772033
136,2008-03-28,22.97,22.99,21.92,21.92,20.1405,811922
137,2008-03-31,21.9,22.26,21.4,22.06,20.2692,1628433
138,2008-04-01,22.02,22.72,20.11,20.6422,18.9665,3119337
139,2008-04-02,20.76,21.91,20.68,21.57,19.8189,1909519
140,2008-04-03,21.48,22.09,21.28,21.98,20.1956,1393721
141,2008-04-04,21.97,22.03,21.68,21.89,20.1129,1871289
142,2008-04-07,22.01,22.36,21.77,22.01,20.2232,591322
143,2008-04-08,21.8,22.42,21.79,22.23,20.4253,459700
144,2008-04-09,22.33,22.41,22.18,22.29,20.4805,792513
145,2008-04-10,22.02,22.34,21.97,22.17,20.3702,996230
146,2008-04-11,21.95,22.0,21.41,21.52,19.773,2250900
147,2008-04-14,21.5,21.57,20.76,20.86,19.1666,2281705
148,2008-04-15,20.97,21.16,20.52,20.61,18.9369,1596906
149,2008-04-16,20.74,21.42,20.58,21.28,19.5525,1540357
150,2008-04-17,21.38,21.88,21.25,21.6,19.8465,1014242
151,2008-04-18,21.01,22.66,21.01,21.99,20.2048,996004
152,2008-04-21,21.8,21.92,21.39,21.8,20.0302,570886
153,2008-04-22,21.58,21.69,21.09,21.28,19.5525,485941
154,2008-04-23,21.25,21.7,21.25,21.53,19.7822,406361
155,2008-04-24,21.77,21.78,21.12,21.62,19.8649,956322
156,2008-04-25,21.57,21.81,21.2,21.77,20.0026,781369
157,2008-04-28,21.7,22.55,21.7,22.24,20.4345,672512
158,2008-04-29,22.11,22.16,21.5,21.81,20.0395,632097
159,2008-04-30,21.79,22.06,21.25,21.29,19.5616,613021
160,2008-05-01,21.3,21.83,21.08,21.82,20.0486,1565649
161,2008-05-02,21.98,22.55,21.85,22.44,20.6183,1065854
162,2008-05-05,22.44,22.65,22.19,22.6,20.7653,696870
163,2008-05-06,22.5,23.38,22.44,23.14,21.2615,716704
164,2008-05-07,23.18,24.08,22.57,23.07,21.1972,2527619
165,2008-05-08,22.1,24.4,21.75,23.38,21.482,3222876
166,2008-05-09,23.05,24.0496,23.05,23.47,21.5646,1488031
