,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,27.81,28.19,27.75,28.13,28.13,303500
1,1998-01-02,27.94,28.0,27.56,27.56,27.56,141500
2,1998-01-05,27.63,27.75,27.25,27.38,27.38,131700
3,1998-01-06,27.31,27.31,26.75,26.94,26.94,168300
4,1998-01-07,26.81,26.81,26.25,26.63,26.63,393600
5,1998-01-08,26.63,27.38,26.38,27.31,27.31,244700
6,1998-01-09,27.38,27.38,26.88,26.88,26.88,238000
7,1998-01-12,26.63,27.13,26.56,27.0,27.0,126000
8,1998-01-13,27.0,27.13,26.81,26.94,26.94,284400
9,1998-01-14,26.94,27.0,26.75,26.94,26.94,99300
10,1998-01-15,26.94,26.94,26.44,26.5,26.5,231400
11,1998-01-16,26.25,26.75,26.25,26.44,26.44,115300
12,1998-01-20,26.5,26.5,26.19,26.25,26.25,280000
13,1998-01-21,26.13,26.13,25.81,26.06,26.06,597500
14,1998-01-22,26.06,26.75,26.06,26.63,26.63,376000
15,1998-01-23,26.5,26.63,26.19,26.38,26.38,325600
16,1998-01-26,26.5,26.56,26.19,26.38,26.38,76000
17,1998-01-27,26.44,26.44,26.19,26.19,26.19,177600
18,1998-01-28,26.0,26.25,25.56,25.63,25.63,788100
19,1998-01-29,25.69,26.13,25.69,26.0,26.0,290100
20,1998-01-30,26.0,26.13,25.63,25.94,25.94,262600
21,1998-02-02,25.88,26.19,25.75,26.06,26.06,567400
22,1998-02-03,26.0,26.06,25.88,25.94,25.94,127300
23,1998-02-04,25.88,26.06,25.81,26.0,26.0,183200
24,1998-02-05,26.13,26.31,26.13,26.31,26.31,252700
25,1998-02-06,26.19,26.69,26.19,26.5,26.5,285700
26,1998-02-09,26.31,26.38,26.0,26.19,26.19,181300
27,1998-02-10,26.19,26.25,26.06,26.13,26.13,299200
28,1998-02-11,26.19,26.19,26.06,26.19,26.19,80000
29,1998-02-12,26.19,26.25,25.69,26.0,26.0,372100
30,1998-02-13,25.94,26.06,25.81,26.06,26.06,147900
31,1998-02-17,26.06,26.63,26.0,26.56,26.56,241100
32,1998-02-18,26.69,26.75,26.56,26.63,26.63,111600
33,1998-02-19,26.69,26.69,26.44,26.69,26.69,165500
34,1998-02-20,26.56,26.56,26.19,26.44,26.44,204600
