,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,23.5632,23.5632,23.307,23.5632,2.1874,37200
1,1984-11-06,23.435,23.8192,23.307,23.435,2.1755,308800
2,1984-11-07,23.8832,24.2034,23.243,23.8832,2.2172,220400
3,1984-11-08,23.8192,23.8192,23.307,23.8192,2.2112,149600
4,1984-11-09,23.179,23.8192,23.179,23.179,2.1518,108800
5,1984-11-12,22.9868,23.307,22.7948,22.9868,2.1339,162000
6,1984-11-13,22.5386,22.9868,22.5386,22.5386,2.0923,125200
7,1984-11-14,22.7308,22.9228,22.4106,22.7308,2.1102,222400
8,1984-11-15,23.179,23.307,22.7308,23.179,2.1518,66000
9,1984-11-16,23.371,23.5632,23.179,23.371,2.1696,170400
10,1984-11-19,23.4992,23.6912,23.307,23.4992,2.1815,284400
11,1984-11-20,23.307,23.6912,23.243,23.307,2.1637,212000
12,1984-11-21,23.5632,23.7552,23.115,23.5632,2.1874,162000
13,1984-11-23,23.8192,24.0754,23.7552,23.8192,2.2112,62400
14,1984-11-26,23.435,23.8832,23.435,23.435,2.1755,554800
15,1984-11-27,23.243,23.435,23.115,23.243,2.1577,174000
16,1984-11-28,23.307,23.4992,23.243,23.307,2.1637,100400
17,1984-11-29,22.9228,23.371,22.8588,22.9228,2.128,227600
18,1984-11-30,22.8588,22.9868,22.6026,22.8588,2.122,103200
19,1984-12-03,23.051,23.115,22.7308,23.051,2.1399,212800
20,1984-12-04,23.307,23.371,22.9228,23.307,2.1637,188400
21,1984-12-05,23.115,23.371,23.115,23.115,2.1458,132800
22,1984-12-06,23.371,23.4992,22.9228,23.371,2.1696,299600
23,1984-12-07,23.307,23.5632,23.179,23.307,2.1637,154800
24,1984-12-10,22.9228,23.051,22.6668,22.9228,2.128,126800
25,1984-12-11,23.179,23.179,22.6668,23.179,2.1518,127600
26,1984-12-12,23.6272,23.8192,23.371,23.6272,2.1934,206000
27,1984-12-13,23.307,23.4992,23.115,23.307,2.1637,492400
28,1984-12-14,23.5632,23.9474,23.307,23.5632,2.1874,195200
29,1984-12-17,24.3316,24.3316,23.8192,24.3316,2.2588,246400
30,1984-12-18,25.8682,25.9962,24.5876,25.8682,2.4014,1141600
31,1984-12-19,25.0998,25.6762,25.0998,25.0998,2.3301,1874800
32,1984-12-20,24.8438,25.228,24.8438,24.8438,2.3063,315200
33,1984-12-21,24.5876,24.7156,23.8832,24.5876,2.2825,336800
34,1984-12-24,24.9078,24.9078,24.6516,24.9078,2.3123,99600
35,1984-12-26,24.5876,24.9078,24.5876,24.5876,2.2825,88400
36,1984-12-27,24.0754,24.7156,24.0754,24.0754,2.235,215600
37,1984-12-28,24.3316,24.5876,24.0754,24.3316,2.2588,315600
38,1984-12-31,24.0754,24.7156,23.9474,24.0754,2.235,694400
39,1985-01-02,24.3956,24.4596,24.0754,24.3956,2.2647,344800
40,1985-01-03,24.2034,24.4596,24.2034,24.2034,2.2469,407200
41,1985-01-04,24.1394,24.3316,24.0754,24.1394,2.2409,204800
42,1985-01-07,24.5876,24.5876,24.2034,24.5876,2.2825,276400
43,1985-01-08,24.7798,24.7798,24.4596,24.7798,2.3004,467200
44,1985-01-09,24.5876,24.9078,24.3956,24.5876,2.2825,433200
45,1985-01-10,25.356,25.356,24.5876,25.356,2.3539,293600
46,1985-01-11,25.9962,25.9962,25.228,25.9962,2.4133,1107200
47,1985-01-14,26.6366,27.1488,25.8682,26.6366,2.4728,674000
48,1985-01-15,27.1488,27.405,25.9962,27.1488,2.5203,923600
49,1985-01-16,27.0208,27.533,26.8928,27.0208,2.5084,738000
50,1985-01-17,26.7006,26.8928,26.5726,26.7006,2.4787,604000
51,1985-01-18,26.7646,26.9568,26.5726,26.7646,2.4846,400000
52,1985-01-21,28.0452,28.1734,26.6366,28.0452,2.6035,586400
53,1985-01-22,27.7252,28.3014,27.533,27.7252,2.5738,881600
54,1985-01-23,27.597,27.661,27.2128,27.597,2.5619,868000
55,1985-01-24,28.1734,28.4294,27.7252,28.1734,2.6154,1074400
56,1985-01-25,28.1734,28.1734,27.8532,28.1734,2.6154,804000
57,1985-01-28,28.0452,28.4934,27.9172,28.0452,2.6035,528800
58,1985-01-29,28.4294,28.4294,27.661,28.4294,2.6392,404000
59,1985-01-30,28.5576,28.9416,28.4934,28.5576,2.6511,476400
60,1985-01-31,28.3014,28.6856,28.2374,28.3014,2.6273,288400
61,1985-02-01,27.533,28.1092,27.1488,27.533,2.556,762400
62,1985-02-04,27.9172,27.9812,27.405,27.9172,2.5916,372000
63,1985-02-05,27.9812,28.3014,27.9172,27.9812,2.5976,340000
64,1985-02-06,27.9172,28.1734,27.7252,27.9172,2.5916,598800
65,1985-02-07,28.0452,28.1734,27.7252,28.0452,2.6035,378800
66,1985-02-08,28.0452,28.1734,27.8532,28.0452,2.6035,301600
67,1985-02-11,27.661,28.1734,27.661,27.661,2.5679,308000
68,1985-02-12,27.533,27.7892,27.405,27.533,2.556,96400
69,1985-02-13,28.4934,28.5576,27.277,28.4934,2.6451,520400
70,1985-02-14,28.6216,28.6856,28.1734,28.6216,2.657,1321200
71,1985-02-15,28.8776,28.8776,28.5576,28.8776,2.6808,218400
72,1985-02-19,29.2618,29.2618,28.8136,29.2618,2.7165,307600
